window,root,ts,actual_cum_log_price,fair_cum_log_price,fair_deviation_bp,fair_scale_bp,fair_zscore,state
120D,GC,2022-12-30 21:45:00+00:00,0.21894764719648752,0.23855212768710304,-196.04480490615532,113.79971765867344,-1.722717849741637,inside_band
120D,HG,2022-12-30 21:45:00+00:00,0.4754521291220086,0.4759885627097088,-5.364335877001414,103.11449717681539,-0.05202310076538441,inside_band
120D,PA,2022-12-30 21:45:00+00:00,1.1654089233842555,1.1758542052498744,-104.45281865618966,69.76414979161181,-1.497227716071854,inside_band
120D,PL,2022-12-30 21:45:00+00:00,-0.00036128333167173565,-0.04434920598334724,439.879226516755,345.65555097695153,1.2725941338812359,inside_band
120D,SI,2022-12-30 21:45:00+00:00,0.19241424092695691,0.19832315796455813,-59.089170376012135,52.23320181414618,-1.131256907938758,inside_band
20D,GC,2022-12-30 21:45:00+00:00,0.21894764719648752,0.22389721633296822,-49.49569136480703,41.91128091196253,-1.1809634610971702,inside_band
20D,HG,2022-12-30 21:45:00+00:00,0.4754521291220086,0.47625032335068934,-7.981942286807153,21.34896807809186,-0.37387953636026827,inside_band
20D,PA,2022-12-30 21:45:00+00:00,1.1654089233842555,1.1714844715766208,-60.755481923652766,13.121797796052789,-4.630118743479557,cheap
20D,PL,2022-12-30 21:45:00+00:00,-0.00036128333167173565,-0.019326227473318025,189.6494414164629,74.36632927040912,2.5502057621650787,rich
20D,SI,2022-12-30 21:45:00+00:00,0.19241424092695691,0.19617012940133324,-37.55888474376329,22.86859078304337,-1.6423786275283956,inside_band
252D,GC,2022-12-30 21:45:00+00:00,0.21894764719648752,0.2463275199939674,-273.79872797479885,72.52087872569871,-3.7754469166101647,cheap
252D,HG,2022-12-30 21:45:00+00:00,0.4754521291220086,0.48677850089721936,-113.26371775210731,170.70513805445685,-0.6635050300359144,inside_band
252D,PA,2022-12-30 21:45:00+00:00,1.1654089233842555,1.2048018262743954,-393.92902890139857,346.2549975403595,-1.137684745923363,inside_band
252D,PL,2022-12-30 21:45:00+00:00,-0.00036128333167173565,-0.11630313744687859,1159.4185411520687,433.77977852449465,2.672827546493384,rich
252D,SI,2022-12-30 21:45:00+00:00,0.19241424092695691,0.21295420193707298,-205.3996101011607,196.27407885955887,-1.046493817699338,inside_band
60D,GC,2022-12-30 21:45:00+00:00,0.21894764719648752,0.2277897430079896,-88.42095811502075,49.35070129082998,-1.7916859497891378,inside_band
60D,HG,2022-12-30 21:45:00+00:00,0.4754521291220086,0.47151110328536217,39.41025836646461,48.733132384974404,0.8086953667401798,inside_band
60D,PA,2022-12-30 21:45:00+00:00,1.1654089233842555,1.1730116802306092,-76.02756846353643,24.110225135375565,-3.1533329961314003,cheap
60D,PL,2022-12-30 21:45:00+00:00,-0.00036128333167173565,-0.027566264158542297,272.0498082687056,105.73402874302155,2.5729636097561532,rich
60D,SI,2022-12-30 21:45:00+00:00,0.19241424092695691,0.19833407840970596,-59.19837482749046,32.582167535798455,-1.8168949245764094,inside_band
