window,root,nobs,median_abs_deviation_bp,p90_abs_deviation_bp,p95_abs_deviation_bp,p99_abs_deviation_bp,off_fair_fraction,extreme_off_fair_fraction,event_count
120D,GC,11824,62.04364134621696,126.30309810923795,140.27753708712368,194.7609536155719,0.08736468200270636,0.03966508795669824,31
120D,HG,11824,108.88287106724722,219.0219052926901,249.6933251939055,324.98414081046445,0.11197564276048715,0.022073748308525033,51
120D,PA,11824,126.04584854214659,370.83443252606907,411.9958227941055,481.1253832912635,0.19198240866035182,0.09523004059539919,55
120D,PL,11824,98.49785474471601,326.40589493877826,355.6254201309689,396.31625368722285,0.08525033829499323,0.014884979702300407,58
120D,SI,11824,83.66171112527674,235.5487023050177,270.2500602763223,314.8175720247206,0.15747631935047363,0.06309201623815967,51
20D,GC,11824,14.362820859839843,42.59426324560286,53.13002126223244,69.47457780298093,0.11984100135317997,0.037550744248985114,104
20D,HG,11824,35.500826248188034,102.8786490292999,122.32723600677485,157.97167689961137,0.13743234100135318,0.053958051420838975,123
20D,PA,11824,51.52435096255889,151.63686004539346,183.80853372469042,289.30810549360604,0.1243234100135318,0.02774018944519621,98
20D,PL,11824,49.0633291458778,114.71159011792548,142.9152055321659,191.85526662428055,0.09607577807848444,0.03239174560216509,99
20D,SI,11824,27.32464791726091,85.6056887431722,108.08108309761278,141.10479839172433,0.13286535859269283,0.06681326116373477,114
252D,GC,11824,97.33317259909714,267.8414569758295,294.90607126505404,311.0389463395427,0.07002706359945873,0.045754397834912044,15
252D,HG,11824,118.67715603389908,287.6677724372618,322.9833523679135,349.4056405655919,0.0679127198917456,0.0009303112313937754,33
252D,PA,11824,264.3500881761712,493.47418424764567,540.3632649232084,608.3400837495195,0.24264208389715833,0.0831359945872801,63
252D,PL,11824,245.50433248501065,508.86005399494746,590.2910227515173,1079.9128603180716,0.16982408660351828,0.10199594046008119,46
252D,SI,11824,151.95771003391715,360.22742857543085,406.2046625342912,476.8599855213085,0.18733085250338294,0.14580514208389717,36
60D,GC,11824,34.34986234020644,73.58591455725362,89.93132809849065,113.77455841513613,0.15460081190798375,0.04981393775372125,87
60D,HG,11824,63.49051285196499,176.22370150716895,199.02216453427016,268.10473470288423,0.19003721244925575,0.08017591339648174,83
60D,PA,11824,91.2670478963168,276.2169041572362,326.2539960853758,398.12888564306263,0.1442828146143437,0.06918132611637348,51
60D,PL,11824,71.4547260002854,204.78647032258206,241.62407728912797,306.475957955802,0.07645466847090664,0.008795669824086604,72
60D,SI,11824,58.09379769359725,152.32260001668598,167.992843741209,191.28016481149754,0.13489512855209743,0.0587787550744249,90
