window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,end_z,end_deviation_bp,duration_hours
120D,GC,cheap,2023-03-28 06:45:00+00:00,2023-03-28 06:45:00+00:00,1,2.5092125845135858,114.78479981599065,-2.5092125845135858,-114.78479981599065,0.0
120D,GC,cheap,2023-03-28 09:45:00+00:00,2023-03-31 06:45:00+00:00,67,3.032061171746583,133.28273450507703,-2.5290377436642038,-106.77658686230315,69.0
120D,GC,cheap,2023-03-31 08:45:00+00:00,2023-03-31 20:45:00+00:00,13,2.983181735798367,124.08822434030277,-2.983181735798367,-124.08822434030277,12.0
120D,GC,cheap,2023-04-02 22:45:00+00:00,2023-04-04 12:45:00+00:00,38,3.0987746398982567,126.15000621468815,-2.5007731557797936,-103.93819244191172,38.0
120D,GC,cheap,2023-04-09 22:45:00+00:00,2023-04-14 20:45:00+00:00,115,3.1469057268945058,147.63633639984653,-3.0753661158663164,-144.98662903126743,118.0
120D,GC,cheap,2023-04-16 22:45:00+00:00,2023-04-19 08:45:00+00:00,57,3.220452405064091,146.35039006363843,-2.5748393439712487,-126.15335295364982,58.0
120D,GC,cheap,2023-04-25 05:45:00+00:00,2023-04-25 06:45:00+00:00,2,2.516238470757551,134.13765600152325,-2.5005248259736272,-133.4209289373276,1.0
120D,GC,cheap,2023-04-25 11:45:00+00:00,2023-04-25 12:45:00+00:00,2,2.5174560274265763,135.0202709391953,-2.5174560274265763,-135.0202709391953,1.0
120D,GC,cheap,2023-04-26 05:45:00+00:00,2023-04-26 05:45:00+00:00,1,2.507176651893752,136.1168444186668,-2.507176651893752,-136.1168444186668,0.0
120D,GC,cheap,2023-04-28 07:45:00+00:00,2023-04-28 08:45:00+00:00,2,2.5489247630271366,143.4359261083748,-2.51672617045732,-141.70680664052853,1.0
120D,GC,cheap,2023-04-28 11:45:00+00:00,2023-04-28 11:45:00+00:00,1,2.5001910491707413,141.61137131017188,-2.5001910491707413,-141.61137131017188,0.0
120D,GC,cheap,2023-04-28 14:45:00+00:00,2023-04-28 20:45:00+00:00,7,2.7200056110629642,155.07189207993468,-2.7200056110629642,-155.07189207993468,6.0
120D,GC,cheap,2023-04-30 22:45:00+00:00,2023-05-04 06:45:00+00:00,78,3.133226667453541,184.04083397935958,-2.536696381940895,-154.6326535059614,80.0
120D,GC,cheap,2023-08-21 09:15:00+00:00,2023-08-21 09:15:00+00:00,1,2.5108497221958537,81.52325136586133,-2.5108497221958537,-81.52325136586133,0.0
120D,GC,cheap,2023-08-28 06:15:00+00:00,2023-08-29 12:15:00+00:00,30,2.681900661588754,80.86515420135672,-2.5830299548680866,-77.89413515278565,30.0
120D,GC,cheap,2023-08-30 13:15:00+00:00,2023-08-30 13:15:00+00:00,1,2.5805363536955626,79.73332134632028,-2.5805363536955626,-79.73332134632028,0.0
120D,GC,cheap,2024-05-09 11:30:00+00:00,2024-05-09 11:30:00+00:00,1,2.594602124052638,56.05383547734682,-2.594602124052638,-56.05383547734682,0.0
120D,GC,cheap,2024-05-09 15:30:00+00:00,2024-05-09 17:30:00+00:00,3,2.6206295906666734,56.61613337957644,-2.5400510062619026,-54.87531205234819,2.0
120D,GC,cheap,2024-05-10 01:30:00+00:00,2024-05-10 01:30:00+00:00,1,2.598884112055367,56.14634363063781,-2.598884112055367,-56.14634363063781,0.0
120D,GC,cheap,2024-05-10 07:30:00+00:00,2024-05-10 11:30:00+00:00,5,2.830204076567951,61.14378470771564,-2.6658458719090925,-57.59298681161679,4.0
120D,GC,cheap,2024-05-10 14:30:00+00:00,2024-05-10 16:30:00+00:00,3,2.6597995230493994,57.4623613715626,-2.559231595415005,-55.28968987882868,2.0
120D,GC,cheap,2024-05-13 01:30:00+00:00,2024-05-17 20:30:00+00:00,112,4.071357899700705,87.7985324748444,-3.4528966941372783,-74.9888726848029,115.0
120D,GC,cheap,2024-05-19 22:30:00+00:00,2024-05-24 20:30:00+00:00,115,5.474992329897851,123.43297432852535,-4.8513839313137215,-109.3738058739599,118.0
120D,GC,cheap,2024-05-26 22:30:00+00:00,2024-05-31 20:00:00+00:00,112,6.698382142085668,151.44361692545212,-6.3948238994963456,-145.95401357600443,117.5
120D,GC,cheap,2024-06-02 22:00:00+00:00,2024-06-07 20:00:00+00:00,115,6.5935265745688385,151.45113739567728,-3.581154993763124,-94.43980035874571,118.0
