strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,mean_mfe_bp,mean_mae_bp,trade_tstat
event_120D_agree_60D,SI,short_rich,13,1.0,0.7692307692307693,37.91478751859599,59.00866666581511,-112.4936297442943,105.58659595927875,863.6217948717949,848.0,65.68680523845669,-121.84734937124767,1.5073062523157745
event_120D_agree_60D,PL,long_cheap,14,1.0,0.7857142857142857,37.52448895503773,74.8691840923542,-129.57285530852374,160.84559319381958,696.5119047619047,454.4583333333333,83.73334971417508,-134.7992196344161,1.002822371579278
event_120D_agree_60D,GC,short_rich,9,1.0,0.7777777777777778,26.3179344155396,38.889588071792076,-34.13879735437288,68.46533061389404,809.7222222222222,694.0,37.40777235132882,-41.11381265086188,1.8930018928543513
event_120D_agree_60D,HG,short_rich,12,1.0,0.75,22.068472218141732,51.193865959083936,-6.091136723330799,80.02365325414206,930.5625,1101.375,65.0828308318356,-81.98443759875504,0.7895701868220353
event_120D_agree_60D,HG,long_cheap,16,1.0,0.6875,0.8064105156206374,32.4677984144647,-236.21377017689645,145.7083476040042,1134.4427083333335,878.25,67.4359685378424,-147.33538021376953,0.021730668987987856
event_120D_agree_60D,PA,long_cheap,10,1.0,0.6,-1.8429302901804092,51.880417661749206,-312.18313082661155,262.8777619405487,1156.4416666666666,988.25,145.82798424275353,-231.80833661139576,-0.01826564464484368
event_120D_agree_60D,SI,long_cheap,24,1.0,0.7083333333333334,-10.500586765730587,48.85699492020692,-246.67870918794387,114.12616461261341,823.2222222222223,646.5,60.69051163325833,-123.61660229838105,-0.28161975569162384
event_120D_agree_60D,GC,long_cheap,15,1.0,0.6666666666666666,-28.41355481808591,12.39691499894698,-112.45320832245656,45.45526938863729,1547.0277777777776,1159.0,29.074124040620795,-99.97069873210138,-0.9283756513859257
event_120D_agree_60D,PL,short_rich,17,1.0,0.47058823529411764,-90.19420489264402,-28.282680613097472,-444.7728305068249,156.93420770628785,1354.8137254901962,1368.0,84.3130568945032,-249.05298385153353,-1.1578009993414262
event_120D_agree_60D,PA,short_rich,18,1.0,0.5555555555555556,-110.46249114218631,36.19308049233776,-657.7756200245976,244.41388163305515,1320.263888888889,1184.75,123.03729789747821,-326.5917829510894,-0.8799231058546051
event_120D_agree_60D_carry,PL,long_cheap,13,1.0,0.8461538461538461,73.30178480438214,78.14774879694555,-40.273189844029204,169.87701306766928,536.4358974358975,330.0,91.89985737285295,-96.2597151530108,2.820796237547087
event_120D_agree_60D_carry,SI,short_rich,7,1.0,0.8571428571428571,57.46816344735696,80.86994214028364,-39.628408836836755,137.17000828430616,898.1904761904763,861.0,83.93174357577722,-105.74042132726046,1.5458816110108102
event_120D_agree_60D_carry,HG,long_cheap,13,1.0,0.8461538461538461,31.576120485383555,68.56862449998054,-167.09583424726975,173.5312635700032,952.3076923076923,811.0,84.20967812964915,-126.48067672324508,0.8080185519971578
event_120D_agree_60D_carry,PA,long_cheap,8,1.0,0.625,26.655384922854424,51.880417661749206,-367.6026625230994,362.2916264973775,1047.1770833333333,714.7083333333333,163.72628102721114,-214.47469590247925,0.21443198151499793
event_120D_agree_60D_carry,GC,short_rich,8,1.0,0.75,19.880167569658383,30.53877999970254,-34.46075266343904,55.680761133687135,814.6875,700.5,32.35623524742127,-43.6117379847646,1.4474206413198571
event_120D_agree_60D_carry,GC,long_cheap,6,1.0,0.6666666666666666,2.7183742992857702,18.46184108520154,-105.24285843348778,94.93614024614354,1406.3333333333333,1091.5,49.198314536943805,-84.61486010768249,0.07185823207620422
event_120D_agree_60D_carry,HG,short_rich,7,1.0,0.7142857142857143,-3.160493572704778,25.184665290611402,-105.81757107002962,81.32602289504534,869.1428571428571,637.5,44.3663223922179,-78.62960445804804,-0.07029458412743221
event_120D_agree_60D_carry,PL,short_rich,11,1.0,0.6363636363636364,-19.238591290460793,69.10694543125777,-208.99528781729563,182.53624101742633,1136.939393939394,889.8333333333334,87.70028765670277,-181.1096299109856,-0.25497300080830737
event_120D_agree_60D_carry,SI,long_cheap,22,1.0,0.6818181818181818,-20.33640541107444,46.49549558002345,-289.0826657560207,112.26101818770526,888.1136363636365,718.5,57.32661102418619,-134.34589530766195,-0.508631253624833
event_120D_agree_60D_carry,PA,short_rich,12,1.0,0.5,-148.54887980779895,16.99416896736645,-925.4669827468881,303.2843182383792,1373.8541666666667,1284.75,138.55433759526304,-396.52348120520406,-0.9870114203132955
event_120D_carry_tailwind,SI,short_rich,7,1.0,0.8571428571428571,57.46816344735696,80.86994214028364,-39.628408836836755,137.17000828430616,898.1904761904763,861.0,83.93174357577722,-105.74042132726046,1.5458816110108102
event_120D_carry_tailwind,PL,long_cheap,14,1.0,0.7857142857142857,47.22144782311945,74.8691840923542,-123.20490596112036,168.5566104563709,659.1190476190476,426.4583333333333,85.8893120399642,-123.14046351293928,1.3308429758565727
event_120D_carry_tailwind,GC,short_rich,9,1.0,0.7777777777777778,27.719506649881026,38.889588071792076,-34.13879735437288,70.36135259190414,761.9444444444445,515.0,38.80934458567025,-38.78439717856802,1.9211667098607
event_120D_carry_tailwind,PA,long_cheap,8,1.0,0.625,26.655384922854424,51.880417661749206,-367.6026625230994,362.2916264973775,1047.1770833333333,714.7083333333333,163.72628102721114,-214.47469590247925,0.21443198151499793
event_120D_carry_tailwind,HG,long_cheap,15,1.0,0.8,24.59959562675327,47.38920139603399,-167.74034657035347,178.30338434052365,975.6666666666666,811.0,85.05938301075754,-136.33450661086863,0.688860026262352
event_120D_carry_tailwind,GC,long_cheap,7,1.0,0.7142857142857143,10.82758340628223,29.661952239087523,-103.38669884345009,89.11514489645057,1288.7857142857142,1047.0,51.270371143896405,-83.58073554698758,0.32826493499738774
event_120D_carry_tailwind,HG,short_rich,7,1.0,0.7142857142857143,-3.160493572704778,25.184665290611402,-105.81757107002962,81.32602289504534,869.1428571428571,637.5,44.3663223922179,-78.62960445804804,-0.07029458412743221
event_120D_carry_tailwind,PL,short_rich,11,1.0,0.6363636363636364,-19.238591290460793,69.10694543125777,-208.99528781729563,182.53624101742633,1136.939393939394,889.8333333333334,87.70028765670277,-181.1096299109856,-0.25497300080830737
event_120D_carry_tailwind,SI,long_cheap,22,1.0,0.6818181818181818,-21.26728645432186,46.49549558002345,-289.0826657560207,112.26101818770526,894.068181818182,753.0,58.74599070244529,-135.27677635090933,-0.532058861841343
event_120D_carry_tailwind,PA,short_rich,13,1.0,0.46153846153846156,-139.16511124008147,-26.559888427471318,-877.5482865043646,286.1134195517423,1379.7884615384614,1427.0,131.5476760042915,-372.67280784452953,-1.0029127807974891
event_120D_pure,SI,short_rich,13,1.0,0.7692307692307693,37.91478751859599,59.00866666581511,-112.4936297442943,105.58659595927875,863.6217948717949,848.0,65.68680523845669,-121.84734937124767,1.5073062523157745
event_120D_pure,PL,long_cheap,14,1.0,0.7857142857142857,33.38556392618533,74.8691840923542,-129.57285530852374,160.84559319381958,699.0119047619047,454.4583333333333,80.90156944631255,-138.93814466326847,0.8204367037884008
event_120D_pure,GC,short_rich,10,1.0,0.8,28.45323200501885,43.28024919106209,-33.816842045306736,66.90423326542933,790.15,654.0,39.17256962035952,-37.998979172724475,2.255150349865508
event_120D_pure,HG,short_rich,12,1.0,0.75,22.068472218141732,51.193865959083936,-6.091136723330799,80.02365325414206,930.5625,1101.375,65.0828308318356,-81.98443759875504,0.7895701868220353
event_120D_pure,HG,long_cheap,17,1.0,0.7058823529411765,3.9974269502609863,16.850412287699594,-230.8509874981817,171.16938182441956,1114.7107843137255,822.0,68.57520203282891,-145.60740620847503,0.11224606381260341
event_120D_pure,PA,long_cheap,10,1.0,0.6,-8.849616452916985,18.875483161041565,-312.18313082661155,262.8777619405487,1182.1416666666667,1022.25,138.82129808001696,-238.81502277413233,-0.0879987753077524
event_120D_pure,SI,long_cheap,24,1.0,0.7083333333333334,-11.353894388707383,48.85699492020692,-246.67870918794387,114.12616461261341,828.6805555555557,711.5,61.9916096716625,-124.46990992135784,-0.30450484607106715
