strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,mean_mfe_bp,mean_mae_bp,trade_tstat
selected_pre2023_event_120D_agree_60D,SI,short_rich,13,1.0,0.7692307692307693,37.91478751859599,59.00866666581511,-112.4936297442943,105.58659595927875,863.6217948717949,848.0,65.68680523845669,-121.84734937124767,1.5073062523157745
selected_pre2023_event_120D_agree_60D,PL,long_cheap,14,1.0,0.7857142857142857,37.52448895503773,74.8691840923542,-129.57285530852374,160.84559319381958,696.5119047619047,454.4583333333333,83.73334971417508,-134.7992196344161,1.002822371579278
selected_pre2023_event_120D_agree_60D,GC,short_rich,9,1.0,0.7777777777777778,26.3179344155396,38.889588071792076,-34.13879735437288,68.46533061389404,809.7222222222222,694.0,37.40777235132882,-41.11381265086188,1.8930018928543513
selected_pre2023_event_120D_agree_60D,HG,short_rich,12,1.0,0.75,22.068472218141732,51.193865959083936,-6.091136723330799,80.02365325414206,930.5625,1101.375,65.0828308318356,-81.98443759875504,0.7895701868220353
selected_pre2023_event_120D_agree_60D,SI,long_cheap,24,1.0,0.7083333333333334,-10.500586765730587,48.85699492020692,-246.67870918794387,114.12616461261341,823.2222222222223,646.5,60.69051163325833,-123.61660229838105,-0.28161975569162384
selected_pre2023_event_120D_agree_60D_carry,PL,long_cheap,13,1.0,0.8461538461538461,73.30178480438214,78.14774879694555,-40.273189844029204,169.87701306766928,536.4358974358975,330.0,91.89985737285295,-96.2597151530108,2.820796237547087
selected_pre2023_event_120D_agree_60D_carry,SI,short_rich,7,1.0,0.8571428571428571,57.46816344735696,80.86994214028364,-39.628408836836755,137.17000828430616,898.1904761904763,861.0,83.93174357577722,-105.74042132726046,1.5458816110108102
selected_pre2023_event_120D_agree_60D_carry,HG,long_cheap,13,1.0,0.8461538461538461,31.576120485383555,68.56862449998054,-167.09583424726975,173.5312635700032,952.3076923076923,811.0,84.20967812964915,-126.48067672324508,0.8080185519971578
selected_pre2023_event_120D_agree_60D_carry,GC,short_rich,8,1.0,0.75,19.880167569658383,30.53877999970254,-34.46075266343904,55.680761133687135,814.6875,700.5,32.35623524742127,-43.6117379847646,1.4474206413198571
selected_pre2023_event_120D_carry_tailwind,SI,short_rich,7,1.0,0.8571428571428571,57.46816344735696,80.86994214028364,-39.628408836836755,137.17000828430616,898.1904761904763,861.0,83.93174357577722,-105.74042132726046,1.5458816110108102
selected_pre2023_event_120D_carry_tailwind,PL,long_cheap,14,1.0,0.7857142857142857,47.22144782311945,74.8691840923542,-123.20490596112036,168.5566104563709,659.1190476190476,426.4583333333333,85.8893120399642,-123.14046351293928,1.3308429758565727
selected_pre2023_event_120D_carry_tailwind,GC,short_rich,9,1.0,0.7777777777777778,27.719506649881026,38.889588071792076,-34.13879735437288,70.36135259190414,761.9444444444445,515.0,38.80934458567025,-38.78439717856802,1.9211667098607
selected_pre2023_event_120D_carry_tailwind,HG,long_cheap,15,1.0,0.8,24.59959562675327,47.38920139603399,-167.74034657035347,178.30338434052365,975.6666666666666,811.0,85.05938301075754,-136.33450661086863,0.688860026262352
selected_pre2023_event_120D_pure,SI,short_rich,13,1.0,0.7692307692307693,37.91478751859599,59.00866666581511,-112.4936297442943,105.58659595927875,863.6217948717949,848.0,65.68680523845669,-121.84734937124767,1.5073062523157745
selected_pre2023_event_120D_pure,PL,long_cheap,14,1.0,0.7857142857142857,33.38556392618533,74.8691840923542,-129.57285530852374,160.84559319381958,699.0119047619047,454.4583333333333,80.90156944631255,-138.93814466326847,0.8204367037884008
selected_pre2023_event_120D_pure,GC,short_rich,10,1.0,0.8,28.45323200501885,43.28024919106209,-33.816842045306736,66.90423326542933,790.15,654.0,39.17256962035952,-37.998979172724475,2.255150349865508
selected_pre2023_event_120D_pure,HG,short_rich,12,1.0,0.75,22.068472218141732,51.193865959083936,-6.091136723330799,80.02365325414206,930.5625,1101.375,65.0828308318356,-81.98443759875504,0.7895701868220353
selected_pre2023_event_120D_pure,SI,long_cheap,24,1.0,0.7083333333333334,-11.353894388707383,48.85699492020692,-246.67870918794387,114.12616461261341,828.6805555555557,711.5,61.9916096716625,-124.46990992135784,-0.30450484607106715
selected_pre2023_event_20D_agree_60D_carry,PA,long_cheap,45,1.0,0.6888888888888889,30.8411361966765,27.048825361657165,-25.4125401803555,83.36081487488359,156.82962962962964,161.0,49.99399066957535,-60.71024978676005,3.531734572370795
selected_pre2023_event_20D_agree_60D_carry,HG,long_cheap,45,1.0,0.7555555555555555,19.711279481820693,24.05838428804378,-33.34711159759824,48.39315415324916,146.9,154.0,37.26514658517396,-46.00683369319335,2.893333253628102
selected_pre2023_event_20D_agree_60D_carry,HG,short_rich,31,1.0,0.7096774193548387,5.587312915532373,12.862075728619919,-34.719169157356774,55.43971824793546,171.28494623655916,144.0,26.1731987703111,-41.13127657916672,0.5394221545979507
selected_pre2023_event_20D_agree_60D_carry,SI,short_rich,23,1.0,0.6521739130434783,-0.052064450953665804,17.32079468665365,-111.57626161815404,69.56519264828647,224.6231884057971,168.0,33.05775215875939,-62.95302959136345,-0.003484408230102434
selected_pre2023_event_20D_pure,PA,long_cheap,87,1.0,0.7126436781609196,15.963378586656395,27.048825361657165,-67.04401788383939,76.59812949338485,162.4750957854406,141.0,41.01225701749597,-62.78905091391625,2.2553619808087237
selected_pre2023_event_20D_pure,HG,short_rich,74,1.0,0.7162162162162162,6.3520566499621784,16.411026332997235,-62.63870902762562,54.654223551489224,154.75563063063063,139.0,28.594287376303217,-48.510226313160416,0.9681265530868957
selected_pre2023_event_20D_pure,GC,long_cheap,88,1.0,0.7045454545454546,1.6522157876141395,11.977248515589359,-45.282378686712256,23.184713240636494,181.07765151515153,163.0,16.167733625851564,-24.25723269496333,0.5529181264888344
selected_pre2023_event_20D_pure,SI,short_rich,71,1.0,0.6619718309859155,-0.0930828359069525,15.45377785453576,-86.03418386299008,39.34756562950127,203.82042253521126,169.0,24.543948803594663,-54.461910490766144,-0.015584212739791723
selected_pre2023_event_252D_pure,HG,long_cheap,14,1.0,0.8571428571428571,85.16605021365012,79.03155117940759,-1.6926123501935617,199.0876296556341,1340.1309523809525,1174.0,116.50756820633065,-125.1873520052252,3.937105895921955
selected_pre2023_event_60D_agree_120D,SI,short_rich,20,1.0,0.75,34.00306161709166,41.85370006451342,-27.55393274542622,98.5109333999595,451.2041666666667,475.5,58.696202939093666,-69.99210614073937,2.229237285704217
selected_pre2023_event_60D_agree_120D,HG,short_rich,27,1.0,0.7777777777777778,17.52203484764605,27.322689427412215,-86.12213146076493,75.01793597211949,377.01234567901236,264.0,41.30498483070052,-58.34945998829303,1.4104345563586673
selected_pre2023_event_60D_agree_120D,GC,short_rich,29,1.0,0.7931034482758621,14.091394540176426,23.670307608985343,-31.44928513151391,48.54111758149676,418.38505747126436,355.0,30.820444848870892,-34.06821594122143,1.6484528110090653
selected_pre2023_event_60D_agree_120D,PL,long_cheap,22,1.0,0.7727272727272727,5.69766739105983,43.15185301077226,-65.80892514381763,80.90908351286937,472.00378787878793,369.5,52.066965557364476,-115.05309358145054,0.1937530929443103
selected_pre2023_event_60D_pure,SI,short_rich,24,1.0,0.75,29.443562928283104,38.832182463798155,-20.005692849948172,93.5818623893523,405.3368055555555,330.5,52.53639968626618,-66.56803028640628,2.2535709389798027
selected_pre2023_event_60D_pure,GC,short_rich,37,1.0,0.8378378378378378,11.1235687711443,20.02295982573986,-31.7203519971439,43.65230632752156,361.8828828828829,195.0,25.236550492843058,-33.60032618153493,1.6665040193099796
selected_pre2023_event_60D_pure,HG,short_rich,30,1.0,0.7333333333333333,9.952859972521127,22.381554843778915,-85.43922735254682,68.32888438805274,398.6777777777778,280.5,36.26157779537257,-68.13319754552062,0.781431514187444
