strategy,split,cost_bps,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,avg_exec_gross,avg_leg_gross,annual_turnover
event_120D_agree_60D_carry,2021_2022,1.0,11820,1.9874515172256446,0.8688663282571912,-0.004238902549344753,0.0034565201951200844,0.007695422744464829,-0.002130560312388913,-0.002132833184913104,0.048052682648112174,-0.044385309359973805,-0.0625730785890271,-0.1022782780231124,0.47127555988315484,-0.003737977165866343,0.8688663282571912,0.7184931560826611,38.72005267935868
event_20D_agree_60D_carry,2021_2022,1.0,11820,1.9874515172256446,0.6104060913705583,-0.004850315625979866,0.010609718375639982,0.015460034001619822,-0.0024374943846662382,-0.0024404699103053326,0.04874580185141051,-0.05006523264802372,-0.07058046417240431,-0.08593654923872285,0.47345807345807345,-0.0021487396063476273,0.6104060913705583,0.5292135799427042,77.78823215371332
event_120D_carry_tailwind,2021_2022,1.0,11820,1.9874515172256446,0.8688663282571912,-0.006960623924000792,0.0006585812701866353,0.007619205194187416,-0.003496160300156798,-0.0035022861507169635,0.04792690340114837,-0.07307557764378839,-0.10301975876204683,-0.1022596096531726,0.4707887049659202,-0.006388144035054301,0.8688663282571912,0.7146997359523263,38.33655879476919
xs_120D_paired_extremes,2021_2022,1.0,11820,1.9874515172256446,0.13781725888324872,-0.005168745018420127,0.005939472867767602,0.011108217886187722,-0.002597311001070628,-0.0026006898651974994,0.025857602321053774,-0.1005773788654784,-0.1417909736977813,-0.03333477736336021,0.4622467771639042,-0.004987780113855038,0.13781725888324872,0.11521678120977248,55.89176787413705
event_252D_pure,2021_2022,1.0,11820,1.9874515172256446,0.9959390862944163,-0.06410644947068256,-0.05831991635635095,0.005786533114331624,-0.03174094061827711,-0.03225560418206884,0.06740128012309309,-0.4785607057189615,-0.6746605370194159,-0.1042051301951753,0.49133537206931704,-0.054371771551718115,0.9959390862944163,0.779255700113029,29.115342257049146
xs_multi_window_demeaned,2021_2022,1.0,11820,1.9874515172256446,0.2529610829103215,-0.02786995214086068,-0.01279549736444005,0.015074454776420653,-0.01392509578707311,-0.014022959503316767,0.023981048043541234,-0.5847517371991396,-0.8243654698918939,-0.05187750820065873,0.4802675585284281,-0.07607014245997529,0.2529610829103215,0.16147365908343556,75.84816356911
event_120D_agree_60D,2021_2022,1.0,11820,1.9874515172256446,0.8949238578680203,-0.06412073739915383,-0.057050405343928336,0.007070332055225481,-0.031747901475603205,-0.03226279325226624,0.046361264098191086,-0.695899774948653,-0.9810586416057824,-0.09170218602679614,0.4775004726791454,-0.060238927395683324,0.8949238578680203,0.6943349335354434,35.57486557003017
xs_120D_demeaned,2021_2022,1.0,11820,1.9874515172256446,0.3062605752961083,-0.03478818438194241,-0.019887648633662214,0.014900535748280196,-0.017351612378888534,-0.01750391598508249,0.024958629576356833,-0.7013171909752549,-0.9886959523211992,-0.05100986681384012,0.48839779005524864,-0.08307000846605182,0.3062605752961083,0.20206326118629966,74.97307792987267
event_120D_pure,2021_2022,1.0,11820,1.9874515172256446,0.8949238578680203,-0.0662957088729596,-0.059301254740015845,0.00699445413294373,-0.0328069304815964,-0.033357145217561925,0.04621915957455658,-0.7217168274934378,-1.01745474836084,-0.09118653986842729,0.4771223293628285,-0.062295054710682154,0.8949238578680203,0.6905000909905914,35.19308054723036
xs_120D_paired_spread,2021_2022,1.0,11820,1.9874515172256446,0.3062605752961083,-0.051902830721427935,-0.031970590912342535,0.01993223980908541,-0.025777214414989744,-0.026115268861441696,0.03544809103308786,-0.7367186243418652,-1.038603831846102,-0.07740787870078225,0.48480662983425415,-0.1280430921559195,0.3062605752961083,0.2411232572280118,100.2904455093805
event_20D_pure,2021_2022,1.0,11820,1.9874515172256446,0.8856175972927242,-0.07926867440164581,-0.05706315797155662,0.02220551643008916,-0.03909966272538281,-0.03988458270031151,0.04763834101626986,-0.8372370206319691,-1.180311653677252,-0.10631996812495503,0.48012991975544517,-0.07281618296330547,0.8856175972927242,0.714329050724367,111.72859432106621
event_60D_agree_120D,2021_2022,1.0,11820,1.9874515172256446,0.8499153976311337,-0.10544271094345486,-0.09560686834294896,0.009835842600505913,-0.051671417264985295,-0.0530542305206248,0.049406055976159526,-1.0738406349664031,-1.513868336455437,-0.11565482318840392,0.47591081027274534,-0.10359511398771806,0.8499153976311337,0.6794506624126571,49.48972347378879
event_60D_pure,2021_2022,1.0,11820,1.9874515172256446,0.8790186125211505,-0.11487074834702192,-0.10428361839461661,0.010587129952405315,-0.056159428155966,-0.057798012857880506,0.04903290421886119,-1.1787597283631366,-1.6617801291469987,-0.11797674772788247,0.47795957651588067,-0.10941186026604241,0.8790186125211505,0.6928517678880601,53.26987783422397
event_120D_agree_60D_carry,2023_2024,1.0,11824,1.9956365503080082,0.5817828146143437,0.05777419257508736,0.06356397245193834,0.0057897798768509895,0.02937338988837899,0.028950257784249565,0.03105014673964235,0.9323710456829559,1.3171326121696512,-0.04308756393134361,0.475650530600378,0.08529465412863405,0.5817828146143437,0.5345982437197754,29.0121960131337
event_120D_carry_tailwind,2023_2024,1.0,11824,1.9956365503080082,0.5870263870094723,0.041908102091553684,0.047494599842636216,0.005586497751082534,0.021221915791847464,0.020999866977323877,0.03060160224433922,0.6862342307977843,0.9694225160208019,-0.04308756393134361,0.4721221725976084,0.061530185984085425,0.5870263870094723,0.5339794726367555,27.99356300735376
xs_120D_paired_extremes,2023_2024,1.0,11824,1.9956365503080082,0.12110960757780785,0.010831174820346512,0.022143933897568177,0.011312759077221665,0.005442183738481746,0.0054274285659254035,0.013264614977616801,0.4091659332052868,0.5780164419614217,-0.0188740541720519,0.5083798882681564,0.11114460928234306,0.12110960757780785,0.10322973435856393,56.68747185190432
event_60D_agree_120D,2023_2024,1.0,11824,1.9956365503080082,0.8762686062246279,-0.0047017054608962435,0.0049572099706558966,0.009658915431552133,-0.0023532196857158553,-0.0023559928586047284,0.03093827227626011,-0.076151403593812,-0.10757680389188057,-0.036229636960100065,0.48267541743074993,-0.0032831825701150896,0.8762686062246279,0.7406950208442774,48.40017301778407
