strategy,split,cost_bps,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,avg_exec_gross,avg_leg_gross,annual_turnover
xs_120D_paired_extremes,full,0.0,58691,9.944558521560575,0.13141708268729446,0.009321156965401436,0.009321156965401436,0.0,0.0009377517089241529,0.0009373122944766673,0.02388941370238641,0.039235466644501005,0.12372902086903491,-0.07220634911881973,0.48515493322961234,0.012084995417349193,0.13141708268729446,0.10490541790124314,52.773492451636486
event_120D_carry_tailwind,full,0.0,58691,9.944558521560575,0.7009933379904926,0.004233953576697966,0.004233953576697966,0.0,0.00042584645769970687,0.00042575581083045827,0.03838312963609923,0.0110922640979759,0.03497944827567531,-0.17107607169507955,0.48687472655680325,0.001029107378517818,0.7009933379904926,0.6083121484153249,34.192408288519694
event_120D_agree_60D_carry,full,0.0,58691,9.944558521560575,0.6881293554378014,-0.028970754787763495,-0.028970754787763495,0.0,-0.002908987511474033,-0.0029132268390751233,0.04146131671340936,-0.07026373183495477,-0.22157663680449283,-0.2003385955649254,0.4875578775348503,-0.007173287143824386,0.6881293554378014,0.5999188086321624,33.31955574395741
xs_120D_demeaned,full,0.0,58691,9.944558521560575,0.3134552145984904,-0.027717536961971847,-0.027717536961971847,0.0,-0.0027833257269696448,-0.0027872063804419344,0.024339291870714683,-0.11451468659182863,-0.36112199647094473,-0.08825978207386986,0.4906234712181334,-0.015066335251384398,0.3134552145984904,0.2168172470137034,84.20232644291698
event_20D_agree_60D_carry,full,0.0,58691,9.944558521560575,0.5395205397761156,-0.04407088994337631,-0.04407088994337631,0.0,-0.004421853455964112,-0.0044316587657287345,0.037180799388267495,-0.11919213246198135,-0.3758723192573571,-0.1542757694676955,0.4910468972051161,-0.013917855658732449,0.5395205397761156,0.48662403554429445,68.97114355397386
xs_120D_paired_spread,full,0.0,58691,9.944558521560575,0.3134552145984904,-0.061122311309779735,-0.061122311309779735,0.0,-0.006127457259589275,-0.006146307166603909,0.03243777639784918,-0.18947991660154134,-0.5975248049902039,-0.116355510771602,0.4869815730825678,-0.03322406441799194,0.3134552145984904,0.2470717422445753,94.88583221144862
event_252D_pure,full,0.0,58691,9.944558521560575,0.8020820909509124,-0.12110853396712515,-0.12110853396712515,0.0,-0.012104515839018913,-0.012178372092089603,0.04393094357946534,-0.27721626488765305,-0.8742013274443257,-0.23042186990418279,0.48499203398831653,-0.025726719908045693,0.8020820909509124,0.6596052502172907,26.479244705256104
event_120D_pure,full,0.0,58691,9.944558521560575,0.846773781329335,-0.1102217594698113,-0.1102217594698113,0.0,-0.011022428133733188,-0.01108362520375761,0.03855331314080412,-0.28748826756543794,-0.9065940818163337,-0.1832656556598331,0.4837015574067367,-0.02217830887959503,0.846773781329335,0.691846346732585,37.09006893986508
xs_multi_window_demeaned,full,0.0,58691,9.944558521560575,0.24134875875347156,-0.06975751742249299,-0.06975751742249299,0.0,-0.006990096778848183,-0.007014641954316351,0.0237075324634027,-0.29588241480402266,-0.9330650201709347,-0.11965004705445548,0.4825979527003177,-0.049246394226962975,0.24134875875347156,0.16400253460848532,77.53588465723138
event_120D_agree_60D,full,0.0,58691,9.944558521560575,0.8443543303061798,-0.1306465689773849,-0.1306465689773849,0.0,-0.013051572909501727,-0.01313749310179361,0.038812490296814516,-0.3384862192898726,-1.0674160924314404,-0.18893325728518506,0.48363467592218906,-0.02636342097372364,0.8443543303061798,0.6900332932869357,36.9595207134126
event_60D_agree_120D,full,0.0,58691,9.944558521560575,0.8139748854168442,-0.19101564326617607,-0.19101564326617607,0.0,-0.01902475739610664,-0.019208056632382356,0.03992475301622468,-0.4811064610613009,-1.5171689405464008,-0.25257063787310985,0.4865091160278819,-0.03998401675971281,0.8139748854168442,0.6826800575019043,49.83649801873833
event_20D_pure,full,0.0,58691,9.944558521560575,0.8192397471503297,-0.1879889502299409,-0.1879889502299409,0.0,-0.018726145566399014,-0.01890369993020467,0.03878514464770745,-0.4873953701065299,-1.5370010115027855,-0.23720461476042998,0.4845264340085687,-0.03909757294412478,0.8192397471503297,0.6755126828150865,112.41095143754903
event_60D_pure,full,0.0,58691,9.944558521560575,0.8489546949276721,-0.26546295848016865,-0.26546295848016865,0.0,-0.026341149598306027,-0.026694292954747498,0.04084246563387328,-0.6535916120746688,-2.0611007623009083,-0.3107616205207149,0.4854493637859752,-0.05327799913301663,0.8489546949276721,0.7002865059751908,52.92899595691978
event_120D_carry_tailwind,full,0.25,58691,9.944558521560575,0.7009933379904926,-0.004266756553758966,0.004233953576697966,0.008500710130456925,-0.0004289623657075331,-0.00042905439638253487,0.03838054565170876,-0.011178955095533738,-0.035252828285225794,-0.17264860832349005,0.48271838996645766,-0.0008496410854199888,0.7009933379904926,0.6083121484153249,34.192408288519694
xs_120D_paired_extremes,full,0.25,58691,9.944558521560575,0.13141708268729446,-0.0037990701364094166,0.009321156965401436,0.013120227101810857,-0.0003819520545489412,-0.00038202501681424447,0.023867516008294017,-0.0160060651758436,-0.0504751170698934,-0.07355061579455113,0.48463632827693504,0.002462549951290938,0.13141708268729446,0.10490541790124314,52.773492451636486
event_120D_agree_60D_carry,full,0.25,58691,9.944558521560575,0.6881293554378014,-0.037254461587968135,-0.028970754787763495,0.008283706800204606,-0.0037392074207970158,-0.003746215732674062,0.041458817170830435,-0.09035992795544157,-0.2849499793904009,-0.20183616267981108,0.4834476440438755,-0.009026286079175994,0.6881293554378014,0.5999188086321624,33.31955574395741
event_20D_agree_60D_carry,full,0.25,58691,9.944558521560575,0.5395205397761156,-0.061218079277662554,-0.04407088994337631,0.017147189334286217,-0.0061370283929122575,-0.006155937354578085,0.037166065094729986,-0.16563328237432848,-0.5223244580518402,-0.15904633671228274,0.48776251381651664,-0.017967181202483036,0.5395205397761156,0.48662403554429445,68.97114355397386
xs_120D_demeaned,full,0.25,58691,9.944558521560575,0.3134552145984904,-0.04865141103605024,-0.027717536961971847,0.020933874074078387,-0.00488031690694644,-0.004892264541514859,0.024325441459724203,-0.20111719450662446,-0.634222953984402,-0.09014559037403924,0.4894276240691417,-0.022744149276088216,0.3134552145984904,0.2168172470137034,84.20232644291698
xs_120D_paired_spread,full,0.25,58691,9.944558521560575,0.3134552145984904,-0.08471225409212294,-0.061122311309779735,0.023589942782343207,-0.008482273754577226,-0.008518452971890123,0.03241305645319472,-0.2628093090878667,-0.828769000846501,-0.12191539817174657,0.4864380061966625,-0.04179456730988847,0.3134552145984904,0.2470717422445753,94.88583221144862
event_252D_pure,full,0.25,58691,9.944558521560575,0.8020820909509124,-0.12769164393157864,-0.12110853396712515,0.006583109964453558,-0.012758267586196814,-0.012840353209721,0.043929759125993284,-0.29229282074809626,-0.9217452374375916,-0.23292279127954463,0.48322889006903874,-0.027052006013770478,0.8020820909509124,0.6596052502172907,26.479244705256104
event_120D_pure,full,0.25,58691,9.944558521560575,0.846773781329335,-0.11944286849834145,-0.1102217594698113,0.009221109028530112,-0.011939034263764274,-0.01201087692725424,0.03855070144458781,-0.311560528788782,-0.9825059433536153,-0.1869839951342972,0.48179001167048974,-0.023907977886100336,0.846773781329335,0.691846346732585,37.09006893986508
event_120D_agree_60D,full,0.25,58691,9.944558521560575,0.8443543303061798,-0.139835221893969,-0.1306465689773849,0.009188652916584047,-0.013963080254572014,-0.014061481119628929,0.03881003647212177,-0.36231558632338945,-1.142561987284691,-0.19399588398254863,0.48173783194769554,-0.028091496871008346,0.8443543303061798,0.6900332932869357,36.9595207134126
xs_multi_window_demeaned,full,0.25,58691,9.944558521560575,0.24134875875347156,-0.08903402098486324,-0.06975751742249299,0.019276503562370206,-0.008913079957199968,-0.00895303907074714,0.023695077926101385,-0.37784383316523695,-1.1915303045207943,-0.12419710370491255,0.4812566184256971,-0.05819722380336224,0.24134875875347156,0.16400253460848532,77.53588465723138
event_60D_agree_120D,full,0.25,58691,9.944558521560575,0.8139748854168442,-0.20340569254260055,-0.19101564326617607,0.012390049276424524,-0.02024620559770288,-0.02045396908285081,0.03991865294450716,-0.5123912650881496,-1.6158255515507751,-0.2574112157308963,0.4848763946162058,-0.04223510564762889,0.8139748854168442,0.6826800575019043,49.83649801873833
event_20D_pure,full,0.25,58691,9.944558521560575,0.8192397471503297,-0.21593588235581612,-0.1879889502299409,0.027946932125875255,-0.021479922510400734,-0.021713973716143392,0.03877045496173876,-0.560064970544508,-1.7661645535246617,-0.25297489080435254,0.4823426646146167,-0.04397983398336467,0.8192397471503297,0.6755126828150865,112.41095143754903
event_60D_pure,full,0.25,58691,9.944558521560575,0.8489546949276721,-0.2786218459246944,-0.26546295848016865,0.013158887444525797,-0.027628667206673556,-0.02801751785367049,0.04083692760893757,-0.6860829032480538,-2.163562029808659,-0.3176619708970019,0.48394412555693817,-0.05562425415680559,0.8489546949276721,0.7002865059751908,52.92899595691978
event_120D_carry_tailwind,full,0.5,58691,9.944558521560575,0.7009933379904926,-0.012767466684215939,0.004233953576697966,0.01700142026091385,-0.001283040802022958,-0.001283864603595532,0.038378158312013376,-0.033453001917334024,-0.1054940217702699,-0.17421816172103577,0.48011764133975016,-0.0027283895493578126,0.7009933379904926,0.6083121484153249,34.192408288519694
xs_120D_paired_extremes,full,0.5,58691,9.944558521560575,0.13141708268729446,-0.016919297238220277,0.009321156965401436,0.026240454203621713,-0.0016999158316738823,-0.0017013623281051569,0.02384663021827459,-0.07134602719680441,-0.22498965458827705,-0.07489293478192105,0.4839880720860884,-0.007159895514767323,0.13141708268729446,0.10490541790124314,52.773492451636486
event_120D_agree_60D_carry,full,0.5,58691,9.944558521560575,0.6881293554378014,-0.045538168388172776,-0.028970754787763495,0.01656741360040921,-0.004568736054108879,-0.004579204626273,0.04145650143802768,-0.1104580576611932,-0.3483294195362985,-0.20333092522359741,0.4810706415430708,-0.010879285014527632,0.6881293554378014,0.5999188086321624,33.31955574395741
event_20D_agree_60D_carry,full,0.5,58691,9.944558521560575,0.5395205397761156,-0.07836526861194879,-0.04407088994337631,0.034294378668572434,-0.007849248438700376,-0.007880215943427433,0.037152122833510284,-0.21210674767471632,-0.6688785034034064,-0.16378999410728434,0.4852360650560556,-0.02201650674623363,0.5395205397761156,0.48662403554429445,68.97114355397386
xs_120D_demeaned,full,0.5,58691,9.944558521560575,0.3134552145984904,-0.06958528511012863,-0.027717536961971847,0.041867748148156775,-0.006972898441434599,-0.006997322702587784,0.02431256451527253,-0.2878068538673592,-0.9075987435311071,-0.10316763246697602,0.4880143501657879,-0.030421963300792016,0.3134552145984904,0.2168172470137034,84.20232644291698
event_252D_pure,full,0.5,58691,9.944558521560575,0.8020820909509124,-0.13427475389603222,-0.12110853396712515,0.013166219928907116,-0.013411586705274087,-0.013502334327352403,0.04392866204185424,-0.30736957830601996,-0.9692897834837433,-0.23541558533491103,0.48184811471056826,-0.028377292119495242,0.8020820909509124,0.6596052502172907,26.479244705256104
event_120D_pure,full,0.5,58691,9.944558521560575,0.846773781329335,-0.12866397752687164,-0.1102217594698113,0.018442218057060224,-0.01285479086310679,-0.012938128650750875,0.03854828654946349,-0.33563433835507134,-1.05842268758946,-0.1906854061563934,0.4803815042858868,-0.025637646892605642,0.846773781329335,0.691846346732585,37.09006893986508
xs_120D_paired_spread,full,0.5,58691,9.944558521560575,0.3134552145984904,-0.10830219687446614,-0.061122311309779735,0.047179885564686413,-0.010831510901624063,-0.010890598777176339,0.0323896601479812,-0.3362368955839487,-1.0603228514545175,-0.13491399610509802,0.48600315268793826,-0.050365070201784976,0.3134552145984904,0.2470717422445753,94.88583221144862
event_120D_agree_60D,full,0.5,58691,9.944558521560575,0.8443543303061798,-0.1490238748105531,-0.1306465689773849,0.018377305833168094,-0.01487374576675893,-0.01498546913746425,0.03880777742986374,-0.38614602870641296,-1.2177112732519753,-0.19902691008809326,0.4803252885624344,-0.02981957276829305,0.8443543303061798,0.6900332932869357,36.9595207134126
xs_multi_window_demeaned,full,0.5,58691,9.944558521560575,0.24134875875347156,-0.10831052454723343,-0.06975751742249299,0.03855300712474041,-0.010832339240863256,-0.010891436187177923,0.023683601448689064,-0.4598724653754375,-1.4502075477036984,-0.12893181788256458,0.4803388633956936,-0.06714805337976151,0.24134875875347156,0.16400253460848532,77.53588465723138
event_60D_agree_120D,full,0.5,58691,9.944558521560575,0.8139748854168442,-0.21579574181902517,-0.19101564326617607,0.024780098552849048,-0.02146613292940926,-0.021699881533319275,0.03991292401170893,-0.543680576420644,-1.7144963763408385,-0.26326868164756856,0.48362045506876267,-0.044486194535544976,0.8139748854168442,0.6826800575019043,49.83649801873833
event_20D_pure,full,0.5,58691,9.944558521560575,0.8192397471503297,-0.24388281448169136,-0.1879889502299409,0.05589386425175051,-0.02422597145123285,-0.024524247502082118,0.03875685051307426,-0.6327719403775881,-1.9954459399119002,-0.2684191271116493,0.4806788403144628,-0.04886209502260456,0.8192397471503297,0.6755126828150865,112.41095143754903
event_60D_pure,full,0.5,58691,9.944558521560575,0.8489546949276721,-0.29178073336922034,-0.26546295848016865,0.026317774889051595,-0.028914482266359728,-0.029340742752593497,0.04083176286417512,-0.7185764388913125,-2.2660303752508293,-0.32449323801162655,0.48290049371813915,-0.05797050918059458,0.8489546949276721,0.7002865059751908,52.92899595691978
event_120D_carry_tailwind,full,1.0,58691,9.944558521560575,0.7009933379904926,-0.02976888694512972,0.004233953576697966,0.0340028405218277,-0.0029890090091473772,-0.0029934850180215102,0.038373973710489846,-0.0780082104763421,-0.2459988456218896,-0.1773483414505308,0.47559671382042684,-0.00648588647723343,0.7009933379904926,0.6083121484153249,34.192408288519694
event_120D_agree_60D_carry,full,1.0,58691,9.944558521560575,0.6881293554378014,-0.06210558198858193,-0.028970754787763495,0.03313482720081842,-0.00622572179456189,-0.006245182413470865,0.04145242152252753,-0.15065904919636333,-0.47510322257727977,-0.2063120575970988,0.47676232451036227,-0.01458528288523088,0.6881293554378014,0.5999188086321624,33.31955574395741
xs_120D_paired_extremes,full,1.0,58691,9.944558521560575,0.13141708268729446,-0.04315975144184197,0.009321156965401436,0.052480908407243426,-0.004330632600315472,-0.004340036950686979,0.023807904873900502,-0.18229394705977509,-0.5748638542882945,-0.07757174097539765,0.4823026059898872,-0.026404786446883845,0.13141708268729446,0.10490541790124314,52.773492451636486
event_20D_agree_60D_carry,full,1.0,58691,9.944558521560575,0.5395205397761156,-0.11265964728052118,-0.04407088994337631,0.06858875733714487,-0.011264844210688123,-0.011328773121126123,0.03712661792654355,-0.3051388398356279,-0.9622551510360831,-0.17319718566537368,0.48075161850623715,-0.030115157833734786,0.5395205397761156,0.48662403554429445,68.97114355397386
event_252D_pure,full,1.0,58691,9.944558521560575,0.8020820909509124,-0.14744097382493931,-0.12110853396712515,0.026332439857814232,-0.014716928204124713,-0.014826296562615207,0.043926730007238825,-0.3375233385269501,-1.06437964851478,-0.2403768970462129,0.4793627190653213,-0.031027864330944788,0.8020820909509124,0.6596052502172907,26.479244705256104
event_120D_pure,full,1.0,58691,9.944558521560575,0.846773781329335,-0.1471061955839318,-0.1102217594698113,0.03688443611412045,-0.014683758618451122,-0.014792632097744122,0.0385440473074381,-0.383785127175513,-1.2102661716699505,-0.19803775077267416,0.47794679866393014,-0.02909698490561628,0.846773781329335,0.691846346732585,37.09006893986508
event_120D_agree_60D,full,1.0,58691,9.944558521560575,0.8443543303061798,-0.16740118064372111,-0.1306465689773849,0.03675461166633619,-0.016692554401701566,-0.01683344517313487,0.03880384382579433,-0.4338087033002917,-1.3680154894075536,-0.20899494828798248,0.4778836064250545,-0.03327572456286244,0.8443543303061798,0.6900332932869357,36.9595207134126
xs_120D_demeaned,full,1.0,58691,9.944558521560575,0.3134552145984904,-0.1114530332582854,-0.027717536961971847,0.08373549629631355,-0.011144869645633408,-0.011207439024733635,0.024289737101819232,-0.4614063535456804,-1.4550446631417875,-0.13033117794480698,0.48567701255639506,-0.04577759135019964,0.3134552145984904,0.2168172470137034,84.20232644291698
xs_120D_paired_spread,full,1.0,58691,9.944558521560575,0.3134552145984904,-0.1554820824391525,-0.061122311309779735,0.09435977112937283,-0.015513299997939408,-0.015634890387748766,0.03234684978196496,-0.48335125346475083,-1.524247892063651,-0.16783980872797277,0.4841006685872697,-0.06750607598557802,0.3134552145984904,0.2470717422445753,94.88583221144862
event_60D_agree_120D,full,1.0,58691,9.944558521560575,0.8139748854168442,-0.24057584037187413,-0.19101564326617607,0.049560197105698096,-0.02390143255555769,-0.024191706434256183,0.03990258019194059,-0.6062692266487157,-1.9118696478352193,-0.27786635874852306,0.4811713729512486,-0.04898837231137712,0.8139748854168442,0.6826800575019043,49.83649801873833
