strategy,split,cost_multiplier,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,realized_avg_cost_bps,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,avg_exec_gross,avg_leg_gross,annual_turnover
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,full,0.0,704270,9.944558521560575,0.047845286608829,0.23938297938569375,0.23938297938569375,0.0,0.0,0.02436381879575767,0.02407175530886493,0.029300769845046037,0.8215400290219613,2.590725995859978,-0.05137344545209199,0.5083392687559354,0.0710419573200658,0.047845286608829,0.04680747024729885,103.17750792266976
wf_event_20D_agree_60D_carry_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,full,0.0,704270,9.944558521560575,0.0466184843880898,0.22330999351077044,0.22330999351077044,0.0,0.0,0.022709518426356278,0.022455495940480116,0.02906428736383444,0.772614709570418,2.4364400298921782,-0.05137344545209199,0.5080713937621832,0.06801595806249099,0.0466184843880898,0.045790044120839445,102.14672932912808
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,full,0.0,704270,9.944558521560575,0.03114714527098982,0.1854111581051128,0.1854111581051128,0.0,0.0,0.0188193772109446,0.018644483583974795,0.024773250738178355,0.7526054525917165,2.3733408498384954,-0.03811900121234446,0.5077042304886944,0.08452368622589021,0.03114714527098982,0.03077779467622805,67.70591597259774
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,full,0.0,704270,9.944558521560575,0.0415053885583654,0.21186098049202462,0.21186098049202462,0.0,0.0,0.021532766642989223,0.02130421174883667,0.02855495349704329,0.7460776201594097,2.3527553341222025,-0.042511346391545635,0.5068933666313161,0.07247818428792191,0.0415053885583654,0.04075497984544835,114.09993278181666
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,full,0.0,704270,9.944558521560575,0.023569085719965355,0.14292751832912132,0.14292751832912132,0.0,0.0,0.014476214770620697,0.01437243473596574,0.019738390131568355,0.7281462490185235,2.29620876582971,-0.03365874182874584,0.50852460991626,0.08610610177066166,0.023569085719965355,0.023394469836202202,70.82240561723117
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,full,0.0,704270,9.944558521560575,0.05784713249180002,0.22699854491756502,0.22699854491756502,0.0,0.0,0.02308892353610781,0.02282640746951356,0.0319444996973882,0.7145645630937792,2.253378927294964,-0.06480336293853417,0.5074619538537064,0.05571883773136108,0.05784713249180002,0.05657611592748184,141.1615562134195
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,full,0.0,704270,9.944558521560575,0.05627955187641104,0.21911201214838208,0.21911201214838208,0.0,0.0,0.022277884439917673,0.022033357405794356,0.03180515949695812,0.6927604751644667,2.1846197488995602,-0.0648033629385335,0.5069633666363912,0.055281060689368784,0.05627955187641104,0.055199176181502316,137.8785051375211
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,full,0.0,704270,9.944558521560575,0.030952617604043903,0.15311003565290002,0.15311003565290002,0.0,0.0,0.015515497908766693,0.015396363279570991,0.02398187820126072,0.6419998946855466,2.0245462883668592,-0.03214444443530351,0.5095646589293087,0.07023718319780724,0.030952617604043903,0.03048994603273998,64.1063880900994
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,full,0.0,704270,9.944558521560575,0.03631845740980022,0.16068300163989144,0.16068300163989144,0.0,0.0,0.01628912634761422,0.016157881849809444,0.02575259649798476,0.6274272907228543,1.9785915903852345,-0.05933227767640403,0.5074673547579952,0.06282078412694168,0.03631845740980022,0.03571423758264743,87.46754071426669
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,full,0.0,704270,9.944558521560575,0.04148976954861062,0.17038534722013815,0.17038534722013815,0.0,0.0,0.017281146251696234,0.017133525520587917,0.02737793088720549,0.6258152082849663,1.9735078893703522,-0.05582405026169579,0.5074264202600959,0.058311207125303924,0.04148976954861062,0.04067886531889758,82.7156449863308
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,full,0.0,704270,9.944558521560575,0.036804066622176154,0.16051915772857406,0.16051915772857406,0.0,0.0,0.01627238237517679,0.01614140611476679,0.02633505832786612,0.6129246388524972,1.9328574862854369,-0.04461492675203926,0.5084876543209876,0.061928687395283205,0.036804066622176154,0.03632004573916183,87.42058779654437
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,full,0.0,704270,9.944558521560575,0.03311230068013688,0.14398263122908464,0.14398263122908464,0.0,0.0,0.01458385592174561,0.01447853425739505,0.025310158870981446,0.5720443846757102,1.8039416289056691,-0.05581526478598897,0.5071612349914236,0.061742123168561154,0.03311230068013688,0.032613620246677265,72.86282720871979
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,full,0.0,704270,9.944558521560575,0.031249378789384753,0.1360488208791455,0.1360488208791455,0.0,0.0,0.013774739482380921,0.013680730078080499,0.024022987272963828,0.5694849654887505,1.7958705020126153,-0.03627318911407684,0.5079970919665576,0.0618178938927415,0.031249378789384753,0.03078082041096971,72.40465441074802
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,full,0.0,704270,9.944558521560575,0.028619705510670623,0.13398659471422686,0.13398659471422686,0.0,0.0,0.013564532459730327,0.013473357758791757,0.02425074294239917,0.5555853604482937,1.7520381057344114,-0.049392732034962195,0.5072435006945822,0.06647479396419273,0.028619705510670623,0.02837751941617498,55.795379845973635
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,full,0.0,704270,9.944558521560575,0.025363851931787525,0.12299050844229296,0.12299050844229296,0.0,0.0,0.012444414012795852,0.012367618751062704,0.022750594837744595,0.5436173796451285,1.7142970853466093,-0.03214444443530351,0.507921401780216,0.06885210123847783,0.025363851931787525,0.02518129957723155,48.44706704781631
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,full,0.0,704270,9.944558521560575,0.02176012040836611,0.1002733701902797,0.1002733701902797,0.0,0.0,0.01013424715165339,0.010083239992291186,0.020955418050811088,0.4811757974878917,1.5173875929266658,-0.03627318911407684,0.5084502446982055,0.06543123666576163,0.02176012040836611,0.021687279180074247,51.17626098370669
