root,sample,order,lag,coef,tstat,pvalue
GC,all_observed,1,1,-0.012284856853536476,-1.2245902637694102,0.22072963811886193
GC,all_observed,6,1,-0.012416575902843455,-1.2287524716701064,0.2191646263119359
GC,all_observed,6,2,-0.005871951434775727,-0.5469806820655542,0.5843920039472827
GC,all_observed,6,3,0.00029040990387659585,0.03038865569536887,0.975757092122478
GC,all_observed,6,4,0.014442716123390313,1.352509795849067,0.17621228722031534
GC,all_observed,6,5,0.001215254374277448,0.12249198887697708,0.9025093901671226
GC,all_observed,6,6,0.0007886023587841517,0.07597697378593128,0.9394374174936684
GC,contiguous,1,1,-0.013364926323161396,-1.3428671670468155,0.1793149895683932
GC,contiguous,6,1,-0.0069201118145429666,-0.5569347351351007,0.5775720212655331
GC,contiguous,6,2,-0.013103861569860284,-0.9259872308088462,0.35445261626649305
GC,contiguous,6,3,0.012722559791538864,1.0614942763268453,0.28846533270538177
GC,contiguous,6,4,0.014689421166046348,1.2184656685891508,0.22304706343449288
GC,contiguous,6,5,-0.006953082235229066,-0.704988444320511,0.4808174275012821
GC,contiguous,6,6,-0.0010964825262315084,-0.08852690691955728,0.9294578996594083
SI,all_observed,1,1,-0.008735874335427152,-0.7838236371798554,0.43314360218407677
SI,all_observed,6,1,-0.00902282849132001,-0.7914948644042461,0.4286552718261386
SI,all_observed,6,2,-0.015441737921177054,-1.6934110340198254,0.09037725606079447
SI,all_observed,6,3,-0.0004841026947415065,-0.04833586133160308,0.9614485747336058
SI,all_observed,6,4,0.004537294374075106,0.3229160734025351,0.7467588030768313
SI,all_observed,6,5,-0.016863336676834605,-1.469495457348384,0.1416984530403535
SI,all_observed,6,6,-0.012556616581720874,-0.8221850503788425,0.4109715858192895
SI,contiguous,1,1,-0.008533379218662531,-0.6994076788606621,0.48429729033302404
SI,contiguous,6,1,0.008904311313919546,0.5888140931346266,0.5559859908015685
SI,contiguous,6,2,-0.01991472062606652,-1.7802940867444859,0.07502784436416027
SI,contiguous,6,3,0.014572287515118937,1.1922665801273251,0.23315673423919625
SI,contiguous,6,4,0.005356694750316946,0.4061355642368031,0.6846429957758841
SI,contiguous,6,5,-0.026792968618052547,-2.254038592527682,0.02419374022299656
SI,contiguous,6,6,-0.006769379035250391,-0.4040648244760458,0.6861650506763554
HG,all_observed,1,1,-0.013435283426637919,-0.7771405703472423,0.4370758402716618
HG,all_observed,6,1,-0.013765073230056421,-0.80286243764145,0.4220542488505834
HG,all_observed,6,2,-0.008804410457345133,-0.7006960916839204,0.483492695641922
HG,all_observed,6,3,-0.01679637232653854,-2.161771798885187,0.03063577024021886
HG,all_observed,6,4,-0.001172469209542365,-0.17277239158154284,0.8628303389877297
HG,all_observed,6,5,0.011659710147439726,0.7755602469119947,0.4380086800311066
HG,all_observed,6,6,0.0018168733442868047,0.1462137023565465,0.8837526888929057
HG,contiguous,1,1,-0.011456947155837284,-0.6591300875345533,0.5098122364046737
HG,contiguous,6,1,-0.014573713821602675,-0.7257215575110552,0.4680094834610856
HG,contiguous,6,2,-0.011583834233909572,-0.7437783645616804,0.45701057123768074
HG,contiguous,6,3,-0.004606165162211866,-0.556503306655556,0.5778668345895892
HG,contiguous,6,4,0.007966748525023219,1.1048799555336946,0.2692116089434413
HG,contiguous,6,5,-0.00238244118693535,-0.2600707411288276,0.7948092067445284
HG,contiguous,6,6,-0.00012183032451741188,-0.015094223520247824,0.9879570094012552
PL,all_observed,1,1,-0.026141737703320494,-2.875369166193027,0.0040355535465604634
PL,all_observed,6,1,-0.02632509553002255,-2.890069637605039,0.00385156495853994
PL,all_observed,6,2,-0.0025718774355368043,-0.2743839508464394,0.7837895752782278
PL,all_observed,6,3,-0.0026934615511338034,-0.28306671624110075,0.7771256951540302
PL,all_observed,6,4,-0.00033178152822250736,-0.036104505830795074,0.9711990295385627
PL,all_observed,6,5,0.004648586832193711,0.5843637815716197,0.5589755887808002
PL,all_observed,6,6,0.011562682898403632,1.3576913499819034,0.1745616426860458
PL,contiguous,1,1,-0.02394875762167838,-2.709416774351106,0.006740161280972442
PL,contiguous,6,1,-0.019068193454279965,-2.027695652326777,0.042591319658827044
PL,contiguous,6,2,-0.007888127754971679,-0.7267505282798357,0.46737879402783156
PL,contiguous,6,3,0.0040583144948747076,0.3924436466612055,0.6947304418501092
PL,contiguous,6,4,-8.590220001515477e-06,-0.0008140711446234074,0.9993504652740522
PL,contiguous,6,5,0.0033427569902240175,0.4170519731878454,0.6766403926972884
PL,contiguous,6,6,0.016665389538195474,1.814909643924472,0.06953779625377673
PA,all_observed,1,1,-0.05336950983704627,-5.729996843316514,1.0043250346440052e-08
PA,all_observed,6,1,-0.053611234778854294,-5.734242584594589,9.794905911599636e-09
PA,all_observed,6,2,-0.006723612872351049,-0.8665481336724242,0.38618964234666786
PA,all_observed,6,3,-0.009848288966288081,-1.2990672492673083,0.19392085138598236
PA,all_observed,6,4,0.013987477727334066,1.5309118123622756,0.12579118943486747
PA,all_observed,6,5,0.00046802861182270534,0.06697865139010505,0.9465986987509133
PA,all_observed,6,6,-0.010756242816504917,-1.2802400274402002,0.20046073245909068
PA,contiguous,1,1,-0.052684662777641195,-5.562605817376158,2.6577577102205003e-08
PA,contiguous,6,1,-0.048639276199193754,-4.617738387561608,3.87944900459164e-06
PA,contiguous,6,2,-0.007383986741923222,-0.8482476049253487,0.3963000904086542
PA,contiguous,6,3,-0.010113137676720068,-1.211610628874036,0.22566146398207265
PA,contiguous,6,4,0.014973373652402432,1.6326928773675873,0.10253360620550908
PA,contiguous,6,5,-8.854964738287719e-05,-0.010767245261044285,0.9914091472388614
PA,contiguous,6,6,-0.008361355688053169,-0.790273085691656,0.4293683014231885
