root,sample,order,nobs,r2,adj_r2,aic,bic,intercept,intercept_tstat,intercept_pvalue,lag1_coef,lag1_tstat,lag1_pvalue
GC,all_observed,1,32310,0.00015090816422869135,0.00011996074898068532,-300725.24208507285,-300708.47582095524,1.7157686575605053e-05,1.2935873845443666,0.19580798233162489,-0.012284856853536476,-1.2245902637694102,0.22072963811886193
GC,all_observed,6,32305,0.00039729610168914853,0.0002115998906732086,-300673.3659707565,-300614.68512968457,1.6821232301298447e-05,1.2746827432051815,0.20242155727074873,-0.012416575902843455,-1.2287524716701064,0.2191646263119359
GC,contiguous,1,30899,0.0001881896996844823,0.00015583018871900833,-288287.59978945105,-288270.9228312512,1.2241550968201322e-05,0.9104351855931714,0.3625930487552488,-0.013364926323161396,-1.3428671670468155,0.1793149895683932
GC,contiguous,6,23845,0.0006653611130358339,0.0004138296157070176,-220633.6294289307,-220577.07412011558,7.998194383106105e-06,0.5138757838240875,0.6073388392318415,-0.0069201118145429666,-0.5569347351351007,0.5775720212655331
SI,all_observed,1,32310,7.631672910257681e-05,4.536700509405467e-05,-252843.93798232893,-252827.1717182113,2.0888814573931613e-05,0.7605902731264956,0.4469018313267976,-0.008735874335427152,-0.7838236371798554,0.43314360218407677
SI,all_observed,6,32305,0.0007810237623298022,0.0005953988364078011,-252814.92270416033,-252756.2418630884,2.1491244623147745e-05,0.7566888888798772,0.44923627310740255,-0.00902282849132001,-0.7914948644042461,0.4286552718261386
SI,contiguous,1,30899,7.585074128124702e-05,4.348759439776195e-05,-242139.22041668813,-242122.54345848833,1.7796314151011296e-05,0.6446639222663857,0.519145000909983,-0.008533379218662531,-0.6994076788606621,0.48429729033302404
SI,contiguous,6,23845,0.0015538083731496677,0.0013025004970793619,-186127.77002838202,-186071.2147195669,1.9494720187102466e-05,0.6119706409423655,0.5405571822879106,0.008904311313919546,0.5888140931346266,0.5559859908015685
HG,all_observed,1,32310,0.00018050474810626937,0.00014955824893425618,-272236.24977236026,-272219.48350824264,1.3378422047040133e-05,0.6680954171585538,0.504072687008245,-0.013435283426637919,-0.7771405703472423,0.4370758402716618
HG,all_observed,6,32305,0.0006846302079754896,0.0004989873750212981,-272201.44443243224,-272142.7635913603,1.3260749039987344e-05,0.6515101705797827,0.5147172138884993,-0.013765073230056421,-0.80286243764145,0.4220542488505834
HG,contiguous,1,30899,0.00013507356534725456,0.00010271233524605794,-260215.85854403966,-260199.18158583986,4.938989134807569e-06,0.2390480476366101,0.8110683259082626,-0.011456947155837284,-0.6591300875345533,0.5098122364046737
HG,contiguous,6,23845,0.00043594146237802,0.00018435222035984022,-198700.69817590073,-198644.1428670856,-3.263494917117749e-06,-0.13470854840101595,0.8928423141542966,-0.014573713821602675,-0.7257215575110552,0.4680094834610856
PL,all_observed,1,32310,0.000683390706972542,0.0006524597731700776,-256018.31114734657,-256001.54488322893,9.101051738641303e-06,0.35155445483530107,0.7251724270640623,-0.026141737703320494,-2.875369166193027,0.0040355535465604634
PL,all_observed,6,32305,0.0008530451634692904,0.000667433616964197,-255975.5321152215,-255916.85127414955,8.615232370230487e-06,0.3350021414635917,0.7376234708132068,-0.02632509553002255,-2.890069637605039,0.00385156495853994
PL,contiguous,1,30899,0.0005918492435740275,0.0005595027972925548,-244834.9673966579,-244818.29043845812,-1.308635245893969e-06,-0.04950498580886172,0.9605168639726,-0.02394875762167838,-2.709416774351106,0.006740161280972442
PL,contiguous,6,23845,0.0007290571238225407,0.0004775416587139425,-187109.31316709466,-187052.75785827954,-8.054824803142687e-06,-0.2603341610943831,0.7946060240448525,-0.019068193454279965,-2.027695652326777,0.042591319658827044
PA,all_observed,1,32310,0.0028484662005276995,0.0028176022803284573,-237588.26855713356,-237571.50229301592,-2.6798699534536403e-05,-0.8135174215235176,0.4159214619577175,-0.05336950983704627,-5.729996843316514,1.0043250346440052e-08
PA,all_observed,6,32305,0.0033086983735057807,0.0031235430137385167,-237551.96010114963,-237493.2792600777,-2.7092093673004304e-05,-0.8144094967310156,0.4154104000044465,-0.053611234778854294,-5.734242584594589,9.794905911599636e-09
PA,contiguous,1,30899,0.0028422996204262585,0.002810026011325739,-226937.40566705007,-226920.72870885028,-5.0187115489739854e-05,-1.4736983515508728,0.14056282689985541,-0.052684662777641195,-5.562605817376158,2.6577577102205003e-08
PA,contiguous,6,23845,0.0028063033035414797,0.0025553106791526004,-171968.3206819659,-171911.7653731508,-0.00010137726849916327,-2.3019288843974546,0.021339182995466447,-0.048639276199193754,-4.617738387561608,3.87944900459164e-06
