root,sample,lag,lb_stat,lb_pvalue
GC,all_observed,1,4.875930863422864,0.02723374844540616
GC,all_observed,6,12.741588310130892,0.04732809123624221
GC,all_observed,12,33.200276988881086,0.0009007355866215551
GC,all_observed,24,77.25345266537619,1.656209750812107e-07
SI,all_observed,1,2.465833060868515,0.11634600272995603
SI,all_observed,6,25.148159422819383,0.00032054426370695756
SI,all_observed,12,86.11851664337686,2.7729635459541427e-13
SI,all_observed,24,195.21648735883298,8.78579147563419e-29
HG,all_observed,1,5.832669223264347,0.0157312369857427
HG,all_observed,6,21.92736270762652,0.0012481221425057823
HG,all_observed,12,35.010099091870885,0.0004665778496711725
HG,all_observed,24,58.351499873969225,0.00010875044200206445
PL,all_observed,1,22.081901170375186,2.6126143680341966e-06
PL,all_observed,6,27.17835288008874,0.00013407965158695272
PL,all_observed,12,36.312847003869415,0.00028852392265057015
PL,all_observed,24,111.98329273612185,2.53567535410496e-13
PA,all_observed,1,92.03953795621977,8.496192421952316e-22
PA,all_observed,6,106.76312701158078,9.6984369172972e-21
PA,all_observed,12,128.66770088544033,1.142147472230758e-21
PA,all_observed,24,179.9402464394782,7.521231012057165e-26
