variant,cum_turnover,annual_turnover,mean_5m_turnover,p95_5m_turnover,max_5m_turnover
EW_1N,0.0,0.0,0.0,0.0,0.0
INV_VOL_30D_DAILY,12.622460437369012,2.3109099803639954,3.25738392667128e-05,0.0,0.29001342433855787
LS_MINVAR_G125_B25,27.16266420571924,4.972918878829628,7.009665526646049e-05,0.0,0.5174640029361488
LS_MINVAR_G150_B25,27.650660484099312,5.062260847908048,7.135599075129563e-05,0.0,0.5174639955460824
LS_MINVAR_G200_B25,27.650660484099312,5.062260847908048,7.135599075129563e-05,0.0,0.5174639955460824
MINVAR_30D_SHRINK25,29.160866417248627,5.338748144551705,7.525326621277416e-05,0.0,0.5190476975628112
MINVAR_CAP40_SHRINK25,22.472381082172355,4.114225588823443,5.799279252592201e-05,0.0,0.6342809433195542
MINVAR_CAP50_SHRINK25,20.861340828153004,3.819277625210933,5.383530147677051e-05,0.0,0.5962555034791788
MINVAR_CAP60_SHRINK25,20.465885515569543,3.7468779822751084,5.2814779538660456e-05,0.0,0.5339603537874478
FVD_20D_T1P5_DN,3700.9772498608104,677.5719604145673,0.009550835089949783,3.3306690738754696e-16,2.0
FVD_20D_T2P5_DN,2271.347281022402,415.8364469931627,0.0058614959910565905,0.0,1.7427889927743205
FVD_60D_T2P5_DN,1397.5891313975144,255.8695024809246,0.003606653706932629,0.0,1.5
FVD_120D_T2P5_DN,751.0174971451669,137.4956838401075,0.001938094665448182,0.0,1.5
FVD_20D_RANK_DN,3376.375115131424,618.1440607181789,0.008713158646852862,0.05446126947012813,1.934178662116249
FVD_60D_RANK_DN,1835.798509819917,336.0965256599736,0.0047375078639905165,0.02965797256513003,1.3551220519515679
BLEND_MINVAR_FVD20_T2P5_10,256.2955945194888,46.922392843867975,0.0006614028653184332,0.0,0.5190476975628112
BLEND_MINVAR_FVD20_T2P5_20,483.43032262172915,88.50603754318428,0.0012475524644240926,0.0,0.5190476975628112
BLEND_MINVAR_FVD60_T2P5_10,168.91977955700008,30.92569839264417,0.00043591863690603706,0.0,0.5190476975628111
BLEND_MINVAR_FVD60_T2P5_20,308.67869269675157,56.512648640736636,0.0007965840075993,0.0,0.5190476975628111
BLEND_MINVAR_FVD20_RANK_10,366.79837793039104,67.1531542163696,0.0009465691308980603,0.005954063921972194,0.5190476975628112
BLEND_MINVAR_FVD20_RANK_20,704.4358894435334,128.96756028818746,0.001817884995583346,0.011542180249552949,0.5190476975628112
