variant,avg_scale,min_scale,p10_scale,p50_scale,p90_scale,max_scale,risk_off_fraction
BASE_MINVAR,1.0,1.0,1.0,1.0,1.0,1.0,0.0
VOL_TARGET_16,0.9786607147305162,0.740938301469784,0.8961513028177626,1.0,1.0,1.0,0.22763677382966724
VOL_TARGET_14,0.9398473396482632,0.648321013786061,0.7841323899655424,1.0,1.0,1.0,0.41371968415115623
VOL_TARGET_12,0.8501471658256448,0.555703726102338,0.6721134771133219,0.8775310702457606,1.0,1.0,0.861082910321489
VOL_TARGET_10,0.7171677058635074,0.463086438418615,0.5600945642611017,0.7312758918714672,0.8450387397159187,1.0,0.9825014100394811
TSMOM_20D_HALF,0.7678228990411732,0.5,0.5,1.0,1.0,1.0,0.4643542019176537
TSMOM_60D_HALF,0.7187182741116751,0.5,0.5,0.5,1.0,1.0,0.5625634517766498
TSMOM_60D_FLAT,0.43743654822335026,0.0,0.0,0.0,1.0,1.0,0.5625634517766498
DD_SOFT,0.7895480823463057,0.5,0.5,0.75,1.0,1.0,0.6019670050761421
DD_HARD,0.6586030033840947,0.25,0.25,0.75,1.0,1.0,0.8478285391990976
VOL12_DD_SOFT,0.744301826606214,0.5,0.5,0.75,0.9549481978094957,1.0,0.9297518330513255
VOL12_DD_HARD,0.6363367463249849,0.25,0.25,0.7380517043294905,0.8713380342351419,1.0,0.9674774393683023
VOL10_DD_HARD,0.6515801273603056,0.25,0.5,0.7148911448567015,0.7771661157742004,1.0,0.9929498025944726
VOL14_TSMOM60_HALF,0.6932407683729513,0.5,0.5,0.5,1.0,1.0,0.7120628877608574
VOL12_TSMOM60_HALF,0.6574703724047581,0.5,0.5,0.5,0.9544832440296162,1.0,0.925
VOL12_TSMOM60_DD_SOFT,0.6307909325952045,0.5,0.5,0.5,0.9049026076241982,1.0,0.970093062605753
VOL12_TSMOM60_DD_HARD,0.5824684606357032,0.25,0.5,0.5,0.862037011183692,1.0,0.970093062605753
VOL_TARGET_12_DAILY,0.8502215030262811,0.5565638408799405,0.6699904365946832,0.8781971581699968,1.0,1.0,0.8619712351945854
VOL14_TSMOM60_HALF_DAILY,0.6938790609364961,0.5,0.5,0.5,1.0,1.0,0.7108079526226735
VOL12_TSMOM60_DD_SOFT_DAILY,0.6327240143734666,0.5,0.5,0.5,0.9198076018736913,1.0,0.9687817258883249
VOL12_TSMOM60_DD_HARD_DAILY,0.6070669592036163,0.5,0.5,0.5,0.8730585054104981,1.0,0.9687817258883249
VOL10_DD_HARD_DAILY,0.6584595120426335,0.4638032007332838,0.5,0.7137643548144251,0.7841824912621953,1.0,0.9921319796954314
