variant,split,start_ts,end_ts,nobs_5m,years,cum_log_return,gross_cum_log_return,cost_cum_log_return,total_return_pct,cagr,annual_log_return,annual_vol,sharpe_0rf,max_drawdown,calmar,avg_scale,p10_scale,p50_scale,p90_scale,risk_off_fraction,annual_turnover
BASE_MINVAR,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.009568883350182654,-0.008491615455538275,0.0010772678946444345,-0.9523247264024436,-0.0048028260078347915,-0.004814396639351495,0.14442601864872798,-0.03333469055226842,-0.2423658640621087,-0.019816429291395668,1.0,1.0,1.0,1.0,0.0,3.9296632399308433
VOL_TARGET_16,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.0037924498110960617,-0.002412992228301117,0.0013794575827949904,-0.3785267555627738,-0.0019062777414229953,-0.0019080970012139995,0.14051085134962077,-0.013579712761587714,-0.23659492796217374,-0.008057136971794115,0.9786607147305162,0.8961513028177626,1.0,1.0,0.22763677382966724,5.871983048938723
VOL_TARGET_14,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.0111226539609761,-0.009568414399181248,0.001554239561794902,-1.1061025946062868,-0.0055805166979760006,-0.005596145954623929,0.13379224764010755,-0.04182713164126817,-0.23185334408597646,-0.024069166308451514,0.9398473396482632,0.7841323899655424,1.0,1.0,0.41371968415115623,7.184182834342527
VOL_TARGET_12,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.007789029579730447,-0.005809782909191291,0.0019792466705391572,-0.7758773694457494,-0.00391122914128743,-0.0039188980009614025,0.12035606237589218,-0.0325608691710271,-0.2068654717651096,-0.018907114405871124,0.8501471658256448,0.6721134771133219,0.8775310702457606,1.0,0.861082910321489,10.143309027443518
VOL_TARGET_10,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.0036933164541574914,-0.0018711639825480034,0.0018221524716094616,-0.36865045496955906,-0.0018564945683118381,-0.001858219990174506,0.101452631402049,-0.01831613398779695,-0.17516431213555606,-0.010598589094307836,0.7171677058635074,0.5600945642611017,0.7312758918714672,0.8450387397159187,0.9825014100394811,9.577060498304382
TSMOM_20D_HALF,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.024260252890349512,0.011853063592670209,0.0361133164830197,-2.3968338360049692,-0.012131880162040897,-0.012206072089162481,0.11450884464900556,-0.10659501566518062,-0.18945148738271567,-0.0640368694363058,0.7678228990411732,0.5,1.0,1.0,0.4643542019176537,227.93771754761403
TSMOM_60D_HALF,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.017136498499279833,-0.002709594897379552,0.014426903601900257,-1.699050384414812,-0.008584832357516814,-0.008621894296956806,0.10915785174050571,-0.0789855622795977,-0.18315755509826914,-0.0468712980630846,0.7187182741116751,0.5,0.5,1.0,0.5625634517766498,87.38527797776545
TSMOM_60D_FLAT,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.030629683069584288,-0.002853143760428223,0.027776539309156075,-3.0165347223096743,-0.015292588793613723,-0.01541072639701404,0.0945219220114065,-0.16303864827414682,-0.18659644019192723,-0.08195541553678219,0.43743654822335026,0.0,0.0,1.0,0.5625634517766498,170.84089271560006
DD_SOFT,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.03775830286958101,-0.029192217899655905,0.008566084969925135,-3.7054346031661245,-0.018818039713087268,-0.018997352124629753,0.11805652668799022,-0.1609174236917673,-0.19695507066722162,-0.09554483491761694,0.7895480823463057,0.5,0.75,1.0,0.6019670050761421,52.576363634052285
DD_HARD,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.06718879567111888,-0.05279184921335177,0.014396946457767096,-6.498134280297791,-0.03323973391222371,-0.03380472937575672,0.10108353627924041,-0.33442369173128367,-0.16574548124510358,-0.20054684847226065,0.6586030033840947,0.25,0.75,1.0,0.8478285391990976,91.61143672966485
VOL12_DD_SOFT,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.04201030331179548,-0.033186140676651904,0.008824162635143568,-4.114009891094017,-0.020914849331299813,-0.021136663044239577,0.1070227501125501,-0.1974969155811384,-0.1863530512520396,-0.11223239539562357,0.744301826606214,0.5,0.75,0.9549481978094957,0.9297518330513255,60.90880815260932
VOL12_DD_HARD,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.038396494978209836,-0.02894413441182035,0.00945236056638946,-3.7668694292104927,-0.019133040666796265,-0.01931844601099055,0.09433706198273364,-0.20478108608604295,-0.1657103491893993,-0.11546074678128931,0.6363367463249849,0.25,0.7380517043294905,0.8713380342351419,0.9674774393683023,66.91157383822932
VOL10_DD_HARD,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.00850662943611126,-0.005028736098909373,0.0034778933372018603,-0.8470550439960206,-0.00427079843447926,-0.00427994434362509,0.09321009005420348,-0.045917178506492365,-0.1563806120959268,-0.027310280841332635,0.6515801273603056,0.5,0.7148911448567015,0.7771661157742004,0.9929498025944726,21.62365917570794
VOL14_TSMOM60_HALF,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.011335060181929632,0.0017916219539267815,0.013126682135856426,-1.1271060429190243,-0.005686782679497798,-0.005703013993339911,0.10331834482477927,-0.05519846454191486,-0.17964571782517347,-0.031655542633262354,0.6932407683729513,0.5,0.5,1.0,0.7120628877608574,82.08232377579397
VOL12_TSMOM60_HALF,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.005556536440864398,0.005554171058341904,0.011110707499206262,-0.5541127445679989,-0.002791758485079017,-0.002795662710928651,0.09666979769847338,-0.028919712024728903,-0.168254241675604,-0.016592499881587282,0.6574703724047581,0.5,0.5,0.9544832440296162,0.925,70.98617833978994
VOL12_TSMOM60_DD_SOFT,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,0.002081881483182498,0.010848786195865379,0.008766904712682837,0.20840501031129383,0.0010480067547920596,0.0010474579790933079,0.09297106904380355,0.011266493865955176,-0.15918732343687725,0.006583481223036123,0.6307909325952045,0.5,0.5,0.9049026076241982,0.970093062605753,52.68895093124673
VOL12_TSMOM60_DD_HARD,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.030883031995730184,-0.020418659372980416,0.01046437262274973,-3.0411022668797605,-0.015418099045843688,-0.015538193957646058,0.08624221775052643,-0.1801692299077178,-0.16254417335700155,-0.09485482455271016,0.5824684606357032,0.5,0.5,0.862037011183692,0.970093062605753,67.26392974787635
