variant,cum_turnover,annual_turnover,mean_5m_turnover,p95_5m_turnover,max_5m_turnover
BASE_MINVAR,7.810426095982024,3.9296632399308433,5.506504579795561e-05,0.0,0.1809476178995941
VOL_TARGET_16,11.670895657054372,5.871983048938723,8.22821182815452e-05,0.00011175017710741205,0.1809476178995941
VOL_TARGET_14,14.278966329095026,7.184182834342527,0.00010066953136699821,0.0001694554031997935,0.1809476178995941
VOL_TARGET_12,20.160395609102913,10.143309027443518,0.00014213476881770243,0.000301025077380194,0.27704371757844315
VOL_TARGET_10,19.034944897739265,9.577060498304382,0.00013420011913239753,0.0002923806173953991,0.3975364313153693
TSMOM_20D_HALF,453.0389981773082,227.93771754761403,0.0031940143695523703,0.0,0.5000000000000001
TSMOM_60D_HALF,173.68314123888996,87.38527797776545,0.0012245004317462632,0.0,0.5000000000000001
TSMOM_60D_FLAT,339.55585638179787,170.84089271560006,0.0023939358176945703,0.0,1.0000000000000002
DD_SOFT,104.49847162131609,52.576363634052285,0.0007367348535061766,0.0,0.25354752843741285
DD_HARD,182.08286879472467,91.61143672966485,0.0012837201691675456,0.0,0.2500000000000001
VOL12_DD_SOFT,121.05967245139168,60.90880815260932,0.000853494588630793,0.00017222322508561792,0.27704371757844315
VOL12_DD_HARD,132.99050593417556,66.91157383822932,0.0009376093198968948,0.00011591856517749788,0.27704371757844315
VOL10_DD_HARD,42.97823543768668,21.62365917570794,0.00030300504397692244,0.00017089492185286967,0.3975364313153693
VOL14_TSMOM60_HALF,163.1432223308248,82.08232377579397,0.0011501919228061536,7.288857197643285e-05,0.5000000000000001
VOL12_TSMOM60_HALF,141.08901091709998,70.98617833978994,0.000994705378716159,0.00014436242776300306,0.5
VOL12_TSMOM60_DD_SOFT,104.72224518927685,52.68895093124673,0.0007383125013344391,9.567599453749548e-05,0.4024496400553107
VOL12_TSMOM60_DD_HARD,133.69083306750747,67.26392974787635,0.0009425467644353318,7.665825120113618e-05,0.3169551981275328
VOL_TARGET_12_DAILY,9.881606285838599,4.971737072437804,6.966727499886208e-05,0.0,0.2870947456015709
VOL14_TSMOM60_HALF_DAILY,16.915141731253527,8.510522965414426,0.0001192550883478111,0.0,0.500033123675195
VOL12_TSMOM60_DD_SOFT_DAILY,13.181721648318725,6.6321256182228545,9.293373976536043e-05,0.0,0.42928713359230025
VOL12_TSMOM60_DD_HARD_DAILY,11.999002099256543,6.0370633926820245,8.459533346909576e-05,0.0,0.42928713359230025
VOL10_DD_HARD_DAILY,8.349344527522604,4.200809515911313,5.886452712579388e-05,0.0,0.40591228800130913
