variant,split,start_ts,end_ts,nobs_5m,years,cum_log_return,gross_cum_log_return,cost_cum_log_return,total_return_pct,cagr,annual_log_return,annual_vol,sharpe_0rf,max_drawdown,calmar,avg_scale,p10_scale,p50_scale,p90_scale,risk_off_fraction,annual_turnover
BASE_MINVAR,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.23316320576887908,0.2352722250280225,0.0021090192591435263,26.25875240806025,0.06015227109531347,0.058412549783729416,0.1377924570267096,0.423916889531963,-0.2423658640621087,0.24818788457725569,1.0,1.0,1.0,1.0,0.0,4.364587464341784
VOL_TARGET_16,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.23607403567629642,0.23858661502287665,0.0025125793465803044,26.62680557084567,0.060925645121514355,0.05914177717755554,0.13529570255322437,0.4371297540237066,-0.2366270546111725,0.2574753982448367,0.9868262020379656,0.9623532397119775,1.0,1.0,0.15250007930046416,5.631624414998909
VOL_TARGET_14,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.22372688259198925,0.22660704986585317,0.0028801672738639375,25.072937681069547,0.05764902259897871,0.05604854172539191,0.13007344486370792,0.4308991876406445,-0.2319685107544608,0.2485208979937813,0.9566266021491295,0.8420590847479804,1.0,1.0,0.34128100207590994,6.980695468902174
VOL_TARGET_12,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.20851045491944264,0.21217035602703838,0.003659901107595734,23.18418088004957,0.05362488417731202,0.052236489407693924,0.11832751509201597,0.4414568274088478,-0.20723752710216958,0.2587604905692325,0.8784771541704746,0.7217649297839831,0.8995238589604645,1.0,0.7687422241489298,9.832670954094295
VOL_TARGET_10,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.18658693363459986,0.19007575122358647,0.0034888175889865552,20.512938380946927,0.047853893431859626,0.046744161515466696,0.10084184713054917,0.4635393226678209,-0.1754849100377428,0.2726952045139798,0.7532503784088885,0.601470774819986,0.7496032158003871,0.9456200889000528,0.9429071902611981,9.74890584431405
TSMOM_20D_HALF,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.1878107396796455,0.24693979439103664,0.059129054711391175,20.660513126457996,0.04817520476853949,0.04705075204846322,0.11150882596938708,0.4219464391220497,-0.18945148738271567,0.2542878149656305,0.7698066126013724,0.5,1.0,1.0,0.46038677479725515,191.4288682660256
TSMOM_60D_HALF,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.1794814176097821,0.21291407682400157,0.033432659214219576,19.659666823466132,0.04599027920640295,0.04496407229783014,0.11263233291063723,0.3992110536634693,-0.18315755509826914,0.2510968176099964,0.7726543803814176,0.5,1.0,1.0,0.45469123923716476,113.09003038376184
TSMOM_60D_FLAT,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.11741524567965003,0.18217205193029307,0.06475680625064309,12.458631235592268,0.02985201883410622,0.029415120885024317,0.10288841844061182,0.2858934108507364,-0.18659644019192723,0.15998171671121578,0.5453087607628352,0.0,1.0,1.0,0.45469123923716476,221.81639624191732
DD_SOFT,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.12001183956537298,0.13562964485183637,0.015617805286463442,12.751020073108169,0.030522159949278583,0.03006562519215871,0.11379199392184183,0.2642156460744446,-0.19695507066722162,0.1549701657635883,0.7803262597319292,0.5,0.75,1.0,0.6204397827519729,51.19874506745871
DD_HARD,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.06607610327186245,0.08797487619938975,0.021898772927527305,6.830801580776762,0.01669129685373979,0.016553528071270293,0.09574315298565987,0.1728951633100033,-0.16574548124510358,0.10070438559381768,0.644079251121661,0.5,0.75,1.0,0.8491846150050576,69.64410872903757
VOL12_DD_SOFT,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.15608410676810214,0.16636074939809656,0.010276642629994419,16.892451341850812,0.039877094145562016,0.03910252746343741,0.10582074245485029,0.3695166614439601,-0.18178621477541046,0.21936258585299528,0.7699676065586266,0.6311675210400174,0.75,0.9429887434182975,0.9554084678797875,33.49091094879586
VOL12_DD_HARD,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.10716568023339892,0.12126637339244191,0.014100693159043014,11.311866096219813,0.027211015406471355,0.026847377617314254,0.09005807096846982,0.298111844153466,-0.16574925126145734,0.16416976366033753,0.6226625082056588,0.5,0.5,0.8867532641663519,0.9815353274756724,49.266303538107216
VOL10_DD_HARD,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.10343910250810419,0.1135252942935384,0.010086191785434148,10.897825731426321,0.02625246868243184,0.02591378731869103,0.08728489508123925,0.29688742014952435,-0.1567250718586657,0.16750650276368198,0.6224391440936093,0.5,0.6253686530574104,0.7652491774812181,0.9964755349256866,34.5370801024674
VOL14_TSMOM60_HALF,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.1794973083956691,0.21129525205407051,0.031797943658401474,19.66156832471907,0.04599444329571059,0.044968053291823885,0.10729435117751145,0.4191092336019368,-0.17958264645460398,0.2561185292886156,0.7474301157045518,0.5,0.8033050355450492,1.0,0.6455410230112325,109.17748240484853
VOL12_TSMOM60_HALF,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.17638922830450915,0.20387277383119293,0.027483545526683695,19.290227963258236,0.045180304114563447,0.04418941035603984,0.09941829209585251,0.44447967697368357,-0.16851073163616137,0.2681152925744465,0.7029621161908576,0.5,0.6885471733243278,1.0,0.8976565831720891,95.44871104330622
VOL12_TSMOM60_DD_SOFT,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.1729387273450474,0.19616082900436152,0.023222101659314126,18.87932623330477,0.04427721247553064,0.043324983404931815,0.09502338151625565,0.4559402403241165,-0.1590500995966745,0.2783853175056824,0.6679546581751299,0.5,0.6885471733243278,0.9235384931721125,0.9664788126782058,78.47740472092292
VOL12_TSMOM60_DD_HARD,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.10914915505051842,0.13098719485220722,0.021838039801688747,11.532869484340214,0.02772156791112848,0.027344282011460434,0.08448124501120378,0.32367281054906416,-0.16338219070457127,0.169673131395666,0.5867576826913012,0.5,0.5,0.8768020052750264,0.982790037042128,72.53576190764835
VOL_TARGET_12_DAILY,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.20786146794356256,0.2099978252079969,0.0021363572644343726,23.104261887021813,0.05345359384882713,0.052073903789124396,0.11863534514651558,0.43894088835677697,-0.2078519418944238,0.25717149121454114,0.8784787581044498,0.7216069047935872,0.8998325078003433,1.0,0.7675227592332173,5.173556405359478
VOL14_TSMOM60_HALF_DAILY,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.18634455284358362,0.19028907230029452,0.003944519456710956,20.48373189930251,0.047790267831873665,0.04668343975632306,0.1079868439301762,0.4323067334619795,-0.16427226305906018,0.2909211022112224,0.7487034245444664,0.5,0.8194771506255997,1.0,0.6449665352041194,11.77190123957487
VOL12_TSMOM60_DD_SOFT_DAILY,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.18082985250261815,0.18394491070778227,0.0031150582051641465,19.82112892957968,0.04634368782304182,0.04530188511888897,0.09628573492470818,0.4704942549829768,-0.15122313132537257,0.30645898823063294,0.6731328315710396,0.5,0.7024089862505138,0.931136007586713,0.9601171532190702,9.065993571902291
VOL12_TSMOM60_DD_HARD_DAILY,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.15161238331958246,0.15426663689484482,0.0026542535752623257,16.37090759501054,0.038712807662941925,0.0379822616492221,0.09063105702808073,0.4190866011576346,-0.14928586448491932,0.2593199818114906,0.6295794151944601,0.5,0.5,0.8843572484181345,0.9814754115694091,7.383269129046343
VOL10_DD_HARD_DAILY,full,2021-01-03 23:00:00+00:00,2024-12-31 21:55:00+00:00,283731,3.991662864096129,0.14752430518945264,0.14950935205106425,0.0019850468616116205,15.896145326511995,0.03764955018198884,0.036958107488583705,0.09146924582270634,0.4040495486342932,-0.15274765102531462,0.24648202397396762,0.6576471902313229,0.5,0.7099002763900595,0.7696761050009789,0.9960666969770663,5.16556979977621
