variant,avg_scale,min_scale,p10_scale,p50_scale,p90_scale,max_scale,risk_off_fraction
BASE_MINVAR,1.0,1.0,1.0,1.0,1.0,1.0,0.0
VOL_TARGET_16,0.941784464251941,0.3510990063377804,0.7724169974930466,1.0,1.0,1.0,0.29478481456917754
VOL_TARGET_14,0.9018758048013308,0.3072116305455579,0.6758648728064158,1.0,1.0,1.0,0.45804548609946244
VOL_TARGET_12,0.8200374340335129,0.2633242547533353,0.5793127481197848,0.8720771725540248,1.0,1.0,0.8243832950970702
VOL_TARGET_10,0.6990818911397185,0.21943687896111277,0.4827606234331541,0.7267309771283541,0.9000596519469413,1.0,0.9577938751441925
TSMOM_20D_HALF,0.7977318885273146,0.5,0.5,1.0,1.0,1.0,0.4045362229453707
TSMOM_60D_HALF,0.8169846426995404,0.5,0.5,1.0,1.0,1.0,0.36603071460091924
TSMOM_60D_FLAT,0.6339692853990808,0.0,0.0,1.0,1.0,1.0,0.36603071460091924
DD_SOFT,0.818218181536659,0.5,0.5,0.75,1.0,1.0,0.5253043202246176
DD_HARD,0.6941894643396309,0.25,0.5,0.75,1.0,1.0,0.7207995809064704
VOL12_DD_SOFT,0.7403361916917742,0.2633242547533353,0.5,0.75,0.9379244887917176,1.0,0.9619306173113499
VOL12_DD_HARD,0.6317622475979165,0.25,0.4835659648943941,0.616327100354631,0.8952553642130525,1.0,0.9832801294441591
VOL10_DD_HARD,0.6041851520112267,0.21943687896111277,0.47573262331448546,0.5950356385083806,0.7639218964354716,1.0,0.9974193748177433
VOL14_TSMOM60_HALF,0.7442613578590237,0.3072116305455579,0.5,0.7712452312075938,1.0,1.0,0.6855404990412978
VOL12_TSMOM60_HALF,0.6884311616331685,0.2633242547533353,0.5,0.6610673410350804,0.9744275953061472,1.0,0.9212522225634382
VOL12_TSMOM60_DD_SOFT,0.6622303531855426,0.2633242547533353,0.5,0.6610673410350804,0.9207327004615481,1.0,0.9726969855717246
VOL12_TSMOM60_DD_HARD,0.6035253519362613,0.25,0.5,0.5,0.8882694770920024,1.0,0.984193670758678
VOL_TARGET_12_DAILY,0.8201707714451967,0.26355179345674357,0.5795637504187149,0.8715129665001266,1.0,1.0,0.8240813619507462
VOL14_TSMOM60_HALF_DAILY,0.7451142833456308,0.30747709236620085,0.5,0.7719072589366974,1.0,1.0,0.6860514628273846
VOL12_TSMOM60_DD_SOFT_DAILY,0.6664126611219238,0.26355179345674357,0.5,0.661634793374312,0.9258981084305584,1.0,0.9679486352363723
VOL12_TSMOM60_DD_HARD_DAILY,0.6381544607505442,0.26355179345674357,0.5,0.5834551915486966,0.88968522524194,1.0,0.9835872238408477
VOL10_DD_HARD_DAILY,0.6286769839535935,0.21962649454728633,0.48296979201559576,0.6531250446839487,0.7696371995916799,1.0,0.9971200222966016
