variant,split,start_ts,end_ts,nobs_5m,years,cum_log_return,gross_cum_log_return,cost_cum_log_return,total_return_pct,cagr,annual_log_return,annual_vol,sharpe_0rf,max_drawdown,calmar,avg_scale,p10_scale,p50_scale,p90_scale,risk_off_fraction,annual_turnover
BASE_MINVAR,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.009568883350182654,-0.008491615455538275,0.0010772678946444345,-0.9523247264024436,-0.0048028260078347915,-0.004814396639351495,0.14442601864872798,-0.03333469055226842,-0.2423658640621087,-0.019816429291395668,1.0,1.0,1.0,1.0,0.0,3.9296632399308433
VOL_TARGET_16,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.003892772566656856,-0.0025159937181465503,0.0013767788485103997,-0.3885205549605527,-0.001956655683502448,-0.0019585724349241566,0.14062389097167477,-0.013927736043931986,-0.23664215433629388,-0.00826841561255325,0.9792700784746238,0.8988018665840478,1.0,1.0,0.22416102650874226,5.8536939847109375
VOL_TARGET_14,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.010890518398251336,-0.009343859371371582,0.0015466590268797598,-1.0831431393321067,-0.005464367217367882,-0.00547935148319433,0.13396416216484727,-0.04090162170724294,-0.23201607697689042,-0.02355167490359796,0.9408902794771381,0.7864516332610418,1.0,1.0,0.40824168076706147,7.137723117119946
VOL_TARGET_12,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.007881265971250044,-0.005903698319456613,0.0019775676517933415,-0.7850290224046789,-0.003957453498232811,-0.003965304938647541,0.12066041341767815,-0.03286334619889988,-0.2074185221915278,-0.019079556909476703,0.8522492640466591,0.6741013999380359,0.8801265605957378,1.0,0.8572758037225042,10.126430467560526
VOL_TARGET_10,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.003699685982392731,-0.0018732902366557502,0.0018263957457369515,-0.3692850576425392,-0.001859693317314222,-0.0018614246938173198,0.101743134990074,-0.018295334559908335,-0.17564088048567483,-0.010588043695589976,0.719236999852346,0.5617511666150299,0.7334388004964482,0.8475381268814071,0.9821982515510435,9.597025301004045
TSMOM_20D_HALF,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.024260252890349512,0.011853063592670209,0.0361133164830197,-2.3968338360049692,-0.012131880162040897,-0.012206072089162481,0.11450884464900556,-0.10659501566518062,-0.18945148738271567,-0.0640368694363058,0.7678228990411732,0.5,1.0,1.0,0.4643542019176537,227.93771754761403
TSMOM_60D_HALF,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.017136498499279833,-0.002709594897379552,0.014426903601900257,-1.699050384414812,-0.008584832357516814,-0.008621894296956806,0.10915785174050571,-0.0789855622795977,-0.18315755509826914,-0.0468712980630846,0.7187182741116751,0.5,0.5,1.0,0.5625634517766498,87.38527797776545
TSMOM_60D_FLAT,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.030629683069584288,-0.002853143760428223,0.027776539309156075,-3.0165347223096743,-0.015292588793613723,-0.01541072639701404,0.0945219220114065,-0.16303864827414682,-0.18659644019192723,-0.08195541553678219,0.43743654822335026,0.0,0.0,1.0,0.5625634517766498,170.84089271560006
DD_SOFT,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.03775830286958101,-0.029192217899655905,0.008566084969925135,-3.7054346031661245,-0.018818039713087268,-0.018997352124629753,0.11805652668799022,-0.1609174236917673,-0.19695507066722162,-0.09554483491761694,0.7895480823463057,0.5,0.75,1.0,0.6019670050761421,52.576363634052285
DD_HARD,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.06718879567111888,-0.05279184921335177,0.014396946457767096,-6.498134280297791,-0.03323973391222371,-0.03380472937575672,0.10108353627924041,-0.33442369173128367,-0.16574548124510358,-0.20054684847226065,0.6586030033840947,0.25,0.75,1.0,0.8478285391990976,91.61143672966485
VOL12_DD_SOFT,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.02049366164893656,-0.013817772183730419,0.006675889465206089,-2.0285093768144216,-0.010258009347248057,-0.010310985321893744,0.10823924748816655,-0.09526105882268825,-0.1816809806748988,-0.05646165773182285,0.7568590284176638,0.5,0.75,0.9577607183825636,0.9289269599548787,43.08536415063497
VOL12_DD_HARD,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.03817121719294521,-0.028526605002900367,0.009644612190044852,-3.74518780058348,-0.01902185886883874,-0.019205101896258722,0.09376514435937114,-0.20482133342270392,-0.1656479930766548,-0.11483301738546413,0.6309607717670436,0.25,0.7242933759188095,0.8670560913398917,0.9675902425267907,68.40149127181918
VOL10_DD_HARD,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.013718341252303055,-0.009949072855394203,0.0037692683969088245,-1.3624673619668726,-0.006878350393788466,-0.006902115284047653,0.09326494399149146,-0.07400546216676365,-0.15672541067618762,-0.04388790792834427,0.6516251273850046,0.5,0.7170013306107503,0.7791984603582588,0.9929498025944726,24.398949534398216
VOL14_TSMOM60_HALF,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.011160869936282326,0.0019801483366915125,0.013141018272973808,-1.1098818491330589,-0.005599636835163798,-0.0056153735756901135,0.10339468269988014,-0.05431008083838941,-0.17955123098530934,-0.031186847366264803,0.6936063751098722,0.5,0.5,1.0,0.7093203609701072,82.14285997846387
VOL12_TSMOM60_HALF,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.00571469383796094,0.005449502889509558,0.011164196727470396,-0.5698396035559508,-0.0028711069804201804,-0.0028752365141828874,0.09682860735221047,-0.029694081044916006,-0.1686339096593673,-0.017025679984646526,0.6583611996168385,0.5,0.5,0.9573063372887526,0.924985899605189,71.29790490250367
VOL12_TSMOM60_DD_SOFT,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.0003829637512997759,0.00904739933107479,0.009430363082374504,-0.03828904300424644,-0.00019266216492233934,-0.00019268072666137046,0.09303998157842788,-0.002070945451541718,-0.16142901198467496,-0.0011934791804377113,0.6311666199573577,0.5,0.5,0.9063852883086235,0.9700860124083475,56.97042211733038
VOL12_TSMOM60_DD_HARD,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.029279145941744678,-0.018721203187202023,0.010557942754542596,-2.885466465313767,-0.014623256312896163,-0.014731230036608901,0.08639679683985305,-0.17050666894416266,-0.16173896641529495,-0.09041269792307333,0.5835666462517098,0.5,0.5,0.8645427250117196,0.9700860124083475,67.84490370492932
VOL_TARGET_12_DAILY,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.006628204910735194,-0.005510950961311142,0.0011172539494240022,-0.6606286813182687,-0.0033292973144139378,-0.0033348517564034752,0.12105456403781543,-0.027548335603122927,-0.20803341208231663,-0.016003666339407873,0.8523248668697557,0.6719720800620437,0.8807946186209061,1.0,0.858248730964467,4.9776700560960165
VOL14_TSMOM60_HALF_DAILY,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,0.000909630977288186,0.0025758266278846746,0.0016661956505965064,0.09100448170165736,0.00045776779172225203,0.0004576630480109954,0.10397038996045159,0.004401859492737133,-0.1642374367573446,0.0027872317101404163,0.694247212001207,0.5,0.5,1.0,0.7108079526226735,8.516615020889317
VOL12_TSMOM60_DD_SOFT_DAILY,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,0.00825257000884191,0.009595693984336195,0.0013431239754942436,0.8286716331723737,0.004160751298496941,0.00415211930823914,0.09395522105211716,0.04419253407893054,-0.15127673005312936,0.027504238735433128,0.6333340246190928,0.5,0.5,0.9225281343259838,0.9687817258883249,6.653177387003363
VOL12_TSMOM60_DD_HARD_DAILY,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,0.0013529244396736709,0.002604529893752792,0.001251605454079081,0.13538400548162136,0.0006809292168077606,0.0006806974896958163,0.08999802204597629,0.007563471665500337,-0.15024157489152523,0.00453222896058826,0.6065430619949499,0.5,0.5,0.8756407671703282,0.9687817258883249,6.048027042692946
VOL10_DD_HARD_DAILY,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,0.0075888148582465564,0.008534082443717943,0.0009452675854713324,0.7617682892240422,0.0038254623505898262,0.0038181638769277616,0.09443591394334126,0.04043126939205085,-0.15281769659375521,0.025032849178189688,0.6591449946699328,0.5,0.7158754692329261,0.7857949383683954,0.9921319796954314,4.204454485181377
BASE_MINVAR,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.2427320891190617,0.24376384048356078,0.0010317513644990915,27.472706511584484,0.12932860323456924,0.12162329971378513,0.1311552097771597,0.9273234354962351,-0.15234083982599977,0.8489424331800023,1.0,1.0,1.0,1.0,0.0,4.81595441104985
VOL_TARGET_16,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.23994715062441163,0.2410816958532469,0.0011345452288352952,27.1181967372897,0.12775381359918195,0.1202278789004573,0.1301200446078103,0.9239766191506575,-0.15234083982599989,0.8386051550267107,0.99464952226288,1.0,1.0,1.0,0.07818677717402796,5.424745474425815
VOL_TARGET_14,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.23469047997896553,0.23601882746483627,0.001328347485870728,26.451731472873785,0.12478732393251385,0.1175939723917297,0.12645773561768,0.929907307112092,-0.15070942180936275,0.8279994869223332,0.9729350449634985,0.8873884258962291,1.0,1.0,0.2715676117583215,6.816853152782567
VOL_TARGET_12,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.21649810921923995,0.2181796290461299,0.0016815198268898964,24.172073752992947,0.11458095165764998,0.10847850616126727,0.11639345605902483,0.9319983256297177,-0.1429957467313716,0.8012892290628687,0.9059485280217127,0.7606186507681963,0.9243205852339853,1.0,0.6774989252313396,9.571084109978749
VOL_TARGET_10,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.19044715691191336,0.19211215500059445,0.0016649980886810866,20.979044288540155,0.10012677194151699,0.09542542038343514,0.10033212307100038,0.9510953965950367,-0.13205738163425562,0.7582065515945695,0.7885967591585931,0.6338488756401637,0.7702671543616545,0.9933319728124361,0.9025308159079857,9.953708101304487
TSMOM_20D_HALF,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.21207099256999493,0.23508673079836637,0.02301573822837147,23.623564550889142,0.11211127229780604,0.10626025583823351,0.10867788811804564,0.9777541474012993,-0.11720453580948198,0.9565438020252465,0.7717896131537588,0.5,1.0,1.0,0.45642077369248224,155.8699461692318
TSMOM_60D_HALF,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.19661791610906182,0.21562367172138105,0.019005755612319326,21.72788492014181,0.10353353944268735,0.09851733994800599,0.11621738383761543,0.8476988269298782,-0.11313561190694998,0.9151277630233706,0.8265711003516784,0.5,1.0,1.0,0.3468577992966432,139.16141810081422
TSMOM_60D_FLAT,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.14804492874923428,0.18502519569072123,0.03698026694148701,15.95649929974381,0.07699996650934385,0.07417936707800576,0.1107930623121523,0.6695307948886744,-0.12279070812331938,0.6270830072256962,0.6531422007033568,0.0,1.0,1.0,0.3468577992966432,273.50872772520034
DD_SOFT,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.1577701424349539,0.16482186275149224,0.007051720316538306,17.089702423450955,0.082260902284627,0.07905228101028237,0.10962698908205677,0.7211023642281286,-0.10170471398198344,0.8088209392064085,0.7711077517249156,0.5,0.75,1.0,0.638905920741978,50.04067390208975
DD_HARD,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.13326489894298132,0.1407667254127415,0.007501826469760211,14.255261922828083,0.06905351097702028,0.06677368783127523,0.09032294380829506,0.7392771428375753,-0.08219865220637834,0.8400808179147,0.6295607191435679,0.5,0.5,1.0,0.8505402033955642,48.05811842530276
VOL12_DD_SOFT,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.1763769897351528,0.1804651729021199,0.004088183166967105,19.288768030463537,0.09239815839969225,0.08837542478634362,0.10368700892816442,0.8523288085932844,-0.11254697956419235,0.8209741279373205,0.7836411266394258,0.7482668711407302,0.75,0.9278137507026099,0.9815139790402492,27.929403519560715
VOL12_DD_HARD,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.14558524070026171,0.14968380501089523,0.004098564310633462,15.67163296899183,0.07567343456375114,0.0729469161982382,0.08655750984104248,0.8427566404371003,-0.0801907056060639,0.9436683963787049,0.6156708509321894,0.5,0.5,0.8983451647067873,0.9954824477944337,27.69679139158338
VOL10_DD_HARD,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.13141489734414957,0.13591689860961817,0.004502001265468564,14.04408490473601,0.06806299869622039,0.0658467263415839,0.08170567267437086,0.8059015266174837,-0.08886764599717578,0.7658917700867584,0.5976168713622916,0.5,0.5,0.7529835456440681,1.0,31.23100446720491
VOL14_TSMOM60_HALF,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.19066064742837188,0.2093293218651285,0.018668674436756655,21.00487492438576,0.10024446047151567,0.095532391905674,0.11131844652225745,0.8581901283231875,-0.11207506901283726,0.8944403189261789,0.8015557943487953,0.5,0.9170094143906339,1.0,0.5799381215158115,136.6253900789087
VOL12_TSMOM60_HALF,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.1821291132406111,0.19848747650618434,0.016358363265573255,19.976908995527516,0.09555116407744048,0.09125758282170707,0.10225398237850734,0.8924599384687476,-0.10054439644834812,0.9503380342685455,0.7482694333964814,0.5,0.7860080694776861,1.0,0.8686738411879541,120.15349263342247
VOL12_TSMOM60_DD_SOFT,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.17046342791925304,0.18466316180738698,0.014199733888133972,18.58542819822144,0.08916612061330842,0.08541237649832602,0.09702140718204265,0.8803456781250921,-0.09954629252775848,0.895725178197314,0.7039000745437023,0.5,0.75,0.9280615944036702,0.964085107582581,102.02705318840997
VOL12_TSMOM60_DD_HARD,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.13865255206351712,0.15045385388882332,0.011801301825306166,14.872490855943374,0.0719433588906124,0.0694732243969224,0.08299666612194886,0.8370604223408664,-0.0791245915532286,0.9092414567753535,0.5920337288557689,0.5,0.5,0.8857336586942379,0.9954824477944337,81.42614703187364
VOL_TARGET_12_DAILY,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.21460869009752287,0.21562908325696792,0.001020393159445017,23.93768216416536,0.11352626378718837,0.10753179413419434,0.11661189765379705,0.9221339871634697,-0.1432769990024534,0.7923551203445043,0.9058774920312948,0.7610714343645064,0.9239012241553918,1.0,0.6748842421295219,5.3944012360309594
VOL14_TSMOM60_HALF_DAILY,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.18538270760857775,0.1876624701109217,0.0022797625023440217,20.36790091055179,0.09733863798861045,0.0928878282680279,0.1121216198854495,0.8284559959348424,-0.12065416810477025,0.8067573588016145,0.8034640105832904,0.5,0.9200181476219058,1.0,0.5772036281370911,15.069148744913733
VOL12_TSMOM60_DD_SOFT_DAILY,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.1726106032654547,0.174385966832934,0.0017753635674793344,18.840325462697763,0.09033854506030525,0.08648823981584988,0.09884711660399717,0.874969779466005,-0.10146734260650214,0.8903213855776712,0.7134630894794597,0.5,0.75,0.9364745593947111,0.9514556948643678,11.527483143252386
VOL12_TSMOM60_DD_HARD_DAILY,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.15545287668040697,0.15696786247712075,0.0015149857967137843,16.818688592621964,0.08100503051472822,0.07789119222138512,0.09267745665873035,0.8404545725527056,-0.09197585618517645,0.8807205920610243,0.6662763528105403,0.5,0.75,0.8950879492899662,0.9941645347485041,9.554916816633963
VOL10_DD_HARD_DAILY,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.14000371436666942,0.1410449776710084,0.0010412633043389557,15.027807140382135,0.07266932436360993,0.0701502375530925,0.08872566285963217,0.7906420227490801,-0.09921296894493126,0.7324579148916052,0.6568261443287455,0.5,0.7046866841713003,0.7609682781875506,1.0,6.151126745450653
BASE_MINVAR,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.6132088801821919,0.6145358295414272,0.0013269493592352921,84.63466081472266,0.5186673094734636,0.41783318018723486,0.21860515660682384,1.9113601283373938,-0.2403113006226234,2.1583142704052896,1.0,1.0,1.0,1.0,0.0,7.998748956615095
