root,asset,asset_class,horizon_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,corr_high,corr_low,hit_rate_high,hit_rate_low,n_high,n_low,nw_tstat_high,nw_tstat_low,r2_high,r2_low,abs_corr_high_minus_low,abs_nw_tstat_high_minus_low,abs_beta_bps_per_full_ofi_high_minus_low,abs_hit_rate_high_minus_low
6A,Australian Dollar,FX,0,same_bar,1.0619824883916344,2.0838531536669938,0.1422227741834849,0.16100775523459493,0.522609819121447,0.5144508670520231,1548,1557,6.544906491266064,6.401936734478905,0.020227317496446462,0.025923497245683103,-0.01878498105111004,0.14296975678715906,-1.0218706652753593,0.008158952069423853
6A,Australian Dollar,FX,1,next_5m,-0.09924923239887351,-0.28263817633904714,-0.013377909211502247,-0.021885601173724407,0.4473173884938591,0.42857142857142855,1547,1554,-0.6174155218495063,-1.0282560615860694,0.00017896845487141988,0.00047897953873543564,-0.00850769196222216,-0.4108405397365631,-0.18338894394017363,0.018745959922430555
6A,Australian Dollar,FX,3,next_15m,-0.27067248885959133,-0.41674047551540705,-0.02150389425919645,-0.018733923648600347,0.4656290531776913,0.4667097608274079,1542,1547,-0.7688627615346604,-0.7791357414278177,0.0004624174683106608,0.00035095989527167415,0.002769970610596105,-0.010272979893157341,-0.14606798665581572,-0.0010807076497165724
6A,Australian Dollar,FX,6,next_30m,0.07657420102729756,-0.4852513189676498,0.004351844528178165,-0.015618971836839971,0.4960988296488947,0.47296416938110747,1538,1535,0.17819055738533268,-0.6153468130821875,1.8938550797487075e-05,0.00024395228123985646,-0.011267127308661806,-0.43715625569685485,-0.4086771179403522,0.02313466026778721
6A,Australian Dollar,FX,12,next_60m,-0.4632031670397113,-0.3158869888445376,-0.019000540643251615,-0.0069900451406237326,0.5006561679790026,0.5125164690382081,1524,1518,-0.7115103840799122,-0.26841006539509127,0.00036102054473596823,4.886073106769029e-05,0.012010495502627883,0.4431003186848209,0.14731617819517373,-0.011860301059205547
6B,British Pound,FX,0,same_bar,0.9060521103888914,0.9784058184896024,0.1702370583183922,0.11666561656964619,0.49201065246338216,0.4834656084656085,1502,1512,8.454136964136548,5.9855185388460725,0.02898065602489941,0.013610866089575735,0.05357144174874601,2.468618425290476,-0.07235370810071096,0.008545043997773671
6B,British Pound,FX,1,next_5m,-0.059346914679523195,-0.22944880481604338,-0.011212772361252767,-0.027552049618210745,0.4157228514323784,0.4056915949702184,1501,1511,-0.6192907520493165,-1.3127231558763228,0.00012572626402518328,0.000759115438164093,-0.01633927725695798,-0.6934324038270063,-0.1701018901365202,0.010031256462160021
6B,British Pound,FX,3,next_15m,-0.07807296679122286,-0.5872907349933638,-0.008854660409758835,-0.04047653893059559,0.44896597731821214,0.4449602122015915,1499,1508,-0.4970782885453055,-1.9404738778705655,7.840501097222674e-05,0.0016383502037999875,-0.031621878520836755,-1.44339558932526,-0.5092177682021409,0.004005765116620652
6B,British Pound,FX,6,next_30m,0.29142315952036874,-0.8752414936667016,0.023847465823869644,-0.04416129753704494,0.4766042780748663,0.43446440452428475,1496,1503,1.3231102092573128,-1.7542587518214685,0.0005687016262204692,0.0019502202001552282,-0.020313831713175294,-0.4311485425641557,-0.5838183341463328,0.042139873550581575
6B,British Pound,FX,12,next_60m,0.6206240124281708,-0.19532732288310073,0.03706077994966194,-0.0070155015305335385,0.49361987911349897,0.451505016722408,1489,1495,1.5991358221842857,-0.18341756017193614,0.001373501410477318,4.921726172479879e-05,0.030045278419128404,1.4157182620123496,0.42529668954507005,0.04211486239109097
6C,Canadian Dollar,FX,0,same_bar,0.9037234095949996,0.8502818702991934,0.23965970973224024,0.15284704205061964,0.5123216601815823,0.47766990291262135,1542,1545,9.553926048225453,7.5358590842279956,0.05743677646894141,0.023362218263623835,0.0868126676816206,2.018066963997457,0.053441539295806195,0.03465175726896097
6C,Canadian Dollar,FX,1,next_5m,0.07569200102046496,-0.17503215368903213,0.020136125148392425,-0.03142496115028028,0.4038961038961039,0.3862605314322748,1540,1543,0.9887596936003887,-1.7460318973329017,0.0004054635359918013,0.0009875281832966154,-0.011288836001887858,-0.7572722037325129,-0.09934015266856717,0.01763557246382913
6C,Canadian Dollar,FX,3,next_15m,0.0008322564962328293,-0.49020505772558265,0.0001288513635603472,-0.05008656873447162,0.44928478543563066,0.43116883116883115,1538,1540,0.005966318272646525,-2.052292105127081,1.6602673902355036e-08,0.0025086643675930054,-0.04995771737091127,-2.0463257868544344,-0.48937280122934984,0.018115954266799517
6C,Canadian Dollar,FX,6,next_30m,-0.026411960906368617,-0.5967455708086604,-0.003003617445999991,-0.04541494149004351,0.47979139504563234,0.439453125,1534,1536,-0.12852962817294472,-1.4500437022765909,9.021717761958925e-06,0.0020625169105440433,-0.04241132404404352,-1.3215140741036462,-0.5703336099022918,0.04033827004563234
6C,Canadian Dollar,FX,12,next_60m,0.17493369558322774,-1.1686519843876362,0.01414477852760801,-0.063187997911476,0.4855832241153342,0.44138834315651604,1526,1527,0.6028634589442645,-1.9392074348493455,0.00020007475959504806,0.003992723080060712,-0.04904321938386799,-1.336343975905081,-0.9937182888044085,0.04419488095881818
6E,Euro FX,FX,0,same_bar,1.6610999136423708,0.9351053259245299,0.2597024666512994,0.09455107213709726,0.5879052369077307,0.5009416195856874,1604,1593,9.029732130424136,5.165310854501064,0.06744537118476923,0.008939905242274504,0.16515139451420216,3.864421275923072,0.7259945877178409,0.08696361732204327
6E,Euro FX,FX,1,next_5m,-0.09804654805797854,-0.2026362901551476,-0.015330412748670225,-0.020567797487669712,0.4366812227074236,0.4478643216080402,1603,1592,-0.8746191101574319,-1.1411252293054654,0.0002350215550446233,0.00042303429349388466,-0.005237384738999488,-0.26650611914803357,-0.10458974209716908,-0.011183098900616584
6E,Euro FX,FX,3,next_15m,-0.04453809600997087,0.007608280446155142,-0.004013063753592204,0.0004434441038892709,0.47158026233604,0.4742138364779874,1601,1590,-0.21734559680838522,0.02114589345373902,1.6104680690465223e-05,1.966426733668314e-07,0.0035696196497029334,0.1961997033546462,0.03692981556381573,-0.0026335741419474257
6E,Euro FX,FX,6,next_30m,0.23498038517722572,-0.6544977659863412,0.01550165325163949,-0.027892381728589502,0.48873591989987486,0.4473850031505986,1598,1587,0.9322536464775694,-1.168325850257192,0.00024030125353402543,0.0007779849584933496,-0.012390728476950013,-0.23607220377962268,-0.4195173808091155,0.04135091674927627
