root,asset,asset_class,bucket,horizon_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
SR3,Three-Month SOFR,Rates,low,0,same_bar,1569,0.2983602651294698,8.104424521323676,0.034597137090835006,0.18600305667067632,0.30592734225621415
SR3,Three-Month SOFR,Rates,high,0,same_bar,1588,0.44937186869566653,11.609103224925986,0.12659820217001427,0.35580641108616146,0.3702770780856423
SR3,Three-Month SOFR,Rates,low,1,next_5m,1567,-0.12919080262133373,-3.5708740769142238,0.006547700531054024,-0.08091786286756453,0.22208040842373963
SR3,Three-Month SOFR,Rates,high,1,next_5m,1584,0.0008627824953273949,0.031277409510047205,4.6841339196301846e-07,0.0006844073289540202,0.2380050505050505
SR3,Three-Month SOFR,Rates,low,3,next_15m,1545,-0.12526124619623846,-1.8079249877434185,0.002791039456464972,-0.05283028919535532,0.2977346278317152
SR3,Three-Month SOFR,Rates,high,3,next_15m,1562,-0.0020388871775123794,-0.04686615600663989,1.1833972878294574e-06,-0.0010878406537034278,0.31241997439180536
SR3,Three-Month SOFR,Rates,low,6,next_30m,1520,-0.0812330241151751,-0.8792231202337261,0.0006037452792214681,-0.024571228687665248,0.3460526315789474
SR3,Three-Month SOFR,Rates,high,6,next_30m,1537,0.038340413324776376,0.5582574739306412,0.00021724505605202893,0.014739235260085207,0.3565387117761874
SR3,Three-Month SOFR,Rates,low,12,next_60m,1484,-0.0799739550298325,-0.48953685452573115,0.00028748106390896755,-0.016955266553755805,0.3719676549865229
SR3,Three-Month SOFR,Rates,high,12,next_60m,1501,-0.04888774766220961,-0.4772676639736977,0.00017309133669973775,-0.013156418080148015,0.3737508327781479
ZQ,30-Day Fed Funds,Rates,low,0,same_bar,957,0.06602251546781583,4.68470661789008,0.015126795190982478,0.12299103703515303,0.16927899686520376
ZQ,30-Day Fed Funds,Rates,high,0,same_bar,859,0.11607933179734188,7.86153398247635,0.06913831252360647,0.2629416523177842,0.22118742724097787
ZQ,30-Day Fed Funds,Rates,low,1,next_5m,922,-0.009671831366754655,-0.5504794828424043,0.00035668686417433815,-0.018886155357147095,0.13449023861171366
ZQ,30-Day Fed Funds,Rates,high,1,next_5m,812,0.02070401750303932,1.1920326077108214,0.0025679978871551157,0.0506754169904428,0.14901477832512317
ZQ,30-Day Fed Funds,Rates,low,3,next_15m,528,0.00640948649215136,0.15218579439440977,6.629217106213225e-05,0.0081420004336872,0.16856060606060605
ZQ,30-Day Fed Funds,Rates,high,3,next_15m,475,-0.010176610942552637,-0.3465743983701759,0.0002784072146639893,-0.01668553908819884,0.17473684210526316
ZQ,30-Day Fed Funds,Rates,low,6,next_30m,252,0.05253828174397377,0.5281363336460277,0.0021302675994749887,0.04615482206092009,0.18253968253968253
ZQ,30-Day Fed Funds,Rates,high,6,next_30m,240,-0.03623848703243727,-0.5463510294319079,0.0019231521292919496,-0.043853758439750166,0.1875
