root,asset,asset_class,bucket,horizon_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate,abs_t
SR3,Three-Month SOFR,Rates,low,1,next_5m,1567,-0.12919080262133373,-3.5708740769142238,0.006547700531054024,-0.08091786286756453,0.22208040842373963,3.5708740769142238
DHB,Duration-Hedged IG Credit Index,Credit,low,1,next_5m,317,-0.334699961620013,-3.148218540148041,0.032953941538635845,-0.1815322052381772,0.13564668769716087,3.148218540148041
ZF,5-Year U.S. Treasury Note,Rates,high,1,next_5m,1597,-0.3797768910182471,-3.0991942805212602,0.004205784913062449,-0.06485202319945445,0.3406386975579211,3.0991942805212602
ZF,5-Year U.S. Treasury Note,Rates,high,3,next_15m,1593,-0.5502053086322217,-2.895923425985245,0.0033007787268305444,-0.057452404012629486,0.4005021971123666,2.895923425985245
DHB,Duration-Hedged IG Credit Index,Credit,low,3,next_15m,175,-0.3875612299529954,-2.337486920835579,0.025693682592626388,-0.16029249075557628,0.18857142857142858,2.337486920835579
ZF,5-Year U.S. Treasury Note,Rates,low,3,next_15m,1582,-0.45372360880870416,-2.3361713466828666,0.0021262687299793415,-0.0461114815417956,0.3963337547408344,2.3361713466828666
ZT,2-Year U.S. Treasury Note,Rates,low,3,next_15m,1551,-0.25516495582656734,-2.312842916292351,0.005061586316522204,-0.07114482635105833,0.3849129593810445,2.312842916292351
ZB,U.S. Treasury Bond,Rates,high,3,next_15m,1568,-0.9324761735392386,-2.3126043972166404,0.0022318561113783275,-0.047242524396759605,0.36543367346938777,2.3126043972166404
6M,Mexican Peso,FX,high,3,next_15m,1437,-0.5310001465332775,-2.3054655048644257,0.003209644067190709,-0.056653720682678044,0.4036186499652053,2.3054655048644257
CNH,Offshore Renminbi,FX,low,1,next_5m,462,-0.14559182485775468,-2.2694769217107345,0.010849568096208295,-0.10416126005482294,0.2813852813852814,2.2694769217107345
ZN,10-Year U.S. Treasury Note,Rates,high,3,next_15m,1591,-0.6613626602434253,-2.267225359185967,0.002220815546135846,-0.04712552966424733,0.360779384035198,2.267225359185967
ZB,U.S. Treasury Bond,Rates,low,12,next_60m,1536,-3.1086789305249147,-2.2208692348352184,0.004180011168375075,-0.06465300587269666,0.4420572916666667,2.2208692348352184
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,6,next_30m,1572,-0.836999104081793,-2.1818674699438843,0.0018221441159200769,-0.04268658004478702,0.41348600508905853,2.1818674699438843
ZF,5-Year U.S. Treasury Note,Rates,high,12,next_60m,1576,-0.864392558225537,-2.155280889784907,0.002108919959675881,-0.04592297855840581,0.4289340101522843,2.155280889784907
6J,Japanese Yen,FX,high,3,next_15m,1570,-0.2437660244240945,-2.1294898171102385,0.0015866996024809232,-0.0398333980785103,0.39171974522292996,2.1294898171102385
6C,Canadian Dollar,FX,low,3,next_15m,1540,-0.49020505772558265,-2.052292105127081,0.0025086643675930054,-0.05008656873447162,0.43116883116883115,2.052292105127081
ZF,5-Year U.S. Treasury Note,Rates,low,6,next_30m,1576,-0.6046877700776367,-2.015257034160892,0.00194828437056771,-0.04413937437897949,0.4289340101522843,2.015257034160892
NIY,Nikkei 225,Equity,low,1,next_5m,1522,2.0122962916185654,1.9429199570216154,0.00162444277790752,0.04030437665945879,0.4816031537450723,1.9429199570216154
6B,British Pound,FX,low,3,next_15m,1508,-0.5872907349933638,-1.9404738778705655,0.0016383502037999875,-0.04047653893059559,0.4449602122015915,1.9404738778705655
6C,Canadian Dollar,FX,low,12,next_60m,1527,-1.1686519843876362,-1.9392074348493455,0.003992723080060712,-0.063187997911476,0.44138834315651604,1.9392074348493455
RTY,E-mini Russell 2000,Equity,low,12,next_60m,1580,41.631824762038804,1.8944420411519776,0.0057808999561277385,0.07603222971955877,0.4911392405063291,1.8944420411519776
6J,Japanese Yen,FX,high,12,next_60m,1557,-0.5032691956127026,-1.8849328597908461,0.0019255100941886205,-0.04388063461469807,0.4482980089916506,1.8849328597908461
RTY,E-mini Russell 2000,Equity,low,1,next_5m,1591,5.923793311356377,1.866794461482159,0.001490155650242353,0.03860253424637279,0.502828409805154,1.866794461482159
SR3,Three-Month SOFR,Rates,low,3,next_15m,1545,-0.12526124619623846,-1.8079249877434185,0.002791039456464972,-0.05283028919535532,0.2977346278317152,1.8079249877434185
RTY,E-mini Russell 2000,Equity,low,6,next_30m,1586,22.49855749604657,1.7975702259727564,0.0034974323254717277,0.05913909303896784,0.5119798234552333,1.7975702259727564
6J,Japanese Yen,FX,high,6,next_30m,1566,-0.26157072764288686,-1.7631413513453549,0.0009737612723427214,-0.031205148170496647,0.41954022988505746,1.7631413513453549
6B,British Pound,FX,low,6,next_30m,1503,-0.8752414936667016,-1.7542587518214685,0.0019502202001552282,-0.04416129753704494,0.43446440452428475,1.7542587518214685
6C,Canadian Dollar,FX,low,1,next_5m,1543,-0.17503215368903213,-1.7460318973329017,0.0009875281832966154,-0.03142496115028028,0.3862605314322748,1.7460318973329017
ZN,10-Year U.S. Treasury Note,Rates,high,6,next_30m,1585,-0.7043635342297238,-1.6877190668385664,0.001316402626073021,-0.0362822632435319,0.39747634069400634,1.6877190668385664
6S,Swiss Franc,FX,high,1,next_5m,1404,-0.1826572340566646,-1.6862667778329654,0.0013396726879738585,-0.03660153942082023,0.4415954415954416,1.6862667778329654
