root,asset,asset_class,bucket,horizon_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate,abs_corr
NQ,E-mini Nasdaq-100,Equity,high,0,same_bar,1598,65.83232688959535,11.195992340720824,0.27564118029418516,0.5250154095778383,0.7747183979974969,0.5250154095778383
ES,E-mini S&P 500,Equity,high,0,same_bar,1600,34.818992708952756,9.124875860131183,0.1939472563367003,0.4403944326813183,0.693125,0.4403944326813183
ZN,10-Year U.S. Treasury Note,Rates,high,0,same_bar,1597,3.1985018034171295,10.683103466302434,0.1339396533250371,0.365977667795505,0.5272385723231058,0.365977667795505
SR3,Three-Month SOFR,Rates,high,0,same_bar,1588,0.44937186869566653,11.609103224925986,0.12659820217001427,0.35580641108616146,0.3702770780856423,0.35580641108616146
CL,WTI Crude Oil,Energy,high,0,same_bar,1611,39.59767851341168,12.518715406185168,0.126322011655988,0.3554180800915846,0.6672873991309746,0.3554180800915846
UB,Ultra U.S. Treasury Bond,Rates,high,0,same_bar,1581,4.900622968745341,11.944430025278846,0.12234169299737452,0.3497737740274057,0.5218216318785579,0.3497737740274057
ZF,5-Year U.S. Treasury Note,Rates,high,0,same_bar,1599,2.0456277508408682,10.43212759634078,0.12228259291729104,0.3496892805295737,0.5509693558474046,0.3496892805295737
ZB,U.S. Treasury Bond,Rates,high,0,same_bar,1574,4.144128211863639,11.993872545136645,0.11184534086871822,0.33443286451651,0.5139771283354511,0.33443286451651
DHB,Duration-Hedged IG Credit Index,Credit,high,0,same_bar,269,0.6537447670265787,5.696824259290557,0.10766647381996897,0.32812569820111404,0.3048327137546468,0.32812569820111404
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,0,same_bar,1589,2.749408258820514,11.701291804042908,0.09896810153834479,0.3145919603841534,0.5028319697923223,0.3145919603841534
ZT,2-Year U.S. Treasury Note,Rates,high,0,same_bar,1582,0.5616724995441177,12.482033271613027,0.08769330942651388,0.2961305614530758,0.48988621997471554,0.2961305614530758
DHY,Duration-Hedged HY Credit Index,Credit,high,0,same_bar,338,0.7457599781109128,5.600042303459053,0.07778187792278846,0.2788940263304124,0.4881656804733728,0.2788940263304124
DHB,Duration-Hedged IG Credit Index,Credit,low,0,same_bar,475,0.5532085598923682,5.594227068159458,0.07615586427958732,0.2759635198347553,0.29473684210526313,0.2759635198347553
RTY,E-mini Russell 2000,Equity,high,0,same_bar,1599,15.333963157371569,8.791291003639083,0.07531794834645522,0.274441156436959,0.6072545340838024,0.274441156436959
ZQ,30-Day Fed Funds,Rates,high,0,same_bar,859,0.11607933179734188,7.86153398247635,0.06913831252360647,0.2629416523177842,0.22118742724097787,0.2629416523177842
YM,E-mini Dow,Equity,high,0,same_bar,1593,12.722659172370895,11.457370171409528,0.06904052260846616,0.26275563287675896,0.6409290646578782,0.26275563287675896
6E,Euro FX,FX,high,0,same_bar,1604,1.6610999136423708,9.029732130424136,0.06744537118476923,0.2597024666512994,0.5879052369077307,0.2597024666512994
6C,Canadian Dollar,FX,high,0,same_bar,1542,0.9037234095949996,9.553926048225453,0.05743677646894141,0.23965970973224024,0.5123216601815823,0.23965970973224024
NQ,E-mini Nasdaq-100,Equity,low,0,same_bar,1596,80.37690483155498,7.1860347821539925,0.05727864519294401,0.23932957442185077,0.631578947368421,0.23932957442185077
6M,Mexican Peso,FX,high,0,same_bar,1446,1.390557166803626,11.672129971339924,0.056257599415449944,0.2371868449460257,0.4778699861687414,0.2371868449460257
