ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,-0.3333333333333333,-0.5977517849005013,-22.0,-3935.0,66.0,6583.0,66,36,-0.264418451567168,,,,-22.0,-3935.0,66,36,66.0,6583.0
2026-05-18 13:40:00+00:00,-0.04504504504504504,0.22300330312526467,-5.0,2633.0,111.0,11807.0,111,73,0.2680483481703097,,,,-27.0,-1302.0,177,109,177.0,18390.0
2026-05-18 13:45:00+00:00,0.009433962264150943,-0.047831855317366105,2.0,-685.0,212.0,14321.0,212,102,-0.057265817581517046,-0.1229814720380758,-0.1408601123642009,-0.017878640326125107,-25.0,-1987.0,389,211,389.0,32711.0
2026-05-18 13:50:00+00:00,0.1643835616438356,0.23609503710259377,72.0,6936.0,438.0,29378.0,438,138,0.07171147545875817,-0.05114021361759795,-0.04662132499750224,0.004518888620095711,47.0,4949.0,827,349,827.0,62089.0
2026-05-18 13:55:00+00:00,0.06077348066298342,0.2752872633112154,11.0,10206.0,181.0,37074.0,181,149,0.21451378264823195,-0.02875747476148167,0.017760392664241287,0.04651786742572296,58.0,15155.0,1008,498,1008.0,99163.0
2026-05-18 14:00:00+00:00,-0.09401709401709402,-0.40721773225574137,-11.0,-5089.0,117.0,12497.0,117,73,-0.31320063823864736,-0.03963407797075039,-0.05306929482242249,-0.013435216851672094,47.0,10066.0,1125,571,1125.0,111660.0
2026-05-18 14:05:00+00:00,0.3469387755102041,-0.16776617954070983,34.0,-2009.0,98.0,11975.0,98,75,-0.514704955050914,0.015590615383671671,-0.0694545640678921,-0.08504517945156378,81.0,8057.0,1223,646,1223.0,123635.0
2026-05-18 14:10:00+00:00,0.02197802197802198,0.17028817999691787,4.0,3315.0,182.0,19467.0,182,133,0.14831015801889588,0.01638904120796546,-0.03948672105979086,-0.055875762267756326,85.0,11372.0,1405,779,1405.0,143102.0
2026-05-18 14:15:00+00:00,0.32231404958677684,-0.15504067044614248,39.0,-1258.0,121.0,8114.0,121,52,-0.47735472003291934,0.05038070880561117,-0.052326048769385486,-0.10270675757499666,124.0,10114.0,1526,831,1526.0,151216.0
2026-05-18 14:20:00+00:00,0.6581196581196581,-0.29278932512188866,77.0,-1141.0,117.0,3897.0,117,32,-0.9509089832415467,0.11115460373701587,-0.0763723764046358,-0.18752698014165164,201.0,8973.0,1643,863,1643.0,155113.0
