ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,-0.3333333333333333,-1.0,-1.0,-130.0,3.0,130.0,3,1,-0.6666666666666667,,,,-1.0,-130.0,3,1,3.0,130.0
2026-05-18 13:40:00+00:00,0.5,-1.0,2.0,-54.0,4.0,54.0,4,1,-1.5,,,,1.0,-184.0,7,2,7.0,184.0
2026-05-18 13:45:00+00:00,0.30434782608695654,0.39282589676290464,7.0,449.0,23.0,1143.0,23,11,0.0884780706759481,0.1570048309178744,-0.5357247010790318,-0.6927295319969061,8.0,265.0,30,13,30.0,1327.0
2026-05-18 13:50:00+00:00,-0.2558139534883721,-0.6682464454976303,-11.0,-846.0,43.0,1266.0,43,12,-0.41243249200925824,0.05380013481631278,-0.5688551371836814,-0.6226552719999943,-3.0,-581.0,73,25,73.0,2593.0
2026-05-18 13:55:00+00:00,-0.2631578947368421,-0.8457556935817805,-5.0,-1634.0,19.0,1932.0,19,11,-0.5825977988449385,-0.009591471094318193,-0.6242352484633013,-0.6146437773689831,-8.0,-2215.0,92,36,92.0,4525.0
2026-05-18 14:00:00+00:00,-0.5609756097560976,-0.6524216524216524,-23.0,-687.0,41.0,1053.0,41,10,-0.09144604266555478,-0.10148882753794809,-0.6289329824563598,-0.5274441549184117,-31.0,-2902.0,133,46,133.0,5578.0
2026-05-18 14:05:00+00:00,-0.30434782608695654,-0.6713615023474179,-7.0,-143.0,23.0,213.0,23,4,-0.36701367626046133,-0.13046868447352072,-0.6349941995836538,-0.5045255151101331,-38.0,-3045.0,156,50,156.0,5791.0
2026-05-18 14:10:00+00:00,-0.4838709677419355,0.1946064139941691,-15.0,534.0,31.0,2744.0,31,21,0.6784773817361046,-0.1746439698820726,-0.531294122886426,-0.3566501530043533,-53.0,-2511.0,187,71,187.0,8535.0
2026-05-18 14:15:00+00:00,-0.9166666666666666,-1.0,-22.0,-484.0,24.0,484.0,24,3,-0.08333333333333337,-0.25709093619147194,-0.583372553676823,-0.3262816174853511,-75.0,-2995.0,211,74,211.0,9019.0
2026-05-18 14:20:00+00:00,-1.0,-0.014492753623188406,-19.0,-1.0,19.0,69.0,19,2,0.9855072463768116,-0.3313818425723247,-0.5264845736714595,-0.19510273109913484,-94.0,-2996.0,230,76,230.0,9088.0
2026-05-18 14:25:00+00:00,-0.3333333333333333,-1.0,-9.0,-883.0,27.0,883.0,27,8,-0.6666666666666667,-0.33155925082332555,-0.5695314306104179,-0.2379721797870923,-103.0,-3879.0,257,84,257.0,9971.0
2026-05-18 14:30:00+00:00,-0.16666666666666666,-1.0,-2.0,-410.0,12.0,410.0,12,1,-0.8333333333333334,-0.31781820214360396,-0.605403811392883,-0.28758560924927906,-105.0,-4289.0,269,85,269.0,10381.0
2026-05-18 14:35:00+00:00,-0.1111111111111111,-0.8885630498533724,-1.0,-606.0,9.0,682.0,9,9,-0.7774519387422614,-0.30191765667956605,-0.6271852912744591,-0.32526763459489305,-106.0,-4895.0,278,94,278.0,11063.0
2026-05-18 14:40:00+00:00,-0.30434782608695654,-0.9371345029239766,-7.0,-1282.0,23.0,1368.0,23,5,-0.6327866768370201,-0.30209124020866535,-0.6493245206779961,-0.3472332804693307,-113.0,-6177.0,301,99,301.0,12431.0
2026-05-18 14:45:00+00:00,-0.23076923076923078,-1.0,-3.0,-42.0,13.0,42.0,13,1,-0.7692307692307692,-0.2973364395793697,-0.6727028859661297,-0.37536644638676,-116.0,-6219.0,314,100,314.0,12473.0
2026-05-18 14:50:00+00:00,1.0,0.0,8.0,0.0,8.0,0.0,8,0,-1.0,-0.2162529121056591,-0.6306589555932466,-0.41440604348758747,-108.0,-6219.0,322,100,322.0,12473.0
2026-05-18 14:55:00+00:00,-0.6,-1.0,-3.0,-319.0,5.0,319.0,5,2,-0.4,-0.2388262702170909,-0.6523848993818792,-0.4135586291647882,-111.0,-6538.0,327,102,327.0,12792.0
2026-05-18 15:00:00+00:00,-1.0,0.0,-2.0,0.0,2.0,0.0,2,0,1.0,-0.28111369964947475,-0.6161412938606636,-0.33502759421118883,-113.0,-6538.0,329,102,329.0,12792.0
2026-05-18 15:05:00+00:00,-0.2727272727272727,-0.6888888888888889,-12.0,-1240.0,44.0,1800.0,44,19,-0.4161616161616162,-0.28067230875883253,-0.6199701146516228,-0.3392978058927903,-125.0,-7778.0,373,121,373.0,14592.0
2026-05-18 15:10:00+00:00,0.09090909090909091,-0.10954063604240283,3.0,-310.0,33.0,2830.0,33,11,-0.20044972695149374,-0.26209323877543633,-0.5944486407211619,-0.33235540194572544,-122.0,-8088.0,406,132,406.0,17422.0
2026-05-18 15:15:00+00:00,-0.7096774193548387,-1.0,-44.0,-4685.0,62.0,4685.0,62,16,-0.29032258064516125,-0.28091044307651164,-0.5944486407211619,-0.3135381976446502,-166.0,-12773.0,468,148,468.0,22107.0
2026-05-18 15:20:00+00:00,0.7142857142857143,-0.5810443706610323,5.0,-1925.0,7.0,3313.0,7,14,-1.2953300849467466,-0.2701961573622259,-0.5735008592542135,-0.30330470189198755,-161.0,-14698.0,475,162,475.0,25420.0
2026-05-18 15:25:00+00:00,-0.625,0.0,-10.0,0.0,16.0,0.0,16,0,0.625,-0.31666354866657376,-0.5931421540923586,-0.2764786054257849,-171.0,-14698.0,491,162,491.0,25420.0
2026-05-18 15:30:00+00:00,-0.1111111111111111,-1.0,-1.0,-92.0,9.0,92.0,9,1,-0.8888888888888888,-0.3094284065477107,-0.6097298318174771,-0.30030142526976644,-172.0,-14790.0,500,163,500.0,25512.0
2026-05-18 15:35:00+00:00,-1.0,0.0,-4.0,0.0,4.0,0.0,4,0,1.0,-0.3462705118108686,-0.5674420471383881,-0.22117153532751951,-176.0,-14790.0,504,163,504.0,25512.0
2026-05-18 15:40:00+00:00,0.0,-0.6479017400204709,0.0,-633.0,8.0,977.0,8,6,-0.6479017400204709,-0.31822173132306375,-0.5672160515183291,-0.2489943201952653,-176.0,-15423.0,512,169,512.0,26489.0
2026-05-18 15:45:00+00:00,0.0,1.0,0.0,218.0,16.0,218.0,16,1,1.0,-0.3030043400187159,-0.48364797640095814,-0.18064363638224226,-176.0,-15205.0,528,170,528.0,26707.0
2026-05-18 15:50:00+00:00,0.3333333333333333,0.5578703703703703,1.0,482.0,3.0,864.0,3,6,0.22453703703703703,-0.26214412496495243,-0.4654847785821481,-0.20334065361719564,-175.0,-14723.0,531,176,531.0,27571.0
2026-05-18 15:55:00+00:00,0.3333333333333333,-1.0,4.0,-83.0,12.0,83.0,12,1,-1.3333333333333333,-0.19964412496495246,-0.4654847785821481,-0.26584065361719567,-171.0,-14806.0,543,177,543.0,27654.0
2026-05-18 16:00:00+00:00,-0.2,0.0,-1.0,0.0,5.0,0.0,5,0,0.2,-0.15964412496495245,-0.4647601409009886,-0.3051160159360362,-172.0,-14806.0,548,177,548.0,27654.0
2026-05-18 16:05:00+00:00,-0.11864406779661017,-0.5910935497650577,-7.0,-22140.0,59.0,37456.0,59,59,-0.4724494819684475,-0.14890966168811628,-0.4443148183892415,-0.2954051567011252,-179.0,-36946.0,607,236,607.0,65110.0
2026-05-18 16:10:00+00:00,-0.1111111111111111,1.0,-1.0,1166.0,9.0,1166.0,9,5,1.1111111111111112,-0.14613188391033852,-0.3443148183892416,-0.19818293447890306,-180.0,-35780.0,616,241,616.0,66276.0
2026-05-18 16:15:00+00:00,-0.6666666666666666,-1.0,-4.0,-245.0,6.0,245.0,6,1,-0.33333333333333337,-0.17390966168811628,-0.34988666589657297,-0.17597700420845663,-184.0,-36025.0,622,242,622.0,66521.0
2026-05-18 16:20:00+00:00,0.8333333333333334,0.5432358170357201,10.0,3361.0,12.0,6187.0,12,24,-0.29009751629761327,-0.1170256037171018,-0.2758681498985881,-0.1588425461814863,-174.0,-32664.0,634,266,634.0,72708.0
2026-05-18 16:25:00+00:00,-0.9333333333333333,-0.6930968155588801,-56.0,-3243.0,60.0,4679.0,60,17,0.2402365177744532,-0.1521538088453069,-0.2605229906765321,-0.10836918183122517,-230.0,-35907.0,694,283,694.0,77387.0
2026-05-18 16:30:00+00:00,-0.5555555555555556,-0.9055712936732767,-5.0,-959.0,9.0,1059.0,9,4,-0.35001573811772113,-0.22993158662308472,-0.30580155536019593,-0.07586996873711124,-235.0,-36866.0,703,287,703.0,78446.0
