ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,0.09090909090909091,-0.03509463722397476,12.0,-178.0,132.0,5072.0,132,33,-0.12600372813306568,,,,12.0,-178.0,132,33,132.0,5072.0
2026-05-18 13:40:00+00:00,-0.32751091703056767,0.17243384704856063,-75.0,593.0,229.0,3439.0,229,29,0.4999447640791283,,,,-63.0,415.0,361,62,361.0,8511.0
2026-05-18 13:45:00+00:00,0.0576271186440678,0.10296252027661573,34.0,2412.0,590.0,23426.0,590,134,0.045335401632547935,-0.059658235825802985,0.08010057670040054,0.1397588125262035,-29.0,2827.0,951,196,951.0,31937.0
2026-05-18 13:50:00+00:00,-0.11067961165048544,0.3933529659234329,-57.0,6545.0,515.0,16639.0,515,139,0.5040325775739183,-0.0724135797819736,0.15841367400615863,0.2308272537881322,-86.0,9372.0,1466,335,1466.0,48576.0
2026-05-18 13:55:00+00:00,-0.12962962962962962,0.23941283450246817,-42.0,3686.0,324.0,15396.0,324,89,0.3690424641320978,-0.08385678975150482,0.17461350610542054,0.2584702958569253,-128.0,13058.0,1790,424,1790.0,63972.0
2026-05-18 14:00:00+00:00,0.0033444816053511705,-0.23148522865236745,1.0,-1144.0,299.0,4942.0,299,38,-0.23482971025771862,-0.06932324452536213,0.1069303836457892,0.17625362817115134,-127.0,11914.0,2089,462,2089.0,68914.0
2026-05-18 14:05:00+00:00,-0.13744075829383887,-0.38229078613694,-58.0,-3618.0,422.0,9464.0,422,66,-0.24485002784310114,-0.07905431792085882,0.03704164510539931,0.11609596302625813,-185.0,8296.0,2511,528,2511.0,78378.0
2026-05-18 14:10:00+00:00,0.048859934853420196,-0.13763853228899217,30.0,-4235.0,614.0,30769.0,614,128,-0.18649846714241236,-0.06306503632407394,0.015206622931100377,0.07827165925517432,-155.0,4061.0,3125,656,3125.0,109147.0
2026-05-18 14:15:00+00:00,0.48059701492537316,0.04240282685512368,161.0,288.0,335.0,6792.0,335,62,-0.43819418807024946,-0.0026581417408020397,0.018228423367102967,0.020886565107905004,6.0,4349.0,3460,718,3460.0,115939.0
2026-05-18 14:20:00+00:00,-0.02564102564102564,-0.1736395952966913,-7.0,-635.0,273.0,3657.0,273,36,-0.14799856965566566,-0.0049564301308243994,-0.0009583784992764604,0.003998051631547939,-1.0,3714.0,3733,754,3733.0,119596.0
2026-05-18 14:25:00+00:00,0.3202846975088968,-0.4848185284564327,180.0,-3433.0,562.0,7081.0,562,55,-0.8051032259653295,0.024610945109150253,-0.044945664859017936,-0.06955660996816819,179.0,281.0,4295,809,4295.0,126677.0
2026-05-18 14:30:00+00:00,0.0891089108910891,0.002459419576979833,18.0,5.0,202.0,2033.0,202,20,-0.08664949131410928,0.02998577559097849,-0.040995241156018124,-0.07098101674699661,197.0,286.0,4497,829,4497.0,128710.0
2026-05-18 14:35:00+00:00,0.29333333333333333,-0.4708333333333333,132.0,-3164.0,450.0,6720.0,450,56,-0.7641666666666667,0.050243280032698096,-0.07405970978504237,-0.12430298981774045,329.0,-2878.0,4947,885,4947.0,135430.0
2026-05-18 14:40:00+00:00,0.15384615384615385,0.05175438596491228,72.0,236.0,468.0,4560.0,468,35,-0.10209176788124158,0.05764348530508779,-0.0650729886600456,-0.1227164739651334,401.0,-2642.0,5415,920,5415.0,139990.0
2026-05-18 14:45:00+00:00,0.3316062176165803,-0.14913877608178128,128.0,-1065.0,386.0,7141.0,386,47,-0.4807449936983616,0.07590766745918728,-0.07067737448816132,-0.14658504194734862,529.0,-3707.0,5801,967,5801.0,147131.0
2026-05-18 14:50:00+00:00,-0.04918032786885246,0.2177293934681182,-12.0,840.0,244.0,3858.0,244,30,0.26690972133697066,0.0680896677511848,-0.05265195149089385,-0.12074161924207866,517.0,-2867.0,6045,997,6045.0,150989.0
2026-05-18 14:55:00+00:00,-0.19090909090909092,-0.38985915492957746,-42.0,-1384.0,220.0,3550.0,220,23,-0.19895006402048654,0.05285444665352153,-0.07248766934022818,-0.12534211599374973,475.0,-4251.0,6265,1020,6265.0,154539.0
2026-05-18 15:00:00+00:00,-0.3785310734463277,0.016652059596844872,-67.0,38.0,177.0,2282.0,177,19,0.39518313304317254,0.028888584425752126,-0.06753546217705746,-0.09642404660280958,408.0,-4213.0,6442,1039,6442.0,156821.0
2026-05-18 15:05:00+00:00,0.06358381502890173,-0.1355500755707581,55.0,-3408.0,865.0,25142.0,865,188,-0.19913389059965983,0.030714649194338948,-0.07111517867146275,-0.1018298278658017,463.0,-7621.0,7307,1227,7307.0,181963.0
2026-05-18 15:10:00+00:00,0.07857142857142857,-0.20649315316949307,22.0,-2277.0,280.0,11027.0,280,72,-0.28506458174092164,0.033107488163193435,-0.07788407739636427,-0.11099156555955769,485.0,-9898.0,7587,1299,7587.0,192990.0
2026-05-18 15:15:00+00:00,0.0297029702970297,-0.16385135135135134,9.0,-970.0,303.0,5920.0,303,43,-0.19355432164838104,0.030047182132590368,-0.0843219131027331,-0.11436909523532346,494.0,-10868.0,7890,1342,7890.0,198910.0
2026-05-18 15:20:00+00:00,-0.01507537688442211,0.03255011856003449,-3.0,151.0,199.0,4639.0,199,27,0.0476254954444566,0.045668959139897644,-0.0913160995271594,-0.13698505866705707,491.0,-10717.0,8089,1369,8089.0,203549.0
2026-05-18 15:25:00+00:00,0.2964426877470356,-0.2713114754098361,75.0,-1324.0,253.0,4880.0,253,37,-0.5677541631568717,0.05760973759504604,-0.110029799311482,-0.16763953690652805,566.0,-12041.0,8342,1406,8342.0,208429.0
2026-05-18 15:30:00+00:00,0.02127659574468085,-0.07983031237948322,5.0,-414.0,235.0,5186.0,235,46,-0.10110690812416408,0.06420754796480435,-0.1336889632266278,-0.19789651119143215,571.0,-12455.0,8577,1452,8577.0,213615.0
2026-05-18 15:35:00+00:00,-0.042735042735042736,0.161138454953991,-15.0,753.0,351.0,4673.0,351,40,0.20387349768903373,0.0685522773095337,-0.13760268220405164,-0.20615495951358534,556.0,-11702.0,8928,1492,8928.0,218288.0
2026-05-18 15:40:00+00:00,0.48031496062992124,0.4563291139240506,122.0,1442.0,254.0,3160.0,254,30,-0.023985846705870617,0.0924008012607622,-0.10321196507523075,-0.19561276633599295,678.0,-10260.0,9182,1522,9182.0,221448.0
2026-05-18 15:45:00+00:00,-0.3920704845814978,-0.14821124361158433,-89.0,-348.0,227.0,2348.0,227,32,0.24385924096991346,0.07966931494637926,-0.09150798794896296,-0.17117730289534222,589.0,-10608.0,9409,1554,9409.0,223796.0
2026-05-18 15:50:00+00:00,0.6419753086419753,-0.07996874185985933,104.0,-307.0,162.0,3839.0,162,37,-0.7219440505018346,0.10932508363580702,-0.08862449842750633,-0.19794958206331334,693.0,-10915.0,9571,1591,9571.0,227635.0
2026-05-18 15:55:00+00:00,0.22162162162162163,0.09067145891194249,82.0,555.0,370.0,6121.0,370,57,-0.13095016270967913,0.09637631397061944,-0.08621106682466538,-0.18258738079528483,775.0,-10360.0,9941,1648,9941.0,233756.0
2026-05-18 16:00:00+00:00,-0.26693227091633465,-0.18088432335864224,-67.0,-1620.0,251.0,8956.0,251,63,0.0860479475576924,0.08431175170685398,-0.08657330322776294,-0.1708850549346169,708.0,-11980.0,10192,1711,10192.0,242712.0
2026-05-18 16:05:00+00:00,-0.0847457627118644,-0.12464788732394366,-20.0,-354.0,236.0,2840.0,236,29,-0.03990212461207926,0.06406022869581593,-0.06856477117113849,-0.13262499986695442,688.0,-12334.0,10428,1740,10428.0,245552.0
2026-05-18 16:10:00+00:00,0.015151515151515152,-0.05283505154639175,2.0,-82.0,132.0,1552.0,132,16,-0.0679865666979069,0.06036235890883722,-0.07132949472730707,-0.13169185363614427,690.0,-12416.0,10560,1756,10560.0,247104.0
2026-05-18 16:15:00+00:00,0.17647058823529413,0.5011337868480725,21.0,1768.0,119.0,3528.0,119,16,0.32466319861277837,0.05451922165393527,-0.02273113871823677,-0.07725036037217203,711.0,-10648.0,10679,1772,10679.0,250632.0
2026-05-18 16:20:00+00:00,-0.13924050632911392,0.11604383253722955,-22.0,413.0,158.0,3559.0,158,31,0.2552843388663435,0.039864888645171875,-0.01951666638962091,-0.05938155503479279,689.0,-10235.0,10837,1803,10837.0,254191.0
2026-05-18 16:25:00+00:00,0.3927710843373494,-0.0691063829787234,163.0,-812.0,415.0,11750.0,415,86,-0.4618774673160728,0.042923131981210325,-0.015515046734468014,-0.058438178715678336,852.0,-11047.0,11252,1889,11252.0,265941.0
2026-05-18 16:30:00+00:00,0.025210084033613446,-0.17416764263008197,6.0,-2082.0,238.0,11954.0,238,91,-0.1993777266636954,0.046642652576333626,-0.03510989853937803,-0.08175255111571164,858.0,-13129.0,11490,1980,11490.0,277895.0
2026-05-18 16:35:00+00:00,0.056105610561056105,0.1313454029108981,17.0,740.0,303.0,5634.0,303,46,0.075239792349842,0.05899338764984098,-0.009049670647354244,-0.06804305829719522,875.0,-12389.0,11793,2026,11793.0,283529.0
2026-05-18 16:40:00+00:00,-0.255663430420712,0.21636463481603516,-79.0,788.0,309.0,3642.0,309,31,0.4720280652367471,0.06513676980112175,0.0009359581136052702,-0.06420081168751648,796.0,-11601.0,12102,2057,12102.0,287171.0
2026-05-18 16:45:00+00:00,0.391304347826087,-0.009686609686609686,45.0,-17.0,115.0,1755.0,115,16,-0.40099095751269664,0.08152279644098101,0.0072291314078126905,-0.07429366503316832,841.0,-11618.0,12217,2073,12217.0,288926.0
2026-05-18 16:50:00+00:00,-0.38144329896907214,0.5641952983725136,-37.0,624.0,97.0,1106.0,97,12,0.9456385973415857,0.058522060063955994,0.045763553984913025,-0.012758506079042964,804.0,-10994.0,12314,2085,12314.0,290032.0
2026-05-18 16:55:00+00:00,0.0896551724137931,0.24807527801539778,13.0,1160.0,145.0,4676.0,145,17,0.1584201056016047,0.06151967016979416,0.06635988545325049,0.004840215283456328,817.0,-9834.0,12459,2102,12459.0,294708.0
2026-05-18 17:00:00+00:00,0.16129032258064516,-0.38256282966180577,25.0,-1233.0,155.0,3223.0,155,30,-0.5438531522424509,0.07033795514304751,0.04560423804215847,-0.024733717100889046,842.0,-11067.0,12614,2132,12614.0,297931.0
2026-05-18 17:05:00+00:00,0.4331983805668016,0.04627930682976555,107.0,227.0,247.0,4905.0,247,45,-0.38691907373703605,0.07717573978403583,0.06148377715413854,-0.015691962629897267,949.0,-10840.0,12861,2177,12861.0,302836.0
