ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,0.05142857142857143,0.10740072202166065,9.0,238.0,175.0,2216.0,175,30,0.05597215059308922,,,,9.0,238.0,175,30,175.0,2216.0
2026-05-18 13:40:00+00:00,-0.2463768115942029,-0.3022432113341204,-34.0,-512.0,138.0,1694.0,138,28,-0.0558663997399175,,,,-25.0,-274.0,313,58,313.0,3910.0
2026-05-18 13:45:00+00:00,0.2052401746724891,0.07096098455092956,47.0,271.0,229.0,3819.0,229,46,-0.13427919012155953,0.0034306448356192045,-0.041293834920510065,-0.044724479756129275,22.0,-3.0,542,104,542.0,7729.0
2026-05-18 13:50:00+00:00,-0.024242424242424242,0.26423135464231357,-8.0,1736.0,330.0,6570.0,330,78,0.2884737788847378,-0.003487622433891657,0.03508746247019584,0.038575084904087495,14.0,1733.0,872,182,872.0,14299.0
2026-05-18 13:55:00+00:00,-0.2696629213483146,0.31166347992351817,-48.0,978.0,178.0,3138.0,178,31,0.5813264012718328,-0.056722682216776246,0.0904026659608603,0.14712534817763653,-34.0,2711.0,1050,213,1050.0,17437.0
2026-05-18 14:00:00+00:00,0.04242424242424243,-0.2577696526508227,7.0,-846.0,165.0,3282.0,165,35,-0.3001938950750651,-0.040198194776606466,0.032373946192246476,0.07257214096885295,-27.0,1865.0,1215,248,1215.0,20719.0
2026-05-18 14:05:00+00:00,-0.20279720279720279,0.20440513932921742,-29.0,1225.0,143.0,5993.0,143,57,0.4072023421264202,-0.06342662449383452,0.05694983092609946,0.120376455419934,-56.0,3090.0,1358,305,1358.0,26712.0
2026-05-18 14:10:00+00:00,0.08227848101265822,-0.15155075187969924,26.0,-1290.0,316.0,8512.0,316,90,-0.23382923289235746,-0.045213486305522924,0.030887258075374627,0.07610074438089756,-30.0,1800.0,1674,395,1674.0,35224.0
2026-05-18 14:15:00+00:00,0.046153846153846156,-0.22181146025878004,9.0,-1440.0,195.0,6492.0,195,61,-0.26796530641262617,-0.03506156047670413,0.0028096227049129977,0.03787118318161714,-21.0,360.0,1869,456,1869.0,41716.0
2026-05-18 14:20:00+00:00,0.26262626262626265,0.3227431228206122,52.0,833.0,198.0,2581.0,198,33,0.06011686019434953,-0.005292778166407453,0.034802972716482916,0.04009575088289038,31.0,1193.0,2067,489,2067.0,44297.0
2026-05-18 14:25:00+00:00,0.036036036036036036,-0.22606689734717417,8.0,-784.0,222.0,3468.0,222,52,-0.2621029333832102,-0.00153561323891259,0.011087529983423182,0.01262314322233578,39.0,409.0,2289,541,2289.0,47765.0
2026-05-18 14:30:00+00:00,-0.038461538461538464,-0.5192660550458715,-4.0,-566.0,104.0,1090.0,104,19,-0.4808045165843331,-0.004612773674131413,-0.03310860210235138,-0.02849582842821996,35.0,-157.0,2393,560,2393.0,48855.0
2026-05-18 14:35:00+00:00,0.18694362017804153,0.17583408476104598,63.0,1170.0,337.0,6654.0,337,101,-0.011109535416995553,0.010122333545266506,-0.01703608772824389,-0.02715842127351039,98.0,1013.0,2730,661,2730.0,55509.0
2026-05-18 14:40:00+00:00,0.2670157068062827,0.2528370403994553,51.0,557.0,191.0,2203.0,191,36,-0.014178666406827412,0.028471860206767667,0.0022405642808774823,-0.02623129592589018,149.0,1570.0,2921,697,2921.0,57712.0
2026-05-18 14:45:00+00:00,-0.22448979591836735,-0.1212421539478031,-33.0,-367.0,147.0,3027.0,147,39,0.10324764197056424,0.011607749798425332,-0.00599161693436789,-0.017599366732793217,116.0,1203.0,3068,736,3068.0,60739.0
2026-05-18 14:50:00+00:00,0.12,0.43141497187364775,12.0,997.0,100.0,2311.0,100,24,0.31141497187364775,0.018382265436023747,0.021346294866133087,0.002964029430109344,128.0,2200.0,3168,760,3168.0,63050.0
2026-05-18 14:55:00+00:00,-0.11515151515151516,0.18280909374026783,-19.0,587.0,165.0,3211.0,165,38,0.297960608891783,0.01052733716616852,0.0308441065646116,0.02031676939844309,109.0,2787.0,3333,798,3333.0,66261.0
2026-05-18 15:00:00+00:00,-0.2714285714285714,0.10926234054353855,-38.0,197.0,140.0,1803.0,140,17,0.38069091197210997,-0.005136879977983699,0.03520067511899643,0.04033755509698014,71.0,2984.0,3473,815,3473.0,68064.0
2026-05-18 15:05:00+00:00,-0.036328871892925434,-0.1943217665615142,-19.0,-2464.0,523.0,12680.0,523,160,-0.15799289466858876,-0.006778563762980632,0.023120546609495873,0.02989911037247651,52.0,520.0,3996,975,3996.0,80744.0
2026-05-18 15:10:00+00:00,-0.09502262443438914,0.22818517001229005,-21.0,1114.0,221.0,4882.0,221,63,0.3232077944466792,-0.011190766796551057,0.033373777779635586,0.044564544576186645,31.0,1634.0,4217,1038,4217.0,85626.0
2026-05-18 15:15:00+00:00,0.36936936936936937,-0.34067871308946673,41.0,-773.0,111.0,2269.0,111,26,-0.7100480824588361,0.004706273100488839,0.010969806024079213,0.006263532923590376,72.0,861.0,4328,1064,4328.0,87895.0
2026-05-18 15:20:00+00:00,0.36,0.15916296766011415,36.0,251.0,100.0,1577.0,100,25,-0.20083703233988584,0.035025113680198984,0.03404011497379094,-0.0009849987064080399,108.0,1112.0,4428,1089,4428.0,89472.0
2026-05-18 15:25:00+00:00,0.18627450980392157,0.19200484554815264,38.0,317.0,204.0,1651.0,204,26,0.005730335744231069,0.03407683043677061,0.04009230802365209,0.00601547758688149,146.0,1429.0,4632,1115,4632.0,91123.0
2026-05-18 15:30:00+00:00,0.024691358024691357,-0.21838207368021267,8.0,-575.0,324.0,2633.0,324,44,-0.24307343170490403,0.03652351955012639,0.015961636607525777,-0.020561882942600602,154.0,854.0,4956,1159,4956.0,93756.0
2026-05-18 15:35:00+00:00,0.018867924528301886,-0.005893909626719057,2.0,-12.0,106.0,2036.0,106,24,-0.024761834155020944,0.050950061843957214,8.376713001391673e-05,-0.050866294713943286,156.0,842.0,5062,1183,5062.0,95792.0
2026-05-18 15:40:00+00:00,0.5384615384615384,0.48216106014271154,56.0,473.0,104.0,981.0,104,16,-0.056300478318826896,0.07575192664582202,0.03708030276969063,-0.03867162387613138,212.0,1315.0,5166,1199,5166.0,96773.0
