ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:50:00+00:00,-1.0,0.0,-1.0,0.0,1.0,0.0,1,0,1.0,,,,-1.0,0.0,1,0,1.0,0.0
2026-05-18 13:55:00+00:00,-1.0,0.0,-1.0,0.0,1.0,0.0,1,0,1.0,,,,-2.0,0.0,2,0,2.0,0.0
2026-05-18 14:00:00+00:00,-1.0,0.0,-3.0,0.0,3.0,0.0,3,0,1.0,-1.0,0.0,1.0,-5.0,0.0,5,0,5.0,0.0
2026-05-18 14:05:00+00:00,0.0,0.0,0.0,0.0,2.0,0.0,2,0,0.0,-0.75,0.0,0.75,-5.0,0.0,7,0,7.0,0.0
2026-05-18 14:10:00+00:00,0.42857142857142855,1.0,3.0,8.0,7.0,8.0,7,1,0.5714285714285714,-0.5142857142857143,0.2,0.7142857142857142,-2.0,8.0,14,1,14.0,8.0
2026-05-18 14:15:00+00:00,-0.5,0.0,-2.0,0.0,4.0,0.0,4,0,0.5,-0.511904761904762,0.16666666666666666,0.6785714285714285,-4.0,8.0,18,1,18.0,8.0
2026-05-18 14:20:00+00:00,-1.0,0.0,-1.0,0.0,1.0,0.0,1,0,1.0,-0.5816326530612245,0.14285714285714285,0.7244897959183673,-5.0,8.0,19,1,19.0,8.0
2026-05-18 14:25:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,1,0,-1.0,-0.3839285714285714,0.125,0.5089285714285714,-4.0,8.0,20,1,20.0,8.0
2026-05-18 14:30:00+00:00,-1.0,0.0,-1.0,0.0,1.0,0.0,1,0,1.0,-0.45238095238095233,0.1111111111111111,0.5634920634920635,-5.0,8.0,21,1,21.0,8.0
2026-05-18 14:35:00+00:00,-1.0,0.0,-1.0,0.0,1.0,0.0,1,0,1.0,-0.5071428571428571,0.1,0.6071428571428571,-6.0,8.0,22,1,22.0,8.0
2026-05-18 15:00:00+00:00,0.0,0.5789473684210527,0.0,11.0,2.0,19.0,2,2,0.5789473684210527,-0.461038961038961,0.14354066985645933,0.6045796308954204,-6.0,19.0,24,3,24.0,27.0
2026-05-18 15:05:00+00:00,0.5,0.0,2.0,0.0,4.0,16.0,4,3,-0.5,-0.38095238095238093,0.13157894736842105,0.5125313283208021,-4.0,19.0,28,6,28.0,43.0
2026-05-18 15:10:00+00:00,1.0,0.0,2.0,0.0,2.0,0.0,2,0,-1.0,-0.2747252747252747,0.12145748987854252,0.39618276460381724,-2.0,19.0,30,6,30.0,43.0
2026-05-18 15:15:00+00:00,0.0,-1.0,0.0,-4.0,6.0,4.0,6,1,-1.0,-0.25510204081632654,0.04135338345864662,0.2964554242749732,-2.0,15.0,36,7,36.0,47.0
2026-05-18 15:25:00+00:00,0.3333333333333333,1.0,1.0,4.0,3.0,4.0,3,1,0.6666666666666667,-0.21587301587301588,0.10526315789473685,0.32113617376775266,-1.0,19.0,39,8,39.0,51.0
2026-05-18 15:30:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,1,0,-1.0,-0.13988095238095238,0.09868421052631579,0.23856516290726817,0.0,19.0,40,8,40.0,51.0
2026-05-18 15:35:00+00:00,1.0,0.0,2.0,0.0,2.0,0.0,2,0,-1.0,-0.07282913165266107,0.09287925696594428,0.16570838861860535,2.0,19.0,42,8,42.0,51.0
2026-05-18 15:40:00+00:00,0.3333333333333333,0.0,1.0,0.0,3.0,0.0,3,0,-0.3333333333333333,-0.05026455026455027,0.08771929824561403,0.1379838485101643,3.0,19.0,45,8,45.0,51.0
2026-05-18 15:45:00+00:00,0.6666666666666666,0.0,4.0,0.0,6.0,0.0,6,0,-0.6666666666666666,-0.012531328320802008,0.08310249307479224,0.09563382139559425,7.0,19.0,51,8,51.0,51.0
2026-05-18 15:55:00+00:00,0.0,0.0,0.0,0.0,2.0,0.0,2,0,0.0,-0.011904761904761908,0.07894736842105263,0.09085213032581455,7.0,19.0,53,8,53.0,51.0
2026-05-18 16:00:00+00:00,1.0,0.0,3.0,0.0,3.0,0.0,3,0,-1.0,0.08809523809523809,0.07894736842105263,-0.00914786967418546,10.0,19.0,56,8,56.0,51.0
2026-05-18 16:15:00+00:00,-1.0,0.0,-1.0,0.0,1.0,0.0,1,0,1.0,0.08809523809523809,0.07894736842105263,-0.00914786967418546,9.0,19.0,57,8,57.0,51.0
