ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:55:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,1,0,-1.0,,,,1.0,0.0,1,0,1.0,0.0
2026-05-18 14:05:00+00:00,0.0,1.0,0.0,6.0,0.0,6.0,0,1,1.0,,,,1.0,6.0,1,1,1.0,6.0
2026-05-18 14:10:00+00:00,1.0,0.0,2.0,0.0,2.0,0.0,2,0,-1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,3.0,6.0,3,1,3.0,6.0
2026-05-18 14:15:00+00:00,1.0,0.0,2.0,0.0,2.0,0.0,2,0,-1.0,0.75,0.25,-0.5,5.0,6.0,5,1,5.0,6.0
2026-05-18 14:35:00+00:00,-1.0,0.0,-4.0,0.0,4.0,0.0,4,0,1.0,0.4,0.2,-0.2,1.0,6.0,9,1,9.0,6.0
2026-05-18 14:40:00+00:00,0.0,0.0,0.0,0.0,4.0,0.0,4,0,0.0,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1.0,6.0,13,1,13.0,6.0
2026-05-18 14:45:00+00:00,0.2,0.0,1.0,0.0,5.0,0.0,5,0,-0.2,0.31428571428571433,0.14285714285714285,-0.17142857142857143,2.0,6.0,18,1,18.0,6.0
2026-05-18 14:50:00+00:00,1.0,0.0,4.0,0.0,4.0,0.0,4,0,-1.0,0.4,0.125,-0.275,6.0,6.0,22,1,22.0,6.0
2026-05-18 14:55:00+00:00,1.0,0.0,3.0,0.0,3.0,0.0,3,0,-1.0,0.4666666666666667,0.1111111111111111,-0.35555555555555557,9.0,6.0,25,1,25.0,6.0
2026-05-18 15:00:00+00:00,1.0,0.0,3.0,0.0,3.0,0.0,3,0,-1.0,0.52,0.1,-0.42000000000000004,12.0,6.0,28,1,28.0,6.0
2026-05-18 15:10:00+00:00,0.0,0.0,0.0,0.0,4.0,0.0,4,0,0.0,0.4727272727272727,0.09090909090909091,-0.38181818181818183,12.0,6.0,32,1,32.0,6.0
2026-05-18 15:15:00+00:00,0.3333333333333333,0.0,1.0,0.0,3.0,0.0,3,0,-0.3333333333333333,0.4611111111111111,0.08333333333333333,-0.37777777777777777,13.0,6.0,35,1,35.0,6.0
2026-05-18 15:20:00+00:00,-1.0,0.0,-3.0,0.0,3.0,0.0,3,0,1.0,0.3487179487179487,0.07692307692307693,-0.2717948717948718,10.0,6.0,38,1,38.0,6.0
2026-05-18 15:25:00+00:00,-0.2,0.0,-4.0,0.0,20.0,0.0,20,0,0.2,0.3095238095238095,0.07142857142857142,-0.23809523809523808,6.0,6.0,58,1,58.0,6.0
2026-05-18 15:30:00+00:00,-0.4666666666666667,0.0,-7.0,0.0,15.0,0.0,15,0,0.4666666666666667,0.2577777777777778,0.06666666666666667,-0.19111111111111112,-1.0,6.0,73,1,73.0,6.0
2026-05-18 15:35:00+00:00,0.5384615384615384,0.0,7.0,0.0,13.0,0.0,13,0,-0.5384615384615384,0.27532051282051284,0.0625,-0.2128205128205128,6.0,6.0,86,1,86.0,6.0
2026-05-18 15:40:00+00:00,0.0,1.0,0.0,22.0,10.0,22.0,10,2,1.0,0.25912518853695327,0.11764705882352941,-0.14147812971342383,6.0,28.0,96,3,96.0,28.0
2026-05-18 15:50:00+00:00,0.0,0.0,0.0,0.0,4.0,0.0,4,0,0.0,0.24472934472934474,0.1111111111111111,-0.1336182336182336,6.0,28.0,100,3,100.0,28.0
2026-05-18 16:00:00+00:00,-0.14285714285714285,0.0,-1.0,0.0,7.0,0.0,7,0,0.14285714285714285,0.22433005590900326,0.10526315789473684,-0.11906689801426644,5.0,28.0,107,3,107.0,28.0
2026-05-18 16:10:00+00:00,1.0,0.0,2.0,0.0,2.0,0.0,2,0,-1.0,0.2631135531135531,0.1,-0.1631135531135531,7.0,28.0,109,3,109.0,28.0
2026-05-18 16:20:00+00:00,0.0,0.0,0.0,0.0,4.0,0.0,4,0,0.0,0.21311355311355312,0.1,-0.11311355311355312,7.0,28.0,113,3,113.0,28.0
2026-05-18 16:25:00+00:00,-1.0,0.0,-1.0,0.0,1.0,0.0,1,0,1.0,0.1631135531135531,0.05,-0.11311355311355312,6.0,28.0,114,3,114.0,28.0
2026-05-18 16:30:00+00:00,0.0,1.0,0.0,15.0,0.0,15.0,0,2,1.0,0.11311355311355312,0.1,-0.013113553113553111,6.0,43.0,114,5,114.0,43.0
2026-05-18 16:35:00+00:00,0.8,0.0,8.0,0.0,10.0,0.0,10,0,-0.8,0.10311355311355311,0.1,-0.0031135531135531138,14.0,43.0,124,5,124.0,43.0
2026-05-18 16:45:00+00:00,-1.0,0.0,-1.0,0.0,1.0,0.0,1,0,1.0,0.10311355311355311,0.1,-0.0031135531135531138,13.0,43.0,125,5,125.0,43.0
