ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,-0.03277591973244147,-0.001513431706394249,-196.0,-16.0,5980.0,10572.0,5980,996,0.03126248802604722,,,,-196.0,-16.0,5980,996,5980.0,10572.0
2026-05-18 13:40:00+00:00,-0.0033076074972436605,0.04881917518505464,-21.0,554.0,6349.0,11348.0,6349,1112,0.0521267826822983,,,,-217.0,538.0,12329,2108,12329.0,21920.0
2026-05-18 13:45:00+00:00,0.03081037088710615,-0.07114356696529399,265.0,-945.0,8601.0,13283.0,8601,1322,-0.10195393785240014,-0.00175771878085966,-0.0079459411622112,-0.006188222381351545,48.0,-407.0,20930,3430,20930.0,35203.0
2026-05-18 13:50:00+00:00,-0.012140131807145335,0.03480498374864572,-105.0,514.0,8649.0,14768.0,8649,1497,0.046945115555791055,-0.004353322037431079,0.0027417900655030292,0.007095112102934105,-57.0,107.0,29579,4927,29579.0,49971.0
2026-05-18 13:55:00+00:00,0.028819336845367215,0.10601983547320673,186.0,1379.0,6454.0,13007.0,6454,1147,0.07720049862783951,0.0022812097391285797,0.02339739914704377,0.021116189407915188,129.0,1486.0,36033,6074,36033.0,62978.0
2026-05-18 14:00:00+00:00,0.05246753246753247,-0.005483362127244047,303.0,-73.0,5775.0,13313.0,5775,1176,-0.057950894594776516,0.01064559686052923,0.018583938934662467,0.007938342074133237,432.0,1413.0,41808,7250,41808.0,76291.0
2026-05-18 14:05:00+00:00,0.0075813884346662705,-0.09623573496848918,51.0,-1130.0,6727.0,11742.0,6727,1158,-0.10381712340315545,0.010207852799691663,0.0021811283770693723,-0.00802672442262229,483.0,283.0,48535,8408,48535.0,88033.0
2026-05-18 14:10:00+00:00,0.0009606147934678194,0.06914937248790091,8.0,843.0,8328.0,12191.0,8328,1154,0.0681887576944331,0.009051948048913683,0.010552158890923315,0.0015002108420096331,491.0,1126.0,56863,9562,56863.0,100224.0
2026-05-18 14:15:00+00:00,-0.0006261740763932373,-0.06651749389747763,-4.0,-654.0,6388.0,9832.0,6388,948,-0.0658913198210844,0.007976601146101802,0.001988864136656543,-0.00598773700944526,487.0,472.0,63251,10510,63251.0,110056.0
2026-05-18 14:20:00+00:00,0.008076839118096486,0.14937879225657325,37.0,1034.0,4581.0,6922.0,4581,681,0.14130195313847677,0.007986624943301272,0.01672785694864821,0.008741232005346943,524.0,1506.0,67832,11191,67832.0,116978.0
2026-05-18 14:25:00+00:00,-0.0690744920993228,-0.04657806483666625,-306.0,-375.0,4430.0,8051.0,4430,822,0.02249642726265655,0.0009810688485172644,0.01097277314998326,0.009991704301465999,218.0,1131.0,72262,12013,72262.0,125029.0
2026-05-18 14:30:00+00:00,-0.07692307692307693,-0.011584089323098396,-326.0,-83.0,4238.0,7165.0,4238,721,0.06533898759997853,-0.005510943299115585,0.009093034610559788,0.014603977909675376,-108.0,1048.0,76500,12734,76500.0,132194.0
2026-05-18 14:35:00+00:00,-0.08752486501847116,-0.08650770572840942,-616.0,-1190.0,7038.0,13756.0,7038,1252,0.001017159290061742,-0.011819706508296782,0.0017391315075621573,0.013558838015858943,-724.0,-142.0,83538,13986,83538.0,145950.0
2026-05-18 14:40:00+00:00,0.026045777426992895,0.05251427775456192,198.0,754.0,7602.0,14358.0,7602,1350,0.026468500327569023,-0.00911502908434752,0.00536592766806214,0.014480956752409664,-526.0,612.0,91140,15336,91140.0,160308.0
2026-05-18 14:45:00+00:00,0.00017608733932030288,-0.003879835938366035,1.0,-35.0,5679.0,9021.0,5679,879,-0.004055923277686338,-0.008495621322769665,0.004749543427633595,0.013245164750403264,-525.0,577.0,96819,16215,96819.0,169329.0
2026-05-18 14:50:00+00:00,-0.05423522242535039,-0.08301064859632139,-267.0,-686.0,4923.0,8264.0,4923,857,-0.028775426170970994,-0.011354346391680962,-0.0007354685738635907,0.010618877817817372,-792.0,-109.0,101742,17072,101742.0,177593.0
2026-05-18 14:55:00+00:00,0.01917465610671113,-0.05347037764176002,92.0,-463.0,4798.0,8659.0,4798,897,-0.07264503374847114,-0.009558522715304956,-0.0038375220484457334,0.005721000666859224,-700.0,-572.0,106540,17969,106540.0,186252.0
2026-05-18 15:00:00+00:00,0.007248477819657872,-0.01642588561250742,25.0,-83.0,3449.0,5053.0,3449,579,-0.023674363432165293,-0.008624800463362578,-0.004536875579782494,0.004087924883580084,-675.0,-655.0,109989,18548,109989.0,191305.0
2026-05-18 15:05:00+00:00,0.005199306759098787,-0.1124244982788855,42.0,-1731.0,8078.0,15397.0,8078,1446,-0.11762380503798428,-0.007897215872706715,-0.01021517151131423,-0.002317955638607514,-633.0,-2386.0,118067,19994,118067.0,206702.0
2026-05-18 15:10:00+00:00,-0.05068460245015614,0.007809046706939738,-211.0,53.0,4163.0,6787.0,4163,701,0.05849364915709587,-0.010036585201579186,-0.009313960600401534,0.000722624601177655,-844.0,-2333.0,122230,20695,122230.0,213489.0
