ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,-0.023155627355950458,-0.010498687664041995,-43.0,-16.0,1857.0,1524.0,1857,614,0.012656939691908464,,,,-43.0,-16.0,1857,614,1857.0,1524.0
2026-05-18 13:40:00+00:00,-0.015492957746478873,-0.08538899430740038,-22.0,-90.0,1420.0,1054.0,1420,430,-0.0698960365609215,,,,-65.0,-106.0,3277,1044,3277.0,2578.0
2026-05-18 13:45:00+00:00,0.005813953488372093,-0.030209140201394268,10.0,-39.0,1720.0,1291.0,1720,519,-0.03602309368976636,-0.010944877204685746,-0.04203227405761221,-0.031087396852926465,-55.0,-145.0,4997,1563,4997.0,3869.0
2026-05-18 13:50:00+00:00,0.060626249167221855,0.07373271889400922,91.0,96.0,1501.0,1302.0,1501,485,0.013106469726787362,0.006947904388291154,-0.013091025819706857,-0.020038930207998008,36.0,-49.0,6498,2048,6498.0,5171.0
2026-05-18 13:55:00+00:00,-0.054657428791377985,0.058326289095519866,-71.0,69.0,1299.0,1183.0,1299,429,0.11298371788689784,-0.005373162247642674,0.0011924371633384875,0.006565599410981162,-35.0,20.0,7797,2477,7797.0,6354.0
2026-05-18 14:00:00+00:00,-0.07390084190832553,-0.06954887218045112,-79.0,-74.0,1069.0,1064.0,1069,425,0.004351969727874411,-0.016794442191089817,-0.010597781060626449,0.006196661130463371,-114.0,-54.0,8866,2902,8866.0,7418.0
2026-05-18 14:05:00+00:00,0.03455723542116631,0.029525032092426188,32.0,23.0,926.0,779.0,926,318,-0.005032203328740121,-0.009458488246481798,-0.0048659506101903565,0.004592537636291444,-82.0,-31.0,9792,3220,9792.0,8197.0
2026-05-18 14:10:00+00:00,0.005110732538330494,-0.1087866108786611,6.0,-104.0,1174.0,956.0,1174,375,-0.11389734341699159,-0.007637335648380263,-0.0178560331437492,-0.010218697495368936,-76.0,-135.0,10966,3595,10966.0,9153.0
2026-05-18 14:15:00+00:00,-0.027649769585253458,-0.1800302571860817,-24.0,-119.0,868.0,661.0,868,277,-0.15238048760082826,-0.009860939419143951,-0.03587539137067503,-0.026014451951531084,-100.0,-254.0,11834,3872,11834.0,9814.0
2026-05-18 14:20:00+00:00,0.014388489208633094,-0.06818181818181818,12.0,-36.0,834.0,528.0,834,210,-0.08257030739045126,-0.007435996556366247,-0.03910603405178935,-0.031670037495423096,-88.0,-290.0,12668,4082,12668.0,10342.0
2026-05-18 14:25:00+00:00,0.011686143572621035,-0.05934065934065934,7.0,-27.0,599.0,455.0,599,176,-0.07102680291328037,-0.005697620181003767,-0.04094554544168662,-0.03524792526068285,-81.0,-317.0,13267,4258,13267.0,10797.0
2026-05-18 14:30:00+00:00,0.07644305772230889,0.022222222222222223,49.0,12.0,641.0,540.0,641,207,-0.05422083550008666,0.0011474363109389544,-0.035681564803027546,-0.0368290011139665,-32.0,-305.0,13908,4465,13908.0,11337.0
2026-05-18 14:35:00+00:00,0.023890784982935155,-0.012578616352201259,21.0,-8.0,879.0,636.0,879,242,-0.03646940133513642,0.0028969246703232777,-0.03390441492219475,-0.03680133959251804,-11.0,-313.0,14787,4707,14787.0,11973.0
2026-05-18 14:40:00+00:00,-0.016817593790426907,0.13213703099510604,-13.0,81.0,773.0,613.0,773,252,0.14895462478553295,0.001488744780269693,-0.022044311642387553,-0.02353305642265725,-24.0,-232.0,15560,4959,15560.0,12586.0
2026-05-18 14:45:00+00:00,-0.06368330464716007,-0.006772009029345372,-37.0,-3.0,581.0,443.0,581,173,0.0569112956178147,-0.002856058514892291,-0.02102615813485141,-0.01817009961995912,-61.0,-235.0,16141,5132,16141.0,13029.0
2026-05-18 14:50:00+00:00,-0.11715481171548117,0.13333333333333333,-56.0,36.0,478.0,270.0,478,108,0.2504881450488145,-0.009999730589929097,-0.011378689918089865,-0.0013789593281607684,-117.0,-199.0,16619,5240,16619.0,13299.0
2026-05-18 14:55:00+00:00,-0.029411764705882353,-0.06199460916442048,-18.0,-23.0,612.0,371.0,612,148,-0.03258284445853813,-0.011141614949691053,-0.014356096932579901,-0.0032144819828888484,-135.0,-222.0,17231,5388,17231.0,13670.0
2026-05-18 15:00:00+00:00,0.05105105105105105,-0.041666666666666664,17.0,-8.0,333.0,192.0,333,76,-0.09271771771771772,-0.007686466838538714,-0.015873350806695833,-0.00818688396815712,-118.0,-230.0,17564,5464,17564.0,13862.0
2026-05-18 15:05:00+00:00,-0.02765273311897106,-0.06058446186742694,-43.0,-85.0,1555.0,1403.0,1555,559,-0.03293172874845588,-0.008737322958561467,-0.01822656717831326,-0.00948924421975179,-161.0,-315.0,19119,6023,19119.0,15265.0
2026-05-18 15:10:00+00:00,-0.015267175572519083,0.06260575296108291,-12.0,37.0,786.0,591.0,786,226,0.07787292853360199,-0.009063815589259349,-0.014184951171343451,-0.005121135582084102,-173.0,-278.0,19905,6249,19905.0,15856.0
2026-05-18 15:15:00+00:00,-0.05555555555555555,0.10804597701149425,-36.0,47.0,648.0,435.0,648,167,0.1636015325670498,-0.010683811999239604,-0.008257717937566638,0.002426094061672964,-209.0,-231.0,20553,6416,20553.0,16291.0
2026-05-18 15:20:00+00:00,-0.013888888888888888,-0.12727272727272726,-6.0,-35.0,432.0,275.0,432,104,-0.11338383838383836,-0.010603608556360104,-0.010351904585832983,0.00025170397052712084,-215.0,-266.0,20985,6520,20985.0,16566.0
2026-05-18 15:25:00+00:00,-0.009416195856873822,0.08978328173374613,-5.0,29.0,531.0,323.0,531,134,0.09919947759061995,-0.0113651160236224,-0.004352283489075964,0.007012832534546437,-220.0,-237.0,21516,6654,21516.0,16889.0
2026-05-18 15:30:00+00:00,-0.07725321888412018,-0.12663755458515283,-36.0,-58.0,466.0,458.0,466,172,-0.04938433570103265,-0.0182590894261895,-0.014370797163034067,0.0038882922631554356,-256.0,-295.0,21982,6826,21982.0,17347.0
2026-05-18 15:35:00+00:00,0.11946902654867257,0.12074303405572756,54.0,39.0,452.0,323.0,452,127,0.0012740075070549889,-0.009552766659186973,-0.011249959915023682,-0.001697193255836707,-202.0,-256.0,22434,6953,22434.0,17670.0
2026-05-18 15:40:00+00:00,0.12269938650306748,-0.040892193308550186,40.0,-11.0,326.0,269.0,326,100,-0.16359157981161768,0.0002772447613826771,-0.009817125971428633,-0.010094370732811312,-162.0,-267.0,22760,7053,22760.0,17939.0
2026-05-18 15:45:00+00:00,0.15254237288135594,0.17985611510791366,54.0,50.0,354.0,278.0,354,109,0.02731374222655772,0.0061765016343921595,-0.0023005718206542598,-0.008477073455046419,-108.0,-217.0,23114,7162,23114.0,18217.0
2026-05-18 15:50:00+00:00,0.07207207207207207,0.15789473684210525,16.0,30.0,222.0,190.0,222,75,0.08582266477003318,0.009524568611079236,0.011033495565384058,0.0015089269543048193,-92.0,-187.0,23336,7237,23336.0,18407.0
2026-05-18 15:55:00+00:00,0.14285714285714285,-0.14482758620689656,30.0,-21.0,210.0,145.0,210,56,-0.2876847290640394,0.01804991423319905,0.012793629114343317,-0.005256285118855739,-62.0,-208.0,23546,7293,23546.0,18552.0
2026-05-18 16:00:00+00:00,0.10833333333333334,0.24878048780487805,26.0,51.0,240.0,205.0,240,70,0.1404471544715447,0.022747156439434067,0.028641744413678127,0.00589458797424406,-36.0,-157.0,23786,7363,23786.0,18757.0
