ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,0.18604651162790697,-0.20512820512820512,16.0,-48.0,86.0,234.0,86,18,-0.3911747167561121,,,,16.0,-48.0,86,18,86.0,234.0
2026-05-18 13:40:00+00:00,-0.15151515151515152,-0.10638297872340426,-10.0,-40.0,66.0,376.0,66,24,0.04513217279174726,,,,6.0,-88.0,152,42,152.0,610.0
2026-05-18 13:45:00+00:00,-0.011857707509881422,0.15857605177993528,-3.0,196.0,253.0,1236.0,253,72,0.1704337592898167,0.007557884200958011,-0.05097837735722469,-0.05853626155818272,3.0,108.0,405,114,405.0,1846.0
2026-05-18 13:50:00+00:00,0.14427860696517414,0.44646464646464645,29.0,442.0,201.0,990.0,201,52,0.3021860394994723,0.04173806489201204,0.07338237859824309,0.03164431370623104,32.0,550.0,606,166,606.0,2836.0
2026-05-18 13:55:00+00:00,-0.023255813953488372,-0.2972972972972973,-2.0,-99.0,86.0,333.0,86,25,-0.27404148334380896,0.02873928912291196,-0.0007535565808649891,-0.02949284570377696,30.0,451.0,692,191,692.0,3169.0
2026-05-18 14:00:00+00:00,-0.1643835616438356,0.0933786078098472,-24.0,55.0,146.0,589.0,146,34,0.2577621694536828,-0.003447852671545968,0.01493513748425371,0.018382990155799667,6.0,506.0,838,225,838.0,3758.0
2026-05-18 14:05:00+00:00,-0.04938271604938271,-0.030120481927710843,-8.0,-30.0,162.0,996.0,162,54,0.01926223412167187,-0.010009976011236932,0.00849862042540163,0.018508596436638554,-2.0,476.0,1000,279,1000.0,4754.0
2026-05-18 14:10:00+00:00,-0.05084745762711865,-0.07815924032140248,-15.0,-214.0,295.0,2738.0,295,105,-0.02731178269428383,-0.015114661213222146,-0.0023336121679488828,0.012781049045273255,-17.0,262.0,1295,384,1295.0,7492.0
2026-05-18 14:15:00+00:00,-0.21052631578947367,0.012195121951219513,-32.0,8.0,152.0,656.0,152,42,0.2227214377406932,-0.036827067277250096,-0.0007193083769301722,0.03610775890031991,-49.0,270.0,1447,426,1447.0,8148.0
2026-05-18 14:20:00+00:00,-0.012658227848101266,0.08705882352941176,-1.0,37.0,79.0,425.0,79,29,0.09971705137751302,-0.03441018333433521,0.00805850481370402,0.042468688148039224,-50.0,307.0,1526,455,1526.0,8573.0
2026-05-18 14:25:00+00:00,0.15517241379310345,-0.0228310502283105,18.0,-10.0,116.0,438.0,116,28,-0.17800346402141395,-0.017175401777295332,0.005250363446248155,0.02242576522354348,-32.0,297.0,1642,483,1642.0,9011.0
2026-05-18 14:30:00+00:00,0.09803921568627451,-0.22865013774104684,10.0,-166.0,102.0,726.0,102,39,-0.32668935342732136,-0.00757418365533118,-0.014241344986026428,-0.006667161330695256,-22.0,131.0,1744,522,1744.0,9737.0
2026-05-18 14:35:00+00:00,0.24242424242424243,-0.0891089108910891,48.0,-63.0,198.0,707.0,198,33,-0.3315331533153315,0.01165646450463602,-0.020000388517185094,-0.03165685302182112,26.0,68.0,1942,555,1942.0,10444.0
2026-05-18 14:40:00+00:00,-0.16279069767441862,-0.15358361774744028,-14.0,-45.0,86.0,293.0,86,22,0.009207079926978334,-0.0008040470795821684,-0.029542047747917608,-0.028738000668335446,12.0,23.0,2028,577,2028.0,10737.0
2026-05-18 14:45:00+00:00,-0.01098901098901099,0.20496894409937888,-1.0,99.0,91.0,483.0,91,27,0.21595795508838986,-0.00148304467354409,-0.013907981624764509,-0.012424936951220425,11.0,122.0,2119,604,2119.0,11220.0
2026-05-18 14:50:00+00:00,0.06896551724137931,-0.43231441048034935,4.0,-198.0,58.0,458.0,58,29,-0.5012799277217287,0.0029199904461386225,-0.04005838342823856,-0.04297837387437719,15.0,-76.0,2177,633,2177.0,11678.0
2026-05-18 14:55:00+00:00,0.34146341463414637,0.09090909090909091,28.0,31.0,82.0,341.0,82,21,-0.2505543237250555,0.02283430951602143,-0.032354414349572126,-0.05518872386559356,43.0,-45.0,2259,654,2259.0,12019.0
2026-05-18 15:00:00+00:00,0.44954128440366975,-0.16751918158567775,98.0,-262.0,218.0,1564.0,218,64,-0.6170604659893475,0.04654025256533523,-0.03986356808491132,-0.08640382065024656,141.0,-307.0,2477,718,2477.0,13583.0
2026-05-18 15:05:00+00:00,0.10135135135135136,-0.03906457613606165,60.0,-147.0,592.0,3763.0,592,171,-0.140415927487413,0.04942504723828344,-0.03982151587707713,-0.08924656311536058,201.0,-454.0,3069,889,3069.0,17346.0
2026-05-18 15:10:00+00:00,0.10810810810810811,-0.3431578947368421,16.0,-163.0,148.0,475.0,148,34,-0.4512660028449502,0.052359200281774675,-0.05498833482006538,-0.10734753510184006,217.0,-617.0,3217,923,3217.0,17821.0
2026-05-18 15:15:00+00:00,0.06832298136645963,0.3878048780487805,11.0,318.0,161.0,820.0,161,42,0.31948189668232085,0.04647302376870231,-0.025341680661216105,-0.07181470442991841,228.0,-299.0,3378,965,3378.0,18641.0
2026-05-18 15:20:00+00:00,0.25,0.3858267716535433,22.0,98.0,88.0,254.0,88,18,0.1358267716535433,0.06654878134445988,-0.0007311931423687218,-0.06727997448682861,250.0,-201.0,3466,983,3466.0,18895.0
2026-05-18 15:25:00+00:00,0.07291666666666667,-0.1522491349480969,14.0,-88.0,192.0,578.0,192,40,-0.22516580161476357,0.0707875000532873,-0.01627245247877033,-0.08705995253205763,264.0,-289.0,3658,1023,3658.0,19473.0
2026-05-18 15:30:00+00:00,0.2916666666666667,-0.056818181818181816,28.0,-30.0,96.0,528.0,96,39,-0.3484848484848485,0.07815690303836191,-0.04143659389291174,-0.11959349693127366,292.0,-319.0,3754,1062,3754.0,20001.0
2026-05-18 15:35:00+00:00,0.15151515151515152,0.4519056261343013,10.0,249.0,66.0,551.0,66,25,0.3003904746191498,0.08689545131179391,-0.003976447721331813,-0.09087189903312573,302.0,-70.0,3820,1087,3820.0,20552.0
2026-05-18 15:40:00+00:00,0.21052631578947367,0.17391304347826086,32.0,96.0,152.0,552.0,152,28,-0.03661327231121281,0.10564094518345939,5.027406208887031e-05,-0.10559067112137051,334.0,26.0,3972,1115,3972.0,21104.0
2026-05-18 15:45:00+00:00,0.3230769230769231,0.32727272727272727,21.0,36.0,65.0,110.0,65,10,0.004195804195804176,0.12426392713977466,0.017919934522110777,-0.10634399261766388,355.0,62.0,4037,1125,4037.0,21214.0
2026-05-18 15:50:00+00:00,-0.2835820895522388,-0.25,-19.0,-90.0,67.0,360.0,67,21,0.03358208955223879,0.11262719554351867,0.0093278965381809,-0.10329929900533777,336.0,-28.0,4104,1146,4104.0,21574.0
2026-05-18 15:55:00+00:00,-0.35,0.7884344146685472,-42.0,559.0,120.0,709.0,120,28,1.1384344146685472,0.10565351133299235,0.04813986117404728,-0.05751365015894507,294.0,531.0,4224,1174,4224.0,22283.0
2026-05-18 16:00:00+00:00,-0.06666666666666667,-0.0633693972179289,-11.0,-41.0,165.0,647.0,165,35,0.0032972694487377607,0.10295308939206407,0.04061845013668026,-0.06233463925538383,283.0,490.0,4389,1209,4389.0,22930.0
2026-05-18 16:05:00+00:00,0.3709677419354839,-0.6059379217273954,46.0,-449.0,124.0,741.0,124,40,-0.9769056636628792,0.11374285579918311,0.011463106561726017,-0.10227974923745708,329.0,41.0,4513,1249,4513.0,23671.0
2026-05-18 16:10:00+00:00,-0.20634920634920634,0.46788990825688076,-13.0,153.0,63.0,327.0,63,20,0.6742391146060871,0.09852343469740905,0.046290108861622395,-0.05223332583578668,316.0,194.0,4576,1269,4576.0,23998.0
2026-05-18 16:15:00+00:00,0.025210084033613446,0.012195121951219513,3.0,4.0,119.0,328.0,119,24,-0.013014962082393933,0.0876627267778776,0.05135531050373783,-0.03630741627413979,319.0,198.0,4695,1293,4695.0,24326.0
2026-05-18 16:20:00+00:00,0.010526315789473684,-0.07729468599033816,1.0,-32.0,95.0,414.0,95,22,-0.08782100177981185,0.09632857745107222,0.05516975709159293,-0.0411588203594793,320.0,166.0,4790,1315,4790.0,24740.0
2026-05-18 16:25:00+00:00,-0.0070921985815602835,0.1624087591240876,-1.0,178.0,141.0,1096.0,141,63,0.16950095770564788,0.09652341807144475,0.05304174784282837,-0.0434816702286164,319.0,344.0,4931,1378,4931.0,25836.0
2026-05-18 16:30:00+00:00,-0.22580645161290322,-0.2494279176201373,-42.0,-109.0,186.0,437.0,186,26,-0.023621466007234082,0.08178481962873063,0.062186072485838975,-0.01959874714289167,277.0,235.0,5117,1404,5117.0,26273.0
2026-05-18 16:35:00+00:00,-0.05405405405405406,-0.5445544554455446,-4.0,-110.0,74.0,202.0,74,16,-0.49050040139149054,0.062008946194320604,0.030412895168107197,-0.03159605102621342,273.0,125.0,5191,1420,5191.0,26475.0
