ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,0.2549019607843137,0.7045454545454546,13.0,62.0,51.0,88.0,51,7,0.4496434937611409,,,,13.0,62.0,51,7,51.0,88.0
2026-05-18 13:40:00+00:00,-0.23404255319148937,-1.0,-11.0,-32.0,47.0,32.0,47,3,-0.7659574468085106,,,,2.0,30.0,98,10,98.0,120.0
2026-05-18 13:45:00+00:00,0.014285714285714285,0.054678007290400975,2.0,45.0,140.0,823.0,140,40,0.04039229300468669,0.011715040626179542,-0.08025884605471481,-0.09197388668089435,4.0,75.0,238,50,238.0,943.0
2026-05-18 13:50:00+00:00,0.28125,0.32620320855614976,36.0,61.0,128.0,187.0,128,15,0.04495320855614976,0.07909878046963466,0.021356667598001332,-0.057742112871633326,40.0,136.0,366,65,366.0,1130.0
2026-05-18 13:55:00+00:00,0.39473684210526316,-0.40229885057471265,30.0,-35.0,76.0,87.0,76,6,-0.7970356926799758,0.14222639279676036,-0.06337443603654147,-0.20560082883330183,70.0,101.0,442,71,442.0,1217.0
2026-05-18 14:00:00+00:00,0.20930232558139536,0.4078549848942598,18.0,135.0,86.0,331.0,86,22,0.19855265931286445,0.15340571492753285,0.015163800785258752,-0.1382419141422741,88.0,236.0,528,93,528.0,1548.0
2026-05-18 14:05:00+00:00,0.16455696202531644,0.029411764705882353,13.0,10.0,79.0,340.0,79,18,-0.13514519731943408,0.15499875022721624,0.017199224202490697,-0.13779952602472553,101.0,246.0,607,111,607.0,1888.0
2026-05-18 14:10:00+00:00,-0.05732484076433121,-0.012302284710017574,-9.0,-14.0,157.0,1138.0,157,40,0.045022556054313635,0.1284583013532728,0.013511535588427161,-0.11494676576484564,92.0,232.0,764,151,764.0,3026.0
2026-05-18 14:15:00+00:00,0.058823529411764705,-0.29234629861982436,5.0,-233.0,85.0,797.0,85,34,-0.3511698280315891,0.12072110447088301,-0.020472668212489678,-0.1411937726833727,97.0,-1.0,849,185,849.0,3823.0
2026-05-18 14:20:00+00:00,0.08,-0.004484304932735426,4.0,-2.0,50.0,446.0,50,18,-0.08448430493273543,0.11664899402379472,-0.018873831884514254,-0.13552282590830894,101.0,-3.0,899,203,899.0,4269.0
2026-05-18 14:25:00+00:00,0.16923076923076924,0.18,11.0,54.0,65.0,300.0,65,18,0.010769230769230753,0.12142915540624695,-0.0007943926222856849,-0.12222354802853262,112.0,51.0,964,221,964.0,4569.0
2026-05-18 14:30:00+00:00,-0.19047619047619047,0.4573643410852713,-8.0,59.0,42.0,129.0,42,11,0.6478405315614617,0.09543704324937714,0.037385501853344064,-0.0580515413960331,104.0,110.0,1006,232,1006.0,4698.0
2026-05-18 14:35:00+00:00,-0.1388888888888889,0.10153846153846154,-10.0,33.0,72.0,325.0,72,20,0.24042735042735042,0.07741197154643362,0.04232034490604541,-0.035091626640388215,94.0,143.0,1078,252,1078.0,5023.0
2026-05-18 14:40:00+00:00,-0.03896103896103896,-0.175,-3.0,-14.0,77.0,80.0,77,7,-0.13603896103896101,0.06909961365304272,0.026797463127042166,-0.04230215052600055,91.0,129.0,1155,259,1155.0,5103.0
2026-05-18 14:45:00+00:00,0.12727272727272726,0.3252032520325203,7.0,80.0,55.0,246.0,55,15,0.19793052475979306,0.07297782122768835,0.046691182387407375,-0.02628663884028098,98.0,209.0,1210,274,1210.0,5349.0
2026-05-18 14:50:00+00:00,0.16279069767441862,-0.4444444444444444,7.0,-24.0,43.0,54.0,43,4,-0.6072351421188631,0.078591126005609,0.015995205710416637,-0.06259592029519237,105.0,185.0,1253,278,1253.0,5403.0
2026-05-18 14:55:00+00:00,0.36231884057971014,0.19801980198019803,25.0,40.0,69.0,202.0,69,14,-0.16429903859951211,0.09528099156879141,0.02670253490275672,-0.0685784566660347,130.0,225.0,1322,292,1322.0,5605.0
2026-05-18 15:00:00+00:00,0.027777777777777776,-0.2640218878248974,2.0,-193.0,72.0,731.0,72,41,-0.2917996656026752,0.09153081302484621,0.010551178084553713,-0.0809796349402925,132.0,32.0,1394,333,1394.0,6336.0
