ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,-0.037037037037037035,0.0,-1.0,0.0,27.0,0.0,27,0,0.037037037037037035,,,,-1.0,0.0,27,0,27.0,0.0
2026-05-18 13:40:00+00:00,0.0,0.3333333333333333,0.0,50.0,22.0,150.0,22,2,0.3333333333333333,,,,-1.0,50.0,49,2,49.0,150.0
2026-05-18 13:45:00+00:00,0.0,-0.07333333333333333,0.0,-22.0,26.0,300.0,26,13,-0.07333333333333333,-0.012345679012345678,0.08666666666666667,0.09901234567901233,-1.0,28.0,75,15,75.0,450.0
2026-05-18 13:50:00+00:00,0.043478260869565216,0.4444444444444444,1.0,32.0,23.0,72.0,23,3,0.40096618357487923,0.0016103059581320453,0.1761111111111111,0.17450080515297905,0.0,60.0,98,18,98.0,522.0
2026-05-18 13:55:00+00:00,-0.2,-0.5621301775147929,-4.0,-95.0,20.0,169.0,20,7,-0.3621301775147929,-0.03871175523349436,0.02846285338593031,0.06717460861942467,-4.0,-35.0,118,25,118.0,691.0
2026-05-18 14:00:00+00:00,0.0,-1.0,0.0,-47.0,22.0,47.0,22,2,-1.0,-0.03225979602791197,-0.1429476221783914,-0.11068782615047945,-4.0,-82.0,140,27,140.0,738.0
2026-05-18 14:05:00+00:00,0.0,0.43352601156069365,0.0,75.0,26.0,173.0,26,8,0.43352601156069365,-0.02765125373821026,-0.060594245929950684,-0.03294299219174044,-4.0,-7.0,166,35,166.0,911.0
2026-05-18 14:10:00+00:00,0.125,-0.6,6.0,-192.0,48.0,320.0,48,9,-0.725,-0.008569847020933979,-0.12801996518870684,-0.11945011816777287,2.0,-199.0,214,44,214.0,1231.0
2026-05-18 14:15:00+00:00,0.17647058823529413,-0.6972972972972973,3.0,-129.0,17.0,185.0,17,5,-0.8737678855325914,0.011990201340869144,-0.19127300208966133,-0.2032632034305305,5.0,-328.0,231,49,231.0,1416.0
2026-05-18 14:20:00+00:00,0.5,-0.5662650602409639,6.0,-47.0,12.0,83.0,12,4,-1.0662650602409638,0.06079118120678223,-0.22877220790479164,-0.2895633891115738,11.0,-375.0,243,53,243.0,1499.0
2026-05-18 14:25:00+00:00,0.3333333333333333,0.16455696202531644,2.0,13.0,6.0,79.0,6,3,-0.16877637130801687,0.08556774049101415,-0.19301501063841817,-0.2785827511294323,13.0,-362.0,249,56,249.0,1578.0
2026-05-18 14:30:00+00:00,0.14285714285714285,1.0,1.0,17.0,7.0,17.0,7,1,0.8571428571428572,0.09034185735485821,-0.09359709308521663,-0.1839389504400748,14.0,-345.0,256,57,256.0,1595.0
2026-05-18 14:35:00+00:00,-0.3333333333333333,-0.1780821917808219,-7.0,-26.0,21.0,146.0,21,6,0.1552511415525114,0.05775145807115117,-0.10009594683103243,-0.15784740490218357,7.0,-371.0,277,63,277.0,1741.0
2026-05-18 14:40:00+00:00,0.25,0.8305084745762712,4.0,147.0,16.0,177.0,16,6,0.5805084745762712,0.07148349678035466,-0.033624202444796455,-0.10510769922515108,11.0,-224.0,293,69,293.0,1918.0
2026-05-18 14:45:00+00:00,0.0,-0.5238095238095238,0.0,-33.0,24.0,63.0,24,3,-0.5238095238095238,0.06671793032833101,-0.06630322386911161,-0.1330211541974426,11.0,-257.0,317,72,317.0,1981.0
