ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:40:00+00:00,0.0,1.0,0.0,5.0,0.0,5.0,0,1,1.0,,,,0.0,5.0,0,1,0.0,5.0
2026-05-18 13:45:00+00:00,0.06666666666666667,-1.0,1.0,-11.0,15.0,11.0,15,2,-1.0666666666666667,,,,1.0,-6.0,15,3,15.0,16.0
2026-05-18 13:50:00+00:00,0.0,1.0,0.0,5.0,2.0,5.0,2,1,1.0,0.022222222222222223,0.3333333333333333,0.3111111111111111,1.0,-1.0,17,4,17.0,21.0
2026-05-18 13:55:00+00:00,1.0,0.0,2.0,0.0,2.0,0.0,2,0,-1.0,0.26666666666666666,0.25,-0.016666666666666663,3.0,-1.0,19,4,19.0,21.0
2026-05-18 14:00:00+00:00,0.2,0.0,1.0,0.0,5.0,0.0,5,0,-0.2,0.2533333333333333,0.2,-0.05333333333333333,4.0,-1.0,24,4,24.0,21.0
2026-05-18 14:05:00+00:00,0.5,0.2,2.0,5.0,4.0,25.0,4,5,-0.3,0.29444444444444445,0.19999999999999998,-0.09444444444444444,6.0,4.0,28,9,28.0,46.0
2026-05-18 14:10:00+00:00,0.16666666666666666,0.0,2.0,0.0,12.0,30.0,12,6,-0.16666666666666666,0.2761904761904762,0.17142857142857143,-0.10476190476190475,8.0,4.0,40,15,40.0,76.0
2026-05-18 14:15:00+00:00,-0.42857142857142855,-1.0,-3.0,-5.0,7.0,5.0,7,1,-0.5714285714285714,0.1880952380952381,0.024999999999999994,-0.16309523809523807,5.0,-1.0,47,16,47.0,81.0
2026-05-18 14:20:00+00:00,-1.0,-0.3333333333333333,-2.0,-5.0,2.0,15.0,2,3,0.6666666666666667,0.056084656084656084,-0.014814814814814817,-0.07089947089947088,3.0,-6.0,49,19,49.0,96.0
2026-05-18 14:25:00+00:00,0.7142857142857143,-1.0,5.0,-12.0,7.0,12.0,7,1,-1.7142857142857144,0.12190476190476192,-0.11333333333333333,-0.23523809523809525,8.0,-18.0,56,20,56.0,108.0
2026-05-18 14:30:00+00:00,0.0,-1.0,0.0,-5.0,0.0,5.0,0,1,-1.0,0.11082251082251084,-0.19393939393939394,-0.3047619047619048,8.0,-23.0,56,21,56.0,113.0
2026-05-18 14:35:00+00:00,1.0,0.0,3.0,0.0,3.0,0.0,3,0,-1.0,0.18492063492063493,-0.17777777777777778,-0.36269841269841274,11.0,-23.0,59,21,59.0,113.0
2026-05-18 14:40:00+00:00,-1.0,0.0,-4.0,0.0,4.0,0.0,4,0,1.0,0.09377289377289379,-0.1641025641025641,-0.2578754578754579,7.0,-23.0,63,21,63.0,113.0
2026-05-18 14:45:00+00:00,-0.1111111111111111,0.0,-1.0,0.0,9.0,0.0,9,0,0.1111111111111111,0.07913832199546486,-0.15238095238095237,-0.23151927437641723,6.0,-23.0,72,21,72.0,113.0
2026-05-18 14:50:00+00:00,-0.5,0.0,-2.0,0.0,4.0,0.0,4,0,0.5,0.04052910052910053,-0.14222222222222222,-0.18275132275132275,4.0,-23.0,76,21,76.0,113.0
2026-05-18 14:55:00+00:00,-0.3333333333333333,1.0,-1.0,5.0,3.0,5.0,3,1,1.3333333333333333,0.01716269841269842,-0.07083333333333333,-0.08799603174603175,3.0,-18.0,79,22,79.0,118.0
2026-05-18 15:00:00+00:00,-0.8333333333333334,0.047619047619047616,-10.0,4.0,12.0,84.0,12,9,0.8809523809523809,-0.03286647992530345,-0.06386554621848739,-0.030999066293183948,-7.0,-14.0,91,31,91.0,202.0
2026-05-18 15:05:00+00:00,0.4,1.0,4.0,19.0,10.0,19.0,10,3,0.6,-0.008818342151675478,-0.004761904761904757,0.004056437389770715,-3.0,5.0,101,34,101.0,221.0
2026-05-18 15:10:00+00:00,0.0,-1.0,0.0,-6.0,4.0,6.0,4,1,-1.0,-0.008354218880534664,-0.05714285714285714,-0.04878863826232248,-3.0,-1.0,105,35,105.0,227.0
2026-05-18 15:15:00+00:00,-0.7142857142857143,0.0,-10.0,0.0,14.0,0.0,14,0,0.7142857142857143,-0.04365079365079365,-0.054285714285714284,-0.010634920634920641,-13.0,-1.0,119,35,119.0,227.0
2026-05-18 15:20:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,1,0,-1.0,0.006349206349206354,-0.10428571428571427,-0.11063492063492064,-12.0,-1.0,120,35,120.0,227.0
2026-05-18 15:25:00+00:00,-0.5,-0.16666666666666666,-2.0,-2.0,4.0,12.0,4,2,0.33333333333333337,-0.021984126984126977,-0.06261904761904762,-0.04063492063492064,-14.0,-3.0,124,37,124.0,239.0
2026-05-18 15:30:00+00:00,0.5,0.0,2.0,0.0,4.0,10.0,4,2,-0.5,0.0030158730158730217,-0.11261904761904762,-0.11563492063492065,-12.0,-3.0,128,39,128.0,249.0
2026-05-18 15:35:00+00:00,0.0,0.0,0.0,0.0,2.0,0.0,2,0,0.0,-0.046984126984126975,-0.11261904761904762,-0.06563492063492064,-12.0,-3.0,130,39,130.0,249.0
2026-05-18 15:40:00+00:00,0.0,-1.0,0.0,-5.0,0.0,5.0,0,1,-1.0,-0.056984126984126984,-0.1626190476190476,-0.10563492063492066,-12.0,-8.0,130,40,130.0,254.0
2026-05-18 15:45:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,1,0,-1.0,-0.03198412698412698,-0.17261904761904762,-0.14063492063492064,-11.0,-8.0,131,40,131.0,254.0
2026-05-18 16:10:00+00:00,-1.0,0.0,-3.0,0.0,3.0,0.0,3,0,1.0,-0.09031746031746031,-0.17261904761904762,-0.08230158730158732,-14.0,-8.0,134,40,134.0,254.0
2026-05-18 16:25:00+00:00,0.0,1.0,0.0,6.0,6.0,6.0,6,1,1.0,-0.06888888888888889,-0.07261904761904762,-0.003730158730158739,-14.0,-2.0,140,41,140.0,260.0
2026-05-18 16:30:00+00:00,1.0,1.0,3.0,5.0,3.0,5.0,3,1,0.0,0.03111111111111111,-0.005952380952380954,-0.03706349206349208,-11.0,3.0,143,42,143.0,265.0
2026-05-18 16:35:00+00:00,-0.5,0.0,-2.0,0.0,4.0,10.0,4,2,0.5,-0.029603174603174603,0.044047619047619044,0.07365079365079363,-13.0,3.0,147,44,147.0,275.0
2026-05-18 16:40:00+00:00,1.0,-1.0,2.0,-5.0,2.0,5.0,2,1,-2.0,0.020396825396825396,0.044047619047619044,0.023650793650793634,-11.0,-2.0,149,45,149.0,280.0
2026-05-18 16:50:00+00:00,0.3333333333333333,0.0,1.0,0.0,3.0,0.0,3,0,-0.3333333333333333,-0.012936507936507937,0.044047619047619044,0.05698412698412697,-10.0,-2.0,152,45,152.0,280.0
2026-05-18 17:00:00+00:00,0.0,1.0,0.0,6.0,0.0,6.0,0,1,1.0,0.03706349206349206,0.09404761904761905,0.05698412698412697,-10.0,4.0,152,46,152.0,286.0
2026-05-18 17:05:00+00:00,1.0,0.0,2.0,0.0,2.0,0.0,2,0,-1.0,0.09261904761904763,0.09404761904761905,0.0014285714285714123,-8.0,4.0,154,46,154.0,286.0
2026-05-18 17:10:00+00:00,-1.0,-0.3333333333333333,-1.0,-5.0,1.0,15.0,1,2,0.6666666666666667,0.06761904761904762,0.07738095238095238,0.009761904761904753,-9.0,-1.0,155,48,155.0,301.0
2026-05-18 18:20:00+00:00,0.0,1.0,0.0,5.0,0.0,5.0,0,1,1.0,0.08428571428571428,0.07738095238095238,-0.0069047619047619135,-9.0,4.0,155,49,155.0,306.0
2026-05-18 18:30:00+00:00,0.0,-1.0,0.0,-5.0,0.0,5.0,0,1,-1.0,0.12595238095238095,0.025,-0.10095238095238095,-9.0,-1.0,155,50,155.0,311.0
2026-05-18 18:55:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,1,0,-1.0,0.15595238095238095,-0.025,-0.18095238095238098,-8.0,-1.0,156,50,156.0,311.0
2026-05-18 19:00:00+00:00,1.0,0.0,2.0,0.0,2.0,0.0,2,0,-1.0,0.20595238095238094,0.025,-0.18095238095238098,-6.0,-1.0,158,50,158.0,311.0
2026-05-18 19:05:00+00:00,-0.7647058823529411,1.0,-13.0,5.0,17.0,5.0,17,1,1.7647058823529411,0.2034313725490196,0.075,-0.12843137254901965,-19.0,4.0,175,51,175.0,316.0
2026-05-18 19:10:00+00:00,1.0,-1.0,6.0,-5.0,6.0,5.0,6,1,-2.0,0.2034313725490196,0.025,-0.17843137254901964,-13.0,-1.0,181,52,181.0,321.0
2026-05-18 19:15:00+00:00,0.0,1.0,0.0,5.0,0.0,5.0,0,1,1.0,0.2284313725490196,0.08333333333333333,-0.1450980392156863,-13.0,4.0,181,53,181.0,326.0
2026-05-18 19:25:00+00:00,1.0,0.0,4.0,0.0,4.0,0.0,4,0,-1.0,0.2534313725490196,0.08333333333333333,-0.17009803921568628,-9.0,4.0,185,53,185.0,326.0
2026-05-18 19:45:00+00:00,1.0,-1.0,1.0,-5.0,1.0,5.0,1,1,-2.0,0.3034313725490196,0.03333333333333333,-0.2700980392156863,-8.0,-1.0,186,54,186.0,331.0
2026-05-19 13:35:00+00:00,-1.0,-1.0,-2.0,-5.0,2.0,5.0,2,1,0.0,0.2534313725490196,0.033333333333333326,-0.2200980392156863,-10.0,-6.0,188,55,188.0,336.0
