ts_event,ofi_low,ofi_high,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_spread,ofi_low_roll,ofi_high_roll,ofi_spread_roll,cvd_low,cvd_high,cum_n_low,cum_n_high,cum_vol_low,cum_vol_high
2026-05-18 13:35:00+00:00,0.34615384615384615,-0.7333333333333333,18.0,-11.0,52.0,15.0,52,6,-1.0794871794871794,,,,18.0,-11.0,52,6,52.0,15.0
2026-05-18 13:40:00+00:00,0.21739130434782608,-0.125,10.0,-2.0,46.0,16.0,46,5,-0.34239130434782605,,,,28.0,-13.0,98,11,98.0,31.0
2026-05-18 13:45:00+00:00,0.17006802721088435,-0.3413654618473896,50.0,-85.0,294.0,249.0,294,73,-0.5114334890582739,0.24453772590418552,-0.39989959839357425,-0.6444373242977598,78.0,-98.0,392,84,392.0,280.0
2026-05-18 13:50:00+00:00,0.10752688172043011,-0.15517241379310345,20.0,-18.0,186.0,116.0,186,41,-0.26269929551353355,0.21028501485824666,-0.3387178022434566,-0.5490028171017032,98.0,-116.0,578,125,578.0,396.0
2026-05-18 13:55:00+00:00,0.22727272727272727,1.0,10.0,13.0,44.0,13.0,44,5,0.7727272727272727,0.21368255734114278,-0.07097424179476527,-0.284656799135908,108.0,-103.0,622,130,622.0,409.0
2026-05-18 14:00:00+00:00,0.03571428571428571,0.673469387755102,2.0,33.0,56.0,49.0,56,20,0.6377551020408163,0.1840211787366666,0.05309969646354593,-0.13092148227312064,110.0,-70.0,678,150,678.0,458.0
2026-05-18 14:05:00+00:00,0.32663316582914576,0.3389830508474576,65.0,40.0,199.0,118.0,199,39,0.012349885018311857,0.2043943197498779,0.0939401756612476,-0.11045414408863029,175.0,-30.0,877,189,877.0,576.0
2026-05-18 14:10:00+00:00,0.07392996108949416,0.088,19.0,33.0,257.0,375.0,257,77,0.01407003891050583,0.18808627491732993,0.09319765370359165,-0.09488862121373828,194.0,3.0,1134,266,1134.0,951.0
2026-05-18 14:15:00+00:00,0.021897810218978103,0.391304347826087,3.0,27.0,137.0,69.0,137,29,0.36940653760710884,0.1696208899508464,0.12632061971720226,-0.043300270233644154,197.0,30.0,1271,295,1271.0,1020.0
2026-05-18 14:20:00+00:00,-0.1836734693877551,-0.2631578947368421,-9.0,-5.0,49.0,19.0,49,7,-0.07948442534908698,0.13429145401698625,0.08737276827179781,-0.04691868574518844,188.0,25.0,1320,302,1320.0,1039.0
2026-05-18 14:25:00+00:00,0.125,0.27710843373493976,10.0,23.0,80.0,83.0,80,26,0.15210843373493976,0.13344677637907842,0.10462146513208345,-0.028825311246994965,198.0,48.0,1400,328,1400.0,1122.0
2026-05-18 14:30:00+00:00,0.13924050632911392,-0.47474747474747475,11.0,-47.0,79.0,99.0,79,19,-0.6139879810765887,0.13392958720824805,0.056340720142120264,-0.07758886706612778,209.0,1.0,1479,347,1479.0,1221.0
2026-05-18 14:35:00+00:00,0.2328767123287671,0.043478260869565216,17.0,1.0,73.0,23.0,73,11,-0.1893984514592019,0.14154090452521104,0.05535130019807756,-0.08618960432713349,226.0,2.0,1552,358,1552.0,1244.0
2026-05-18 14:40:00+00:00,-0.09803921568627451,-0.3448275862068966,-10.0,-20.0,102.0,58.0,102,23,-0.24678837052062208,0.12442803879581922,0.026767094026293698,-0.09766094476952551,216.0,-18.0,1654,381,1654.0,1302.0
2026-05-18 14:45:00+00:00,0.22448979591836735,0.1864406779661017,22.0,11.0,98.0,59.0,98,21,-0.03804911795226565,0.1310988226039891,0.0374119996222809,-0.0936868229817082,238.0,-7.0,1752,402,1752.0,1361.0
2026-05-18 14:50:00+00:00,0.3111111111111111,0.45454545454545453,28.0,25.0,90.0,55.0,90,23,0.14343434343434341,0.14234959063568423,0.06348284055497924,-0.07886675008070497,266.0,18.0,1842,425,1842.0,1416.0
2026-05-18 14:55:00+00:00,-0.3023255813953488,-0.18181818181818182,-13.0,-4.0,43.0,22.0,43,7,0.120507399577167,0.11619222757503522,0.04905336865067566,-0.06713885892435956,253.0,14.0,1885,432,1885.0,1438.0
2026-05-18 15:00:00+00:00,-0.1232876712328767,0.5849056603773585,-9.0,31.0,73.0,53.0,73,14,0.7081933316102351,0.10288778875237344,0.07882294041326915,-0.024064848339104297,244.0,45.0,1958,446,1958.0,1491.0
2026-05-18 15:05:00+00:00,-0.02197802197802198,-0.06164383561643835,-8.0,-18.0,364.0,292.0,364,96,-0.03966581363841637,0.09631590397708947,0.07142995220117927,-0.024885951775910197,236.0,27.0,2322,542,2322.0,1783.0
2026-05-18 15:10:00+00:00,0.051643192488262914,-0.09302325581395349,11.0,-8.0,213.0,86.0,213,35,-0.1446664483022164,0.09408226840264815,0.06320729180042264,-0.030874976602225507,247.0,19.0,2535,577,2535.0,1869.0
2026-05-18 15:15:00+00:00,0.13043478260869565,-0.42857142857142855,12.0,-6.0,92.0,14.0,92,6,-0.5590062111801242,0.08329631522539062,0.07844538703851787,-0.004850928186872744,259.0,13.0,2627,583,2627.0,1883.0
2026-05-18 15:20:00+00:00,0.08860759493670886,0.0,7.0,0.0,79.0,54.0,79,15,-0.08860759493670886,0.07685712975483476,0.08469538703851787,0.007838257283683116,266.0,13.0,2706,598,2706.0,1937.0
2026-05-18 15:25:00+00:00,-0.09401709401709402,-0.2857142857142857,-11.0,-12.0,117.0,42.0,117,17,-0.19169719169719168,0.06365287369343585,0.08747794584517307,0.023825072151737226,255.0,1.0,2823,615,2823.0,1979.0
2026-05-18 15:30:00+00:00,0.09900990099009901,-0.4927536231884058,20.0,-68.0,202.0,138.0,202,40,-0.5917635241785049,0.06322702465691929,0.07059888537540795,0.00737186071848866,275.0,-67.0,3025,655,3025.0,2117.0
2026-05-18 15:35:00+00:00,0.10227272727272728,-0.14285714285714285,18.0,-12.0,176.0,84.0,176,24,-0.24512987012987014,0.056977024656919284,0.01345602823255081,-0.043520996424368484,293.0,-79.0,3201,679,3201.0,2201.0
2026-05-18 15:40:00+00:00,0.02857142857142857,0.42857142857142855,2.0,6.0,70.0,14.0,70,6,0.39999999999999997,0.056619881799776436,0.0012111302733671364,-0.0554087515264093,295.0,-73.0,3271,685,3271.0,2215.0
2026-05-18 15:45:00+00:00,-0.11538461538461539,0.7647058823529411,-6.0,26.0,52.0,34.0,52,7,0.8800904977375565,0.034518992739088386,0.022497271848641313,-0.012021720890447068,289.0,-47.0,3323,692,3323.0,2249.0
2026-05-18 15:50:00+00:00,-0.3333333333333333,1.0,-9.0,3.0,27.0,3.0,27,1,1.3333333333333333,0.014155828017947004,0.06809727184864131,0.053941443830694304,280.0,-44.0,3350,693,3350.0,2252.0
2026-05-18 15:55:00+00:00,0.06382978723404255,0.9024390243902439,3.0,37.0,47.0,41.0,47,11,0.8386092371562014,0.016252426868700227,0.09365400567684916,0.07740157880814894,283.0,-7.0,3397,704,3397.0,2293.0
2026-05-18 16:00:00+00:00,0.38461538461538464,0.0,20.0,0.0,52.0,16.0,52,7,-0.38461538461538464,0.044666869568857216,0.10681190041369126,0.06214503084483405,303.0,-7.0,3449,711,3449.0,2309.0
2026-05-18 16:05:00+00:00,0.5,-0.6,40.0,-6.0,80.0,10.0,80,4,-1.1,0.06341686956885721,0.06295647872694429,-0.00046039084191293875,343.0,-13.0,3529,715,3529.0,2319.0
2026-05-18 16:10:00+00:00,0.46153846153846156,-0.058823529411764705,36.0,-1.0,78.0,17.0,78,7,-0.5203619909502263,0.07953176732932458,0.08375267599372979,0.0042209086644051765,379.0,-14.0,3607,722,3607.0,2336.0
2026-05-18 16:15:00+00:00,-0.23076923076923078,-0.42857142857142855,-9.0,-3.0,39.0,7.0,39,3,-0.19780219780219777,0.05634947017442471,0.060150191521680094,0.0038007213472553815,370.0,-17.0,3646,725,3646.0,2343.0
2026-05-18 16:20:00+00:00,-0.1,1.0,-2.0,7.0,20.0,7.0,20,3,1.1,0.05625143095873843,0.12739157083202493,0.07114013987328649,368.0,-10.0,3666,728,3666.0,2350.0
2026-05-18 16:25:00+00:00,-0.061224489795918366,-0.05,-6.0,-2.0,98.0,40.0,98,18,0.011224489795918363,0.04196571667302414,0.11556953693371985,0.0736038202606957,362.0,-12.0,3764,746,3764.0,2390.0
2026-05-18 16:30:00+00:00,0.05,-0.10588235294117647,8.0,-9.0,160.0,85.0,160,30,-0.15588235294117647,0.02891016111746858,0.08754814655938829,0.05863798544191969,370.0,-21.0,3924,776,3924.0,2475.0
2026-05-18 16:35:00+00:00,-0.09375,0.7777777777777778,-6.0,14.0,64.0,18.0,64,8,0.8715277777777778,0.03933894018723603,0.1355279445391863,0.09618900435195024,364.0,-7.0,3988,784,3988.0,2493.0
2026-05-18 16:40:00+00:00,-0.15254237288135594,-0.38461538461538464,-9.0,-5.0,59.0,13.0,59,5,-0.2320730117340287,0.03787620510481206,0.08705189228954911,0.04917568718473704,355.0,-12.0,4047,789,4047.0,2506.0
2026-05-18 16:45:00+00:00,-0.3333333333333333,0.5555555555555556,-15.0,15.0,45.0,27.0,45,11,0.8888888888888888,0.022308439537046497,0.11791186184814881,0.0956034223111023,340.0,3.0,4092,800,4092.0,2533.0
2026-05-18 16:50:00+00:00,0.15789473684210525,-0.5555555555555556,6.0,-5.0,38.0,9.0,38,4,-0.7134502923976609,0.027621016754738614,0.09478524686106872,0.06716423010633008,346.0,-2.0,4130,804,4130.0,2542.0
2026-05-18 16:55:00+00:00,-0.3333333333333333,1.0,-9.0,4.0,27.0,4.0,27,2,1.3333333333333333,0.004432610957637165,0.16621381828964013,0.16178120733200294,337.0,2.0,4157,806,4157.0,2546.0
2026-05-18 17:00:00+00:00,-0.023809523809523808,-0.11428571428571428,-2.0,-8.0,84.0,70.0,84,22,-0.09047619047619047,-0.0011882449796744687,0.1604995325753544,0.1616877775550289,335.0,-6.0,4241,828,4241.0,2616.0
2026-05-18 17:05:00+00:00,0.06666666666666667,0.14285714285714285,4.0,2.0,60.0,14.0,60,6,0.07619047619047618,0.006845943054513565,0.18192810400392584,0.17508216094941226,339.0,-4.0,4301,834,4301.0,2630.0
2026-05-18 17:10:00+00:00,-0.08,0.11428571428571428,-12.0,8.0,150.0,70.0,150,27,0.19428571428571428,-0.0021045519949913854,0.21228007087763187,0.21438462287262325,327.0,4.0,4451,861,4451.0,2700.0
2026-05-18 17:15:00+00:00,0.11864406779661017,-0.2857142857142857,7.0,-12.0,59.0,42.0,59,15,-0.4043583535108959,-0.0012859849687972414,0.20513721373477473,0.20642319870357193,334.0,-8.0,4510,876,4510.0,2742.0
2026-05-18 17:20:00+00:00,-0.02857142857142857,1.0,-1.0,10.0,35.0,10.0,35,4,1.0285714285714285,-0.0041431278259400975,0.23370864230620328,0.23785177013214334,333.0,2.0,4545,880,4545.0,2752.0
2026-05-18 17:25:00+00:00,-0.40540540540540543,0.0,-30.0,0.0,74.0,32.0,74,9,0.40540540540540543,-0.0186441673269796,0.19547334818855625,0.2141175155155358,303.0,2.0,4619,889,4619.0,2784.0
2026-05-18 17:30:00+00:00,0.21212121212121213,-0.6666666666666666,7.0,-8.0,33.0,12.0,33,3,-0.8787878787878788,0.008628559945747672,0.11214001485522289,0.10351145490947519,310.0,-6.0,4652,892,4652.0,2796.0
2026-05-18 17:35:00+00:00,-0.02127659574468085,1.0,-1.0,24.0,47.0,24.0,47,5,1.0212765957446808,0.004373240796811503,0.1170180636357107,0.11264482283889916,309.0,18.0,4699,897,4699.0,2820.0
2026-05-18 17:40:00+00:00,-0.25,0.0,-6.0,0.0,24.0,8.0,24,4,0.25,-0.02735752843395773,0.1170180636357107,0.14437559206966838,303.0,18.0,4723,901,4723.0,2828.0
2026-05-18 17:45:00+00:00,-0.0967741935483871,1.0,-3.0,2.0,31.0,2.0,31,1,1.096774193548387,-0.057196238111377085,0.1970180636357107,0.25421430174708776,300.0,20.0,4754,902,4754.0,2830.0
2026-05-18 17:50:00+00:00,0.3103448275862069,1.0,9.0,10.0,29.0,10.0,29,3,0.6896551724137931,-0.06475591980898981,0.24995924010629894,0.31471515991528876,309.0,30.0,4783,905,4783.0,2840.0
2026-05-18 17:55:00+00:00,-0.4782608695652174,-1.0,-11.0,-8.0,23.0,8.0,23,2,-0.5217391304347826,-0.07713050174878915,0.22138781153487036,0.29851831328365946,298.0,22.0,4806,907,4806.0,2848.0
2026-05-18 18:00:00+00:00,-0.12,0.3333333333333333,-3.0,4.0,25.0,12.0,25,5,0.4533333333333333,-0.07813050174878915,0.18805447820153703,0.2661849799503261,295.0,26.0,4831,912,4831.0,2860.0
2026-05-18 18:05:00+00:00,0.0,-0.3333333333333333,0.0,-5.0,62.0,15.0,62,6,-0.3333333333333333,-0.07506927725899323,0.17388781153487037,0.24895708879386355,295.0,21.0,4893,918,4893.0,2875.0
2026-05-18 18:10:00+00:00,-0.07692307692307693,-0.1111111111111111,-5.0,-6.0,65.0,54.0,65,14,-0.03418803418803418,-0.08141543110514707,0.17362637362637362,0.2550418047315207,290.0,15.0,4958,932,4958.0,2929.0
2026-05-18 18:15:00+00:00,-0.16216216216216217,0.5272727272727272,-12.0,29.0,74.0,55.0,74,15,0.6894348894348894,-0.0848360392132552,0.16110112110112113,0.2459371603143763,278.0,44.0,5032,947,5032.0,2984.0
2026-05-18 18:20:00+00:00,-0.15862068965517243,0.32,-23.0,32.0,145.0,100.0,145,27,0.47862068965517246,-0.085139955051946,0.19633189033189033,0.28147184538383635,255.0,76.0,5177,974,5177.0,3084.0
2026-05-18 18:25:00+00:00,0.029239766081871343,0.2702702702702703,5.0,20.0,171.0,74.0,171,28,0.24103050418839894,-0.06701130008118576,0.1820676260676261,0.24907892614881183,260.0,96.0,5348,1002,5348.0,3158.0
2026-05-18 18:30:00+00:00,-0.1509433962264151,-0.18681318681318682,-48.0,-51.0,318.0,273.0,318,81,-0.03586979058677173,-0.08245320673461179,0.20050474450474448,0.28295795123935624,212.0,45.0,5666,1083,5666.0,3431.0
2026-05-18 18:35:00+00:00,-0.275,-0.42857142857142855,-22.0,-21.0,80.0,49.0,80,16,-0.15357142857142853,-0.07953654006794512,0.12907617307617308,0.20861271314411817,190.0,24.0,5746,1099,5746.0,3480.0
2026-05-18 18:40:00+00:00,-0.2,0.38461538461538464,-4.0,5.0,20.0,13.0,20,5,0.5846153846153846,-0.08834606387746893,0.15402122802122803,0.2423672918986969,186.0,29.0,5766,1104,5766.0,3493.0
2026-05-18 18:45:00+00:00,-0.09090909090909091,1.0,-1.0,3.0,11.0,3.0,11,1,1.0909090909090908,-0.09622485175625681,0.1968783708783709,0.2931032226346277,185.0,32.0,5777,1105,5777.0,3496.0
2026-05-18 18:50:00+00:00,0.047619047619047616,1.0,1.0,8.0,21.0,8.0,21,2,0.9523809523809523,-0.08984389937530443,0.2411640851640852,0.33100798453938957,186.0,40.0,5798,1107,5798.0,3504.0
2026-05-18 18:55:00+00:00,0.0,0.0,0.0,0.0,10.0,0.0,10,0,0.0,-0.09577610276513494,0.25544979944979945,0.3512259022149343,186.0,40.0,5808,1107,5808.0,3504.0
