root,asset,q10_size,q90_size,total_rth_trades,total_rth_size,bottom_trades,top_trades,bottom_trade_share,top_trade_share,bottom_volume,top_volume,bottom_volume_share,top_volume_share,mean_ofi_low,mean_ofi_high,mean_ofi_spread,final_cvd_low,final_cvd_high,final_cvd_high_minus_low,n_bars_with_low,n_bars_with_high,n_bars_with_both,plot,series_csv
SR3,Three-Month SOFR,1.0,48.0,897868,22663100.0,266750,90638,0.2970926684100558,0.10094802354020858,266750.0,16643414.0,0.011770234433947695,0.7343838221602517,-0.045838935469329455,-0.006447468130313531,0.03939146733901592,-11028.0,-123340.0,-112312.0,1622,1622,1622,01_SR3_bucket_ofi.png,01_SR3_bucket_ofi.csv
ZQ,30-Day Fed Funds,1.0,33.0,98141,1983354.0,29173,9835,0.29725598883239424,0.10021295890606373,29173.0,1522048.0,0.014708922360809014,0.7674111631105692,-0.0883935298476916,-0.0537888324166637,0.034604697431027925,-3903.0,-93246.0,-89343.0,1581,1581,1581,02_ZQ_bucket_ofi.png,02_ZQ_bucket_ofi.csv
ZT,2-Year U.S. Treasury Note,1.0,52.0,426656,11072051.0,143022,42730,0.33521619290482263,0.10015094127353184,143022.0,8140495.0,0.01291738992170466,0.7352291820187605,-0.06985170563423132,-0.033645287911018375,0.036206417723212966,-10886.0,-129687.0,-118801.0,1622,1622,1622,03_ZT_bucket_ofi.png,03_ZT_bucket_ofi.csv
ZF,5-Year U.S. Treasury Note,1.0,40.0,865019,17157187.0,407188,87781,0.47072723258101845,0.10147869584367511,407188.0,12739381.0,0.02373279489230956,0.7425098881302629,-0.0020031201539179797,-0.0019805776919395394,2.254246197844218e-05,386.0,1573.0,1187.0,1622,1622,1622,04_ZF_bucket_ofi.png,04_ZF_bucket_ofi.csv
ZN,10-Year U.S. Treasury Note,1.0,32.0,1201304,23379696.0,680421,122275,0.566402009816,0.10178522672029727,680421.0,18944343.0,0.02910307302541487,0.8102903904310818,-0.00789204675470198,-0.0022682844253784874,0.005623762329323494,-7395.0,155827.0,163222.0,1622,1622,1622,05_ZN_bucket_ofi.png,05_ZN_bucket_ofi.csv
TN,Ultra 10-Year U.S. Treasury Note,1.0,31.0,460906,6872935.0,161417,46221,0.35021674701566047,0.10028292102945069,161417.0,4499129.0,0.023485890671161594,0.6546153862942106,-0.004801278741059059,-0.023139782761075086,-0.01833850402001603,-2941.0,-12193.0,-9252.0,1620,1620,1620,06_TN_bucket_ofi.png,06_TN_bucket_ofi.csv
ZB,U.S. Treasury Bond,1.0,23.0,460597,5397267.0,187529,46543,0.4071433378853966,0.10104929037748835,187529.0,3608960.0,0.034745177512989445,0.6686643443802206,0.008474863097503851,-0.005329592524493391,-0.013804455621997242,4597.0,-41414.0,-46011.0,1622,1622,1622,07_ZB_bucket_ofi.png,07_ZB_bucket_ofi.csv
UB,Ultra U.S. Treasury Bond,1.0,21.0,423659,4301739.0,155428,43269,0.36687052558779587,0.1021316672134901,155428.0,2712636.0,0.03613143428738935,0.630590558841436,0.0010252985601807373,0.02612907666799472,0.025103778107813984,1248.0,57932.0,56684.0,1622,1622,1622,08_UB_bucket_ofi.png,08_UB_bucket_ofi.csv
IQB,Bloomberg U.S. IG Corporate Bond Index,1.0,5.0,6336,16028.0,3380,766,0.5334595959595959,0.12089646464646464,3380.0,6653.0,0.21088095832293485,0.4150860993261792,-0.11180644832231035,-0.00012791740671730763,0.11167853091559304,-576.0,-389.0,187.0,967,967,967,09_IQB_bucket_ofi.png,09_IQB_bucket_ofi.csv
HYB,Bloomberg U.S. High Yield Very Liquid Index,1.0,4.0,3568,8254.0,2012,462,0.5639013452914798,0.12948430493273544,2012.0,3770.0,0.24376060092076568,0.4567482432759874,0.020925592253229455,0.07971980395942015,0.05879421170619069,100.0,780.0,680.0,716,716,716,10_HYB_bucket_ofi.png,10_HYB_bucket_ofi.csv
