root,asset,total_rth_trades,q10_size,q90_size,bottom_trades,top_trades,bottom_share,top_share,final_bottom_cum_logret_pct,final_top_cum_logret_pct,final_top_minus_bottom_pct,n_bins,plot,series_csv
SR3,Three-Month SOFR,897868,1.0,48.0,266750,90638,0.2970926684100558,0.10094802354020858,-1.2805826366673934,1.5780906874540257,2.858673324121419,1622,01_SR3_decile_cum_log_return.png,01_SR3_decile_cum_log_return.csv
ZQ,30-Day Fed Funds,98141,1.0,33.0,29172,9835,0.29724579941105145,0.10021295890606373,0.00835395438842923,0.33771675208926766,0.32936279770083843,1581,02_ZQ_decile_cum_log_return.png,02_ZQ_decile_cum_log_return.csv
ZT,2-Year U.S. Treasury Note,426656,1.0,52.0,143022,42730,0.33521619290482263,0.10015094127353184,-3.977788151085271,1.0932268997667194,5.07101505085199,1622,03_ZT_decile_cum_log_return.png,03_ZT_decile_cum_log_return.csv
ZF,5-Year U.S. Treasury Note,865019,1.0,40.0,407187,87781,0.4707260765370472,0.10147869584367511,-1.7688419447829062,-1.3000519148175016,0.46879002996540464,1622,04_ZF_decile_cum_log_return.png,04_ZF_decile_cum_log_return.csv
ZN,10-Year U.S. Treasury Note,1201304,1.0,32.0,680421,122275,0.566402009816,0.10178522672029727,11.674036494425533,2.1627050445243157,-9.511331449901217,1622,05_ZN_decile_cum_log_return.png,05_ZN_decile_cum_log_return.csv
TN,Ultra 10-Year U.S. Treasury Note,460906,1.0,31.0,161417,46221,0.35021674701566047,0.10028292102945069,-4.926957285320821,3.341746448032712,8.268703733353533,1620,06_TN_decile_cum_log_return.png,06_TN_decile_cum_log_return.csv
ZB,U.S. Treasury Bond,460597,1.0,23.0,187529,46543,0.4071433378853966,0.10104929037748835,5.851807414452104,0.9115723747065374,-4.940235039745566,1622,07_ZB_decile_cum_log_return.png,07_ZB_decile_cum_log_return.csv
UB,Ultra U.S. Treasury Bond,423659,1.0,21.0,155428,43269,0.36687052558779587,0.1021316672134901,7.031712533835233,1.6584175912964128,-5.37329494253882,1622,08_UB_decile_cum_log_return.png,08_UB_decile_cum_log_return.csv
IQB,Bloomberg U.S. IG Corporate Bond Index,6336,1.0,5.0,3380,765,0.5334595959595959,0.12073863636363637,-1.2327441238184633,0.6911731011163269,1.9239172249347902,967,09_IQB_decile_cum_log_return.png,09_IQB_decile_cum_log_return.csv
HYB,Bloomberg U.S. High Yield Very Liquid Index,3568,1.0,4.0,2012,461,0.5639013452914798,0.12920403587443946,0.9167503520284725,0.43446894518819335,-0.4822814068402792,716,10_HYB_decile_cum_log_return.png,10_HYB_decile_cum_log_return.csv
DHB,Duration-Hedged IG Credit Index,8813,1.0,21.0,1696,890,0.19244298195847045,0.10098717803245207,0.2891217417820613,-0.1327802161917191,-0.4219019579737804,633,11_DHB_decile_cum_log_return.png,11_DHB_decile_cum_log_return.csv
DHY,Duration-Hedged HY Credit Index,6217,1.0,6.0,3728,677,0.5996461315747145,0.1088949654174039,1.288074216662416,-1.0815078053340699,-2.369582021996486,910,12_DHY_decile_cum_log_return.png,12_DHY_decile_cum_log_return.csv
