root,asset,side,trades,unique_sizes,median,p90,p95,p99,max
SR3,Three-Month SOFR,B,438693,1381,4.0,49.0,100.0,370.0,30000.0
SR3,Three-Month SOFR,A,459175,1393,4.0,47.0,97.0,348.0,30000.0
ZQ,30-Day Fed Funds,B,45957,534,3.0,33.0,72.0,300.0,18532.0
ZQ,30-Day Fed Funds,A,52184,561,3.0,32.0,72.0,300.0,13686.0
ZT,2-Year U.S. Treasury Note,B,205735,1150,5.0,54.0,114.0,367.0,6230.0
ZT,2-Year U.S. Treasury Note,A,220921,1178,4.0,50.0,109.0,362.0,6941.0
ZF,5-Year U.S. Treasury Note,B,435490,1296,2.0,40.0,84.0,288.0,6570.0
ZF,5-Year U.S. Treasury Note,A,429529,1295,2.0,40.0,84.0,288.0,7180.0
ZN,10-Year U.S. Treasury Note,B,595218,1516,1.0,33.0,87.0,312.0,8015.0
ZN,10-Year U.S. Treasury Note,A,606086,1505,1.0,32.0,83.0,302.0,9480.0
TN,Ultra 10-Year U.S. Treasury Note,B,229680,775,4.0,31.0,57.0,190.0,3153.0
TN,Ultra 10-Year U.S. Treasury Note,A,231226,800,4.0,30.0,57.0,190.0,2479.0
ZB,U.S. Treasury Bond,B,234070,667,2.0,22.0,44.0,150.0,2888.0
ZB,U.S. Treasury Bond,A,226527,710,3.0,23.0,46.0,155.0,2441.0
UB,Ultra U.S. Treasury Bond,B,212680,550,3.0,21.0,37.0,126.0,1866.0
UB,Ultra U.S. Treasury Bond,A,210979,541,3.0,20.0,36.0,125.0,2386.0
IQB,Bloomberg U.S. IG Corporate Bond Index,B,2841,23,2.0,5.0,9.0,15.0,32.0
IQB,Bloomberg U.S. IG Corporate Bond Index,A,3495,27,1.0,5.0,8.0,15.0,43.0
HYB,Bloomberg U.S. High Yield Very Liquid Index,B,1943,25,1.0,4.0,8.0,15.0,50.0
HYB,Bloomberg U.S. High Yield Very Liquid Index,A,1625,20,1.0,4.0,6.0,15.0,37.0
DHB,Duration-Hedged IG Credit Index,B,4599,49,4.0,20.0,25.0,30.0,57.0
DHB,Duration-Hedged IG Credit Index,A,4214,57,4.0,21.0,25.0,40.0,96.0
DHY,Duration-Hedged HY Credit Index,B,3037,40,1.0,5.0,11.0,20.0,61.0
DHY,Duration-Hedged HY Credit Index,A,3180,38,1.0,6.0,12.0,21.0,96.0
ES,E-mini S&P 500,B,4404551,344,1.0,6.0,9.0,21.0,1189.0
ES,E-mini S&P 500,A,4388245,336,1.0,6.0,9.0,21.0,1038.0
NQ,E-mini Nasdaq-100,B,3409332,137,1.0,2.0,3.0,5.0,961.0
NQ,E-mini Nasdaq-100,A,3432567,140,1.0,2.0,3.0,5.0,931.0
YM,E-mini Dow,B,591277,57,1.0,2.0,3.0,5.0,99.0
YM,E-mini Dow,A,591827,58,1.0,2.0,3.0,5.0,200.0
RTY,E-mini Russell 2000,B,910335,123,1.0,3.0,4.0,8.0,385.0
RTY,E-mini Russell 2000,A,926298,110,1.0,3.0,4.0,8.0,258.0
NIY,Nikkei 225,B,73841,41,1.0,2.0,3.0,6.0,97.0
NIY,Nikkei 225,A,75198,42,1.0,2.0,3.0,6.0,100.0
6E,Euro FX,B,192994,155,2.0,9.0,14.0,34.0,373.0
6E,Euro FX,A,193847,152,2.0,9.0,14.0,36.0,305.0
6J,Japanese Yen,B,99996,148,2.0,13.0,20.0,47.0,441.0
6J,Japanese Yen,A,103197,169,2.0,12.0,19.0,46.0,448.0
6B,British Pound,B,77906,150,2.0,11.0,16.0,37.0,217.0
6B,British Pound,A,80391,139,2.0,11.0,16.0,37.0,226.0
6C,Canadian Dollar,B,69866,165,2.0,13.0,19.0,41.0,231.0
6C,Canadian Dollar,A,73137,153,2.0,13.0,18.0,39.0,438.0
6A,Australian Dollar,B,107447,131,2.0,10.0,14.0,32.0,314.0
6A,Australian Dollar,A,107946,136,2.0,10.0,14.0,32.0,245.0
6N,New Zealand Dollar,B,51131,77,2.0,7.0,10.0,22.0,148.0
6N,New Zealand Dollar,A,50766,75,2.0,7.0,10.0,21.0,110.0
6S,Swiss Franc,B,70293,52,1.0,4.0,6.0,11.0,111.0
6S,Swiss Franc,A,69957,57,1.0,4.0,5.0,12.0,369.0
6M,Mexican Peso,B,56738,192,2.0,15.0,24.0,56.0,378.0
6M,Mexican Peso,A,55441,198,2.0,16.0,26.0,57.0,486.0
6L,Brazilian Real,B,29031,150,1.0,15.0,23.0,50.0,426.0
6L,Brazilian Real,A,28892,151,1.0,14.0,22.0,50.0,562.0
CNH,Offshore Renminbi,B,3378,26,1.0,5.0,5.0,10.0,41.0
CNH,Offshore Renminbi,A,3268,28,1.0,5.0,7.0,12.0,50.0
6Z,South African Rand,B,5657,71,2.0,14.0,20.0,38.0,137.0
6Z,South African Rand,A,5308,73,3.0,15.0,21.0,39.0,173.0
CL,WTI Crude Oil,B,868562,112,1.0,3.0,4.0,9.0,293.0
CL,WTI Crude Oil,A,864864,104,1.0,3.0,4.0,9.0,280.0
BZ,Brent Crude Oil,B,78114,50,1.0,2.0,3.0,7.0,190.0
BZ,Brent Crude Oil,A,77610,56,1.0,2.0,3.0,7.0,156.0
