vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:55:00+00:00,5,25,0.00010397712512677515,3.243232264948373e-08,58.0,15155.0,1008.0,99163.0,1008,498,0.057539682539682536,0.15282918023859707,0.09528949769891454,58.0,15155.0,1008,498
1,2026-05-18 14:00:00+00:00,2026-05-18 14:50:00+00:00,11,55,-0.00020796506261966385,3.2439911685544706e-08,209.0,-20583.0,1235.0,123765.0,1235,697,0.16923076923076924,-0.16630711428917708,-0.3355378835199463,267.0,-5428.0,2243,1195
2,2026-05-18 14:55:00+00:00,2026-05-18 15:10:00+00:00,4,20,-5.199802408650811e-05,3.515354687227921e-08,24.0,-31347.0,532.0,97003.0,532,361,0.045112781954887216,-0.32315495397049576,-0.368267735925383,291.0,-36775.0,2775,1556
3,2026-05-18 15:15:00+00:00,2026-05-18 16:20:00+00:00,14,70,0.0,3.245115857544134e-08,7.0,-40513.0,1319.0,160823.0,1319,619,0.00530705079605762,-0.25191048544051536,-0.257217536236573,298.0,-77288.0,4094,2175
4,2026-05-18 16:25:00+00:00,2026-05-18 17:40:00+00:00,16,80,0.0,3.244975231980791e-08,16.0,-1942.0,1606.0,114700.0,1606,638,0.009962640099626401,-0.01693112467306016,-0.02689376477268656,314.0,-79230.0,5700,2813
5,2026-05-18 17:45:00+00:00,2026-05-18 19:05:00+00:00,17,85,-5.200072802225009e-05,7.302945349473586e-08,102.0,6802.0,3436.0,198414.0,3436,1156,0.029685681024447033,0.03428185511103047,0.004596174086583436,416.0,-72428.0,9136,3969
6,2026-05-18 19:10:00+00:00,2026-05-19 14:10:00+00:00,19,1145,5.200072802225009e-05,3.5167334694811155e-08,-213.0,-22151.0,4385.0,219413.0,4385,1381,-0.04857468643101482,-0.10095573188461941,-0.05238104545360459,203.0,-94579.0,13521,5350
7,2026-05-19 14:15:00+00:00,2026-05-19 14:45:00+00:00,7,35,-0.00020810571845508719,3.248268247617723e-08,-743.0,-11371.0,3609.0,249563.0,3609,1466,-0.2058742033804378,-0.04556364525190032,0.16031055812853748,-540.0,-105950.0,17130,6816
8,2026-05-19 14:50:00+00:00,2026-05-19 15:20:00+00:00,7,35,0.0,3.248944348085176e-08,-100.0,1879.0,2092.0,132269.0,2092,533,-0.04780114722753346,0.014205898585458421,0.06200704581299188,-640.0,-104071.0,19222,7349
9,2026-05-19 15:25:00+00:00,2026-05-19 16:20:00+00:00,12,60,-5.203319719182531e-05,3.5199714816469536e-08,-270.0,-19455.0,2024.0,96131.0,2024,562,-0.13339920948616601,-0.20238008550831676,-0.06898087602215075,-910.0,-123526.0,21246,7911
