vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:40:00+00:00,2026-05-18 16:05:00+00:00,18,150,-0.00015567029063934257,2.961756551179628e-08,-131.0,-31236.0,445.0,57202.0,445.0,184.0,-0.2943820224719101,-0.54606482290829,-0.25168280043637986,-131.0,-31236.0,445.0,184.0
1,2026-05-18 16:10:00+00:00,2026-05-18 19:30:00+00:00,20,205,0.0,2.1542892824212634e-08,-342.0,-255.0,938.0,28991.0,938.0,159.0,-0.3646055437100213,-0.008795833189610568,0.3558097105204107,-473.0,-31491.0,1383.0,343.0
2,2026-05-18 19:50:00+00:00,2026-05-19 18:25:00+00:00,47,1360,0.0001037748098067226,2.1533952675901485e-08,-309.0,9145.0,1841.0,90381.0,1841.0,501.0,-0.16784356328082564,0.10118277071508393,0.2690263339959096,-782.0,-22346.0,3224.0,844.0
3,2026-05-19 18:30:00+00:00,2026-05-20 19:55:00+00:00,60,1530,0.0,2.1532276533882103e-08,-394.0,-16812.0,1626.0,117904.0,1626.0,632.0,-0.24231242312423124,-0.1425905821685439,0.09972184095568734,-1176.0,-39158.0,4850.0,1476.0
4,2026-05-21 13:35:00+00:00,2026-05-21 17:05:00+00:00,42,215,-0.00010377211652556895,2.1536466236826476e-08,-543.0,-26323.0,1745.0,102697.0,1745.0,716.0,-0.3111747851002865,-0.25631712708258275,0.05485765801770376,-1719.0,-65481.0,6595.0,2192.0
5,2026-05-21 17:15:00+00:00,2026-05-21 19:30:00+00:00,25,140,0.0,2.1537863093595668e-08,-29.0,-1921.0,977.0,70289.0,977.0,540.0,-0.02968270214943705,-0.027330023189972828,0.0023526789594642238,-1748.0,-67402.0,7572.0,2732.0
6,2026-05-21 19:40:00+00:00,2026-05-22 14:20:00+00:00,12,1125,0.0,2.1537863093595668e-08,-81.0,-1093.0,503.0,38297.0,503.0,218.0,-0.1610337972166998,-0.028540094524375278,0.13249370269232452,-1829.0,-68495.0,8075.0,2950.0
7,2026-05-22 14:25:00+00:00,2026-05-22 16:15:00+00:00,21,115,0.0,2.1538421836303345e-08,-82.0,-1876.0,700.0,57296.0,700.0,337.0,-0.11714285714285715,-0.03274225076794192,0.08440060637491523,-1911.0,-70371.0,8775.0,3287.0
8,2026-05-22 16:20:00+00:00,2026-05-22 17:45:00+00:00,16,90,0.0,2.1538421836303345e-08,-173.0,7886.0,459.0,33752.0,459.0,210.0,-0.3769063180827887,0.2336454136051197,0.6105517316879083,-2084.0,-62485.0,9234.0,3497.0
9,2026-05-22 17:50:00+00:00,2026-05-25 17:00:00+00:00,38,4275,0.00010381520902136288,2.1547088269194538e-08,-164.0,-1550.0,416.0,8820.0,416.0,79.0,-0.3942307692307692,-0.17573696145124718,0.21849380777952204,-2248.0,-64035.0,9650.0,3576.0
