vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:55:00+00:00,5,25,0.0003026176449179019,5.7240771790660455e-08,-10.0,6441.0,722.0,37613.0,722,212,-0.013850415512465374,0.17124398479249195,0.18509440030495733,-10.0,6441.0,722,212
1,2026-05-18 14:00:00+00:00,2026-05-18 14:25:00+00:00,6,30,-0.000453960815846699,6.583525348034981e-08,-239.0,-2468.0,733.0,31278.0,733,201,-0.32605729877216916,-0.07890530085043801,0.24715199792173115,-249.0,3973.0,1455,413
2,2026-05-18 14:30:00+00:00,2026-05-18 15:05:00+00:00,8,40,-0.0003027550734593376,9.452492068383035e-08,-140.0,-11080.0,1028.0,62682.0,1028,333,-0.13618677042801555,-0.1767652595641492,-0.040578489136133655,-389.0,-7107.0,2483,746
3,2026-05-18 15:10:00+00:00,2026-05-18 16:30:00+00:00,17,85,-3.7850829884611414e-05,5.586529329189112e-08,-456.0,-13103.0,1228.0,63785.0,1228,348,-0.3713355048859935,-0.20542447283844165,0.16591103204755184,-845.0,-20210.0,3711,1094
4,2026-05-18 16:35:00+00:00,2026-05-18 18:05:00+00:00,19,95,0.0,5.443575250254867e-08,-393.0,-9137.0,1005.0,45359.0,1005,246,-0.39104477611940297,-0.20143742145990873,0.18960735465949424,-1238.0,-29347.0,4716,1340
5,2026-05-18 18:10:00+00:00,2026-05-18 19:00:00+00:00,11,55,-0.00022713507063087945,6.30573557235039e-08,-321.0,4435.0,1081.0,57099.0,1081,271,-0.2969472710453284,0.07767211334699382,0.37461938439232223,-1559.0,-24912.0,5797,1611
6,2026-05-18 19:05:00+00:00,2026-05-18 19:05:00+00:00,1,5,0.00045421856263683225,2.063145026438699e-07,26.0,13427.0,708.0,57051.0,708,277,0.03672316384180791,0.23535082645352404,0.19862766261171613,-1533.0,-11485.0,6505,1888
7,2026-05-18 19:10:00+00:00,2026-05-19 14:05:00+00:00,18,1140,0.0002650833669548547,7.308150598472952e-08,449.0,9514.0,2225.0,107740.0,2225,553,0.20179775280898876,0.08830517913495452,-0.11349257367403424,-1084.0,-1971.0,8730,2441
8,2026-05-19 14:10:00+00:00,2026-05-19 14:15:00+00:00,2,10,-0.00034079936714004333,5.8787958356128375e-08,-83.0,-4644.0,257.0,17988.0,257,107,-0.3229571984435798,-0.2581721147431621,0.06478508370041769,-1167.0,-6615.0,8987,2548
9,2026-05-19 14:20:00+00:00,2026-05-19 14:25:00+00:00,2,10,-0.0004545799002437789,1.2916061012151036e-07,-44.0,-2447.0,388.0,49579.0,388,235,-0.1134020618556701,-0.04935557393251175,0.06404648792315835,-1211.0,-9062.0,9375,2783
10,2026-05-19 14:30:00+00:00,2026-05-19 15:05:00+00:00,8,40,0.00015154959489471764,5.454457042541748e-08,30.0,6431.0,1138.0,83791.0,1138,405,0.026362038664323375,0.07675048632908069,0.05038844766475731,-1181.0,-2631.0,10513,3188
11,2026-05-19 15:10:00+00:00,2026-05-19 16:10:00+00:00,13,65,-7.577192653762665e-05,7.75014096111155e-08,-158.0,5979.0,896.0,67317.0,896,331,-0.17633928571428573,0.0888185748027987,0.26515786051708445,-1339.0,3348.0,11409,3519
12,2026-05-19 16:15:00+00:00,2026-05-19 17:15:00+00:00,13,65,0.0004545454623716694,5.739210546665594e-08,-178.0,17580.0,740.0,62344.0,740,284,-0.24054054054054055,0.2819838316437829,0.5225243721843235,-1517.0,20928.0,12149,3803
13,2026-05-19 17:20:00+00:00,2026-05-19 18:30:00+00:00,15,75,-0.00011361699722467478,6.166016924492548e-08,-194.0,-8946.0,888.0,85644.0,888,426,-0.21846846846846846,-0.1044556536359815,0.11401281483248696,-1711.0,11982.0,13037,4229
