vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,0.0005114155362599959,5.071980681962779e-07,-86.0,9372.0,1466.0,48576.0,1466,335,-0.058663028649386086,0.19293478260869565,0.2515978112580817,-86.0,9372.0,1466,335
1,2026-05-18 13:55:00+00:00,2026-05-18 14:05:00+00:00,3,15,-0.0002922054224896442,2.5605227184105633e-07,-99.0,-1076.0,1045.0,29802.0,1045,193,-0.09473684210526316,-0.036104959398698074,0.05863188270656509,-185.0,8296.0,2511,528
2,2026-05-18 14:10:00+00:00,2026-05-18 14:35:00+00:00,6,30,-0.0010233919021844784,3.7407257001632425e-07,514.0,-11174.0,2436.0,57052.0,2436,357,0.2110016420361248,-0.19585641169459442,-0.4068580537307192,329.0,-2878.0,4947,885
3,2026-05-18 14:40:00+00:00,2026-05-18 15:05:00+00:00,6,30,-0.0002925901564285738,4.813730056159805e-07,134.0,-4743.0,2360.0,46533.0,2360,342,0.05677966101694915,-0.1019276642382825,-0.15870732525523165,463.0,-7621.0,7307,1227
4,2026-05-18 15:10:00+00:00,2026-05-18 16:25:00+00:00,16,80,0.00021945064277417714,2.835144706044938e-07,389.0,-3426.0,3945.0,83978.0,3945,662,0.09860583016476553,-0.04079639905689585,-0.13940222922166137,852.0,-11047.0,11252,1889
5,2026-05-18 16:30:00+00:00,2026-05-18 17:05:00+00:00,8,40,-7.314486343457105e-05,2.621873518968342e-07,97.0,207.0,1609.0,36895.0,1609,288,0.06028589185829708,0.005610516330126034,-0.05467537552817105,949.0,-10840.0,12861,2177
6,2026-05-18 17:10:00+00:00,2026-05-18 18:25:00+00:00,16,80,-0.0005853515935045905,3.5320530735622155e-07,-38.0,5108.0,2372.0,45156.0,2372,363,-0.016020236087689713,0.11311896536451413,0.12913920145220384,911.0,-5732.0,15233,2540
7,2026-05-18 18:30:00+00:00,2026-05-18 19:05:00+00:00,8,40,0.0008778989516935454,1.220581549712522e-06,124.0,-1325.0,4040.0,169133.0,4040,1087,0.030693069306930693,-0.00783407141125623,-0.03852714071818692,1035.0,-7057.0,19273,3627
8,2026-05-18 19:10:00+00:00,2026-05-18 20:00:00+00:00,11,55,-0.00021940249475438378,3.5832141172174225e-07,1.0,-1323.0,3685.0,116803.0,3685,723,0.000271370420624152,-0.01132676386736642,-0.011598134287990572,1036.0,-8380.0,22958,4350
9,2026-05-19 13:35:00+00:00,2026-05-19 14:05:00+00:00,7,35,0.0008059494153513924,4.0263687678827047e-07,450.0,151.0,3214.0,121591.0,3214,815,0.14001244555071563,0.0012418682303788932,-0.13877057732033674,1486.0,-8229.0,26172,5165
10,2026-05-19 14:10:00+00:00,2026-05-19 14:10:00+00:00,1,5,-0.0005860806028570309,3.4349047304526076e-07,1.0,-4178.0,441.0,16362.0,441,124,0.0022675736961451248,-0.255347756997922,-0.2576153306940671,1487.0,-12407.0,26613,5289
11,2026-05-19 14:15:00+00:00,2026-05-19 14:25:00+00:00,3,15,-0.0015400978439235047,1.0921984546488344e-06,552.0,-42151.0,2518.0,121771.0,2518,642,0.2192216044479746,-0.34614974008589894,-0.5653713445338735,2039.0,-54558.0,29131,5931
12,2026-05-19 14:30:00+00:00,2026-05-19 15:05:00+00:00,8,40,0.0004402700393981718,3.1226485117024953e-07,573.0,-5931.0,5993.0,193607.0,5993,1145,0.09561154680460537,-0.030634222936154167,-0.12624576974075954,2612.0,-60489.0,35124,7076
13,2026-05-19 15:10:00+00:00,2026-05-19 16:10:00+00:00,13,65,-0.00029349182102222926,4.952176736895409e-07,-1048.0,-12233.0,4998.0,107547.0,4998,786,-0.20968387354941978,-0.11374561819483575,0.09593825535458403,1564.0,-72722.0,40122,7862
14,2026-05-19 16:15:00+00:00,2026-05-19 16:50:00+00:00,8,40,0.0006602355079721178,2.5286888473362724e-07,315.0,5560.0,2593.0,51172.0,2593,402,0.12148091014269186,0.10865316970218088,-0.012827740440510979,1879.0,-67162.0,42715,8264
15,2026-05-19 16:55:00+00:00,2026-05-19 18:25:00+00:00,19,95,0.000586510280743191,2.6862346508172465e-07,-176.0,8450.0,4556.0,143500.0,4556,950,-0.038630377524143986,0.058885017421602785,0.09751539494574676,1703.0,-58712.0,47271,9214
16,2026-05-19 18:30:00+00:00,2026-05-19 18:50:00+00:00,5,25,-0.0002932121410834654,2.686927480950836e-07,-531.0,-7475.0,2039.0,49647.0,2039,319,-0.26042177538008826,-0.1505629746006808,0.10985880077940746,1172.0,-66187.0,49310,9533
17,2026-05-19 18:55:00+00:00,2026-05-20 13:35:00+00:00,15,1125,0.0004397322642528678,2.901640851480842e-07,498.0,4320.0,3402.0,94034.0,3402,663,0.14638447971781304,0.04594082991258481,-0.10044364980522824,1670.0,-61867.0,52712,10196
18,2026-05-20 13:40:00+00:00,2026-05-20 14:20:00+00:00,9,45,0.001171646296890927,1.9309924649517144e-06,563.0,19585.0,5645.0,141699.0,5645,1051,0.09973427812223207,0.13821551316523054,0.03848123504299847,2233.0,-42282.0,58357,11247
19,2026-05-20 14:25:00+00:00,2026-05-20 14:35:00+00:00,3,15,0.0001463593123727236,2.6787601716073693e-07,40.0,-2038.0,1852.0,54310.0,1852,415,0.02159827213822894,-0.03752531762106426,-0.0591235897592932,2273.0,-44320.0,60209,11662
20,2026-05-20 14:40:00+00:00,2026-05-20 15:00:00+00:00,5,25,0.0006583519494576251,3.050372737574272e-07,-45.0,6054.0,3507.0,99744.0,3507,669,-0.01283147989734816,0.0606953801732435,0.07352686007059167,2228.0,-38266.0,63716,12331
21,2026-05-20 15:05:00+00:00,2026-05-20 15:20:00+00:00,4,20,0.0010962909923133424,1.4156809261750742e-06,-474.0,23739.0,6300.0,168101.0,6300,1182,-0.07523809523809524,0.14121867210783992,0.21645676734593516,1754.0,-14527.0,70016,13513
22,2026-05-20 15:25:00+00:00,2026-05-20 15:45:00+00:00,5,25,-0.00014610271046588963,2.562393814978029e-07,-152.0,-3751.0,4094.0,96229.0,4094,773,-0.03712750366389839,-0.03897993328414511,-0.0018524296202467247,1602.0,-18278.0,74110,14286
23,2026-05-20 15:50:00+00:00,2026-05-20 15:55:00+00:00,2,10,-0.00021919409724979744,3.4687917363403567e-07,117.0,2122.0,961.0,13168.0,961,130,0.12174817898022892,0.16114823815309842,0.0394000591728695,1719.0,-16156.0,75071,14416
24,2026-05-20 16:00:00+00:00,2026-05-20 16:25:00+00:00,6,30,-0.00036543029823743467,3.0443604055760277e-07,-364.0,-1560.0,2490.0,41596.0,2490,381,-0.1461847389558233,-0.03750360611597269,0.10868113283985059,1355.0,-17716.0,77561,14797
