vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,0.0007144388387052558,1.1233447750571694e-06,-224.0,1565.0,2456.0,76389.0,2456,452,-0.09120521172638436,0.02048724292764665,0.11169245465403102,-224.0,1565.0,2456,452
1,2026-05-18 13:55:00+00:00,2026-05-18 14:10:00+00:00,4,20,-0.0007144388387052558,6.324870867503348e-07,201.0,1247.0,3263.0,109665.0,3263,631,0.06159975482684646,0.011370993480144075,-0.050228761346702386,-23.0,2812.0,5719,1083
2,2026-05-18 14:15:00+00:00,2026-05-18 14:35:00+00:00,5,25,-0.0012872775860417462,8.796981611161631e-07,-365.0,-7358.0,2283.0,60112.0,2283,432,-0.15987735435830047,-0.12240484429065744,0.03747251006764303,-388.0,-4546.0,8002,1515
3,2026-05-18 14:40:00+00:00,2026-05-18 15:05:00+00:00,6,30,-0.00042946103301222394,1.5359177636657088e-06,-51.0,-9513.0,3465.0,121097.0,3465,725,-0.01471861471861472,-0.07855685937719349,-0.06383824465857878,-439.0,-14059.0,11467,2240
4,2026-05-18 15:10:00+00:00,2026-05-18 15:55:00+00:00,10,50,0.0005725737345088078,6.555816659882111e-07,681.0,-9093.0,3241.0,113123.0,3241,670,0.21012033323048443,-0.08038153160718864,-0.29050186483767304,242.0,-23152.0,14708,2910
5,2026-05-18 16:00:00+00:00,2026-05-18 16:30:00+00:00,7,35,-0.0005725737345088078,6.144081945919664e-07,-23.0,-1632.0,2333.0,100248.0,2333,569,-0.009858551221603087,-0.016279626526214987,-0.0064210753046119,219.0,-24784.0,17041,3479
6,2026-05-18 16:35:00+00:00,2026-05-18 17:10:00+00:00,8,40,0.0008587377084170456,7.7836948595347e-07,286.0,1842.0,2420.0,56348.0,2420,389,0.11818181818181818,0.03268971392063605,-0.08549210426118213,505.0,-22942.0,19461,3868
7,2026-05-18 17:15:00+00:00,2026-05-18 18:25:00+00:00,15,75,-0.0014316394714377623,6.557520690377328e-07,96.0,-18762.0,2902.0,107080.0,2902,694,0.03308063404548587,-0.1752147926783713,-0.20829542672385717,601.0,-41704.0,22363,4562
8,2026-05-18 18:30:00+00:00,2026-05-18 19:05:00+00:00,8,40,0.0011454754975295245,3.0360501319608374e-06,-1355.0,-19335.0,7115.0,324339.0,7115,1716,-0.1904427266338721,-0.059613552486749974,0.13082917414712214,-754.0,-61039.0,29478,6278
9,2026-05-18 19:10:00+00:00,2026-05-19 13:50:00+00:00,15,1125,-0.00028624588717018895,6.157395561990924e-07,-104.0,-10108.0,7038.0,356190.0,7038,1691,-0.014776925262858768,-0.02837811280496364,-0.013601187542104874,-858.0,-71147.0,36516,7969
10,2026-05-19 13:55:00+00:00,2026-05-19 14:05:00+00:00,3,15,0.0011482705438519147,6.592626752673804e-07,238.0,27469.0,2160.0,101847.0,2160,515,0.11018518518518519,0.26970848429507005,0.15952329910988486,-620.0,-43678.0,38676,8484
11,2026-05-19 14:10:00+00:00,2026-05-19 14:10:00+00:00,1,5,-0.000861079272493015,7.414575135170999e-07,-10.0,-7999.0,758.0,30175.0,758,196,-0.013192612137203167,-0.26508699254349627,-0.2518943804062931,-630.0,-51677.0,39434,8680
12,2026-05-19 14:15:00+00:00,2026-05-19 14:25:00+00:00,3,15,-0.002155947655067436,2.046130897466013e-06,34.0,-32697.0,3076.0,164753.0,3076,765,0.011053315994798439,-0.19846072605658166,-0.2095140420513801,-596.0,-84374.0,42510,9445
13,2026-05-19 14:30:00+00:00,2026-05-19 15:00:00+00:00,7,35,0.00043156154017953696,6.412321467988761e-07,-642.0,18878.0,6388.0,301124.0,6388,1452,-0.10050093926111459,0.06269178145880103,0.1631927207199156,-1238.0,-65496.0,48898,10897
14,2026-05-19 15:05:00+00:00,2026-05-19 15:50:00+00:00,10,50,0.0004313753751556959,6.823284719085452e-07,872.0,10107.0,4472.0,133775.0,4472,852,0.19499105545617174,0.07555223322743412,-0.11943882222873761,-366.0,-55389.0,53370,11749
15,2026-05-19 15:55:00+00:00,2026-05-19 16:25:00+00:00,7,35,0.00043118937067632146,6.407326305521417e-07,203.0,4489.0,3065.0,83109.0,3065,550,0.06623164763458401,0.05401340408379357,-0.012218243550790445,-163.0,-50900.0,56435,12299
16,2026-05-19 16:30:00+00:00,2026-05-19 17:20:00+00:00,11,55,0.0008618213690558818,6.191779742684634e-07,-156.0,7352.0,3206.0,127710.0,3206,735,-0.048658764815970056,0.057567927335369196,0.10622669215133926,-319.0,-43548.0,59641,13034
17,2026-05-19 17:25:00+00:00,2026-05-19 18:30:00+00:00,14,70,-0.001005530502018459,1.0108191161843148e-06,406.0,-10404.0,3334.0,146594.0,3334,863,0.1217756448710258,-0.0709715268019155,-0.1927471716729413,87.0,-53952.0,62975,13897
18,2026-05-19 18:35:00+00:00,2026-05-19 19:10:00+00:00,8,40,-0.0001437297882462829,6.814790007182747e-07,-117.0,-11105.0,3365.0,165895.0,3365,884,-0.03476968796433878,-0.06693993188462581,-0.03217024392028703,-30.0,-65057.0,66340,14781
19,2026-05-19 19:15:00+00:00,2026-05-20 13:40:00+00:00,12,1110,0.00043112740482431633,8.868107253883891e-07,404.0,9122.0,3052.0,106072.0,3052,680,0.13237221494102228,0.08599818990874124,-0.04637402503228104,374.0,-55935.0,69392,15461
20,2026-05-20 13:45:00+00:00,2026-05-20 14:20:00+00:00,8,40,0.0020086089966895315,2.9225718076449763e-06,-280.0,17627.0,9174.0,236129.0,9174,1566,-0.03052103771528232,0.0746498735860483,0.10517091130133062,94.0,-38308.0,78566,17027
21,2026-05-20 14:25:00+00:00,2026-05-20 14:55:00+00:00,7,35,0.0011459677518255162,7.798788160609971e-07,46.0,24204.0,6970.0,229126.0,6970,1431,0.006599713055954089,0.10563620016933914,0.09903648711338506,140.0,-14104.0,85536,18458
22,2026-05-20 15:00:00+00:00,2026-05-20 15:20:00+00:00,5,25,0.0018594012365715784,2.761496638775617e-06,-9.0,28584.0,9649.0,310420.0,9649,1946,-0.0009327391439527412,0.09208169576702532,0.09301443491097806,131.0,14480.0,95185,20404
