vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,0.0008424600329783871,1.4595171737670403e-06,50.0,1062.0,620.0,21396.0,620.0,198.0,0.08064516129032258,0.049635445877734156,-0.031009715412588422,50.0,1062.0,620.0,198.0
1,2026-05-18 13:55:00+00:00,2026-05-18 14:15:00+00:00,5,25,-0.0011234378375801768,8.275586724201359e-07,-65.0,1873.0,851.0,35743.0,851.0,246.0,-0.07638072855464159,0.05240186889740649,0.12878259745204806,-15.0,2935.0,1471.0,444.0
2,2026-05-18 14:20:00+00:00,2026-05-18 14:35:00+00:00,4,20,-0.0012653780247289248,8.497878541988084e-07,13.0,-1284.0,431.0,13956.0,431.0,125.0,0.030162412993039442,-0.09200343938091143,-0.12216585237395088,-2.0,1651.0,1902.0,569.0
3,2026-05-18 14:40:00+00:00,2026-05-18 15:05:00+00:00,6,30,-0.0005629046025363849,1.7019725389074968e-06,77.0,-1912.0,729.0,27228.0,729.0,262.0,0.1056241426611797,-0.07022183046863523,-0.17584597312981493,75.0,-261.0,2631.0,831.0
4,2026-05-18 15:10:00+00:00,2026-05-18 15:55:00+00:00,10,50,0.000844238125281116,8.310989511967059e-07,-2.0,-460.0,948.0,28874.0,948.0,296.0,-0.002109704641350211,-0.015931287663642033,-0.013821583022291821,73.0,-721.0,3579.0,1127.0
5,2026-05-18 16:00:00+00:00,2026-05-18 16:30:00+00:00,7,35,-0.0005627462163149133,1.1074290166318872e-06,-96.0,-4723.0,824.0,31557.0,824.0,240.0,-0.11650485436893204,-0.14966568431726718,-0.033160829948335135,-23.0,-5444.0,4403.0,1367.0
6,2026-05-18 16:35:00+00:00,2026-05-18 17:10:00+00:00,8,40,0.00098459815254337,8.111086044076371e-07,31.0,1665.0,561.0,14705.0,561.0,152.0,0.05525846702317291,0.11322679360761646,0.05796832658444356,8.0,-3779.0,4964.0,1519.0
7,2026-05-18 17:15:00+00:00,2026-05-18 18:05:00+00:00,11,55,-0.00098459815254337,8.503991806357067e-07,186.0,-1644.0,602.0,18588.0,602.0,174.0,0.3089700996677741,-0.08844415752098128,-0.3974142571887554,194.0,-5423.0,5566.0,1693.0
8,2026-05-18 18:10:00+00:00,2026-05-18 18:45:00+00:00,8,40,-0.001267338055988887,8.13182788000818e-07,231.0,-7261.0,689.0,35819.0,689.0,240.0,0.3352685050798258,-0.20271364359697366,-0.5379821486767995,425.0,-12684.0,6255.0,1933.0
9,2026-05-18 18:50:00+00:00,2026-05-18 19:05:00+00:00,4,20,0.0019707213585347105,4.717062014605682e-06,11.0,958.0,1171.0,58630.0,1171.0,461.0,0.009393680614859094,0.016339757803172438,0.006946077188313344,436.0,-11726.0,7426.0,2394.0
