vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,0.0014094435032339092,4.055034521818533e-06,14.0,1733.0,872.0,14299.0,872,182,0.016055045871559634,0.12119728652353312,0.10514224065197349,14.0,1733.0,872,182
1,2026-05-18 13:55:00+00:00,2026-05-18 14:10:00+00:00,4,20,-0.0016915707444900008,2.064605930433368e-06,-44.0,67.0,802.0,20925.0,802,213,-0.05486284289276808,0.0032019115890083633,0.05806475448177644,-30.0,1800.0,1674,395
2,2026-05-18 14:15:00+00:00,2026-05-18 14:35:00+00:00,5,25,-0.0019771225194906705,2.9502192436960686e-06,128.0,-787.0,1056.0,20285.0,1056,266,0.12121212121212122,-0.03879714074439241,-0.16000926195651363,98.0,1013.0,2730,661
3,2026-05-18 14:40:00+00:00,2026-05-18 15:05:00+00:00,6,30,-0.0008485363258392553,5.352872480385979e-06,-46.0,-493.0,1266.0,25235.0,1266,314,-0.036334913112164295,-0.019536358232613432,0.016798554879550863,52.0,520.0,3996,975
4,2026-05-18 15:10:00+00:00,2026-05-18 15:40:00+00:00,7,35,0.00226116546313726,2.077690833464127e-06,160.0,795.0,1170.0,16029.0,1170,224,0.13675213675213677,0.04959760434212989,-0.08715453241000687,212.0,1315.0,5166,1199
5,2026-05-18 15:45:00+00:00,2026-05-18 16:25:00+00:00,9,45,-0.0002823662308752972,2.1512892358356756e-06,-22.0,-324.0,1072.0,22056.0,1072,257,-0.020522388059701493,-0.014689880304679,0.005832507755022493,190.0,991.0,6238,1456
6,2026-05-18 16:30:00+00:00,2026-05-18 16:35:00+00:00,2,10,0.0002823662308752972,1.9951600269885574e-06,24.0,270.0,358.0,5860.0,358,94,0.0670391061452514,0.04607508532423208,-0.020964020821019315,214.0,1261.0,6596,1550
7,2026-05-18 16:40:00+00:00,2026-05-18 17:25:00+00:00,10,50,-0.0002823662308752972,2.6293578248906756e-06,184.0,-1788.0,840.0,13514.0,840,188,0.21904761904761905,-0.1323072369394702,-0.35135485598708927,398.0,-527.0,7436,1738
8,2026-05-18 17:30:00+00:00,2026-05-18 18:25:00+00:00,12,60,-0.0022618047527585006,2.2367469369826253e-06,93.0,-3547.0,673.0,13759.0,673,158,0.13818722139673106,-0.2577948978850207,-0.39598211928175175,491.0,-4074.0,8109,1896
9,2026-05-18 18:30:00+00:00,2026-05-18 19:05:00+00:00,8,40,0.0028264575063268182,1.0390359778536086e-05,228.0,2941.0,2154.0,72927.0,2154,730,0.10584958217270195,0.04032799923210882,-0.06552158294059313,719.0,-1133.0,10263,2626
10,2026-05-18 19:10:00+00:00,2026-05-18 19:30:00+00:00,5,25,-0.0014122301457408781,2.156020874507575e-06,-176.0,-3550.0,1226.0,24644.0,1226,335,-0.14355628058727568,-0.14405129037493913,-0.0004950097876634529,543.0,-4683.0,11489,2961
11,2026-05-18 19:35:00+00:00,2026-05-18 20:00:00+00:00,6,30,-0.0002826855142501472,1.9960169692539516e-06,79.0,-3795.0,629.0,20795.0,629,239,0.12559618441971382,-0.18249579225775428,-0.3080919766774681,622.0,-8478.0,12118,3200
12,2026-05-19 13:35:00+00:00,2026-05-19 13:55:00+00:00,5,25,0.0017055149102871425,2.747826287437582e-06,-47.0,3955.0,1115.0,30053.0,1115,330,-0.042152466367713005,0.13160083851861712,0.17375330488633012,575.0,-4523.0,13233,3530
13,2026-05-19 14:00:00+00:00,2026-05-19 14:10:00+00:00,3,15,-0.000852393857548428,4.274367628602442e-06,-67.0,-1109.0,695.0,11435.0,695,162,-0.09640287769784173,-0.0969829470922606,-0.0005800693944188751,508.0,-5632.0,13928,3692
14,2026-05-19 14:15:00+00:00,2026-05-19 14:25:00+00:00,3,15,-0.0028465718054304645,3.7294434086290424e-06,-1.0,-4298.0,751.0,18310.0,751,216,-0.0013315579227696406,-0.23473511742217368,-0.23340355949940403,507.0,-9930.0,14679,3908
15,2026-05-19 14:30:00+00:00,2026-05-19 15:00:00+00:00,7,35,0.001139601262933887,1.947805764142522e-06,-58.0,1650.0,1474.0,39052.0,1474,447,-0.03934871099050204,0.0422513571648059,0.08160006815530793,449.0,-8280.0,16153,4355
16,2026-05-19 15:05:00+00:00,2026-05-19 15:45:00+00:00,9,45,0.000569313992035525,1.9439727632615633e-06,58.0,-1482.0,1338.0,21490.0,1338,327,0.043348281016442454,-0.06896230805025594,-0.11231058906669839,507.0,-9762.0,17491,4682
17,2026-05-19 15:50:00+00:00,2026-05-19 16:25:00+00:00,8,40,0.000284535497722338,2.1885152654608813e-06,84.0,639.0,830.0,16535.0,830,222,0.10120481927710843,0.03864529785303901,-0.06255952142406943,591.0,-9123.0,18321,4904
18,2026-05-19 16:30:00+00:00,2026-05-19 17:25:00+00:00,12,60,0.000568828229217111,2.1018426165322894e-06,72.0,-3046.0,1410.0,24242.0,1410,307,0.05106382978723404,-0.1256496988697302,-0.17671352865696424,663.0,-12169.0,19731,5211
19,2026-05-19 17:30:00+00:00,2026-05-19 18:25:00+00:00,12,60,0.00028429282352160357,2.178992797359861e-06,112.0,-3493.0,908.0,24055.0,908,277,0.12334801762114538,-0.1452088962793598,-0.2685569139005052,775.0,-15662.0,20639,5488
20,2026-05-19 18:30:00+00:00,2026-05-19 18:50:00+00:00,5,25,-0.0005686664924358098,2.1029004323866524e-06,13.0,-2925.0,597.0,12195.0,597,174,0.021775544388609715,-0.23985239852398524,-0.26162794291259495,788.0,-18587.0,21236,5662
21,2026-05-19 18:55:00+00:00,2026-05-19 19:55:00+00:00,13,65,-0.0005689900580252427,2.104327152925413e-06,175.0,-5812.0,1281.0,28916.0,1281,369,0.1366120218579235,-0.20099598838013558,-0.3376080102380591,963.0,-24399.0,22517,6031
22,2026-05-19 20:00:00+00:00,2026-05-20 13:35:00+00:00,2,1060,0.0017051920798918374,2.099225573925622e-06,52.0,1793.0,278.0,8895.0,278,101,0.18705035971223022,0.20157391793142215,0.014523558219191934,1015.0,-22606.0,22795,6132
23,2026-05-20 13:40:00+00:00,2026-05-20 14:20:00+00:00,9,45,0.0008514261902172748,4.27423092321509e-06,91.0,-439.0,2381.0,49807.0,2381,686,0.03821923561528769,-0.00881402212540406,-0.04703325774069175,1106.0,-23045.0,25176,6818
24,2026-05-20 14:25:00+00:00,2026-05-20 14:55:00+00:00,7,35,0.0028328630843041935,4.653704203508212e-06,36.0,2344.0,1800.0,33236.0,1800,419,0.02,0.07052593573233842,0.05052593573233842,1142.0,-20701.0,26976,7237
25,2026-05-20 15:00:00+00:00,2026-05-20 15:20:00+00:00,5,25,0.0033888764429486073,6.856718997879436e-06,-178.0,1444.0,2930.0,67650.0,2930,857,-0.06075085324232082,0.021345158906134518,0.08209601214845533,964.0,-19257.0,29906,8094
26,2026-05-20 15:25:00+00:00,2026-05-20 16:00:00+00:00,8,40,-0.0005640158073942914,2.224780659371212e-06,355.0,-3107.0,2377.0,39897.0,2377,523,0.14934791754312157,-0.07787552948843271,-0.22722344703155428,1319.0,-22364.0,32283,8617
27,2026-05-20 16:05:00+00:00,2026-05-20 16:25:00+00:00,5,25,-0.0005643341007557368,2.0681890778093836e-06,-62.0,-581.0,560.0,8753.0,560,155,-0.11071428571428571,-0.06637724208842682,0.044337043625858885,1257.0,-22945.0,32843,8772
28,2026-05-20 16:30:00+00:00,2026-05-20 17:40:00+00:00,15,75,0.0014102385639986892,2.1471118067943526e-06,-246.0,7066.0,2344.0,42326.0,2344,594,-0.10494880546075085,0.16694230496621462,0.27189111042696545,1011.0,-15879.0,35187,9366
29,2026-05-20 17:45:00+00:00,2026-05-20 18:45:00+00:00,13,65,-0.0008459044632429524,2.464777046626307e-06,-77.0,1204.0,1043.0,16418.0,1043,234,-0.0738255033557047,0.07333414545011573,0.14715964880582044,934.0,-14675.0,36230,9600
30,2026-05-20 18:50:00+00:00,2026-05-21 13:35:00+00:00,16,1130,0.00027917735442972713,2.625293726110489e-06,-223.0,-2591.0,2231.0,47877.0,2231,610,-0.09995517705064993,-0.05411784364099672,0.045837333409653215,711.0,-17266.0,38461,10210
31,2026-05-21 13:40:00+00:00,2026-05-21 13:45:00+00:00,2,10,-0.0022662899218257593,2.7292198089389783e-06,22.0,-1838.0,366.0,6166.0,366,109,0.060109289617486336,-0.2980862795977944,-0.35819556921528073,733.0,-19104.0,38827,10319
32,2026-05-21 13:50:00+00:00,2026-05-21 13:50:00+00:00,1,5,0.0014170329705702756,2.0079824396832193e-06,-11.0,338.0,207.0,3548.0,207,58,-0.05314009661835749,0.09526493799323563,0.1484050346115931,722.0,-18766.0,39034,10377
33,2026-05-21 13:55:00+00:00,2026-05-21 13:55:00+00:00,1,5,0.0028280561835174467,7.997901777131266e-06,-17.0,1983.0,537.0,8407.0,537,143,-0.03165735567970205,0.2358748661829428,0.26753222186264486,705.0,-16783.0,39571,10520
34,2026-05-21 14:00:00+00:00,2026-05-21 14:30:00+00:00,7,35,-0.0011302629064227077,3.038929848000523e-06,28.0,-744.0,1484.0,29512.0,1484,422,0.018867924528301886,-0.025210084033613446,-0.044078008561915336,733.0,-17527.0,41055,10942
