vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,0.0013871551676380989,5.315708007394165e-06,198.0,966.0,570.0,11434.0,570,189,0.3473684210526316,0.08448486968689872,-0.2628835513657329,198.0,966.0,570,189
1,2026-05-18 13:55:00+00:00,2026-05-18 14:15:00+00:00,5,25,-0.0022203728245084875,2.308487826199955e-06,-58.0,-3122.0,800.0,18388.0,800,242,-0.0725,-0.16978464215792907,-0.09728464215792908,140.0,-2156.0,1370,431
2,2026-05-18 14:20:00+00:00,2026-05-18 14:35:00+00:00,4,20,-0.0019468786569403207,2.8599007461471943e-06,-25.0,-1783.0,591.0,6483.0,591,132,-0.04230118443316413,-0.2750269936757674,-0.23272580924260325,115.0,-3939.0,1961,563
3,2026-05-18 14:40:00+00:00,2026-05-18 15:00:00+00:00,5,25,0.0011129661694209148,2.4777750726485973e-06,-4.0,832.0,734.0,7132.0,734,158,-0.005449591280653951,0.1166573191250701,0.12210691040572405,111.0,-3107.0,2695,721
4,2026-05-18 15:05:00+00:00,2026-05-18 15:05:00+00:00,1,5,-0.0016699141091862657,2.7886131320593593e-06,-31.0,-508.0,491.0,7348.0,491,120,-0.06313645621181263,-0.06913445835601524,-0.0059980021442026105,80.0,-3615.0,3186,841
5,2026-05-18 15:10:00+00:00,2026-05-18 15:40:00+00:00,7,35,0.0025038265967056716,3.0183503010689356e-06,-15.0,1745.0,751.0,14427.0,751,240,-0.019973368841544607,0.12095376724197685,0.14092713608352145,65.0,-1870.0,3937,1081
6,2026-05-18 15:45:00+00:00,2026-05-18 16:30:00+00:00,10,50,-0.0013902407355264046,3.3210147248080437e-06,-40.0,-403.0,846.0,19333.0,846,264,-0.04728132387706856,-0.020845186985982516,0.02643613689108604,25.0,-2273.0,4783,1345
7,2026-05-18 16:35:00+00:00,2026-05-18 17:10:00+00:00,8,40,0.0016680571006970624,2.4729137241208816e-06,-37.0,192.0,509.0,6940.0,509,128,-0.07269155206286837,0.0276657060518732,0.10035725811474157,-12.0,-2081.0,5292,1473
8,2026-05-18 17:15:00+00:00,2026-05-18 18:05:00+00:00,11,55,-0.0016680571006970624,2.627191605163657e-06,172.0,-437.0,586.0,10619.0,586,183,0.2935153583617747,-0.04115265090874847,-0.3346680092705232,160.0,-2518.0,5878,1656
9,2026-05-18 18:10:00+00:00,2026-05-18 18:50:00+00:00,9,45,-0.0013921761958970436,2.56164921033929e-06,50.0,-1952.0,662.0,14602.0,662,244,0.0755287009063444,-0.13368031776468978,-0.2092090186710342,210.0,-4470.0,6540,1900
10,2026-05-18 18:55:00+00:00,2026-05-18 19:05:00+00:00,3,15,0.002782416931423448,1.1309823053284313e-05,105.0,3464.0,947.0,25130.0,947,378,0.11087645195353749,0.1378432152805412,0.026966763327003707,315.0,-1006.0,7487,2278
11,2026-05-18 19:10:00+00:00,2026-05-18 19:25:00+00:00,4,20,-0.0019468786569403207,2.5526757967835597e-06,-38.0,-854.0,564.0,14894.0,564,256,-0.0673758865248227,-0.05733852558077078,0.010037360944051915,277.0,-1860.0,8051,2534
12,2026-05-18 19:30:00+00:00,2026-05-19 13:45:00+00:00,10,1100,0.00027625098560868366,2.7233994341136417e-06,328.0,-8617.0,1474.0,46443.0,1474,538,0.2225237449118046,-0.18553926318282626,-0.40806300809463086,605.0,-10477.0,9525,3072
13,2026-05-19 13:50:00+00:00,2026-05-19 13:55:00+00:00,2,10,0.0025206567050224393,3.2156373523603542e-06,31.0,3151.0,343.0,9153.0,343,145,0.09037900874635568,0.34425871299027644,0.25387970424392076,636.0,-7326.0,9868,3217
14,2026-05-19 14:00:00+00:00,2026-05-19 14:10:00+00:00,3,15,-0.0008395131317184834,5.865569952800997e-06,-34.0,-2185.0,544.0,11341.0,544,192,-0.0625,-0.19266378626223438,-0.13016378626223438,602.0,-9511.0,10412,3409
15,2026-05-19 14:15:00+00:00,2026-05-19 14:25:00+00:00,3,15,-0.0033651181503140393,5.193221006800464e-06,-18.0,-4100.0,608.0,13780.0,608,256,-0.029605263157894735,-0.29753265602322204,-0.2679273928653273,584.0,-13611.0,11020,3665
16,2026-05-19 14:30:00+00:00,2026-05-19 15:05:00+00:00,8,40,0.0028050509276091873,3.302969636569693e-06,194.0,3078.0,1212.0,33268.0,1212,473,0.16006600660066006,0.09252134182998678,-0.06754466477067328,778.0,-10533.0,12232,4138
17,2026-05-19 15:10:00+00:00,2026-05-19 16:10:00+00:00,13,65,-0.002243410924077871,5.030646408233317e-06,1.0,-259.0,1295.0,28795.0,1295,453,0.0007722007722007722,-0.008994617121027957,-0.00976681789322873,779.0,-10792.0,13527,4591
18,2026-05-19 16:15:00+00:00,2026-05-19 16:30:00+00:00,4,20,0.003083394173802212,2.435364538449343e-06,71.0,472.0,509.0,5290.0,509,105,0.13948919449901767,0.0892249527410208,-0.050264241757996875,850.0,-10320.0,14036,4696
19,2026-05-19 16:35:00+00:00,2026-05-19 18:20:00+00:00,22,110,0.00027983769596406916,2.896738434684311e-06,257.0,-2647.0,1429.0,26631.0,1429,416,0.17984604618614417,-0.09939544140287634,-0.2792414875890205,1107.0,-12967.0,15465,5112
