vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,-0.0013116520285674227,5.0571206748326856e-06,-57.0,107.0,29579.0,49971.0,29579.0,4927.0,-0.001927042834443355,0.002141241920313782,0.004068284754757137,-57.0,107.0,29579.0,4927.0
1,2026-05-18 13:55:00+00:00,2026-05-18 13:55:00+00:00,1,5,0.0027558410988692827,7.594660162217056e-06,186.0,1379.0,6454.0,13007.0,6454.0,1147.0,0.028819336845367215,0.10601983547320673,0.07720049862783951,129.0,1486.0,36033.0,6074.0
2,2026-05-18 14:00:00+00:00,2026-05-18 14:10:00+00:00,3,15,-0.0007050410726670009,6.572972897293056e-06,362.0,-360.0,20830.0,37246.0,20830.0,3488.0,0.017378780604896782,-0.009665467432744455,-0.027044248037641237,491.0,1126.0,56863.0,9562.0
3,2026-05-18 14:15:00+00:00,2026-05-18 14:35:00+00:00,5,25,-0.003937211688485931,9.936539606595705e-06,-1215.0,-1268.0,26675.0,45726.0,26675.0,4424.0,-0.045548266166822865,-0.02773039408651533,0.017817872080307533,-724.0,-142.0,83538.0,13986.0
4,2026-05-18 14:40:00+00:00,2026-05-18 15:15:00+00:00,8,40,-0.00030350549072188926,5.172424177188604e-06,53.0,-2024.0,43009.0,75392.0,43009.0,7497.0,0.0012323002162338114,-0.02684634974533107,-0.02807864996156488,-671.0,-2166.0,126547.0,21483.0
5,2026-05-18 15:20:00+00:00,2026-05-18 15:55:00+00:00,8,40,-0.0004385595077458504,5.0270925422465916e-06,41.0,-3447.0,26373.0,50783.0,26373.0,4931.0,0.001554620255564403,-0.06787704546797156,-0.06943166572353597,-630.0,-5613.0,152920.0,26414.0
6,2026-05-18 16:00:00+00:00,2026-05-18 16:30:00+00:00,7,35,-0.0028045770127587133,9.51759502987306e-06,-1584.0,-3816.0,21974.0,51084.0,21974.0,4788.0,-0.07208519159006098,-0.07470049330514447,-0.002615301715083493,-2214.0,-9429.0,174894.0,31202.0
7,2026-05-18 16:35:00+00:00,2026-05-18 16:55:00+00:00,5,25,0.0026695969221179894,4.9222647878714204e-06,219.0,2558.0,14061.0,33382.0,14061.0,3069.0,0.015574994666097717,0.07662812294050686,0.061053128274409146,-1995.0,-6871.0,188955.0,34271.0
8,2026-05-18 17:00:00+00:00,2026-05-18 18:05:00+00:00,14,70,-0.001317011587579131,5.421896819279317e-06,6.0,-3229.0,25790.0,60115.0,25790.0,5686.0,0.00023264831329972857,-0.05371371537885719,-0.05394636369215692,-1989.0,-10100.0,214745.0,39957.0
9,2026-05-18 18:10:00+00:00,2026-05-18 19:05:00+00:00,12,60,0.0008106739170532506,1.6906793604097565e-05,-719.0,6885.0,37575.0,97997.0,37575.0,8862.0,-0.019135063206919493,0.07025725277304408,0.08939231597996357,-2708.0,-3215.0,252320.0,48819.0
