vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:45:00+00:00,3,15,-0.005862813672152356,1.4535016058652235e-05,-198.0,-93.0,22888.0,17169.0,22888.0,6398.0,-0.008650821391121985,-0.0054167394723047355,0.0032340819188172495,-198.0,-93.0,22888.0,6398.0
1,2026-05-18 13:50:00+00:00,2026-05-18 13:55:00+00:00,2,10,0.00362771834732456,1.530119569884354e-05,-137.0,349.0,16871.0,12469.0,16871.0,4592.0,-0.008120443364353032,0.027989413746090305,0.03610985711044334,-335.0,256.0,39759.0,10990.0
2,2026-05-18 14:00:00+00:00,2026-05-18 14:10:00+00:00,3,15,-0.0007518411918852053,1.8386245531565233e-05,-150.0,-733.0,20464.0,16599.0,20464.0,6022.0,-0.007329945269741986,-0.044159286704018315,-0.03682934143427633,-485.0,-477.0,60223.0,17012.0
3,2026-05-18 14:15:00+00:00,2026-05-18 14:35:00+00:00,5,25,-0.007756366642135859,2.557453517261444e-05,-133.0,-903.0,27719.0,21461.0,27719.0,7883.0,-0.004798152891518453,-0.042076324495596666,-0.03727817160407822,-618.0,-1380.0,87942.0,24895.0
4,2026-05-18 14:40:00+00:00,2026-05-18 15:10:00+00:00,7,35,-0.00020674327727299158,1.4455497503176682e-05,-478.0,-1267.0,39994.0,28423.0,39994.0,10746.0,-0.011951792768915337,-0.04457657530872885,-0.03262478253981351,-1096.0,-2647.0,127936.0,35641.0
5,2026-05-18 15:15:00+00:00,2026-05-18 15:35:00+00:00,5,25,-0.00023263728935951633,1.2334214362549942e-05,-176.0,-360.0,20760.0,13964.0,20760.0,5243.0,-0.008477842003853564,-0.025780578630764824,-0.017302736626911258,-1272.0,-3007.0,148696.0,40884.0
6,2026-05-18 15:40:00+00:00,2026-05-18 16:30:00+00:00,11,55,-0.004603546722515617,2.2839297857217565e-05,-396.0,-842.0,35548.0,28384.0,35548.0,10567.0,-0.01113986722178463,-0.029664599774520857,-0.018524732552736227,-1668.0,-3849.0,184244.0,51451.0
7,2026-05-18 16:35:00+00:00,2026-05-18 16:55:00+00:00,5,25,0.00489648854981084,1.199875190131823e-05,-65.0,1023.0,17693.0,13087.0,17693.0,4727.0,-0.0036737692872887582,0.07816917551768932,0.08184294480497807,-1733.0,-2826.0,201937.0,56178.0
8,2026-05-18 17:00:00+00:00,2026-05-18 18:05:00+00:00,14,70,-0.002345940961184567,1.1917086865414487e-05,-411.0,-54.0,32551.0,23444.0,32551.0,8854.0,-0.012626340204602009,-0.0023033612011602116,0.010322979003441797,-2144.0,-2880.0,234488.0,65032.0
9,2026-05-18 18:10:00+00:00,2026-05-18 19:05:00+00:00,12,60,0.0011391586992406388,3.3118493315317134e-05,-122.0,-730.0,40730.0,36184.0,40730.0,13354.0,-0.0029953351338080038,-0.020174662834401946,-0.01717932770059394,-2266.0,-3610.0,275218.0,78386.0
