vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:45:00+00:00,3,15,-8.057368467895287e-05,4.6759258110031375e-06,-55.0,-145.0,4997.0,3869.0,4997.0,1563.0,-0.011006603962377426,-0.037477384337038,-0.026470780374660573,-55.0,-145.0,4997.0,1563.0
1,2026-05-18 13:50:00+00:00,2026-05-18 13:55:00+00:00,2,10,0.0032982090875339765,5.733076624428057e-06,20.0,165.0,2800.0,2485.0,2800.0,914.0,0.007142857142857143,0.06639839034205232,0.05925553319919517,-35.0,20.0,7797.0,2477.0
2,2026-05-18 14:00:00+00:00,2026-05-18 14:15:00+00:00,4,20,-0.0028551341401996666,4.505699658297431e-06,-65.0,-274.0,4037.0,3460.0,4037.0,1395.0,-0.016101065147386674,-0.07919075144508671,-0.06308968629770004,-100.0,-254.0,11834.0,3872.0
3,2026-05-18 14:20:00+00:00,2026-05-18 14:35:00+00:00,4,20,0.0006239998592150187,5.237765647704474e-06,89.0,-59.0,2953.0,2159.0,2953.0,835.0,0.030138841855739926,-0.02732746641963872,-0.057466308275378644,-11.0,-313.0,14787.0,4707.0
4,2026-05-18 14:40:00+00:00,2026-05-18 15:05:00+00:00,6,30,-0.0024579937426825182,7.778907533482884e-06,-150.0,-2.0,4332.0,3292.0,4332.0,1316.0,-0.03462603878116344,-0.0006075334143377885,0.03401850536682565,-161.0,-315.0,19119.0,6023.0
5,2026-05-18 15:10:00+00:00,2026-05-18 16:25:00+00:00,16,80,0.0014312065899879656,4.276357689881833e-06,175.0,273.0,6329.0,4691.0,6329.0,1801.0,0.027650497708958763,0.05819654657855468,0.030546048869595915,14.0,-42.0,25448.0,7824.0
6,2026-05-18 16:30:00+00:00,2026-05-18 16:40:00+00:00,3,15,-0.0009471892365837675,4.317961809329054e-06,41.0,16.0,1471.0,1288.0,1471.0,477.0,0.02787219578518015,0.012422360248447204,-0.015449835536732945,55.0,-26.0,26919.0,8301.0
7,2026-05-18 16:45:00+00:00,2026-05-18 17:45:00+00:00,13,65,0.00030239192239278623,4.317484249778196e-06,152.0,31.0,3208.0,2613.0,3208.0,1007.0,0.04738154613466334,0.011863758132414848,-0.03551778800224849,207.0,5.0,30127.0,9308.0
8,2026-05-18 17:50:00+00:00,2026-05-18 19:05:00+00:00,16,80,0.00024184771773327896,1.636575823822953e-05,-24.0,238.0,6108.0,5840.0,6108.0,2150.0,-0.003929273084479371,0.040753424657534246,0.04468269774201362,183.0,243.0,36235.0,11458.0
9,2026-05-18 19:10:00+00:00,2026-05-19 13:35:00+00:00,12,1110,0.000654121446469702,8.322481205720215e-06,42.0,302.0,8434.0,8354.0,8434.0,3062.0,0.004979843490633152,0.03615034713909505,0.031170503648461897,225.0,545.0,44669.0,14520.0
10,2026-05-19 13:40:00+00:00,2026-05-19 13:50:00+00:00,3,15,0.001455633760855335,6.727966068292895e-06,185.0,-48.0,5797.0,4834.0,5797.0,1879.0,0.031913058478523375,-0.00992966487381051,-0.04184272335233388,410.0,497.0,50466.0,16399.0
11,2026-05-19 13:55:00+00:00,2026-05-19 13:55:00+00:00,1,5,0.0022601159857913444,5.108124269229581e-06,-39.0,125.0,1619.0,1449.0,1619.0,530.0,-0.024088943792464484,0.0862663906142167,0.11035533440668119,371.0,622.0,52085.0,16929.0
12,2026-05-19 14:00:00+00:00,2026-05-19 14:50:00+00:00,11,55,-0.0015129053689069138,4.793852612944361e-06,342.0,-6.0,11320.0,8804.0,11320.0,3364.0,0.030212014134275617,-0.0006815084052703317,-0.03089352253954595,713.0,616.0,63405.0,20293.0
13,2026-05-19 14:55:00+00:00,2026-05-19 15:25:00+00:00,7,35,-0.0006866051684344399,5.63382735887767e-06,148.0,-252.0,3858.0,3076.0,3858.0,1176.0,0.0383618455158113,-0.08192457737321196,-0.12028642288902326,861.0,364.0,67263.0,21469.0
14,2026-05-19 15:30:00+00:00,2026-05-19 16:05:00+00:00,8,40,0.00028277687073519076,4.269876626661002e-06,-7.0,48.0,3219.0,2648.0,3219.0,1013.0,-0.0021745883814849334,0.01812688821752266,0.020301476599007592,854.0,412.0,70482.0,22482.0
