vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:35:00+00:00,1,5,-0.0039572949555841674,1.5660183365491898e-05,-81.0,-55.0,2041.0,1157.0,2041.0,274.0,-0.03968642822146007,-0.04753673292999136,-0.007850304708531292,-81.0,-55.0,2041.0,274.0
1,2026-05-18 13:40:00+00:00,2026-05-18 13:40:00+00:00,1,5,-0.0034710453342841063,1.2048155712655464e-05,-313.0,-139.0,2363.0,1217.0,2363.0,268.0,-0.13245873889123994,-0.114215283483977,0.018243455407262937,-394.0,-194.0,4404.0,542.0
2,2026-05-18 13:45:00+00:00,2026-05-18 13:50:00+00:00,2,10,0.0033638737703700627,1.7516170839542596e-05,-14.0,184.0,4422.0,2694.0,4422.0,635.0,-0.003165988240615106,0.06829992576095026,0.07146591400156536,-408.0,-10.0,8826.0,1177.0
3,2026-05-18 13:55:00+00:00,2026-05-18 14:00:00+00:00,2,10,0.0015706996410953522,1.3340900900982293e-05,64.0,152.0,2732.0,1712.0,2732.0,393.0,0.02342606149341142,0.08878504672897196,0.06535898523556054,-344.0,142.0,11558.0,1570.0
4,2026-05-18 14:05:00+00:00,2026-05-18 14:25:00+00:00,5,25,-0.002500001302084165,1.161487994171954e-05,-119.0,-489.0,5641.0,2833.0,5641.0,657.0,-0.021095550434320157,-0.17260854218143312,-0.15151299174711297,-463.0,-347.0,17199.0,2227.0
5,2026-05-18 14:30:00+00:00,2026-05-18 14:35:00+00:00,2,10,-0.004228487630653532,1.2853382937012192e-05,-18.0,-34.0,1978.0,1008.0,1978.0,229.0,-0.00910010111223458,-0.03373015873015873,-0.024630057617924146,-481.0,-381.0,19177.0,2456.0
6,2026-05-18 14:40:00+00:00,2026-05-18 15:10:00+00:00,7,35,-0.0006106651050981071,1.747390190523675e-05,-385.0,313.0,9179.0,6559.0,9179.0,1357.0,-0.04194356683734612,0.04772068912944046,0.08966425596678658,-866.0,-68.0,28356.0,3813.0
7,2026-05-18 15:15:00+00:00,2026-05-18 16:15:00+00:00,13,65,0.001185068280109114,1.2415736705978064e-05,-456.0,78.0,9314.0,5028.0,9314.0,1172.0,-0.048958557010951254,0.015513126491646777,0.06447168350259803,-1322.0,10.0,37670.0,4985.0
8,2026-05-18 16:20:00+00:00,2026-05-18 16:30:00+00:00,3,15,-0.004280043219777596,1.244889081850718e-05,-161.0,-125.0,2599.0,1959.0,2599.0,443.0,-0.061946902654867256,-0.0638080653394589,-0.0018611626845916468,-1483.0,-115.0,40269.0,5428.0
9,2026-05-18 16:35:00+00:00,2026-05-18 17:40:00+00:00,14,70,0.0001802029089628121,1.2646701556014837e-05,-183.0,172.0,7517.0,4566.0,7517.0,994.0,-0.024344818411600373,0.037669732807709154,0.06201455121930953,-1666.0,57.0,47786.0,6422.0
10,2026-05-18 17:45:00+00:00,2026-05-18 19:05:00+00:00,17,85,0.0015484059916550663,3.182430735596613e-05,-366.0,807.0,11750.0,8185.0,11750.0,1810.0,-0.031148936170212766,0.09859499083689677,0.12974392700710954,-2032.0,864.0,59536.0,8232.0
11,2026-05-18 19:10:00+00:00,2026-05-19 13:35:00+00:00,12,1110,-0.003862874652730497,3.435181905958328e-05,-532.0,-430.0,13406.0,18532.0,13406.0,3382.0,-0.03968372370580337,-0.023203108137276062,0.01648061556852731,-2564.0,434.0,72942.0,11614.0
12,2026-05-19 13:40:00+00:00,2026-05-19 13:45:00+00:00,2,10,-0.0019681458406966,2.387131754953313e-05,234.0,61.0,4572.0,2531.0,4572.0,555.0,0.051181102362204724,0.024101145792177005,-0.027079956570027718,-2330.0,495.0,77514.0,12169.0
