vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,-0.002756609496531226,1.2702425175962529e-05,-41.0,37.0,511.0,657.0,511.0,200.0,-0.08023483365949119,0.0563165905631659,0.1365514242226571,-41.0,37.0,511.0,200.0
1,2026-05-18 13:55:00+00:00,2026-05-18 14:05:00+00:00,3,15,-0.0018690834745296314,1.7524228226633376e-05,-66.0,-84.0,354.0,436.0,354.0,145.0,-0.1864406779661017,-0.1926605504587156,-0.006219872492613909,-107.0,-47.0,865.0,345.0
2,2026-05-18 14:10:00+00:00,2026-05-18 14:35:00+00:00,6,30,-0.002606289144321039,1.3036343468899533e-05,-22.0,-41.0,560.0,589.0,560.0,189.0,-0.039285714285714285,-0.06960950764006792,-0.03032379335435363,-129.0,-88.0,1425.0,534.0
3,2026-05-18 14:40:00+00:00,2026-05-18 15:20:00+00:00,9,45,-0.0014690282573290858,9.60797892989918e-06,-7.0,24.0,1069.0,1314.0,1069.0,397.0,-0.006548175865294668,0.0182648401826484,0.02481301604794307,-136.0,-64.0,2494.0,931.0
4,2026-05-18 15:25:00+00:00,2026-05-18 16:30:00+00:00,14,70,-0.0017165982880413821,1.7467399278253493e-05,-1.0,-168.0,667.0,600.0,667.0,190.0,-0.0014992503748125937,-0.28,-0.27850074962518745,-137.0,-232.0,3161.0,1121.0
5,2026-05-18 16:35:00+00:00,2026-05-18 16:55:00+00:00,5,25,0.0038378359276940444,9.48668296157417e-06,13.0,41.0,139.0,117.0,139.0,39.0,0.09352517985611511,0.3504273504273504,0.2569021705712353,-124.0,-191.0,3300.0,1160.0
6,2026-05-18 17:00:00+00:00,2026-05-18 18:20:00+00:00,17,85,-0.004901970600206695,1.025344457609763e-05,18.0,-13.0,362.0,267.0,362.0,106.0,0.049723756906077346,-0.04868913857677903,-0.09841289548285637,-106.0,-204.0,3662.0,1266.0
7,2026-05-18 18:25:00+00:00,2026-05-18 19:05:00+00:00,9,45,0.0036787288574640087,4.010159797396561e-05,28.0,92.0,552.0,580.0,552.0,206.0,0.050724637681159424,0.15862068965517243,0.107896051974013,-78.0,-112.0,4214.0,1472.0
8,2026-05-18 19:10:00+00:00,2026-05-18 19:50:00+00:00,9,45,0.0037465429065708378,1.0110440957743205e-05,12.0,-2.0,476.0,532.0,476.0,216.0,0.025210084033613446,-0.0037593984962406013,-0.028969482529854047,-66.0,-114.0,4690.0,1688.0
9,2026-05-18 19:55:00+00:00,2026-05-19 13:40:00+00:00,4,1070,0.00536767369424318,1.0721516894819554e-05,24.0,203.0,652.0,481.0,652.0,173.0,0.03680981595092025,0.42203742203742206,0.3852276060865018,-42.0,89.0,5342.0,1861.0
10,2026-05-19 13:45:00+00:00,2026-05-19 13:55:00+00:00,3,15,0.00041306952547337517,1.4352606466803783e-05,15.0,117.0,479.0,539.0,479.0,179.0,0.031315240083507306,0.21706864564007422,0.18575340555656691,-27.0,206.0,5821.0,2040.0
11,2026-05-19 14:00:00+00:00,2026-05-19 14:10:00+00:00,3,15,-0.004470206119396636,1.2646575518003155e-05,-6.0,80.0,498.0,464.0,498.0,155.0,-0.012048192771084338,0.1724137931034483,0.18446198587453264,-33.0,286.0,6319.0,2195.0
12,2026-05-19 14:15:00+00:00,2026-05-19 14:40:00+00:00,6,30,-0.00041492054866765216,9.43470817338989e-06,30.0,218.0,708.0,874.0,708.0,267.0,0.0423728813559322,0.2494279176201373,0.2070550362642051,-3.0,504.0,7027.0,2462.0
13,2026-05-19 14:45:00+00:00,2026-05-19 15:05:00+00:00,5,25,0.0019900504080094805,9.663307199132642e-06,-18.0,102.0,314.0,278.0,314.0,90.0,-0.05732484076433121,0.3669064748201439,0.4242313155844751,-21.0,606.0,7341.0,2552.0
14,2026-05-19 15:10:00+00:00,2026-05-19 16:20:00+00:00,15,75,0.003060256306682163,9.703845320403734e-06,27.0,91.0,857.0,911.0,857.0,279.0,0.03150525087514586,0.09989023051591657,0.06838497964077071,6.0,697.0,8198.0,2831.0
15,2026-05-19 16:25:00+00:00,2026-05-19 17:20:00+00:00,12,60,0.0069130388058979975,9.238510139438923e-06,-210.0,-182.0,816.0,898.0,816.0,308.0,-0.25735294117647056,-0.2026726057906459,0.054680335385824674,-204.0,515.0,9014.0,3139.0
16,2026-05-19 17:25:00+00:00,2026-05-19 19:10:00+00:00,22,110,-0.00188810957869201,9.423696773899182e-06,83.0,-89.0,939.0,917.0,939.0,277.0,0.08839190628328009,-0.0970556161395856,-0.1854475224228657,-121.0,426.0,9953.0,3416.0
17,2026-05-19 19:15:00+00:00,2026-05-20 13:35:00+00:00,11,1105,-0.0018859173985408262,9.316145188139525e-06,-20.0,8.0,676.0,432.0,676.0,148.0,-0.029585798816568046,0.018518518518518517,0.04810431733508656,-141.0,434.0,10629.0,3564.0
18,2026-05-20 13:40:00+00:00,2026-05-20 14:20:00+00:00,9,45,0.008160619001273517,3.966661391658107e-05,73.0,154.0,1175.0,1374.0,1175.0,442.0,0.062127659574468086,0.11208151382823872,0.049953854253770635,-68.0,588.0,11804.0,4006.0
19,2026-05-20 14:25:00+00:00,2026-05-20 15:20:00+00:00,12,60,0.005730205594211668,1.4065302352871308e-05,98.0,107.0,1446.0,1723.0,1446.0,581.0,0.0677731673582296,0.062100986651189787,-0.0056721807070398075,30.0,695.0,13250.0,4587.0
20,2026-05-20 15:25:00+00:00,2026-05-20 16:15:00+00:00,11,55,-0.0008982892278535104,9.181781467548547e-06,28.0,181.0,588.0,713.0,588.0,226.0,0.047619047619047616,0.2538569424964937,0.2062378948774461,58.0,876.0,13838.0,4813.0
21,2026-05-20 16:20:00+00:00,2026-05-20 17:15:00+00:00,12,60,0.0011431372192820533,1.0159303821489636e-05,-34.0,120.0,692.0,972.0,692.0,313.0,-0.049132947976878616,0.12345679012345678,0.1725897381003354,24.0,996.0,14530.0,5126.0
22,2026-05-20 17:20:00+00:00,2026-05-21 13:45:00+00:00,36,1230,0.005784589487843661,9.285872727313895e-06,-46.0,586.0,1782.0,2302.0,1782.0,733.0,-0.025813692480359147,0.2545612510860122,0.2803749435663713,-22.0,1582.0,16312.0,5859.0
23,2026-05-21 13:50:00+00:00,2026-05-21 13:55:00+00:00,2,10,0.004551743207809267,1.7342683699454237e-05,-29.0,-97.0,403.0,531.0,403.0,159.0,-0.07196029776674938,-0.18267419962335216,-0.11071390185660278,-51.0,1485.0,16715.0,6018.0
24,2026-05-21 14:00:00+00:00,2026-05-21 15:15:00+00:00,16,80,-0.0022732818103623487,1.0962275048732252e-05,-134.0,8.0,930.0,728.0,930.0,249.0,-0.14408602150537633,0.01098901098901099,0.1550750324943873,-185.0,1493.0,17645.0,6267.0
25,2026-05-21 15:20:00+00:00,2026-05-21 16:05:00+00:00,10,50,0.002921842838365052,1.0662230522529414e-05,-10.0,-1.0,352.0,383.0,352.0,114.0,-0.028409090909090908,-0.0026109660574412533,0.025798124851649656,-195.0,1492.0,17997.0,6381.0
26,2026-05-21 16:10:00+00:00,2026-05-21 17:20:00+00:00,15,75,0.005173400916795856,1.6168006568197427e-05,-41.0,-64.0,915.0,902.0,915.0,292.0,-0.04480874316939891,-0.07095343680709534,-0.026144693637696434,-236.0,1428.0,18912.0,6673.0
27,2026-05-21 17:25:00+00:00,2026-05-21 18:50:00+00:00,18,90,0.0024962770139538293,9.940223316138439e-06,-112.0,-123.0,1048.0,961.0,1048.0,330.0,-0.10687022900763359,-0.1279916753381894,-0.021121446330555807,-348.0,1305.0,19960.0,7003.0
28,2026-05-21 18:55:00+00:00,2026-05-21 19:25:00+00:00,7,35,0.00024124482445841977,9.290519956544767e-06,61.0,111.0,555.0,579.0,555.0,181.0,0.10990990990990991,0.19170984455958548,0.08179993464967557,-287.0,1416.0,20515.0,7184.0
29,2026-05-21 19:30:00+00:00,2026-05-22 14:15:00+00:00,16,1130,-0.00039656402626064846,9.50671743254097e-06,-111.0,-407.0,1247.0,1651.0,1247.0,508.0,-0.08901363271852446,-0.24651726226529377,-0.15750362954676933,-398.0,1009.0,21762.0,7692.0
30,2026-05-22 14:20:00+00:00,2026-05-22 16:40:00+00:00,29,145,0.0053610976716864656,9.228085040484658e-06,-54.0,74.0,1002.0,1078.0,1002.0,323.0,-0.05389221556886228,0.0686456400742115,0.12253785564307379,-452.0,1083.0,22764.0,8015.0
31,2026-05-22 16:45:00+00:00,2026-05-22 17:40:00+00:00,12,60,0.0019637883849270565,9.327844895838199e-06,9.0,-7.0,581.0,549.0,581.0,187.0,0.01549053356282272,-0.012750455373406194,-0.028240988936228915,-443.0,1076.0,23345.0,8202.0
32,2026-05-22 17:45:00+00:00,2026-05-25 13:55:00+00:00,33,4095,-0.0039234539971229054,9.548501367150139e-06,-22.0,29.0,1012.0,1397.0,1012.0,400.0,-0.021739130434782608,0.020758768790264854,0.04249789922504746,-465.0,1105.0,24357.0,8602.0
33,2026-05-25 14:00:00+00:00,2026-05-25 15:30:00+00:00,19,95,-0.00045815516989478056,9.765947531141342e-06,-162.0,361.0,906.0,1019.0,906.0,334.0,-0.17880794701986755,0.35426889106967613,0.5330768380895436,-627.0,1466.0,25263.0,8936.0
34,2026-05-25 15:35:00+00:00,2026-05-26 13:55:00+00:00,23,1345,0.0007638253541468742,1.1704501068448784e-05,-66.0,-4.0,814.0,724.0,814.0,256.0,-0.08108108108108109,-0.0055248618784530384,0.07555621920262805,-693.0,1462.0,26077.0,9192.0
35,2026-05-26 14:00:00+00:00,2026-05-26 16:20:00+00:00,29,145,-0.0009937699094031416,9.2349239638218e-06,-12.0,223.0,1402.0,1469.0,1402.0,452.0,-0.008559201141226819,0.15180394826412524,0.16036314940535207,-705.0,1685.0,27479.0,9644.0
36,2026-05-26 16:25:00+00:00,2026-05-27 13:40:00+00:00,46,1280,0.0025123065903649433,1.562150629023567e-05,-102.0,-3.0,1090.0,929.0,1090.0,318.0,-0.09357798165137615,-0.0032292787944025836,0.09034870285697356,-807.0,1682.0,28569.0,9962.0
