vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,0.0003856950057454511,4.6111289684523766e-07,32.0,550.0,606.0,2836.0,606,166,0.052805280528052806,0.19393511988716503,0.14112983935911222,32.0,550.0,606,166
1,2026-05-18 13:55:00+00:00,2026-05-18 14:55:00+00:00,13,65,-0.0007286599409430938,4.4658329710821784e-07,11.0,-595.0,1653.0,9183.0,1653,488,0.006654567453115548,-0.06479364042251988,-0.07144820787563542,43.0,-45.0,2259,654
2,2026-05-18 15:00:00+00:00,2026-05-18 15:10:00+00:00,3,15,-0.001029601120555751,4.306564013037724e-07,174.0,-572.0,958.0,5802.0,958,269,0.18162839248434237,-0.09858669424336436,-0.28021508672770673,217.0,-617.0,3217,923
3,2026-05-18 15:15:00+00:00,2026-05-18 15:40:00+00:00,6,30,0.0011582267558222226,4.693338097805563e-07,117.0,643.0,755.0,3283.0,755,192,0.15496688741721854,0.19585744745659459,0.04089056003937605,334.0,26.0,3972,1115
4,2026-05-18 15:45:00+00:00,2026-05-18 16:10:00+00:00,6,30,0.00021433929993117107,4.3182745668516914e-07,-18.0,168.0,604.0,2894.0,604,154,-0.029801324503311258,0.0580511402902557,0.08785246479356695,316.0,194.0,4576,1269
5,2026-05-18 16:15:00+00:00,2026-05-18 17:20:00+00:00,14,70,0.0002142933684401993,4.169422735973276e-07,-32.0,-287.0,1074.0,4565.0,1074,294,-0.0297951582867784,-0.0628696604600219,-0.03307450217324351,284.0,-93.0,5650,1563
6,2026-05-18 17:25:00+00:00,2026-05-18 19:00:00+00:00,20,100,-0.0020161729584566856,6.462425603011402e-07,-91.0,-1946.0,1111.0,9494.0,1111,405,-0.0819081908190819,-0.20497156098588581,-0.12306337016680391,193.0,-2039.0,6761,1968
7,2026-05-18 19:05:00+00:00,2026-05-18 19:05:00+00:00,1,5,0.0018018795900164863,3.246770056917981e-06,-77.0,484.0,915.0,2198.0,915,135,-0.08415300546448087,0.22020018198362148,0.30435318744810236,116.0,-1555.0,7676,2103
8,2026-05-18 19:10:00+00:00,2026-05-18 20:00:00+00:00,11,55,8.572285805255597e-05,4.298947103209713e-07,-41.0,215.0,735.0,2753.0,735,131,-0.055782312925170066,0.07809662186705413,0.13387893479222418,75.0,-1340.0,8411,2234
9,2026-05-19 13:35:00+00:00,2026-05-19 14:10:00+00:00,8,40,0.00038718837197779243,4.901647265012072e-07,44.0,702.0,1196.0,5734.0,1196,319,0.03678929765886288,0.12242762469480294,0.08563832703594006,119.0,-638.0,9607,2553
