vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 14:00:00+00:00,6,30,-7.918596828737634e-05,4.4499020779846125e-07,20.0,-612.0,444.0,2108.0,444.0,97.0,0.04504504504504504,-0.2903225806451613,-0.33536762569020634,20.0,-612.0,444.0,97.0
1,2026-05-18 14:05:00+00:00,2026-05-18 14:15:00+00:00,3,15,-0.0007129560249721223,2.8236554510952834e-07,-31.0,1.0,299.0,1871.0,299.0,79.0,-0.10367892976588629,0.0005344735435595938,0.10421340330944588,-11.0,-611.0,743.0,176.0
2,2026-05-18 14:20:00+00:00,2026-05-18 14:40:00+00:00,5,25,-7.924872215525625e-05,2.574828219642459e-07,24.0,-174.0,248.0,1852.0,248.0,92.0,0.0967741935483871,-0.0939524838012959,-0.190726677349683,13.0,-785.0,991.0,268.0
3,2026-05-18 14:45:00+00:00,2026-05-18 15:05:00+00:00,5,25,-0.0003170577071580638,4.6474867214518746e-07,-17.0,705.0,441.0,3321.0,441.0,172.0,-0.03854875283446712,0.2122854561878952,0.2508342090223623,-4.0,-80.0,1432.0,440.0
4,2026-05-18 15:10:00+00:00,2026-05-18 15:55:00+00:00,10,50,0.0007132385292649701,3.3286708900048706e-07,77.0,-131.0,433.0,1807.0,433.0,83.0,0.17782909930715934,-0.07249584947426674,-0.2503249487814261,73.0,-211.0,1865.0,523.0
5,2026-05-18 16:00:00+00:00,2026-05-18 16:25:00+00:00,6,30,-0.00031693209995165006,3.1384487723082486e-07,-69.0,-48.0,299.0,1042.0,299.0,54.0,-0.23076923076923078,-0.046065259117082535,0.18470397165214825,4.0,-259.0,2164.0,577.0
6,2026-05-18 16:30:00+00:00,2026-05-18 16:35:00+00:00,2,10,-0.00031703257775195226,2.513219485908163e-07,-13.0,47.0,121.0,435.0,121.0,24.0,-0.10743801652892562,0.10804597701149425,0.21548399354041986,-9.0,-212.0,2285.0,601.0
7,2026-05-18 16:40:00+00:00,2026-05-18 17:25:00+00:00,10,50,-7.927385156136779e-05,2.7022179644215056e-07,-17.0,162.0,327.0,1208.0,327.0,49.0,-0.05198776758409786,0.13410596026490065,0.18609372784899852,-26.0,-50.0,2612.0,650.0
8,2026-05-18 17:30:00+00:00,2026-05-18 19:05:00+00:00,20,100,0.0003170577071580638,1.7860829500597649e-06,-155.0,244.0,1117.0,8474.0,1117.0,318.0,-0.1387645478961504,0.028793957989143262,0.16755850588529364,-181.0,194.0,3729.0,968.0
9,2026-05-18 19:10:00+00:00,2026-05-18 20:00:00+00:00,11,55,-0.0001585162878807722,2.6381097093584033e-07,-2.0,-131.0,458.0,879.0,458.0,44.0,-0.004366812227074236,-0.149032992036405,-0.14466617980933075,-183.0,63.0,4187.0,1012.0
10,2026-05-19 13:35:00+00:00,2026-05-19 14:10:00+00:00,8,40,0.0003969671760275517,2.9608487376105665e-07,-7.0,670.0,1069.0,5758.0,1069.0,233.0,-0.006548175865294668,0.11635984716915596,0.12290802303445063,-190.0,733.0,5256.0,1245.0
11,2026-05-19 14:15:00+00:00,2026-05-19 14:35:00+00:00,5,25,-0.0003175611331860395,2.7741405306845813e-07,-57.0,-439.0,497.0,2805.0,497.0,120.0,-0.11468812877263582,-0.15650623885918002,-0.04181811008654421,-247.0,294.0,5753.0,1365.0
12,2026-05-19 14:40:00+00:00,2026-05-19 15:15:00+00:00,8,40,0.0003175611331860395,2.6462028280912813e-07,-76.0,438.0,880.0,7002.0,880.0,308.0,-0.08636363636363636,0.06255355612682091,0.14891719249045726,-323.0,732.0,6633.0,1673.0
13,2026-05-19 15:20:00+00:00,2026-05-19 16:15:00+00:00,12,60,0.0015070397458671891,2.20836251125951e-06,50.0,1923.0,1020.0,9677.0,1020.0,402.0,0.049019607843137254,0.19871861113981606,0.14969900329667882,-273.0,2655.0,7653.0,2075.0
14,2026-05-19 16:20:00+00:00,2026-05-19 16:20:00+00:00,1,5,-0.0006342662545151256,4.022936816166461e-07,-42.0,-221.0,198.0,967.0,198.0,52.0,-0.21212121212121213,-0.22854188210961737,-0.016420669988405245,-315.0,2434.0,7851.0,2127.0
15,2026-05-19 16:25:00+00:00,2026-05-19 16:40:00+00:00,4,20,0.0010304784709589399,3.4558320787459126e-07,-8.0,-123.0,270.0,2191.0,270.0,84.0,-0.02962962962962963,-0.056138749429484255,-0.026509119799854625,-323.0,2311.0,8121.0,2211.0
16,2026-05-19 16:45:00+00:00,2026-05-19 17:35:00+00:00,11,55,-0.0004754735013108302,2.5117658819066475e-07,-3.0,-145.0,477.0,2077.0,477.0,105.0,-0.006289308176100629,-0.06981222917669716,-0.06352292100059653,-326.0,2166.0,8598.0,2316.0
17,2026-05-19 17:40:00+00:00,2026-05-19 18:00:00+00:00,5,25,0.0001585162878807722,2.888249126459337e-07,-32.0,346.0,128.0,826.0,128.0,38.0,-0.25,0.4188861985472155,0.6688861985472154,-358.0,2512.0,8726.0,2354.0
