vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,0.0005226415917675697,1.0541188143925708e-06,-16.0,249.0,300.0,1865.0,300.0,86.0,-0.05333333333333334,0.13351206434316354,0.18684539767649688,-16.0,249.0,300.0,86.0
1,2026-05-18 13:55:00+00:00,2026-05-18 14:20:00+00:00,6,30,-0.0002986188898636555,1.0039668383582276e-06,-19.0,607.0,441.0,2923.0,441.0,124.0,-0.04308390022675737,0.20766335956209375,0.25074725978885115,-35.0,856.0,741.0,210.0
2,2026-05-18 14:25:00+00:00,2026-05-18 15:05:00+00:00,9,45,-0.0007469375907476206,9.927327082531336e-07,46.0,113.0,642.0,2997.0,642.0,154.0,0.07165109034267912,0.03770437103770437,-0.033946719304974754,11.0,969.0,1383.0,364.0
3,2026-05-18 15:10:00+00:00,2026-05-18 15:35:00+00:00,6,30,0.0011948324922336218,6.134474990717318e-07,6.0,27.0,256.0,809.0,256.0,45.0,0.0234375,0.03337453646477132,0.009937036464771322,17.0,996.0,1639.0,409.0
4,2026-05-18 15:40:00+00:00,2026-05-18 15:55:00+00:00,4,20,0.0011934065711163289,9.45793030087206e-07,-23.0,962.0,273.0,2832.0,273.0,91.0,-0.08424908424908426,0.3396892655367232,0.42393834978580747,-6.0,1958.0,1912.0,500.0
5,2026-05-18 16:00:00+00:00,2026-05-18 16:15:00+00:00,4,20,0.0021594259852718567,1.6016503846836486e-06,-39.0,1253.0,543.0,4905.0,543.0,167.0,-0.0718232044198895,0.25545361875637107,0.32727682317626056,-45.0,3211.0,2455.0,667.0
6,2026-05-18 16:20:00+00:00,2026-05-18 16:25:00+00:00,2,10,-0.0009674419359210762,6.923477906690737e-07,-25.0,-77.0,275.0,1535.0,275.0,65.0,-0.09090909090909091,-0.0501628664495114,0.04074622445957951,-70.0,3134.0,2730.0,732.0
7,2026-05-18 16:30:00+00:00,2026-05-18 17:20:00+00:00,11,55,0.0,5.657060793257677e-07,20.0,-5.0,400.0,1859.0,400.0,87.0,0.05,-0.0026896180742334587,-0.05268961807423346,-50.0,3129.0,3130.0,819.0
8,2026-05-18 17:25:00+00:00,2026-05-18 19:00:00+00:00,20,100,-0.0022361368888467736,6.447113281338973e-07,-74.0,53.0,580.0,2359.0,580.0,105.0,-0.12758620689655173,0.022467147096227214,0.15005335399277894,-124.0,3182.0,3710.0,924.0
9,2026-05-18 19:05:00+00:00,2026-05-18 19:05:00+00:00,1,5,0.001789309356837021,3.201627974464514e-06,-16.0,-180.0,302.0,1750.0,302.0,79.0,-0.052980132450331126,-0.10285714285714286,-0.04987701040681173,-140.0,3002.0,4012.0,1003.0
