vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 14:15:00+00:00,9,45,-0.0008922750171592719,2.968399151452386e-07,-51.0,366.0,291.0,2498.0,291.0,103.0,-0.17525773195876287,0.1465172137710168,0.3217749457297797,-51.0,366.0,291.0,103.0
1,2026-05-18 14:20:00+00:00,2026-05-18 14:30:00+00:00,3,15,0.0007550537476472274,3.533858237505461e-07,9.0,334.0,73.0,1050.0,73.0,37.0,0.1232876712328767,0.3180952380952381,0.1948075668623614,-42.0,700.0,364.0,140.0
2,2026-05-18 14:35:00+00:00,2026-05-18 15:05:00+00:00,7,35,-0.0006177288366925882,2.968075437589672e-07,3.0,-321.0,271.0,1833.0,271.0,78.0,0.01107011070110701,-0.1751227495908347,-0.1861928602919417,-39.0,379.0,635.0,218.0
3,2026-05-18 15:10:00+00:00,2026-05-18 16:30:00+00:00,17,85,0.00013730605541284469,3.7691092518206685e-07,18.0,-105.0,398.0,1261.0,398.0,66.0,0.04522613065326633,-0.08326724821570182,-0.12849337886896817,-21.0,274.0,1033.0,284.0
4,2026-05-18 16:35:00+00:00,2026-05-18 18:45:00+00:00,27,135,-6.86506710874113e-05,2.779332676292992e-07,-78.0,-36.0,418.0,1208.0,418.0,58.0,-0.18660287081339713,-0.029801324503311258,0.15680154631008586,-99.0,238.0,1451.0,342.0
5,2026-05-18 18:50:00+00:00,2026-05-18 19:05:00+00:00,4,20,0.0004804557558363287,5.230494579096907e-07,22.0,25.0,266.0,1351.0,266.0,65.0,0.08270676691729323,0.018504811250925242,-0.064201955666368,-77.0,263.0,1717.0,407.0
6,2026-05-18 19:10:00+00:00,2026-05-19 13:45:00+00:00,14,1120,0.00013723068499643665,3.1151827549384553e-07,30.0,-116.0,248.0,1140.0,248.0,56.0,0.12096774193548387,-0.10175438596491228,-0.22272212790039614,-47.0,147.0,1965.0,463.0
7,2026-05-19 13:50:00+00:00,2026-05-19 14:05:00+00:00,4,20,0.0004123428001520102,5.19649700360929e-07,32.0,223.0,206.0,1075.0,206.0,45.0,0.1553398058252427,0.20744186046511628,0.05210205463987358,-15.0,370.0,2171.0,508.0
8,2026-05-19 14:10:00+00:00,2026-05-19 14:30:00+00:00,5,25,-0.0006185779777297951,2.7873943486589354e-07,0.0,192.0,308.0,1076.0,308.0,60.0,0.0,0.17843866171003717,0.17843866171003717,-15.0,562.0,2479.0,568.0
9,2026-05-19 14:35:00+00:00,2026-05-19 14:55:00+00:00,5,25,-0.00034381984179160385,3.2622438655862373e-07,-33.0,-180.0,165.0,1030.0,165.0,55.0,-0.2,-0.17475728155339806,0.025242718446601947,-48.0,382.0,2644.0,623.0
