vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:55:00+00:00,5,25,0.0003485656558698813,9.485363651568511e-07,70.0,101.0,442.0,1217.0,442.0,71.0,0.1583710407239819,0.08299096138044372,-0.07538007934353817,70.0,101.0,442.0,71.0
1,2026-05-18 14:00:00+00:00,2026-05-18 14:05:00+00:00,2,10,-0.0013949922050176533,9.827989429558444e-07,31.0,145.0,165.0,671.0,165.0,40.0,0.18787878787878787,0.21609538002980627,0.028216592151018405,101.0,246.0,607.0,111.0
2,2026-05-18 14:10:00+00:00,2026-05-18 14:25:00+00:00,4,20,-0.0004188774146698382,9.942534918661648e-07,11.0,-195.0,357.0,2681.0,357.0,110.0,0.03081232492997199,-0.07273405445729206,-0.10354637938726405,112.0,51.0,964.0,221.0
3,2026-05-18 14:30:00+00:00,2026-05-18 15:05:00+00:00,8,40,-0.001677266449538417,1.4751693126062744e-06,0.0,-462.0,684.0,4738.0,684.0,247.0,0.0,-0.0975094976783453,-0.0975094976783453,112.0,-411.0,1648.0,468.0
4,2026-05-18 15:10:00+00:00,2026-05-18 15:55:00+00:00,10,50,0.0010486211593910277,1.5111151188601433e-06,59.0,-324.0,513.0,1718.0,513.0,106.0,0.11500974658869395,-0.18859138533178113,-0.3036011319204751,171.0,-735.0,2161.0,574.0
5,2026-05-18 16:00:00+00:00,2026-05-18 16:30:00+00:00,7,35,-0.0006290407336551063,1.186537586296205e-06,68.0,118.0,328.0,1086.0,328.0,73.0,0.2073170731707317,0.10865561694290976,-0.09866145622782194,239.0,-617.0,2489.0,647.0
6,2026-05-18 16:35:00+00:00,2026-05-18 18:15:00+00:00,21,105,0.00041940445183497044,9.469425734643197e-07,15.0,27.0,467.0,745.0,467.0,46.0,0.032119914346895075,0.036241610738255034,0.004121696391359959,254.0,-590.0,2956.0,693.0
7,2026-05-18 18:20:00+00:00,2026-05-18 19:05:00+00:00,10,50,0.001396745809867872,8.342801188798393e-06,-5.0,0.0,755.0,3552.0,755.0,187.0,-0.006622516556291391,0.0,0.006622516556291391,249.0,-590.0,3711.0,880.0
8,2026-05-18 19:10:00+00:00,2026-05-18 19:50:00+00:00,9,45,0.0006976419984363047,1.0718965855578145e-06,18.0,-283.0,284.0,1355.0,284.0,83.0,0.06338028169014084,-0.2088560885608856,-0.2722363702510264,267.0,-873.0,3995.0,963.0
9,2026-05-18 19:55:00+00:00,2026-05-19 13:55:00+00:00,7,1085,0.00014770559206866984,1.3305954814545704e-06,22.0,-150.0,610.0,2514.0,610.0,130.0,0.036065573770491806,-0.059665871121718374,-0.09573144489221018,289.0,-1023.0,4605.0,1093.0
10,2026-05-19 14:00:00+00:00,2026-05-19 14:10:00+00:00,3,15,-0.0009151385665600587,1.3524944111712643e-06,45.0,-117.0,295.0,2383.0,295.0,127.0,0.15254237288135594,-0.049097775912715066,-0.201640148794071,334.0,-1140.0,4900.0,1220.0
11,2026-05-19 14:15:00+00:00,2026-05-19 14:25:00+00:00,3,15,-0.002326812260789679,2.1136505203192677e-06,-54.0,-582.0,384.0,2564.0,384.0,148.0,-0.140625,-0.22698907956318254,-0.08636407956318254,280.0,-1722.0,5284.0,1368.0
12,2026-05-19 14:30:00+00:00,2026-05-19 14:55:00+00:00,6,30,-0.0009887704739467429,1.0871433042129876e-06,48.0,-545.0,662.0,4185.0,662.0,265.0,0.07250755287009064,-0.13022700119474312,-0.20273455406483376,328.0,-2267.0,5946.0,1633.0
13,2026-05-19 15:00:00+00:00,2026-05-19 15:40:00+00:00,9,45,0.0023996059224108968,1.3546983195043517e-06,79.0,567.0,531.0,3465.0,531.0,199.0,0.1487758945386064,0.16363636363636364,0.014860469097757234,407.0,-1700.0,6477.0,1832.0
14,2026-05-19 15:45:00+00:00,2026-05-19 16:35:00+00:00,11,55,0.0016903793291142,9.924325795032008e-07,79.0,162.0,361.0,1850.0,361.0,123.0,0.2188365650969529,0.08756756756756756,-0.13126899752938534,486.0,-1538.0,6838.0,1955.0
15,2026-05-19 16:40:00+00:00,2026-05-19 18:05:00+00:00,18,90,0.0007738032815499118,9.548585932939975e-07,47.0,128.0,459.0,1442.0,459.0,88.0,0.10239651416122005,0.08876560332871013,-0.013630910832509918,533.0,-1410.0,7297.0,2043.0
16,2026-05-19 18:10:00+00:00,2026-05-19 19:25:00+00:00,16,80,-0.0011961303097176579,9.359441967819445e-07,-300.0,212.0,986.0,1324.0,986.0,81.0,-0.30425963488843816,0.16012084592145015,0.4643804808098883,233.0,-1198.0,8283.0,2124.0
17,2026-05-19 19:30:00+00:00,2026-05-20 14:15:00+00:00,16,1130,0.00042232702816774603,1.06703177303515e-06,-9.0,545.0,635.0,2165.0,635.0,127.0,-0.014173228346456693,0.2517321016166282,0.26590532996308486,224.0,-653.0,8918.0,2251.0
18,2026-05-20 14:20:00+00:00,2026-05-20 14:20:00+00:00,1,5,0.0028764884603872942,8.274185862741267e-06,80.0,431.0,450.0,3177.0,450.0,162.0,0.17777777777777778,0.13566257475605917,-0.04211520302171862,304.0,-222.0,9368.0,2413.0
19,2026-05-20 14:25:00+00:00,2026-05-20 14:45:00+00:00,5,25,0.0009803235852676728,9.422255353918427e-07,-71.0,506.0,681.0,3282.0,681.0,181.0,-0.10425844346549193,0.15417428397318708,0.258432727438679,233.0,284.0,10049.0,2594.0
20,2026-05-20 14:50:00+00:00,2026-05-20 14:55:00+00:00,2,10,0.0006996432105167427,1.038086716861009e-06,-58.0,869.0,284.0,1929.0,284.0,82.0,-0.20422535211267606,0.45049248315189216,0.6547178352645682,175.0,1153.0,10333.0,2676.0
21,2026-05-20 15:00:00+00:00,2026-05-20 15:20:00+00:00,5,25,0.0021657883898058006,7.751219891558466e-06,-56.0,969.0,1196.0,6559.0,1196.0,346.0,-0.046822742474916385,0.14773593535599938,0.19455867783091577,119.0,2122.0,11529.0,3022.0
22,2026-05-20 15:25:00+00:00,2026-05-20 15:30:00+00:00,2,10,-0.0018161502617028424,1.6492012265245038e-06,-41.0,-195.0,309.0,1047.0,309.0,79.0,-0.13268608414239483,-0.18624641833810887,-0.05356033419571404,78.0,1927.0,11838.0,3101.0
23,2026-05-20 15:35:00+00:00,2026-05-20 15:45:00+00:00,3,15,0.0006989097293166879,1.04490826153963e-06,36.0,127.0,198.0,675.0,198.0,46.0,0.18181818181818182,0.18814814814814815,0.0063299663299663245,114.0,2054.0,12036.0,3147.0
24,2026-05-20 15:50:00+00:00,2026-05-20 16:05:00+00:00,4,20,-0.0006989097293166879,1.1831013524721963e-06,2.0,-172.0,212.0,1216.0,212.0,75.0,0.009433962264150943,-0.14144736842105263,-0.15088133068520357,116.0,1882.0,12248.0,3222.0
25,2026-05-20 16:10:00+00:00,2026-05-20 16:25:00+00:00,4,20,-0.00041958042573592147,1.260822484170507e-06,14.0,59.0,166.0,459.0,166.0,30.0,0.08433734939759036,0.12854030501089325,0.0442029556133029,130.0,1941.0,12414.0,3252.0
26,2026-05-20 16:30:00+00:00,2026-05-20 17:15:00+00:00,10,50,0.00041958042573592147,9.38937766587561e-07,33.0,-316.0,527.0,2680.0,527.0,128.0,0.06261859582542695,-0.11791044776119403,-0.18052904358662097,163.0,1625.0,12941.0,3380.0
27,2026-05-20 17:20:00+00:00,2026-05-20 18:45:00+00:00,18,90,-6.991784655885347e-05,1.6370866653037572e-06,-19.0,4.0,505.0,1924.0,505.0,98.0,-0.03762376237623762,0.002079002079002079,0.0397027644552397,144.0,1629.0,13446.0,3478.0
28,2026-05-20 18:50:00+00:00,2026-05-21 13:40:00+00:00,17,1135,-0.0001436857177405937,1.009394548423553e-06,-47.0,353.0,587.0,3371.0,587.0,171.0,-0.08006814310051108,0.10471670127558588,0.18478484437609696,97.0,1982.0,14033.0,3649.0
29,2026-05-21 13:45:00+00:00,2026-05-21 13:55:00+00:00,3,15,0.001965878608269467,3.03610140944314e-06,-8.0,-230.0,358.0,1908.0,358.0,97.0,-0.0223463687150838,-0.12054507337526206,-0.09819870466017826,89.0,1752.0,14391.0,3746.0
30,2026-05-21 14:00:00+00:00,2026-05-21 14:55:00+00:00,12,60,0.0004908663890153542,1.235493234883779e-06,-3.0,471.0,775.0,3053.0,775.0,189.0,-0.003870967741935484,0.15427448411398625,0.15814545185592174,86.0,2223.0,15166.0,3935.0
31,2026-05-21 15:00:00+00:00,2026-05-21 15:10:00+00:00,3,15,-0.0013329126109675182,1.3042640260333893e-06,-52.0,-636.0,282.0,2204.0,282.0,132.0,-0.18439716312056736,-0.2885662431941924,-0.10416908007362502,34.0,1587.0,15448.0,4067.0
32,2026-05-21 15:15:00+00:00,2026-05-21 15:40:00+00:00,6,30,0.0009823183501103672,1.043743479216362e-06,14.0,-209.0,278.0,1347.0,278.0,76.0,0.050359712230215826,-0.15515961395694136,-0.20551932618715718,48.0,1378.0,15726.0,4143.0
33,2026-05-21 15:45:00+00:00,2026-05-21 17:15:00+00:00,19,95,0.001611716826936116,2.1660460866768532e-06,30.0,246.0,664.0,2666.0,664.0,167.0,0.045180722891566265,0.09227306826706677,0.047092345375500506,78.0,1624.0,16390.0,4310.0
34,2026-05-21 17:20:00+00:00,2026-05-21 17:20:00+00:00,1,5,0.0011196642177418448,1.2536479604914573e-06,50.0,6.0,234.0,1524.0,234.0,74.0,0.21367521367521367,0.003937007874015748,-0.20973820580119792,128.0,1630.0,16624.0,4384.0
35,2026-05-21 17:25:00+00:00,2026-05-21 18:00:00+00:00,8,40,0.0014676593472091604,1.3225417824431539e-06,50.0,-180.0,536.0,2516.0,536.0,137.0,0.09328358208955224,-0.07154213036565978,-0.16482571245521202,178.0,1450.0,17160.0,4521.0
36,2026-05-21 18:05:00+00:00,2026-05-21 18:50:00+00:00,10,50,-0.0013277894260076417,1.928921214971289e-06,11.0,-278.0,483.0,2056.0,483.0,117.0,0.022774327122153208,-0.13521400778210116,-0.15798833490425437,189.0,1172.0,17643.0,4638.0
37,2026-05-21 18:55:00+00:00,2026-05-21 18:55:00+00:00,1,5,-0.0012595341389433634,1.5864262471637999e-06,-11.0,145.0,161.0,1517.0,161.0,55.0,-0.06832298136645963,0.0955833882663151,0.16390636963277472,178.0,1317.0,17804.0,4693.0
38,2026-05-21 19:00:00+00:00,2026-05-21 19:45:00+00:00,10,50,0.0013993844992859494,1.056955036789868e-06,133.0,-36.0,511.0,2426.0,511.0,126.0,0.2602739726027397,-0.01483924154987634,-0.275113214152616,311.0,1281.0,18315.0,4819.0
39,2026-05-21 19:50:00+00:00,2026-05-22 13:50:00+00:00,7,1085,-0.0011931515796580472,1.1240054977731176e-06,-49.0,-466.0,437.0,3506.0,437.0,150.0,-0.11212814645308924,-0.13291500285225327,-0.020786856399164028,262.0,815.0,18752.0,4969.0
40,2026-05-22 13:55:00+00:00,2026-05-22 14:05:00+00:00,3,15,-0.0007726618584100176,2.9822668814496316e-06,-16.0,-206.0,234.0,1162.0,234.0,69.0,-0.06837606837606838,-0.17728055077452667,-0.10890448239845829,246.0,609.0,18986.0,5038.0
41,2026-05-22 14:10:00+00:00,2026-05-22 14:30:00+00:00,5,25,0.0004917629801585721,1.2092658549854725e-06,-21.0,-60.0,225.0,602.0,225.0,41.0,-0.09333333333333334,-0.09966777408637874,-0.0063344407530454006,225.0,549.0,19211.0,5079.0
42,2026-05-22 14:35:00+00:00,2026-05-22 14:55:00+00:00,5,25,0.0007722821319702811,1.3163697874963198e-06,-23.0,265.0,195.0,957.0,195.0,67.0,-0.11794871794871795,0.2769070010449321,0.39485571899365,202.0,814.0,19406.0,5146.0
43,2026-05-22 15:00:00+00:00,2026-05-22 17:30:00+00:00,31,155,0.0017529717352238183,1.2338423679905322e-06,53.0,-268.0,909.0,5672.0,909.0,326.0,0.058305830583058306,-0.04724964739069112,-0.10555547797374942,255.0,546.0,20315.0,5472.0
44,2026-05-22 17:35:00+00:00,2026-05-25 14:05:00+00:00,37,4115,-0.0009820486553331342,1.0975342172832108e-06,5.0,149.0,985.0,7307.0,985.0,322.0,0.005076142131979695,0.020391405501573832,0.015315263369594137,260.0,695.0,21300.0,5794.0
45,2026-05-25 14:10:00+00:00,2026-05-25 15:30:00+00:00,17,85,0.0006275056855725158,9.380977315949423e-07,-26.0,-82.0,362.0,2632.0,362.0,156.0,-0.0718232044198895,-0.03115501519756839,0.04066818922232111,234.0,613.0,21662.0,5950.0
46,2026-05-25 15:35:00+00:00,2026-05-26 13:55:00+00:00,56,1345,-0.0006977345550838732,2.1991180557302735e-06,-38.0,-239.0,646.0,3189.0,646.0,186.0,-0.058823529411764705,-0.07494512386328002,-0.016121594451515314,196.0,374.0,22308.0,6136.0
47,2026-05-26 14:00:00+00:00,2026-05-26 15:05:00+00:00,14,70,0.0,9.540690039230959e-07,44.0,78.0,754.0,4838.0,754.0,275.0,0.058355437665782495,0.016122364613476645,-0.04223307305230585,240.0,452.0,23062.0,6411.0
48,2026-05-26 15:10:00+00:00,2026-05-26 17:35:00+00:00,30,150,-0.00020943139453155624,9.505655683443658e-07,64.0,-390.0,758.0,2338.0,758.0,130.0,0.08443271767810026,-0.16680923866552608,-0.25124195634362634,304.0,62.0,23820.0,6541.0
49,2026-05-26 17:40:00+00:00,2026-05-27 13:40:00+00:00,31,1205,0.0007684150996272732,1.1811525999419323e-06,243.0,-384.0,811.0,4842.0,811.0,240.0,0.2996300863131936,-0.07930607187112763,-0.37893615818432125,547.0,-322.0,24631.0,6781.0
50,2026-05-27 13:45:00+00:00,2026-05-27 14:25:00+00:00,9,45,0.0002103418062093243,1.713842383017988e-06,-19.0,76.0,581.0,3822.0,581.0,216.0,-0.03270223752151463,0.01988487702773417,0.0525871145492488,528.0,-246.0,25212.0,6997.0
51,2026-05-27 14:30:00+00:00,2026-05-27 14:55:00+00:00,6,30,-0.0007714696879452254,1.1752251286452247e-06,7.0,-220.0,559.0,3898.0,559.0,189.0,0.012522361359570662,-0.05643919958953309,-0.06896156094910376,535.0,-466.0,25771.0,7186.0
52,2026-05-27 15:00:00+00:00,2026-05-27 15:45:00+00:00,10,50,0.0006312467332178495,9.98282682048139e-07,67.0,-121.0,709.0,4315.0,709.0,238.0,0.09449929478138223,-0.028041714947856317,-0.12254100972923855,602.0,-587.0,26480.0,7424.0
53,2026-05-27 15:50:00+00:00,2026-05-27 17:10:00+00:00,17,85,-7.011885148194841e-05,1.056514906478406e-06,45.0,191.0,509.0,2543.0,509.0,149.0,0.08840864440078586,0.07510813999213527,-0.01330050440865059,647.0,-396.0,26989.0,7573.0
54,2026-05-27 17:15:00+00:00,2026-05-28 14:15:00+00:00,43,1265,0.004064080111102042,8.178999346034246e-06,270.0,408.0,1582.0,7936.0,1582.0,426.0,0.1706700379266751,0.05141129032258065,-0.11925874760409444,917.0,12.0,28571.0,7999.0
55,2026-05-28 14:20:00+00:00,2026-05-28 14:35:00+00:00,4,20,-0.00034990727814226963,1.5707175526999954e-06,-14.0,24.0,482.0,2864.0,482.0,160.0,-0.029045643153526972,0.008379888268156424,0.037425531421683395,903.0,36.0,29053.0,8159.0
56,2026-05-28 14:40:00+00:00,2026-05-28 15:05:00+00:00,6,30,0.0013289968031710564,1.5605805407699412e-06,-82.0,-221.0,586.0,4631.0,586.0,251.0,-0.13993174061433447,-0.04772187432519974,0.09220986628913473,821.0,-185.0,29639.0,8410.0
57,2026-05-28 15:10:00+00:00,2026-05-28 16:55:00+00:00,22,110,0.0015366350722185729,9.463320790683686e-07,-17.0,267.0,919.0,3197.0,919.0,186.0,-0.018498367791077257,0.08351579605880513,0.10201416384988239,804.0,82.0,30558.0,8596.0
58,2026-05-28 17:00:00+00:00,2026-05-28 19:40:00+00:00,33,165,0.0,9.4533142479951e-07,39.0,100.0,801.0,2646.0,801.0,151.0,0.04868913857677903,0.03779289493575208,-0.010896243641026947,843.0,182.0,31359.0,8747.0
59,2026-05-28 19:45:00+00:00,2026-05-29 14:35:00+00:00,17,1135,-0.0009067047684800933,9.552204232922863e-07,-7.0,-691.0,965.0,5121.0,965.0,282.0,-0.007253886010362694,-0.1349345830892404,-0.1276806970788777,836.0,-509.0,32324.0,9029.0
60,2026-05-29 14:40:00+00:00,2026-05-29 14:45:00+00:00,2,10,0.000278570932924771,1.0094718783511603e-06,-21.0,319.0,153.0,989.0,153.0,64.0,-0.13725490196078433,0.3225480283114257,0.45980293027221003,815.0,-190.0,32477.0,9093.0
61,2026-05-29 14:50:00+00:00,2026-05-29 14:55:00+00:00,2,10,0.0014612256018206593,2.135180259416148e-06,13.0,1319.0,329.0,4889.0,329.0,278.0,0.03951367781155015,0.2697893229699325,0.23027564515838236,828.0,1129.0,32806.0,9371.0
62,2026-05-29 15:00:00+00:00,2026-05-29 15:20:00+00:00,5,25,-0.00020861583469838907,1.0775304307279013e-06,-115.0,237.0,971.0,9983.0,971.0,561.0,-0.1184346035015448,0.023740358609636383,0.1421749621111812,713.0,1366.0,33777.0,9932.0
63,2026-05-29 15:25:00+00:00,2026-05-29 17:55:00+00:00,31,155,-0.00118297915747817,9.91958184610252e-07,-204.0,-854.0,1198.0,6806.0,1198.0,382.0,-0.17028380634390652,-0.1254775198354393,0.044806286508467214,509.0,512.0,34975.0,10314.0
64,2026-05-29 18:00:00+00:00,2026-06-01 13:40:00+00:00,27,4065,0.0011865272606348398,1.0652173149375214e-06,-91.0,-145.0,1109.0,5695.0,1109.0,294.0,-0.08205590622182146,-0.025460930640913083,0.05659497558090838,418.0,367.0,36084.0,10608.0
65,2026-06-01 13:45:00+00:00,2026-06-01 13:55:00+00:00,3,15,-0.0016799667957844155,1.126899492914747e-06,-37.0,-25.0,359.0,1663.0,359.0,91.0,-0.10306406685236769,-0.01503307276007216,0.08803099409229553,381.0,342.0,36443.0,10699.0
66,2026-06-01 14:00:00+00:00,2026-06-01 14:20:00+00:00,5,25,-0.00042043305223044003,9.523700711916861e-07,-42.0,277.0,590.0,1391.0,590.0,93.0,-0.0711864406779661,0.199137311286844,0.2703237519648101,339.0,619.0,37033.0,10792.0
67,2026-06-01 14:25:00+00:00,2026-06-01 15:05:00+00:00,9,45,0.0011907681860913177,1.0843576036391806e-06,-34.0,592.0,492.0,2998.0,492.0,188.0,-0.06910569105691057,0.19746497665110074,0.2665706677080113,305.0,1211.0,37525.0,10980.0
68,2026-06-01 15:10:00+00:00,2026-06-01 15:40:00+00:00,7,35,0.0015388923014605926,1.0071339151648283e-06,30.0,330.0,476.0,2886.0,476.0,156.0,0.06302521008403361,0.11434511434511435,0.05131990426108074,335.0,1541.0,38001.0,11136.0
69,2026-06-01 15:45:00+00:00,2026-06-01 16:55:00+00:00,15,75,0.0009082335483024395,1.8123958764053278e-06,70.0,448.0,546.0,2104.0,546.0,134.0,0.1282051282051282,0.21292775665399238,0.08472262844886419,405.0,1989.0,38547.0,11270.0
70,2026-06-01 17:00:00+00:00,2026-06-01 17:30:00+00:00,7,35,0.0006282942019663063,9.897483630508154e-07,72.0,-62.0,248.0,1046.0,248.0,66.0,0.2903225806451613,-0.05927342256214149,-0.3495960032073028,477.0,1927.0,38795.0,11336.0
71,2026-06-01 17:35:00+00:00,2026-06-01 19:55:00+00:00,29,145,-0.0009076628306864398,1.018508178001902e-06,235.0,-1199.0,963.0,5863.0,963.0,310.0,0.24402907580477673,-0.2045028142589118,-0.44853189006368854,712.0,728.0,39758.0,11646.0
72,2026-06-01 20:00:00+00:00,2026-06-02 14:35:00+00:00,14,1120,0.0006975745315185855,1.01087930129518e-06,45.0,-405.0,809.0,2101.0,809.0,133.0,0.05562422744128554,-0.19276534983341265,-0.24838957727469818,757.0,323.0,40567.0,11779.0
73,2026-06-02 14:40:00+00:00,2026-06-02 15:10:00+00:00,7,35,0.0011143614469797947,9.408020362216778e-07,18.0,168.0,492.0,3768.0,492.0,209.0,0.036585365853658534,0.044585987261146494,0.00800062140748796,775.0,491.0,41059.0,11988.0
74,2026-06-02 15:15:00+00:00,2026-06-02 17:40:00+00:00,30,150,-0.0014628542192817173,1.0328902566583868e-06,140.0,-423.0,772.0,3063.0,772.0,178.0,0.18134715025906736,-0.13809990205680706,-0.31944705231587445,915.0,68.0,41831.0,12166.0
75,2026-06-02 17:45:00+00:00,2026-06-03 13:45:00+00:00,31,1205,0.00027526426945406746,1.1013210678619444e-06,74.0,220.0,938.0,3154.0,938.0,170.0,0.07889125799573561,0.06975269499048826,-0.009138563005247347,989.0,288.0,42769.0,12336.0
76,2026-06-03 13:50:00+00:00,2026-06-03 14:15:00+00:00,6,30,0.0006299212806720189,1.0244452568364547e-06,-50.0,267.0,560.0,2371.0,560.0,140.0,-0.08928571428571429,0.11261071277941796,0.20189642706513225,939.0,555.0,43329.0,12476.0
77,2026-06-03 14:20:00+00:00,2026-06-03 15:05:00+00:00,10,50,-0.0005599104289614187,9.503987852953186e-07,-108.0,1.0,624.0,2935.0,624.0,153.0,-0.17307692307692307,0.00034071550255536625,0.17341763857947845,831.0,556.0,43953.0,12629.0
78,2026-06-03 15:10:00+00:00,2026-06-03 16:10:00+00:00,13,65,-0.0014011491713627477,1.0107849586686988e-06,-91.0,-125.0,767.0,2175.0,767.0,136.0,-0.11864406779661017,-0.05747126436781609,0.06117280342879408,740.0,431.0,44720.0,12765.0
79,2026-06-03 16:15:00+00:00,2026-06-03 18:05:00+00:00,23,115,-7.010901955406545e-05,9.485516634537433e-07,-146.0,39.0,714.0,3193.0,714.0,180.0,-0.20448179271708683,0.012214218603194488,0.21669601132028132,594.0,470.0,45434.0,12945.0
80,2026-06-03 18:10:00+00:00,2026-06-04 14:55:00+00:00,40,1250,-0.0011212632921183685,9.425631027363541e-07,-31.0,-304.0,1571.0,7002.0,1571.0,355.0,-0.019732654360280075,-0.04341616680948301,-0.023683512449202932,563.0,166.0,47005.0,13300.0
81,2026-06-04 15:00:00+00:00,2026-06-04 18:30:00+00:00,43,215,-7.006480997789888e-05,9.763976458534284e-07,-123.0,526.0,889.0,4146.0,889.0,249.0,-0.13835770528683913,0.12686927158707187,0.265226976873911,440.0,692.0,47894.0,13549.0
