vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 14:00:00+00:00,6,30,-8.499426293839818e-05,1.1777693249901899e-06,-26.0,172.0,198.0,474.0,198.0,40.0,-0.13131313131313133,0.3628691983122363,0.4941823296253676,-26.0,172.0,198.0,40.0
1,2026-05-18 14:05:00+00:00,2026-05-18 14:05:00+00:00,1,5,-0.001190678827521885,1.4177160703088905e-06,-9.0,-76.0,47.0,122.0,47.0,8.0,-0.19148936170212766,-0.6229508196721312,-0.4314614579700035,-35.0,96.0,245.0,48.0
2,2026-05-18 14:10:00+00:00,2026-05-18 14:35:00+00:00,6,30,-0.0011920982338171626,1.2900857715025217e-06,-3.0,-15.0,265.0,887.0,265.0,76.0,-0.011320754716981131,-0.016910935738444193,-0.005590181021463062,-38.0,81.0,510.0,124.0
3,2026-05-18 14:40:00+00:00,2026-05-18 15:05:00+00:00,6,30,-0.000681837578618727,1.045654351401256e-06,11.0,-289.0,319.0,1217.0,319.0,107.0,0.034482758620689655,-0.23746918652423993,-0.2719519451449296,-27.0,-208.0,829.0,231.0
4,2026-05-18 15:10:00+00:00,2026-05-18 15:55:00+00:00,10,50,0.0013632105715081222,1.1910089195823656e-06,8.0,180.0,212.0,442.0,212.0,41.0,0.03773584905660377,0.4072398190045249,0.3695039699479211,-19.0,-28.0,1041.0,272.0
5,2026-05-18 16:00:00+00:00,2026-05-18 16:35:00+00:00,8,40,8.513898945161635e-05,1.254114975090454e-06,-79.0,-102.0,231.0,422.0,231.0,33.0,-0.341991341991342,-0.24170616113744076,0.10028518085390126,-98.0,-130.0,1272.0,305.0
6,2026-05-18 16:40:00+00:00,2026-05-18 18:45:00+00:00,26,130,-0.0006813149641851091,1.0434929829190523e-06,-4.0,101.0,270.0,553.0,270.0,50.0,-0.014814814814814815,0.18264014466546113,0.19745495948027594,-102.0,-29.0,1542.0,355.0
7,2026-05-18 18:50:00+00:00,2026-05-18 19:05:00+00:00,4,20,0.0022125785556057487,9.1323436688476e-06,-3.0,125.0,283.0,2167.0,283.0,146.0,-0.01060070671378092,0.05768343331795108,0.068284140031732,-105.0,96.0,1825.0,501.0
8,2026-05-18 19:10:00+00:00,2026-05-18 19:50:00+00:00,9,45,0.0003399626073880002,1.0994891667332556e-06,10.0,-108.0,118.0,318.0,118.0,31.0,0.0847457627118644,-0.33962264150943394,-0.42436840422129835,-95.0,-12.0,1943.0,532.0
9,2026-05-18 19:55:00+00:00,2026-05-19 14:10:00+00:00,10,1100,9.044928300405708e-05,1.1914158559616532e-06,33.0,52.0,419.0,1108.0,419.0,96.0,0.07875894988066826,0.04693140794223827,-0.03182754193842999,-62.0,40.0,2362.0,628.0
10,2026-05-19 14:15:00+00:00,2026-05-19 14:25:00+00:00,3,15,-0.0021436235432514827,2.0074752476213088e-06,-12.0,-81.0,126.0,507.0,126.0,38.0,-0.09523809523809523,-0.15976331360946747,-0.06452521837137223,-74.0,-41.0,2488.0,666.0
11,2026-05-19 14:30:00+00:00,2026-05-19 15:30:00+00:00,13,65,0.0009437605264861482,1.0380131469896092e-06,14.0,108.0,532.0,1212.0,532.0,109.0,0.02631578947368421,0.0891089108910891,0.0627931214174049,-60.0,67.0,3020.0,775.0
12,2026-05-19 15:35:00+00:00,2026-05-19 16:25:00+00:00,11,55,0.0011998630167653346,1.0722306498635287e-06,39.0,18.0,187.0,104.0,187.0,12.0,0.20855614973262032,0.17307692307692307,-0.03547922665569725,-21.0,85.0,3207.0,787.0
13,2026-05-19 16:30:00+00:00,2026-05-19 18:30:00+00:00,25,125,0.0005993920631565119,1.0326373571226065e-06,31.0,31.0,345.0,587.0,345.0,66.0,0.08985507246376812,0.05281090289608177,-0.037044169567686344,10.0,116.0,3552.0,853.0
14,2026-05-19 18:35:00+00:00,2026-05-20 13:35:00+00:00,19,1145,0.0003422313517317255,1.069789061990705e-06,-19.0,95.0,189.0,457.0,189.0,36.0,-0.10052910052910052,0.20787746170678337,0.3084065622358839,-9.0,211.0,3741.0,889.0
15,2026-05-20 13:40:00+00:00,2026-05-20 14:20:00+00:00,9,45,0.0025630086648893435,7.403591383249698e-06,17.0,106.0,537.0,1592.0,537.0,122.0,0.03165735567970205,0.06658291457286432,0.03492555889316227,8.0,317.0,4278.0,1011.0
16,2026-05-20 14:25:00+00:00,2026-05-20 14:35:00+00:00,3,15,0.0009381263747167967,1.3174498778786091e-06,24.0,134.0,270.0,834.0,270.0,76.0,0.08888888888888889,0.1606714628297362,0.07178257394084732,32.0,451.0,4548.0,1087.0
17,2026-05-20 14:40:00+00:00,2026-05-20 14:55:00+00:00,4,20,0.001277846576744568,1.313458275604868e-06,-17.0,13.0,235.0,541.0,235.0,55.0,-0.07234042553191489,0.024029574861367836,0.09637000039328272,15.0,464.0,4783.0,1142.0
18,2026-05-20 15:00:00+00:00,2026-05-20 15:20:00+00:00,5,25,0.0022110732708985337,7.84458255171384e-06,20.0,728.0,738.0,2964.0,738.0,235.0,0.02710027100271003,0.24561403508771928,0.21851376408500925,35.0,1192.0,5521.0,1377.0
19,2026-05-20 15:25:00+00:00,2026-05-20 15:30:00+00:00,2,10,-0.0017854870194223826,1.5976643430756465e-06,-73.0,-352.0,211.0,774.0,211.0,58.0,-0.3459715639810427,-0.45478036175710596,-0.10880879777606328,-38.0,840.0,5732.0,1435.0
20,2026-05-20 15:35:00+00:00,2026-05-20 15:40:00+00:00,2,10,0.0013606601299879229,1.056077276223501e-06,9.0,9.0,75.0,137.0,75.0,13.0,0.12,0.06569343065693431,-0.054306569343065686,-29.0,849.0,5807.0,1448.0
21,2026-05-20 15:45:00+00:00,2026-05-20 16:00:00+00:00,4,20,-0.0017862463814640739,1.1213632751468296e-06,-7.0,45.0,101.0,355.0,101.0,27.0,-0.06930693069306931,0.1267605633802817,0.196067494073351,-36.0,894.0,5908.0,1475.0
22,2026-05-20 16:05:00+00:00,2026-05-20 16:25:00+00:00,5,25,0.0,1.954793507489031e-06,-3.0,17.0,95.0,241.0,95.0,19.0,-0.031578947368421054,0.07053941908713693,0.10211836645555798,-39.0,911.0,6003.0,1494.0
23,2026-05-20 16:30:00+00:00,2026-05-20 17:15:00+00:00,10,50,0.0005106817712483558,1.0868826775742996e-06,-6.0,43.0,256.0,845.0,256.0,68.0,-0.0234375,0.05088757396449704,0.07432507396449704,-45.0,954.0,6259.0,1562.0
24,2026-05-20 17:20:00+00:00,2026-05-20 18:45:00+00:00,18,90,-0.00017019828140818483,1.2597813982352277e-06,-20.0,-3.0,252.0,551.0,252.0,40.0,-0.07936507936507936,-0.0054446460980036296,0.07392043326707573,-65.0,951.0,6511.0,1602.0
25,2026-05-20 18:50:00+00:00,2026-05-21 13:35:00+00:00,16,1130,-1.8308714482273558e-06,1.17403745328061e-06,-31.0,-133.0,231.0,1309.0,231.0,86.0,-0.1341991341991342,-0.10160427807486631,0.03259485612426789,-96.0,818.0,6742.0,1688.0
26,2026-05-21 13:40:00+00:00,2026-05-21 13:55:00+00:00,4,20,0.0015362297123839852,3.4685133726309406e-06,28.0,-77.0,258.0,571.0,258.0,40.0,0.10852713178294573,-0.13485113835376533,-0.24337827013671107,-68.0,741.0,7000.0,1728.0
27,2026-05-21 14:00:00+00:00,2026-05-21 14:55:00+00:00,12,60,0.0006820119616447462,1.0330684760861995e-06,-20.0,-5.0,380.0,1061.0,380.0,91.0,-0.05263157894736842,-0.00471253534401508,0.04791904360335334,-88.0,736.0,7380.0,1819.0
28,2026-05-21 15:00:00+00:00,2026-05-21 15:10:00+00:00,3,15,-0.0017912744159305216,1.4630333571624687e-06,-38.0,-291.0,136.0,685.0,136.0,50.0,-0.27941176470588236,-0.4248175182481752,-0.14540575354229285,-126.0,445.0,7516.0,1869.0
29,2026-05-21 15:15:00+00:00,2026-05-21 15:40:00+00:00,6,30,0.0006827686533055211,1.0488507730710443e-06,-3.0,-129.0,181.0,315.0,181.0,26.0,-0.016574585635359115,-0.4095238095238095,-0.3929492238884504,-129.0,316.0,7697.0,1895.0
30,2026-05-21 15:45:00+00:00,2026-05-21 16:30:00+00:00,10,50,0.0005970404032525911,1.0697405629373265e-06,29.0,22.0,149.0,246.0,149.0,24.0,0.19463087248322147,0.08943089430894309,-0.10519997817427838,-100.0,338.0,7846.0,1919.0
31,2026-05-21 16:35:00+00:00,2026-05-21 17:15:00+00:00,9,45,0.0011930124976983203,2.0919999369485658e-06,-9.0,158.0,201.0,472.0,201.0,37.0,-0.04477611940298507,0.3347457627118644,0.3795218821148495,-109.0,496.0,8047.0,1956.0
32,2026-05-21 17:20:00+00:00,2026-05-21 17:20:00+00:00,1,5,0.0011065243500387734,1.2243961372287298e-06,-8.0,64.0,140.0,566.0,140.0,46.0,-0.05714285714285714,0.11307420494699646,0.1702170620898536,-117.0,560.0,8187.0,2002.0
33,2026-05-21 17:25:00+00:00,2026-05-21 17:45:00+00:00,5,25,0.0018697948673785936,1.2136765017857913e-06,-15.0,219.0,247.0,727.0,247.0,42.0,-0.06072874493927125,0.3012379642365887,0.36196670917586,-132.0,779.0,8434.0,2044.0
34,2026-05-21 17:50:00+00:00,2026-05-21 18:20:00+00:00,7,35,-0.0005945555872260977,1.08925688802747e-06,-32.0,-131.0,266.0,527.0,266.0,42.0,-0.12030075187969924,-0.24857685009487665,-0.1282760982151774,-164.0,648.0,8700.0,2086.0
35,2026-05-21 18:25:00+00:00,2026-05-21 18:55:00+00:00,7,35,-0.0022966028892413837,2.8003522967959027e-06,23.0,49.0,243.0,655.0,243.0,46.0,0.09465020576131687,0.07480916030534351,-0.019841045455973358,-141.0,697.0,8943.0,2132.0
