vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 14:00:00+00:00,6,30,0.0,6.183695662501683e-07,-12.0,9.0,414.0,591.0,414.0,86.0,-0.028985507246376812,0.015228426395939087,0.0442139336423159,-12.0,9.0,414.0,86.0
1,2026-05-18 14:05:00+00:00,2026-05-18 14:35:00+00:00,7,35,-0.0006262476231129466,6.893935458260802e-07,-17.0,-127.0,533.0,725.0,533.0,97.0,-0.03189493433395872,-0.17517241379310344,-0.1432774794591447,-29.0,-118.0,947.0,183.0
2,2026-05-18 14:40:00+00:00,2026-05-18 15:05:00+00:00,6,30,-0.0010968779256211314,6.107358055165971e-07,-4.0,-69.0,376.0,811.0,376.0,121.0,-0.010638297872340425,-0.08508014796547472,-0.0744418500931343,-33.0,-187.0,1323.0,304.0
3,2026-05-18 15:10:00+00:00,2026-05-18 15:55:00+00:00,10,50,0.0010185693899507353,7.67519397095253e-07,-8.0,23.0,280.0,353.0,280.0,54.0,-0.02857142857142857,0.06515580736543909,0.09372723593686766,-41.0,-164.0,1603.0,358.0
4,2026-05-18 16:00:00+00:00,2026-05-18 16:35:00+00:00,8,40,0.000665427170067151,7.891367209286001e-07,26.0,56.0,196.0,268.0,196.0,45.0,0.1326530612244898,0.208955223880597,0.0763021626561072,-15.0,-108.0,1799.0,403.0
5,2026-05-18 16:40:00+00:00,2026-05-18 19:00:00+00:00,29,145,-0.0014488499842361946,7.035135325921016e-07,-32.0,-128.0,514.0,1000.0,514.0,122.0,-0.0622568093385214,-0.128,-0.0657431906614786,-47.0,-236.0,2313.0,525.0
6,2026-05-18 19:05:00+00:00,2026-05-18 19:05:00+00:00,1,5,0.0018791846738966944,3.5313350386082258e-06,-24.0,166.0,316.0,526.0,316.0,70.0,-0.0759493670886076,0.3155893536121673,0.3915387207007749,-71.0,-70.0,2629.0,595.0
7,2026-05-18 19:10:00+00:00,2026-05-18 20:00:00+00:00,11,55,7.822277851296522e-05,7.737864918647276e-07,30.0,-38.0,318.0,148.0,318.0,26.0,0.09433962264150944,-0.25675675675675674,-0.3510963793982662,-41.0,-108.0,2947.0,621.0
8,2026-05-19 13:35:00+00:00,2026-05-19 14:10:00+00:00,8,40,-0.0003148738562640252,9.53769484304676e-07,-50.0,-24.0,760.0,404.0,760.0,67.0,-0.06578947368421052,-0.0594059405940594,0.0063835330901511195,-91.0,-132.0,3707.0,688.0
9,2026-05-19 14:15:00+00:00,2026-05-19 15:05:00+00:00,11,55,-0.0008270158982739695,7.465530986120358e-07,15.0,-198.0,931.0,1388.0,931.0,222.0,0.01611170784103115,-0.14265129682997119,-0.15876300467100235,-76.0,-330.0,4638.0,910.0
