vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,0.0,1.1416137379052167e-06,-32.0,-67.0,110.0,841.0,110.0,29.0,-0.2909090909090909,-0.07966706302021404,0.21124202788887686,-32.0,-67.0,110.0,29.0
1,2026-05-18 13:55:00+00:00,2026-05-18 14:05:00+00:00,3,15,-0.0010400416954139402,1.5011772513334386e-06,-6.0,-169.0,48.0,373.0,48.0,9.0,-0.125,-0.45308310991957107,-0.32808310991957107,-38.0,-236.0,158.0,38.0
2,2026-05-18 14:10:00+00:00,2026-05-18 14:40:00+00:00,7,35,0.0,1.1436785177455906e-06,-30.0,358.0,146.0,1612.0,146.0,45.0,-0.2054794520547945,0.22208436724565755,0.42756381930045206,-68.0,122.0,304.0,83.0
3,2026-05-18 14:45:00+00:00,2026-05-18 15:05:00+00:00,5,25,-0.0013884070262264459,2.8303936484481536e-06,-7.0,-461.0,151.0,1281.0,151.0,41.0,-0.046357615894039736,-0.3598750975800156,-0.3135174816859759,-75.0,-339.0,455.0,124.0
4,2026-05-18 15:10:00+00:00,2026-05-18 15:35:00+00:00,6,30,0.001561822443291394,1.9574335003729427e-06,8.0,524.0,84.0,732.0,84.0,25.0,0.09523809523809523,0.7158469945355191,0.6206088992974239,-67.0,185.0,539.0,149.0
5,2026-05-18 15:40:00+00:00,2026-05-18 18:10:00+00:00,31,155,0.0003467406414765506,1.1409478715975477e-06,59.0,-1837.0,341.0,4715.0,341.0,124.0,0.17302052785923755,-0.3896076352067869,-0.5626281630660244,-8.0,-1652.0,880.0,273.0
6,2026-05-18 18:15:00+00:00,2026-05-18 19:05:00+00:00,11,55,0.0012126463157726697,6.460604786721837e-06,36.0,-221.0,330.0,2003.0,330.0,66.0,0.10909090909090909,-0.11033449825262107,-0.21942540734353017,28.0,-1873.0,1210.0,339.0
7,2026-05-18 19:10:00+00:00,2026-05-19 13:55:00+00:00,16,1130,0.00017778869269768904,1.2347563266874875e-06,-76.0,-441.0,428.0,2065.0,428.0,69.0,-0.17757009345794392,-0.2135593220338983,-0.03598922857595438,-48.0,-2314.0,1638.0,408.0
8,2026-05-19 14:00:00+00:00,2026-05-19 14:45:00+00:00,10,50,-0.0017418572597787119,1.3349372690948538e-06,-17.0,-142.0,373.0,2552.0,373.0,84.0,-0.045576407506702415,-0.055642633228840124,-0.010066225722137709,-65.0,-2456.0,2011.0,492.0
9,2026-05-19 14:50:00+00:00,2026-05-19 15:10:00+00:00,5,25,-0.0010465725706709783,1.3985820720939798e-06,-12.0,-1033.0,134.0,2155.0,134.0,43.0,-0.08955223880597014,-0.4793503480278422,-0.3897981092218721,-77.0,-3489.0,2145.0,535.0
10,2026-05-19 15:15:00+00:00,2026-05-19 16:15:00+00:00,13,65,0.0003489792392774582,1.5817811308905912e-06,-53.0,16.0,199.0,2046.0,199.0,58.0,-0.2663316582914573,0.007820136852394917,0.2741517951438522,-130.0,-3473.0,2344.0,593.0
11,2026-05-19 16:20:00+00:00,2026-05-19 17:35:00+00:00,16,80,0.00034885749525237486,1.3983908367021995e-06,3.0,251.0,135.0,1609.0,135.0,44.0,0.022222222222222223,0.1559975139838409,0.13377529176161868,-127.0,-3222.0,2479.0,637.0
12,2026-05-19 17:40:00+00:00,2026-05-19 18:55:00+00:00,16,80,-0.00017441353493241607,1.1857468305746646e-06,-62.0,234.0,218.0,1334.0,218.0,46.0,-0.28440366972477066,0.17541229385307347,0.45981596357784416,-189.0,-2988.0,2697.0,683.0
13,2026-05-19 19:00:00+00:00,2026-05-20 14:20:00+00:00,23,1165,0.0036544936088711566,6.9308167246424125e-06,294.0,557.0,808.0,3979.0,808.0,137.0,0.36386138613861385,0.1399849208343805,-0.22387646530423336,105.0,-2431.0,3505.0,820.0
14,2026-05-20 14:25:00+00:00,2026-05-20 14:55:00+00:00,7,35,0.0015620935225379995,1.7176989321677242e-06,8.0,981.0,278.0,2417.0,278.0,69.0,0.02877697841726619,0.40587505171700455,0.3770980732997384,113.0,-1450.0,3783.0,889.0
15,2026-05-20 15:00:00+00:00,2026-05-20 15:20:00+00:00,5,25,0.0019059175829179154,5.376042429204323e-06,36.0,-209.0,350.0,6853.0,350.0,208.0,0.10285714285714286,-0.030497592295345103,-0.13335473515248797,149.0,-1659.0,4133.0,1097.0
16,2026-05-20 15:25:00+00:00,2026-05-20 15:55:00+00:00,7,35,-0.0017325021658529671,1.500969143285275e-06,107.0,-462.0,261.0,1878.0,261.0,68.0,0.4099616858237548,-0.24600638977635783,-0.6559680756001126,256.0,-2121.0,4394.0,1165.0
17,2026-05-20 16:00:00+00:00,2026-05-20 16:25:00+00:00,6,30,0.0001733853493721682,1.4118845789715268e-06,15.0,24.0,127.0,1986.0,127.0,51.0,0.11811023622047244,0.012084592145015106,-0.10602564407545734,271.0,-2097.0,4521.0,1216.0
18,2026-05-20 16:30:00+00:00,2026-05-20 16:55:00+00:00,6,30,-0.00034680076643711644,1.143083656227741e-06,20.0,-31.0,122.0,1949.0,122.0,71.0,0.16393442622950818,-0.01590559261159569,-0.17984001884110387,291.0,-2128.0,4643.0,1287.0
