vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 14:00:00+00:00,6,30,0.0004155412484476706,5.696258650200048e-06,3.0,47.0,59.0,447.0,59.0,21.0,0.05084745762711865,0.10514541387024609,0.05429795624312744,3.0,47.0,59.0,21.0
1,2026-05-18 14:05:00+00:00,2026-05-18 14:55:00+00:00,11,55,-0.002079435143143016,5.025123055191131e-06,-3.0,64.0,35.0,470.0,35.0,22.0,-0.08571428571428572,0.13617021276595745,0.22188449848024316,0.0,111.0,94.0,43.0
2,2026-05-18 15:00:00+00:00,2026-05-18 15:35:00+00:00,8,40,-0.0008329863038918361,6.606061393884059e-06,-1.0,56.0,19.0,430.0,19.0,19.0,-0.05263157894736842,0.13023255813953488,0.1828641370869033,-1.0,167.0,113.0,62.0
3,2026-05-18 15:40:00+00:00,2026-05-18 16:40:00+00:00,13,65,0.00041657988521626166,4.684828667906721e-06,18.0,-20.0,54.0,196.0,54.0,11.0,0.3333333333333333,-0.10204081632653061,-0.43537414965986393,17.0,147.0,167.0,73.0
4,2026-05-18 16:55:00+00:00,2026-05-18 19:00:00+00:00,19,130,-0.002919710103334694,5.735198345869771e-06,2.0,-148.0,28.0,254.0,28.0,11.0,0.07142857142857142,-0.5826771653543307,-0.6541057367829021,19.0,-1.0,195.0,84.0
5,2026-05-18 19:05:00+00:00,2026-05-18 19:05:00+00:00,1,5,0.004168409537179674,1.737563806965046e-05,-2.0,103.0,6.0,151.0,6.0,8.0,-0.3333333333333333,0.6821192052980133,1.0154525386313467,17.0,102.0,201.0,92.0
6,2026-05-18 19:10:00+00:00,2026-05-19 13:35:00+00:00,11,1110,0.0016684210120412324,5.195270927446984e-06,-1.0,51.0,17.0,205.0,17.0,8.0,-0.058823529411764705,0.24878048780487805,0.30760401721664277,16.0,153.0,218.0,100.0
7,2026-05-19 13:40:00+00:00,2026-05-19 14:25:00+00:00,10,50,-0.0033514903595825984,5.610231651536361e-06,-4.0,17.0,34.0,71.0,34.0,3.0,-0.11764705882352941,0.23943661971830985,0.35708367854183926,12.0,170.0,252.0,103.0
8,2026-05-19 14:30:00+00:00,2026-05-19 15:25:00+00:00,11,60,0.00041955108649816,5.111029536709725e-06,-4.0,43.0,36.0,43.0,36.0,2.0,-0.1111111111111111,1.0,1.1111111111111112,8.0,213.0,288.0,105.0
9,2026-05-19 15:30:00+00:00,2026-05-19 16:50:00+00:00,15,85,0.0033500868852822663,4.5561491918062616e-06,-9.0,-5.0,19.0,95.0,19.0,3.0,-0.47368421052631576,-0.05263157894736842,0.42105263157894735,-1.0,208.0,307.0,108.0
10,2026-05-19 16:55:00+00:00,2026-05-20 14:00:00+00:00,26,1270,-0.0016713741633886947,4.881087992649662e-06,-21.0,21.0,63.0,145.0,63.0,7.0,-0.3333333333333333,0.14482758620689656,0.4781609195402299,-22.0,229.0,370.0,115.0
11,2026-05-20 14:05:00+00:00,2026-05-20 14:20:00+00:00,4,20,0.006227962833452505,2.2555752584342467e-05,-1.0,93.0,35.0,491.0,35.0,24.0,-0.02857142857142857,0.1894093686354379,0.21798079720686647,-23.0,322.0,405.0,139.0
12,2026-05-20 14:25:00+00:00,2026-05-20 14:55:00+00:00,7,35,0.0033057881344995543,8.547884331540255e-06,1.0,49.0,53.0,217.0,53.0,12.0,0.018867924528301886,0.22580645161290322,0.20693852708460134,-22.0,371.0,458.0,151.0
13,2026-05-20 15:00:00+00:00,2026-05-20 15:20:00+00:00,5,25,0.003294895896852168,1.7317690081269143e-05,9.0,211.0,49.0,461.0,49.0,20.0,0.1836734693877551,0.45770065075921906,0.274027181371464,-13.0,582.0,507.0,171.0
14,2026-05-20 15:25:00+00:00,2026-05-20 15:40:00+00:00,4,20,-0.0012343140838848576,4.574777804661961e-06,10.0,-24.0,26.0,90.0,26.0,5.0,0.38461538461538464,-0.26666666666666666,-0.6512820512820513,-3.0,558.0,533.0,176.0
15,2026-05-20 15:45:00+00:00,2026-05-20 16:25:00+00:00,9,45,-0.0024732081856471133,6.1197002584187595e-06,25.0,14.0,63.0,164.0,63.0,9.0,0.3968253968253968,0.08536585365853659,-0.3114595431668602,22.0,572.0,596.0,185.0
16,2026-05-20 16:30:00+00:00,2026-05-20 18:20:00+00:00,21,115,0.0012373686874700418,4.936435317891335e-06,-7.0,69.0,39.0,519.0,39.0,21.0,-0.1794871794871795,0.1329479768786127,0.3124351563657922,15.0,641.0,635.0,206.0
17,2026-05-20 18:25:00+00:00,2026-05-21 13:55:00+00:00,13,1175,0.0037196179559750853,2.072246688448107e-05,4.0,138.0,60.0,286.0,60.0,14.0,0.06666666666666667,0.4825174825174825,0.41585081585081585,19.0,779.0,695.0,220.0
18,2026-05-21 14:00:00+00:00,2026-05-21 14:30:00+00:00,7,35,-0.0024813908513854344,5.135765599425029e-06,0.0,192.0,16.0,578.0,16.0,19.0,0.0,0.33217993079584773,0.33217993079584773,19.0,971.0,711.0,239.0
19,2026-05-21 14:35:00+00:00,2026-05-21 15:15:00+00:00,9,45,0.0,5.1513727129055625e-06,-4.0,40.0,22.0,80.0,22.0,4.0,-0.18181818181818182,0.5,0.6818181818181819,15.0,1011.0,733.0,243.0
20,2026-05-21 15:20:00+00:00,2026-05-21 16:10:00+00:00,11,55,0.0016549445233540183,5.833387579463564e-06,2.0,-23.0,10.0,51.0,10.0,3.0,0.2,-0.45098039215686275,-0.6509803921568628,17.0,988.0,743.0,246.0
21,2026-05-21 16:15:00+00:00,2026-05-21 17:15:00+00:00,13,65,0.0004133085407049819,6.675149083748031e-06,1.0,-137.0,17.0,419.0,17.0,16.0,0.058823529411764705,-0.3269689737470167,-0.38579250315878144,18.0,851.0,760.0,262.0
22,2026-05-21 17:20:00+00:00,2026-05-21 17:20:00+00:00,1,5,0.0024762703532634767,6.131914862451623e-06,-1.0,79.0,5.0,169.0,5.0,7.0,-0.2,0.46745562130177515,0.6674556213017752,17.0,930.0,765.0,269.0
