vol_bar,ts_start,ts_end,n_5m,wall_minutes,ret,realized_var,signed_size_low,signed_size_high,tot_size_low,tot_size_high,n_trades_low,n_trades_high,ofi_low,ofi_high,ofi_spread,cvd_low,cvd_high,cum_n_low,cum_n_high
0,2026-05-18 13:35:00+00:00,2026-05-18 13:50:00+00:00,4,20,-0.0001857010218895283,4.387869153990168e-05,98.0,-116.0,578.0,396.0,578,125,0.1695501730103806,-0.29292929292929293,-0.46247946593967354,98.0,-116.0,578,125
1,2026-05-18 13:55:00+00:00,2026-05-18 14:05:00+00:00,3,15,0.00786203929446927,4.5993807714549926e-05,77.0,86.0,299.0,180.0,299,64,0.25752508361204013,0.4777777777777778,0.22025269416573767,175.0,-30.0,877,189
2,2026-05-18 14:10:00+00:00,2026-05-18 14:35:00+00:00,6,30,0.012088059279215635,4.589937895956725e-05,51.0,32.0,675.0,668.0,675,169,0.07555555555555556,0.04790419161676647,-0.027651363938789086,226.0,2.0,1552,358
3,2026-05-18 14:40:00+00:00,2026-05-18 15:05:00+00:00,6,30,0.009331891050650576,5.721796479446753e-05,10.0,25.0,770.0,539.0,770,184,0.012987012987012988,0.04638218923933209,0.03339517625231911,236.0,27.0,2322,542
4,2026-05-18 15:10:00+00:00,2026-05-18 17:05:00+00:00,24,120,-0.0005412231775627774,4.1140601508982206e-05,103.0,-31.0,1979.0,847.0,1979,292,0.052046488125315815,-0.03659976387249114,-0.08864625199780696,339.0,-4.0,4301,834
5,2026-05-18 17:10:00+00:00,2026-05-18 18:20:00+00:00,15,75,0.008892939810936973,4.2341828771972735e-05,-84.0,80.0,876.0,454.0,876,140,-0.0958904109589041,0.1762114537444934,0.2721018647033975,255.0,76.0,5177,974
6,2026-05-18 18:25:00+00:00,2026-05-18 19:05:00+00:00,9,45,-0.011512989193382062,0.00024070775132954678,-108.0,-274.0,1518.0,910.0,1518,295,-0.07114624505928854,-0.3010989010989011,-0.22995265603961254,147.0,-198.0,6695,1269
7,2026-05-18 19:10:00+00:00,2026-05-18 19:10:00+00:00,1,5,-0.006716917329686822,4.5116978413847154e-05,-8.0,72.0,296.0,170.0,296,64,-0.02702702702702703,0.4235294117647059,0.4505564387917329,139.0,-126.0,6991,1333
8,2026-05-18 19:15:00+00:00,2026-05-18 20:00:00+00:00,10,50,-0.006303981408422921,4.8227977279130536e-05,-40.0,-94.0,870.0,518.0,870,203,-0.04597701149425287,-0.18146718146718147,-0.1354901699729286,99.0,-220.0,7861,1536
9,2026-05-19 13:35:00+00:00,2026-05-19 14:05:00+00:00,7,35,-0.013659808034858223,5.0989106345153206e-05,-25.0,37.0,925.0,663.0,925,215,-0.02702702702702703,0.05580693815987934,0.08283396518690636,74.0,-183.0,8786,1751
10,2026-05-19 14:10:00+00:00,2026-05-19 14:15:00+00:00,2,10,0.008615661148180465,4.111357808507235e-05,20.0,-105.0,390.0,259.0,390,83,0.05128205128205128,-0.40540540540540543,-0.4566874566874567,94.0,-288.0,9176,1834
11,2026-05-19 14:20:00+00:00,2026-05-19 15:05:00+00:00,10,50,-0.004343898233283738,4.4505119891694156e-05,72.0,55.0,750.0,503.0,750,181,0.096,0.10934393638170974,0.013343936381709734,166.0,-233.0,9926,2015
