root,asset,asset_class,feature,horizon_vol_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate,abs_t
SR3,Three-Month SOFR,Rates,spread,12,next_12_vol_bars,83,-10.846206061783523,-4.937773546549398,0.21236482713605653,-0.4608305839851089,0.3493975903614458,4.937773546549398
SR3,Three-Month SOFR,Rates,low,12,next_12_vol_bars,83,13.246375903236352,4.694710395304572,0.1883542654330279,0.4339980016463531,0.6024096385542169,4.694710395304572
ZB,U.S. Treasury Bond,Rates,high,12,next_12_vol_bars,121,-86.4690410545856,-3.3097677606686906,0.061818260262200164,-0.24863278195402985,0.3884297520661157,3.3097677606686906
CL,WTI Crude Oil,Energy,high,6,next_6_vol_bars,139,-321.4025110023509,-3.131919243099183,0.034089028533342725,-0.18463214382480267,0.5251798561151079,3.131919243099183
ZT,2-Year U.S. Treasury Note,Rates,spread,6,next_6_vol_bars,113,11.070688713481584,3.125110077639244,0.15085868413581371,0.3884053090983872,0.7168141592920354,3.125110077639244
ZT,2-Year U.S. Treasury Note,Rates,low,3,next_3_vol_bars,115,-7.622164128479843,-3.0808343219651784,0.09211732725203459,-0.3035083643856204,0.41739130434782606,3.0808343219651784
RTY,E-mini Russell 2000,Equity,low,12,next_12_vol_bars,168,842.9551725091103,2.7864149581565485,0.05140767573325833,0.22673260844717133,0.5952380952380952,2.7864149581565485
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,high,3,next_3_vol_bars,58,-7.2415442310017495,-2.7832684179273794,0.06013180997301715,-0.24521788265340105,0.39655172413793105,2.7832684179273794
ZT,2-Year U.S. Treasury Note,Rates,low,6,next_6_vol_bars,112,-12.12388125268942,-2.7515168447436604,0.12364878802008317,-0.35163729611644307,0.3482142857142857,2.7515168447436604
6N,New Zealand Dollar,FX,low,12,next_12_vol_bars,129,-94.75918186072629,-2.725221293982888,0.049130038122988884,-0.22165296777392574,0.34108527131782945,2.725221293982888
SR3,Three-Month SOFR,Rates,low,3,next_3_vol_bars,92,4.344944297237853,2.5812542901178905,0.05691655705842402,0.23857191171306008,0.5217391304347826,2.5812542901178905
ZT,2-Year U.S. Treasury Note,Rates,low,1,next_1_vol_bar,117,-2.993262155823364,-2.5508506061699574,0.03265385715349689,-0.18070378289758443,0.4444444444444444,2.5508506061699574
BZ,Brent Crude Oil,Energy,spread,3,next_3_vol_bars,139,-127.65697061876256,-2.531802487242101,0.03235289153027887,-0.17986909553972527,0.4172661870503597,2.531802487242101
BZ,Brent Crude Oil,Energy,spread,1,next_1_vol_bar,141,-87.53495984475785,-2.5058254285192056,0.034297561763592,-0.18519600903796954,0.41843971631205673,2.5058254285192056
DHY,Duration-Hedged HY Credit Index,Credit,low,6,next_6_vol_bars,57,13.642981954221913,2.488303046434831,0.05211735845382692,0.22829226542707662,0.45614035087719296,2.488303046434831
ZT,2-Year U.S. Treasury Note,Rates,spread,3,next_3_vol_bars,116,5.286834669071332,2.446121195399244,0.06481350451230228,0.2545849652126032,0.603448275862069,2.446121195399244
CNH,Offshore Renminbi,FX,low,1,next_1_vol_bar,64,2.665363338682894,2.4003510755646973,0.07926453587216342,0.2815395813596438,0.640625,2.4003510755646973
UB,Ultra U.S. Treasury Bond,Rates,low,1,next_1_vol_bar,135,-19.85000457095467,-2.3428881252780576,0.025456325571213467,-0.15955038568180713,0.4,2.3428881252780576
CNH,Offshore Renminbi,FX,high,1,next_1_vol_bar,65,1.723475819524652,2.313516147052251,0.04082592319710743,0.20205425805240368,0.47692307692307695,2.313516147052251
DHB,Duration-Hedged IG Credit Index,Credit,spread,6,next_6_vol_bars,38,2.282575978975147,2.3117186019818394,0.016280251538455803,0.1275940889636185,0.47368421052631576,2.3117186019818394
ZF,5-Year U.S. Treasury Note,Rates,high,6,next_6_vol_bars,121,-16.406459891140987,-2.289960584506243,0.015994937358071337,-0.12647109297413145,0.49586776859504134,2.289960584506243
CL,WTI Crude Oil,Energy,high,12,next_12_vol_bars,133,-394.68384569448955,-2.241387723986792,0.0312815964312515,-0.17686604092151614,0.5112781954887218,2.241387723986792
6L,Brazilian Real,FX,spread,6,next_6_vol_bars,130,24.42032979202189,2.210296145445914,0.022161845579479866,0.1488685513447347,0.6,2.210296145445914
ZT,2-Year U.S. Treasury Note,Rates,spread,1,next_1_vol_bar,118,2.2833993436911366,2.203176996331154,0.028304060254128904,0.16823810583256404,0.5338983050847458,2.203176996331154
RTY,E-mini Russell 2000,Equity,high,12,next_12_vol_bars,168,220.73764926203378,2.1904742379712383,0.02821592916931459,0.16797597795314226,0.5357142857142857,2.1904742379712383
ZT,2-Year U.S. Treasury Note,Rates,spread,12,next_12_vol_bars,107,12.304962371485741,2.185055225661333,0.09106614297306959,0.30177167357634743,0.7009345794392523,2.185055225661333
ZT,2-Year U.S. Treasury Note,Rates,low,12,next_12_vol_bars,106,-12.419847499204714,-2.154027489811535,0.07116687502290553,-0.26677120351137096,0.4056603773584906,2.154027489811535
ZQ,30-Day Fed Funds,Rates,spread,1,next_1_vol_bar,41,0.7926331823995317,2.126713565626694,0.06819165782545422,0.2611353247369154,0.4146341463414634,2.126713565626694
6N,New Zealand Dollar,FX,low,6,next_6_vol_bars,135,-52.56212274688862,-2.121656877976737,0.035652309477152366,-0.18881819159485744,0.4148148148148148,2.121656877976737
YM,E-mini Dow,Equity,low,12,next_12_vol_bars,156,578.1348252044642,2.1144329363566503,0.05380395760671508,0.23195680116503378,0.532051282051282,2.1144329363566503
DHB,Duration-Hedged IG Credit Index,Credit,spread,12,next_12_vol_bars,33,5.35611959749461,2.1016212576791875,0.07935719528741836,0.2817040917122404,0.6363636363636364,2.1016212576791875
SR3,Three-Month SOFR,Rates,high,12,next_12_vol_bars,83,-7.469857348678257,-2.0846653567060565,0.04004094599049579,-0.20010233879316805,0.4578313253012048,2.0846653567060565
RTY,E-mini Russell 2000,Equity,low,3,next_3_vol_bars,168,380.0487729757125,2.083430889564861,0.05019079964374462,0.22403303248348153,0.5714285714285714,2.083430889564861
RTY,E-mini Russell 2000,Equity,low,6,next_6_vol_bars,168,540.4986643187849,2.061599247433569,0.04705289731840112,0.21691679814712603,0.5714285714285714,2.061599247433569
CL,WTI Crude Oil,Energy,spread,3,next_3_vol_bars,142,-233.26390367252844,-2.016489564265605,0.024473819433508903,-0.15644110531925065,0.5140845070422535,2.016489564265605
