root,asset,asset_class,target_var,vol_bars,source_5m_bars,median_wall_minutes,mean_wall_minutes,p90_wall_minutes,median_n_5m,mean_realized_var_over_target,low_ofi_bars,high_ofi_bars
SR3,Three-Month SOFR,Rates,3.118792850739822e-08,95,1589,80.0,342.94736842105266,1151.0,15.0,1.3456140350877195,95,95
ZQ,30-Day Fed Funds,Rates,2.0110515027656286e-08,42,1038,222.5,911.1904761904761,1523.0,22.0,1.126984126984127,42,42
ZT,2-Year U.S. Treasury Note,Rates,5.2080054048384426e-08,119,1601,55.0,300.25210084033614,1140.0,11.0,1.5770308123249306,119,119
ZF,5-Year U.S. Treasury Note,Rates,2.5271822148582613e-07,127,1602,60.0,273.07086614173227,1127.0,11.0,1.6010498687664045,127,127
ZN,10-Year U.S. Treasury Note,Rates,6.128890979976127e-07,126,1602,55.0,275.23809523809524,1120.0,10.5,1.5052910052910053,126,126
TN,Ultra 10-Year U.S. Treasury Note,Rates,8.081252344695488e-07,131,1601,50.0,255.34351145038167,1105.0,10.0,1.5050890585241732,131,131
ZB,U.S. Treasury Bond,Rates,1.9412794746597762e-06,133,1602,55.0,252.85714285714286,1089.0,10.0,1.419799498746867,133,133
UB,Ultra U.S. Treasury Bond,Rates,2.2958130568849534e-06,136,1602,52.5,255.0,1095.0,10.0,1.4142156862745099,136,136
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,1.8457529618965182e-06,55,1050,155.0,737.9090909090909,1424.0,16.0,2.5,55,53
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,1.0225033239247654e-06,67,801,90.0,570.9701492537314,1403.0,10.0,1.4701492537313434,67,62
DHB,Duration-Hedged IG Credit Index,Credit,4.2259220444585133e-07,48,859,195.0,823.2291666666666,1360.5000000000002,16.0,1.1631944444444444,48,43
DHY,Duration-Hedged HY Credit Index,Credit,6.03553463704669e-07,66,976,95.0,538.8636363636364,1325.0,11.0,1.654040404040404,65,62
ES,E-mini S&P 500,Equity,4.889323558559628e-06,180,1836,32.5,226.83333333333334,1060.5,6.0,1.6518518518518521,156,156
NQ,E-mini Nasdaq-100,Equity,1.1784406708149676e-05,194,1836,30.0,206.44329896907217,815.5000000000139,6.0,1.5721649484536082,167,167
YM,E-mini Dow,Equity,4.2607833286775844e-06,176,1836,40.0,221.5909090909091,1067.5,7.0,1.7140151515151514,156,156
RTY,E-mini Russell 2000,Equity,1.1537906267256942e-05,192,1836,35.0,182.65625,272.00000000000045,7.0,1.5711805555555556,168,168
NIY,Nikkei 225,Equity,9.180019497394923e-06,176,1836,40.0,255.85227272727272,1100.0,7.0,1.6676136363636365,155,155
6E,Euro FX,FX,4.0522332981220087e-07,143,1638,50.0,277.34265734265733,1125.0,9.0,1.6923076923076925,143,143
6J,Japanese Yen,FX,2.463581524928728e-07,126,1636,50.0,306.42857142857144,1112.5,9.0,1.5542328042328042,126,126
6B,British Pound,FX,5.652122217265658e-07,137,1637,45.0,289.4890510948905,1125.0,9.0,1.6484184914841853,137,137
6C,Canadian Dollar,FX,2.776397875670007e-07,155,1637,45.0,249.09677419354838,1082.0,8.0,1.4075268817204303,155,155
6A,Australian Dollar,FX,9.359296298344968e-07,143,1635,40.0,277.34265734265733,1105.0,7.0,1.6643356643356644,143,143
6N,New Zealand Dollar,FX,1.006135854349286e-06,144,1629,42.5,282.7083333333333,1140.5000000000002,8.0,1.6145833333333337,144,144
6S,Swiss Franc,FX,6.037521299872624e-07,151,1636,45.0,248.74172185430464,1090.0,8.0,1.6754966887417218,151,151
6M,Mexican Peso,FX,1.116443545364715e-06,132,1624,50.0,308.40909090909093,1125.0,10.0,1.47979797979798,132,132
6L,Brazilian Real,FX,2.50292099178349e-06,136,1595,50.0,299.3382352941176,1137.5,9.5,1.4411764705882353,136,136
CNH,Offshore Renminbi,FX,1.20257079153858e-07,69,845,100.0,571.0144927536232,1336.0,11.0,1.3574879227053138,69,68
6Z,South African Rand,FX,4.555456989134328e-06,90,1265,70.0,384.55555555555554,1201.0,13.0,1.572222222222222,90,89
CL,WTI Crude Oil,Energy,4.713270133513772e-05,145,1620,50.0,246.41379310344828,1140.0,9.0,1.8149425287356322,145,145
BZ,Brent Crude Oil,Energy,4.0237466768958704e-05,142,1620,50.0,271.90140845070425,1141.0000000000002,10.0,1.852112676056338,142,142
