root,asset,asset_class,horizon_vol_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,beta_bps_per_full_ofi_spread,corr_high,corr_low,corr_spread,hit_rate_high,hit_rate_low,hit_rate_spread,n_high,n_low,n_spread,nw_tstat_high,nw_tstat_low,nw_tstat_spread,r2_high,r2_low,r2_spread,abs_corr_high_minus_low
6A,Australian Dollar,FX,0,same_vol_bar,28.965736397640544,38.676552872491676,1.4426652055612403,0.3405929396681569,0.37783236430980327,0.022239578301066935,0.5845070422535211,0.624113475177305,0.5384615384615384,142,141,143,5.537660343700001,4.606745177504023,0.34836507092927854,0.11600355055179701,0.14275729551993588,0.0004945988430091752,-0.03723942464164637
6A,Australian Dollar,FX,1,next_1_vol_bar,-1.5555919216604974,0.14164485423804143,-0.9605358538578177,-0.01823930233443008,0.0013668160188678223,-0.014786087706886856,0.475177304964539,0.4714285714285714,0.4647887323943662,141,140,142,-0.2108744822672,0.016664069295609908,-0.15178683892758174,0.00033267214964660674,1.868186029319041e-06,0.00021862838967556808,0.016872486315562256
6A,Australian Dollar,FX,3,next_3_vol_bars,-8.999104125095249,12.063558932558117,-9.86970395933429,-0.06305539864235549,0.06887640948998842,-0.09072414835972038,0.4892086330935252,0.5362318840579711,0.4142857142857143,139,138,140,-0.6529171169125985,0.7243267492368248,-0.8295921826585968,0.0039759832979463505,0.0047439597842324766,0.008230871095596615,-0.0058210108476329375
6A,Australian Dollar,FX,6,next_6_vol_bars,-16.84378932060116,27.215803796627533,-20.958981013356013,-0.07609707888841698,0.10544656847961635,-0.1246502103679163,0.49264705882352944,0.5703703703703704,0.46715328467153283,136,135,137,-0.7566062379941938,0.8913747356976255,-0.9612996628721497,0.005790765415349952,0.011118978804126378,0.015537674944765989,-0.029349489591199374
6A,Australian Dollar,FX,12,next_12_vol_bars,-22.88445045379695,23.112727701245554,-23.080704328996504,-0.06552832649375953,0.056569279989256316,-0.08673344175557142,0.5307692307692308,0.4806201550387597,0.5038167938931297,130,129,131,-0.7464375649904971,0.39467604275684887,-0.6178707175322627,0.004293961573072713,0.0032000834385028654,0.007522689918767145,0.008959046504503215
6B,British Pound,FX,0,same_vol_bar,22.192311340737096,10.59017119495451,7.5363577826349815,0.4038178796001323,0.16514158679742655,0.18965626482227946,0.635036496350365,0.5109489051094891,0.5766423357664233,137,137,137,4.433825294099512,2.098561301579478,1.9013995627854905,0.16306887988474683,0.027271743689971872,0.03596949878633848,0.23867629280270578
6B,British Pound,FX,1,next_1_vol_bar,2.840597950670042,2.4769147839075147,0.5351156383671419,0.0515421444373957,0.038407808626308416,0.013481735470919423,0.5073529411764706,0.49264705882352944,0.49264705882352944,136,136,136,0.6838499522760814,0.3436203504130108,0.13305646773815977,0.002656592653205281,0.001475159763475009,0.000181757191307641,0.013134335811087285
6B,British Pound,FX,3,next_3_vol_bars,6.717880006736391,7.857562909290402,0.5478151777739386,0.06768860084431094,0.0671991322494608,0.007667741705444211,0.5074626865671642,0.5074626865671642,0.5,134,134,134,0.8247096213382022,0.48046752369175144,0.05920827541975733,0.004581746684260257,0.004515723375080327,5.879426286148348e-05,0.0004894685948501482
6B,British Pound,FX,6,next_6_vol_bars,8.832255682693464,-8.309831811448685,7.768399030837137,0.0640876565884636,-0.050507750549568575,0.07744240048736392,0.549618320610687,0.4198473282442748,0.5725190839694656,131,131,131,0.8458026326032605,-0.3115335628728113,0.5920262007309476,0.004107227727000784,0.0025510328655775627,0.0059973253932452675,0.013579906038895029
6B,British Pound,FX,12,next_12_vol_bars,-9.592501562281948,11.87902521281321,-9.527808446570948,-0.04640899994064559,0.04864182762561976,-0.06353730497912397,0.456,0.456,0.48,125,125,125,-0.5460648546342867,0.3856101585789504,-0.5849872520482424,0.0021537952754908662,0.0023660273947604393,0.004036989124010071,-0.0022328276849741743
